id,competitionId,competitionTier,season,round,status,date,time,stadium,homeId,homeTeam,homeScore,awayScore,awayId,awayTeam,note
TIER_ONE-2015-1-CAT-QNA,1,TIER_ONE,2015,1,FINISHED,2015-01-04,16:00,Cần Thơ,CAT,Cần Thơ,0,0,QNA,Quảng Nam,
TIER_ONE-2015-1-THH-DAN,1,TIER_ONE,2015,1,FINISHED,2015-01-04,16:00,Thanh Hóa,THH,Đông Á Thanh Hóa,2,1,DAN,SHB Đà Nẵng,
TIER_ONE-2015-1-NAN-HAP,1,TIER_ONE,2015,1,FINISHED,2015-01-04,16:30,Vinh,NAN,Sông Lam Nghệ An,0,3,HAP,Hải Phòng,
TIER_ONE-2015-1-BIDU-DOT,1,TIER_ONE,2015,1,FINISHED,2015-01-04,17:00,Bình Dương,BIDU,Becamex Bình Dương,6,1,DOT,Đồng Tháp,
TIER_ONE-2015-1-DON-QNI,1,TIER_ONE,2015,1,FINISHED,2015-01-04,17:00,,DON,Đồng Nai,0,2,QNI,Than Quảng Ninh,
TIER_ONE-2015-1-HAN-LAN,1,TIER_ONE,2015,1,FINISHED,2015-01-04,17:00,Hàng Đẫy,HAN,Hà Nội,1,1,LAN,Long An,
TIER_ONE-2015-1-GLA-KHH,1,TIER_ONE,2015,1,FINISHED,2015-01-04,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,4,2,KHH,Khánh Hòa,
TIER_ONE-2015-2-QNI-HAN,1,TIER_ONE,2015,2,FINISHED,2015-01-10,16:00,Cẩm Phả,QNI,Than Quảng Ninh,0,1,HAN,Hà Nội,
TIER_ONE-2015-2-DOT-CAT,1,TIER_ONE,2015,2,FINISHED,2015-01-10,16:00,Đồng Tháp,DOT,Đồng Tháp,1,1,CAT,Cần Thơ,
TIER_ONE-2015-2-QNA-BIDU,1,TIER_ONE,2015,2,FINISHED,2015-01-10,16:30,Quảng Nam,QNA,Quảng Nam,2,4,BIDU,Becamex Bình Dương,
TIER_ONE-2015-2-LAN-GLA,1,TIER_ONE,2015,2,FINISHED,2015-01-11,16:30,Long An,LAN,Long An,2,1,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2015-2-DAN-NAN,1,TIER_ONE,2015,2,FINISHED,2015-01-11,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,1,2,NAN,Sông Lam Nghệ An,
TIER_ONE-2015-2-HAP-THH,1,TIER_ONE,2015,2,FINISHED,2015-01-11,17:00,Lạch Tray,HAP,Hải Phòng,2,0,THH,Đông Á Thanh Hóa,
TIER_ONE-2015-2-KHH-DON,1,TIER_ONE,2015,2,FINISHED,2015-01-11,17:00,19/8 Nha Trang,KHH,Khánh Hòa,2,1,DON,Đồng Nai,
TIER_ONE-2015-3-DOT-DON,1,TIER_ONE,2015,3,FINISHED,2015-01-17,16:00,Đồng Tháp,DOT,Đồng Tháp,4,1,DON,Đồng Nai,
TIER_ONE-2015-3-CAT-QNI,1,TIER_ONE,2015,3,FINISHED,2015-01-17,16:00,Cần Thơ,CAT,Cần Thơ,2,3,QNI,Than Quảng Ninh,
TIER_ONE-2015-3-LAN-NAN,1,TIER_ONE,2015,3,FINISHED,2015-01-17,16:30,Long An,LAN,Long An,1,1,NAN,Sông Lam Nghệ An,
TIER_ONE-2015-3-BIDU-DAN,1,TIER_ONE,2015,3,FINISHED,2015-01-17,17:00,Bình Dương,BIDU,Becamex Bình Dương,3,2,DAN,SHB Đà Nẵng,
TIER_ONE-2015-3-HAN-QNA,1,TIER_ONE,2015,3,FINISHED,2015-01-17,17:00,Hàng Đẫy,HAN,Hà Nội,4,4,QNA,Quảng Nam,
TIER_ONE-2015-3-KHH-HAP,1,TIER_ONE,2015,3,FINISHED,2015-01-17,17:00,19/8 Nha Trang,KHH,Khánh Hòa,0,0,HAP,Hải Phòng,
TIER_ONE-2015-3-GLA-THH,1,TIER_ONE,2015,3,FINISHED,2015-01-17,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,2,THH,Đông Á Thanh Hóa,
TIER_ONE-2015-4-QNI-DOT,1,TIER_ONE,2015,4,FINISHED,2015-01-21,16:00,Cẩm Phả,QNI,Than Quảng Ninh,3,1,DOT,Đồng Tháp,
TIER_ONE-2015-4-THH-KHH,1,TIER_ONE,2015,4,FINISHED,2015-01-21,16:00,Thanh Hóa,THH,Đông Á Thanh Hóa,1,1,KHH,Khánh Hòa,
TIER_ONE-2015-4-QNA-LAN,1,TIER_ONE,2015,4,FINISHED,2015-01-21,16:30,Quảng Nam,QNA,Quảng Nam,2,2,LAN,Long An,
TIER_ONE-2015-4-NAN-BIDU,1,TIER_ONE,2015,4,FINISHED,2015-01-21,16:30,Vinh,NAN,Sông Lam Nghệ An,0,1,BIDU,Becamex Bình Dương,
TIER_ONE-2015-4-DAN-HAN,1,TIER_ONE,2015,4,FINISHED,2015-01-21,16:30,Hòa Xuân,DAN,SHB Đà Nẵng,1,1,HAN,Hà Nội,
TIER_ONE-2015-4-DON-CAT,1,TIER_ONE,2015,4,FINISHED,2015-01-21,17:00,,DON,Đồng Nai,1,0,CAT,Cần Thơ,
TIER_ONE-2015-4-HAP-GLA,1,TIER_ONE,2015,4,FINISHED,2015-01-21,17:00,Lạch Tray,HAP,Hải Phòng,1,0,GLA,Hoàng Anh Gia Lai,
TIER_ONE-2015-5-THH-HAN,1,TIER_ONE,2015,5,FINISHED,2015-01-25,16:00,Thanh Hóa,THH,Đông Á Thanh Hóa,2,1,HAN,Hà Nội,
TIER_ONE-2015-5-QNA-DON,1,TIER_ONE,2015,5,FINISHED,2015-01-25,16:30,Quảng Nam,QNA,Quảng Nam,3,1,DON,Đồng Nai,
TIER_ONE-2015-5-LAN-DOT,1,TIER_ONE,2015,5,FINISHED,2015-01-25,17:00,Long An,LAN,Long An,3,0,DOT,Đồng Tháp,
TIER_ONE-2015-5-BIDU-QNI,1,TIER_ONE,2015,5,FINISHED,2015-01-25,17:00,Bình Dương,BIDU,Becamex Bình Dương,1,2,QNI,Than Quảng Ninh,
TIER_ONE-2015-5-HAP-CAT,1,TIER_ONE,2015,5,FINISHED,2015-01-25,17:00,Lạch Tray,HAP,Hải Phòng,4,2,CAT,Cần Thơ,
TIER_ONE-2015-5-KHH-NAN,1,TIER_ONE,2015,5,FINISHED,2015-01-25,17:00,19/8 Nha Trang,KHH,Khánh Hòa,2,2,NAN,Sông Lam Nghệ An,
TIER_ONE-2015-5-GLA-DAN,1,TIER_ONE,2015,5,FINISHED,2015-01-25,17:00,Pleiku,GLA,Hoàng Anh Gia Lai,1,0,DAN,SHB Đà Nẵng,
