symbol,number_of_dates,percentage
AGE,0,-1
APL,0,-1
APT,0,-1
ASA,0,-1
AUM,0,-1
BCB,0,-1
BCV,0,-1
BDW,0,-1
BED,0,-1
BEL,0,-1
BHG,0,-1
BKH,0,-1
BLW,0,-1
BMD,0,-1
BMG,0,-1
BMV,0,-1
BNW,0,-1
BSH,0,-1
C12,0,-1
C22,0,-1
CAR,0,-1
CDG,0,-1
CDH,0,-1
CE1,0,-1
CEG,0,-1
CFV,0,-1
CHC,0,-1
CKA,0,-1
CMK,0,-1
CMP,0,-1
CNA,0,-1
CPH,0,-1
CVP,0,-1
CYC,0,-1
DAC,0,-1
DBW,0,-1
DCG,0,-1
DCH,0,-1
DFC,0,-1
DHN,0,-1
DKC,0,-1
DLD,0,-1
DLR,0,-1
DLT,0,-1
DM7,0,-1
DNL,0,-1
DNN,0,-1
DNT,0,-1
DPD,0,-1
DSV,0,-1
DUS,0,-1
DVM,0,-1
DVW,0,-1
ECI,0,-1
EME,0,-1
EMG,0,-1
EPC,0,-1
FBA,0,-1
FBC,0,-1
FCC,0,-1
FGL,0,-1
FHN,0,-1
FSO,0,-1
FTI,0,-1
GAB,0,-1
GH3,0,-1
GLC,0,-1
HCI,0,-1
HCT,0,-1
HEV,0,-1
HGT,0,-1
HHN,0,-1
HHR,0,-1
HLS,0,-1
HNP,0,-1
HNR,0,-1
HRB,0,-1
HTW,0,-1
IBD,0,-1
IBN,0,-1
IME,0,-1
IN4,0,-1
IRC,0,-1
ISG,0,-1
KHW,0,-1
LAI,0,-1
LAW,0,-1
LBC,0,-1
LCC,0,-1
LCD,0,-1
LCW,0,-1
LDW,0,-1
LMC,0,-1
LNC,0,-1
LQN,0,-1
LYF,0,-1
MBN,0,-1
MCI,0,-1
MEF,0,-1
MES,0,-1
MLC,0,-1
MND,0,-1
MPY,0,-1
MQB,0,-1
NAC,0,-1
NAW,0,-1
NDW,0,-1
NLS,0,-1
NQB,0,-1
NQT,0,-1
NSS,0,-1
NVP,0,-1
NWT,0,-1
PCH,0,-1
PHH,0,-1
PLE,0,-1
PMJ,0,-1
PQN,0,-1
PTG,0,-1
PTN,0,-1
PX1,0,-1
PXC,0,-1
QNW,0,-1
QST,0,-1
RBC,0,-1
SCO,0,-1
SCV,0,-1
SCY,0,-1
SGC,0,-1
SGD,0,-1
SHX,0,-1
SPH,0,-1
SPV,0,-1
STS,0,-1
SVC,0,-1
SVH,0,-1
TAN,0,-1
TAW,0,-1
TB8,0,-1
TBR,0,-1
TBX,0,-1
TCJ,0,-1
TCK,0,-1
THN,0,-1
THU,0,-1
THW,0,-1
TKA,0,-1
TLT,0,-1
TPS,0,-1
TQN,0,-1
TQW,0,-1
TTP,0,-1
TVH,0,-1
TVM,0,-1
UCT,0,-1
UEM,0,-1
UMC,0,-1
VBG,0,-1
VCE,0,-1
VDB,0,-1
VE4,0,-1
VHF,0,-1
VHH,0,-1
VKP,0,-1
VLP,0,-1
VMA,0,-1
VPW,0,-1
VTH,0,-1
VTM,0,-1
VTQ,0,-1
VVN,0,-1
VVS,0,-1
VXT,0,-1
X77,0,-1
ACS,2,0.0
ARM,1,0.0
ATS,1,0.0
BGW,1,0.0
BSC,1,0.0
BSD,1,0.0
BTH,1,0.0
BWA,1,0.0
BXH,2,0.0
CH5,2,0.0
CKV,1,0.0
CLM,1,0.0
CLW,1,0.0
CMW,1,0.0
CPA,6,0.0
CT3,2,0.0
DCF,2,0.0
DVC,1,0.0
DWC,1,0.0
DWS,1,0.0
FCS,1,0.0
GMA,1,0.0
HBD,1,0.0
HC1,2,0.0
HFX,1,0.0
HMG,1,0.0
HPI,1,0.0
HTR,1,0.0
KAC,1,0.0
KHS,1,0.0
KLM,1,0.0
L10,2,0.0
L35,1,0.0
LM3,1,0.0
MCC,1,0.0
MDA,2,0.0
MIM,5,0.0
NAP,1,0.0
NGC,1,0.0
NQN,1,0.0
NSG,1,0.0
NTF,2,0.0
PAI,1,0.0
PJC,2,0.0
PLO,1,0.0
PNP,6,0.0
PSN,2,0.0
PTH,2,0.0
PTO,1,0.0
PTX,4,0.0
S74,2,0.0
SDC,1,0.0
SEP,2,0.0
STW,1,0.0
TAG,2,0.0
TBH,1,0.0
TBT,2,0.0
TET,2,0.0
TMW,1,0.0
TNP,1,0.0
TOW,1,0.0
TPH,1,0.0
TSG,1,0.0
TVA,1,0.0
TVG,1,0.0
UDL,1,0.0
UPC,2,0.0
VCT,1,0.0
VDT,1,0.0
VIH,1,0.0
VIR,2,0.0
VPR,2,0.0
VSG,2,0.0
VTI,1,0.0
VTX,1,0.0
VXP,1,0.0
XDH,3,0.0
YTC,2,0.0
CCM,5,0.04
GDW,2,0.16
HCB,7,0.21
LBE,6,0.24
XHC,6,0.25
TA6,2,0.36
PIS,2,0.49
IBC,22,0.5
VDN,3,0.53
BTU,7,0.56
BT6,3,0.6
AGG,22,0.67
DND,3,0.67
MAS,4,0.67
STP,20,0.7
BTW,6,0.75
VIE,9,0.75
SPD,4,0.81
HLT,2,0.82
NNT,3,0.87
PND,5,0.93
TRA,22,0.93
HJS,6,0.96
SZE,22,0.99
KHL,4,1.0
PSC,4,1.0
DNA,4,1.03
SMB,21,1.04
PWS,7,1.07
HC3,10,1.11
DDG,22,1.13
PEQ,5,1.16
AGX,4,1.18
INC,4,1.18
ICT,22,1.2
BSP,10,1.27
ATB,4,1.33
DHT,21,1.36
VUA,22,1.37
PID,2,1.47
S4A,15,1.47
QSP,10,1.48
HGW,6,1.52
VTG,2,1.53
KIP,3,1.56
VBC,21,1.56
TRS,11,1.57
JOS,3,1.67
TDW,4,1.67
DSN,22,1.68
NBT,12,1.69
MRF,5,1.7
SCD,15,1.7
DTH,9,1.73
NDC,2,1.75
BBH,2,1.76
DPP,3,1.76
