api_uri,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,lis_id,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,senate_class,seniority,short_title,state,state_rank,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000355.json,,,,,1952-06-12,,,,,Spencer,M,,400555,49500,A000355,,False,Abraham,2019-10-07 09:24:22 -0400,,S238,,0,0.0,2000,ocd-division/country:us/state:mi,,R,,,1,1,Sen.,MI,,,"Senator, 1st Class",0,916,,,6.92,93.08,,
https://api.propublica.org/congress/v1/members/A000069.json,,,,8704,1924-09-11,,,,,Daniel,M,/m/01rbrq,300001,14400,A000069,,False,Akaka,2019-10-07 09:24:22 -0400,,S213,K.,12,1.31,2000,ocd-division/country:us/state:hi,,D,,,1,5,Sen.,HI,,,"Senator, 1st Class",0,916,SenatorAkaka,,5.76,94.24,,senatorakaka
https://api.propublica.org/congress/v1/members/A000356.json,,,,,1942-05-09,,,,,John,M,,400556,49501,A000356,,False,Ashcroft,2019-10-07 09:24:22 -0400,,S239,,14,1.53,2000,ocd-division/country:us/state:mo,,R,,,1,1,Sen.,MO,,,"Senator, 1st Class",0,916,,,6.69,93.31,,
https://api.propublica.org/congress/v1/members/B000243.json,,,,1727,1941-12-11,,,,,Max,M,/m/01rcm2,300005,14203,B000243,,False,Baucus,2019-10-07 09:24:22 -0400,,S127,,7,0.76,1996,ocd-division/country:us/state:mt,,D,,,2,17,Sen.,MT,,,"Senator, 2nd Class",0,916,,http://www.baucus.senate.gov,23.48,76.52,,SenatorBaucus
https://api.propublica.org/congress/v1/members/B000382.json,,,,25708,1933-09-18,,,,,Robert,M,/m/01xtg9,300007,49307,B000382,,False,Bennett,2019-10-07 09:24:22 -0400,,S231,F.,29,3.17,1998,ocd-division/country:us/state:ut,,R,,,3,3,Sen.,UT,,,"Senator, 3rd Class",0,916,,,5.67,94.33,,SenatorBennett
https://api.propublica.org/congress/v1/members/B000444.json,,,,34,1942-11-20,,,,,Joseph,M,,300008,14101,B000444,,False,Biden,2019-10-07 09:24:22 -0400,,S010,R.,25,2.73,1996,ocd-division/country:us/state:de,,D,,,2,23,Sen.,DE,,Jr.,"Senator, 2nd Class",0,916,,,14.69,85.31,,
https://api.propublica.org/congress/v1/members/B000468.json,,,,590,1943-10-03,,,,,Jeff,M,/m/01xck2,300009,15101,B000468,,False,Bingaman,2019-10-07 09:24:22 -0400,,S167,,8,0.87,2000,ocd-division/country:us/state:nm,,D,,,1,13,Sen.,NM,,,"Senator, 1st Class",0,916,jeffbingaman,,14.03,85.97,,SenJeffBingaman
https://api.propublica.org/congress/v1/members/B000611.json,,,,2360,1939-03-06,,,,,Christopher,M,/m/01_6h2,300010,15500,B000611,,False,Bond,2019-10-07 09:24:22 -0400,,S200,S.,24,2.62,1998,ocd-division/country:us/state:mo,,R,,,3,9,Sen.,MO,,,"Senator, 3rd Class",17,916,,,8.11,91.89,,CSBondMO
https://api.propublica.org/congress/v1/members/B000711.json,,,,2470,1940-11-11,,senatorboxer,,,Barbara,F,/m/01c1n5,300011,15011,B000711,,False,Boxer,2019-10-07 09:24:22 -0400,,S223,,16,1.75,1998,ocd-division/country:us/state:ca,,D,,https://www.boxer.senate.gov/rss/?p=release,3,3,Sen.,CA,,,"Senator, 3rd Class",2,916,SenatorBoxer,https://www.boxer.senate.gov,8.73,91.27,,SenatorBoxer
https://api.propublica.org/congress/v1/members/B001225.json,,,,,1943-07-28,,,,,William,M,,401709,14702,B001225,,False,Bradley,2019-10-07 09:24:22 -0400,,S132,Warren,80,8.73,1996,ocd-division/country:us/state:nj,,D,,,2,17,Sen.,NJ,,,"Senator, 2nd Class",1,916,,,12.22,87.78,,
https://api.propublica.org/congress/v1/members/B000780.json,,,,,1944-03-01,,,,,John,M,,300012,13056,B000780,,False,Breaux,2019-10-07 09:24:22 -0400,,S179,B.,8,0.87,1998,ocd-division/country:us/state:la,,D,,,3,9,Sen.,LA,,,"Senator, 3rd Class",0,916,,,20.36,79.64,,
https://api.propublica.org/congress/v1/members/B000919.json,,,,,1940-02-12,,,,,Hank,M,,401874,14803,B000919,,False,Brown,2019-10-07 09:24:22 -0400,,S214,,0,0.0,1996,ocd-division/country:us/state:co,,R,,,2,5,Sen.,CO,,,"Senator, 2nd Class",0,916,,,13.5,86.5,,
https://api.propublica.org/congress/v1/members/B000953.json,,,,,1956-09-12,,,,,Sam,M,/m/0202ny,300013,29523,B000953,,False,Brownback,2019-10-07 09:24:22 -0400,,S249,,0,0.0,1998,ocd-division/country:us/state:ks,,R,,,3,1,Sen.,KS,,,"Senator, 3rd Class",0,0,SenSamBrownback,,0.0,0.0,,SenatorSamBrownback
https://api.propublica.org/congress/v1/members/B000993.json,,,,,1937-07-16,,,,,Richard,M,,400557,15701,B000993,,False,Bryan,2019-10-07 09:24:22 -0400,,S206,H.,2,0.22,2000,ocd-division/country:us/state:nv,,D,,,1,7,Sen.,NV,,,"Senator, 1st Class",0,916,,,16.2,83.8,,
