provinceId,province,capital,macroRegion,region,level,levelVi,licenses
an-giang,An Giang,Long Xuyên,southern,mekong delta,province,tỉnh,67
bac-giang,Bắc Giang,Bắc Giang,northern,northeast,province,tỉnh,13-98
bac-kan,Bắc Kạn,Bắc Kạn,northern,northeast,province,tỉnh,97
bac-lieu,Bạc Liêu,Bạc Liêu,southern,mekong delta,province,tỉnh,94
bac-ninh,Bắc Ninh,Bắc Ninh,northern,red river delta,province,tỉnh,99
ben-tre,Bến Tre,Bến Tre,southern,mekong delta,province,tỉnh,71
binh-dinh,Bình Định,Qui Nhơn,central,south central coast,province,tỉnh,77
binh-duong,Bình Dương,Thủ Dầu Một,southern,southeast,province,tỉnh,61
binh-phuoc,Bình Phước,Đồng Xoài,southern,southeast,province,tỉnh,93
binh-thuan,Bình Thuận,Phan Thiết,central,south central coast,province,tỉnh,86
ba-ria-vung-tau,Bà Rịa - Vũng Tàu,Bà Rịa,southern,southeast,province,tỉnh,72
ca-mau,Cà Mau,Cà Mau,southern,mekong delta,province,tỉnh,69
can-tho,Cần Thơ,Ninh Kiều,southern,mekong delta,municipality,Thành Phố Trực Thuộc Trung Ương,65
cao-bang,Cao Bằng,Cao Bằng,northern,northeast,province,tỉnh,11
da-nang,Đà Nẵng,Quận Hải Châu,central,south central coast,municipality,Thành Phố Trực Thuộc Trung Ương,43
dak-lak,Đắk Lắk,Buôn Ma Thuột,central,central highlands,province,tỉnh,47
dak-nong,Đắk Nông,Gia Nghĩa,central,central highlands,province,tỉnh,48
dien-bien,Điện Biên,Điện Biên Phủ,northern,northwest,province,tỉnh,27
dong-nai,Đồng Nai,Biên Hòa,southern,southeast,province,tỉnh,39-60
dong-thap,Đồng Tháp,Cao Lãnh,southern,mekong delta,province,tỉnh,66
gia-lai,Gia Lai,Pleiku,central,central highlands,province,tỉnh,81
ha-giang,Hà Giang,Hà Giang,northern,northeast,province,tỉnh,23
ha-nam,Hà Nam,Phủ Lý,northern,red river delta,province,tỉnh,90
ha-noi,Hà Nội,Quận Hoàn Kiếm,northern,red river delta,municipality,Thành Phố Trực Thuộc Trung Ương,29-30-31-32-33-40
ha-tinh,Hà Tĩnh,Hà Tĩnh,central,north central coast,province,tỉnh,38
hai-duong,Hải Dương,Hải Dương,northern,red river delta,province,tỉnh,34
hai-phong,Hải Phòng,Quận Hồng Bàng,northern,red river delta,municipality,Thành Phố Trực Thuộc Trung Ương,15-16
hau-giang,Hậu Giang,Vị Thanh,southern,mekong delta,province,tỉnh,95
ho-chi-minh,Hồ Chí Minh,Quận 1,southern,southeast,municipality,Thành Phố Trực Thuộc Trung Ương,41-50-51-52-53-54-55-56-57-58-59
hoa-binh,Hòa Bình,Hòa Bình,northern,northwest,province,tỉnh,28
hung-yen,Hưng Yên,Hưng Yên,northern,red river delta,province,tỉnh,89
khanh-hoa,Khánh Hòa,Nha Trang,central,south central coast,province,tỉnh,79
kien-giang,Kiên Giang,Rạch Giá,southern,mekong delta,province,tỉnh,68
kon-tum,Kon Tum,Kon Tum,central,central highlands,province,tỉnh,82
lai-chau,Lai Châu,Lai Châu,northern,northwest,province,tỉnh,25
lam-dong,Lâm Đồng,Đà Lạt,central,central highlands,province,tỉnh,49
lang-son,Lạng Sơn,Lạng Sơn,northern,northeast,province,tỉnh,12
lao-cai,Lào Cai,Lào Cai,northern,northeast,province,tỉnh,24
long-an,Long An,Tân An,southern,mekong delta,province,tỉnh,62
nam-dinh,Nam Định,Nam Định,northern,red river delta,province,tỉnh,18
nghe-an,Nghệ An,Vinh,central,north central coast,province,tỉnh,37
ninh-binh,Ninh Bình,Ninh Bình,northern,red river delta,province,tỉnh,35
ninh-thuan,Ninh Thuận,Phan Rang - Tháp Chàm,central,south central coast,province,tỉnh,85
phu-tho,Phú Thọ,Việt Trì,northern,northeast,province,tỉnh,19
phu-yen,Phú Yên,Tuy Hòa,central,south central coast,province,tỉnh,78
quang-binh,Quảng Bình,Đồng Hới,central,north central coast,province,tỉnh,73
quang-nam,Quảng Nam,Tam Kỳ,central,south central coast,province,tỉnh,92
quang-ngai,Quảng Ngãi,Quảng Ngãi,central,south central coast,province,tỉnh,76
quang-ninh,Quảng Ninh,Hạ Long,northern,northeast,province,tỉnh,14
quang-tri,Quảng Trị,Đông Hà,central,north central coast,province,tỉnh,74
soc-trang,Sóc Trăng,Sóc Trăng,southern,mekong delta,province,tỉnh,83
son-la,Sơn La,Sơn La,northern,northwest,province,tỉnh,26
tay-ninh,Tây Ninh,Tây Ninh,southern,southeast,province,tỉnh,70
thai-binh,Thái Bình,Thái Bình,northern,red river delta,province,tỉnh,17
thai-nguyen,Thái Nguyên,Thái Nguyên,northern,northeast,province,tỉnh,20
thanh-hoa,Thanh Hóa,Thanh Hóa,central,north central coast,province,tỉnh,36
thua-thien-hue,Thừa Thiên - Huế,Huế,central,north central coast,province,tỉnh,75
tien-giang,Tiền Giang,Mỹ Tho,southern,mekong delta,province,tỉnh,63
tra-vinh,Trà Vinh,Trà Vinh,southern,mekong delta,province,tỉnh,84
tuyen-quang,Tuyên Quang,Tuyên Quang,northern,northeast,province,tỉnh,22
vinh-long,Vĩnh Long,Vĩnh Long,southern,mekong delta,province,tỉnh,64
vinh-phuc,Vĩnh Phúc,Vĩnh Yên,northern,red river delta,province,tỉnh,88
yen-bai,Yên Bái,Yên Bái,northern,northwest,province,tỉnh,21
