provinceId,province,districtId,district,wardId,ward
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-thi-tran-an-phu,Thị trấn An Phú
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-thi-tran-long-binh,Thị Trấn Long Bình
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-da-phuoc,Xã Đa Phước
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-khanh-an,Xã Khánh An
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-khanh-binh,Xã Khánh Bình
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-nhon-hoi,Xã Nhơn Hội
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-phu-hoi,Xã Phú Hội
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-phu-huu,Xã Phú Hữu
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-phuoc-hung,Xã Phước Hưng
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-quoc-thai,Xã Quốc Thái
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-vinh-hau,Xã Vĩnh Hậu
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-vinh-hoi-dong,Xã Vĩnh Hội Đông
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-vinh-loc,Xã Vĩnh Lộc
an-giang,An Giang,an-giang-huyen-an-phu,Huyện An Phú,an-giang-huyen-an-phu-xa-vinh-truong,Xã Vĩnh Trường
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-thi-tran-cai-dau,Thị trấn Cái Dầu
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-binh-chanh,Xã Bình Chánh
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-binh-long,Xã Bình Long
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-binh-my,Xã Bình Mỹ
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-binh-phu,Xã Bình Phú
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-binh-thuy,Xã Bình Thủy
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-dao-huu-canh,Xã Đào Hữu Cảnh
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-khanh-hoa,Xã Khánh Hòa
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-my-duc,Xã Mỹ Đức
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-my-phu,Xã Mỹ Phú
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-o-long-vy,Xã Ô Long Vỹ
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-thanh-my-tay,Xã Thạnh Mỹ Tây
an-giang,An Giang,an-giang-huyen-chau-phu,Huyện Châu Phú,an-giang-huyen-chau-phu-xa-vinh-thanh-trung,Xã Vĩnh Thạnh Trung
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-thi-tran-an-chau,Thị trấn An Châu
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-thi-tran-mai-dam,Thị trấn Mái Dầm
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-xa-an-hiep,Xã An Hiệp
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-xa-an-hoa,Xã An Hòa
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-xa-binh-hoa,Xã Bình Hòa
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-xa-binh-thanh,Xã Bình Thạnh
an-giang,An Giang,an-giang-huyen-chau-thanh,Huyện Châu Thành,an-giang-huyen-chau-thanh-xa-can-dang,Xã Cần Đăng
