congress,role,role_id,name,state,district
1,President pro tempore,president_pro_tempore,,,
2,President pro tempore,president_pro_tempore,,,
3,President pro tempore,president_pro_tempore,,,
4,President pro tempore,president_pro_tempore,,,
5,President pro tempore,president_pro_tempore,,,
6,President pro tempore,president_pro_tempore,,,
7,President pro tempore,president_pro_tempore,,,
8,President pro tempore,president_pro_tempore,,,
9,President pro tempore,president_pro_tempore,,,
10,President pro tempore,president_pro_tempore,,,
11,President pro tempore,president_pro_tempore,,,
12,President pro tempore,president_pro_tempore,,,
13,President pro tempore,president_pro_tempore,,,
14,President pro tempore,president_pro_tempore,,,
15,President pro tempore,president_pro_tempore,,,
16,President pro tempore,president_pro_tempore,,,
17,President pro tempore,president_pro_tempore,,,
18,President pro tempore,president_pro_tempore,,,
19,President pro tempore,president_pro_tempore,,,
20,President pro tempore,president_pro_tempore,,,
21,President pro tempore,president_pro_tempore,,,
22,President pro tempore,president_pro_tempore,,,
23,President pro tempore,president_pro_tempore,,,
24,President pro tempore,president_pro_tempore,,,
25,President pro tempore,president_pro_tempore,,,
26,President pro tempore,president_pro_tempore,,,
27,President pro tempore,president_pro_tempore,,,
28,President pro tempore,president_pro_tempore,,,
29,President pro tempore,president_pro_tempore,,,
30,President pro tempore,president_pro_tempore,,,
31,President pro tempore,president_pro_tempore,,,
32,President pro tempore,president_pro_tempore,,,
33,President pro tempore,president_pro_tempore,,,
34,President pro tempore,president_pro_tempore,,,
35,President pro tempore,president_pro_tempore,,,
36,President pro tempore,president_pro_tempore,,,
37,President pro tempore,president_pro_tempore,,,
38,President pro tempore,president_pro_tempore,,,
39,President pro tempore,president_pro_tempore,,,
40,President pro tempore,president_pro_tempore,,,
41,President pro tempore,president_pro_tempore,,,
42,President pro tempore,president_pro_tempore,,,
43,President pro tempore,president_pro_tempore,,,
44,President pro tempore,president_pro_tempore,,,
45,President pro tempore,president_pro_tempore,,,
46,President pro tempore,president_pro_tempore,,,
47,President pro tempore,president_pro_tempore,,,
48,President pro tempore,president_pro_tempore,,,
49,President pro tempore,president_pro_tempore,,,
50,President pro tempore,president_pro_tempore,,,
51,President pro tempore,president_pro_tempore,,,
52,President pro tempore,president_pro_tempore,,,
53,President pro tempore,president_pro_tempore,,,
54,President pro tempore,president_pro_tempore,,,
55,President pro tempore,president_pro_tempore,,,
56,President pro tempore,president_pro_tempore,,,
57,President pro tempore,president_pro_tempore,,,
58,President pro tempore,president_pro_tempore,,,
59,President pro tempore,president_pro_tempore,,,
60,President pro tempore,president_pro_tempore,,,
61,President pro tempore,president_pro_tempore,,,
62,President pro tempore,president_pro_tempore,,,
63,President pro tempore,president_pro_tempore,,,
64,President pro tempore,president_pro_tempore,,,
65,President pro tempore,president_pro_tempore,,,
66,President pro tempore,president_pro_tempore,,,
67,President pro tempore,president_pro_tempore,,,
68,President pro tempore,president_pro_tempore,,,
69,President pro tempore,president_pro_tempore,,,
70,President pro tempore,president_pro_tempore,,,
71,President pro tempore,president_pro_tempore,,,
72,President pro tempore,president_pro_tempore,,,
73,President pro tempore,president_pro_tempore,,,
74,President pro tempore,president_pro_tempore,,,
75,President pro tempore,president_pro_tempore,,,
76,President pro tempore,president_pro_tempore,,,
77,President pro tempore,president_pro_tempore,,,
78,President pro tempore,president_pro_tempore,,,
79,President pro tempore,president_pro_tempore,,,
80,President pro tempore,president_pro_tempore,,,
81,President pro tempore,president_pro_tempore,,,
82,President pro tempore,president_pro_tempore,,,
83,President pro tempore,president_pro_tempore,,,
84,President pro tempore,president_pro_tempore,,,
85,President pro tempore,president_pro_tempore,,,
86,President pro tempore,president_pro_tempore,,,
87,President pro tempore,president_pro_tempore,,,
88,President pro tempore,president_pro_tempore,,,
89,President pro tempore,president_pro_tempore,,,
90,President pro tempore,president_pro_tempore,,,
91,President pro tempore,president_pro_tempore,,,
92,President pro tempore,president_pro_tempore,,,
93,President pro tempore,president_pro_tempore,,,
94,President pro tempore,president_pro_tempore,,,
95,President pro tempore,president_pro_tempore,,,
96,President pro tempore,president_pro_tempore,,,
97,President pro tempore,president_pro_tempore,,,
98,President pro tempore,president_pro_tempore,,,
99,President pro tempore,president_pro_tempore,,,
100,President pro tempore,president_pro_tempore,,,
101,President pro tempore,president_pro_tempore,,,
102,President pro tempore,president_pro_tempore,,,
103,President pro tempore,president_pro_tempore,,,
104,President pro tempore,president_pro_tempore,,,
105,President pro tempore,president_pro_tempore,,,
106,President pro tempore,president_pro_tempore,,,
107,President pro tempore,president_pro_tempore,,,
108,President pro tempore,president_pro_tempore,,,
109,President pro tempore,president_pro_tempore,,,
110,President pro tempore,president_pro_tempore,,,
111,President pro tempore,president_pro_tempore,,,
112,President pro tempore,president_pro_tempore,,,
