bourse_en,bourse_vi,created,data_index_id,foreign_ownership,fund_id,id,market_value,modified,per_nav,sector_en,sector_vi,shares,stock
,,2022-09-30 00:00:00,5346,100.00,8,6604,2505.00,2022-10-17 08:11:10,16.40,,,39133640,MWG
,,2022-09-30 00:00:00,5346,100.00,8,6605,2366.00,2022-10-17 08:11:10,15.50,,,29393934,FPT
,,2022-09-30 00:00:00,5346,100.00,8,6606,2242.00,2022-10-17 08:11:10,14.70,,,20954028,PNJ
,,2022-09-30 00:00:00,5346,100.00,8,6607,1452.00,2022-10-17 08:11:10,9.50,,,18852984,REE
,,2022-09-30 00:00:00,5346,100.00,8,6608,1306.00,2022-10-17 08:11:10,8.50,,,40176000,TCB
,,2022-09-30 00:00:00,5346,100.00,8,6609,1150.00,2022-10-17 08:11:10,7.50,,,51807616,ACB
,,2022-09-30 00:00:00,5346,100.00,8,6610,1136.00,2022-10-17 08:11:10,7.40,,,63103816,VPB
,,2022-09-30 00:00:00,5346,100.00,8,6611,902.00,2022-10-17 08:11:10,5.90,,,45084520,MBB
,,2022-09-30 00:00:00,5346,100.00,8,6612,384.00,2022-10-17 08:11:10,2.50,,,23184006,MSB
,,2022-09-30 00:00:00,5346,96.60,8,6613,362.00,2022-10-17 08:11:10,2.40,,,7543250,GMD
,,2022-09-30 00:00:00,5346,100.00,8,6614,358.00,2022-10-17 08:11:10,2.30,,,14302325,TPB
,,2022-09-30 00:00:00,5346,100.00,8,6615,337.00,2022-10-17 08:11:10,2.20,,,15305304,VIB
,,2022-09-30 00:00:00,5346,59.10,8,6616,245.00,2022-10-17 08:11:10,1.60,,,8730702,KDH
,,2022-09-30 00:00:00,5346,98.60,8,6617,139.00,2022-10-17 08:11:10,0.90,,,4070800,EIB
,,2022-09-30 00:00:00,5346,78.00,8,6618,115.00,2022-10-17 08:11:10,0.80,,,3799788,NLG
,,2022-09-30 00:00:00,5346,98.10,8,6619,104.00,2022-10-17 08:11:10,0.70,,,6793400,OCB
,,2022-09-30 00:00:00,5346,89.20,8,6620,76.00,2022-10-17 08:11:10,0.50,,,3277415,CTG
,,2022-09-30 00:00:00,5346,63.90,8,6621,37.00,2022-10-17 08:11:10,0.20,,,647600,DHC
,,2022-09-30 00:00:00,5346,94.30,8,6622,20.00,2022-10-17 08:11:10,0.10,,,474450,TCM
,,2022-08-31 00:00:00,5218,100.00,8,6504,2983.00,2022-09-19 06:20:21,16.90,,,40310140,MWG
