"capital","portfolioCode","availableDate"
"dragon-capital","fuevfvnd","2022-08-31"
"dragon-capital","fuevfvnd","2022-07-31"
"dragon-capital","fuevfvnd","2022-06-30"
"dragon-capital","fuevfvnd","2022-05-31"
"dragon-capital","fuevfvnd","2022-04-30"
"dragon-capital","fuevfvnd","2022-03-31"
"dragon-capital","fuevfvnd","2022-02-28"
"dragon-capital","fuevfvnd","2022-01-31"
"dragon-capital","fuevfvnd","2021-12-31"
"dragon-capital","fuevfvnd","2021-11-30"
"dragon-capital","fuevfvnd","2021-10-31"
"dragon-capital","fuevfvnd","2021-09-30"
"dragon-capital","fuevfvnd","2021-08-31"
"dragon-capital","fuevfvnd","2021-07-31"
"dragon-capital","fuevfvnd","2021-06-30"
"dragon-capital","fuevfvnd","2021-05-31"
"dragon-capital","fuevfvnd","2021-04-30"
"dragon-capital","fuevfvnd","2021-03-31"
"dragon-capital","fuevfvnd","2021-02-28"
"dragon-capital","fuevfvnd","2021-01-31"
"dragon-capital","fuevfvnd","2020-12-31"
"dragon-capital","fuevfvnd","2020-11-30"
"dragon-capital","fuevfvnd","2020-10-31"
"dragon-capital","fuevfvnd","2020-09-30"
"dragon-capital","fuevfvnd","2020-08-31"
"dragon-capital","fuevfvnd","2020-07-31"
"dragon-capital","fuevfvnd","2020-06-30"
"dragon-capital","fuevfvnd","2020-05-31"
"dragon-capital","fuevfvnd","2020-04-30"
