industry,issue_share,listed_value,listing_date,market_cap,name,sector,subsector,supersector,symbol
Financials,68987661.0,68987661.0,25/06/2018 00:00:00,310444474500.0,AAV Group joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AAV
Financials,111713195.0,111713195.0,09/01/2020 00:00:00,3766062876800.0,An Gia Real Estate Investment And Development Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AGG
Financials,163504874.0,163504874.0,11/08/2014 00:00:00,186395556360.0,FLC Stone Mining and Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,AMD
Financials,84083976.0,84083976.0,13/09/2010 00:00:00,781980976800.0,Asia - Pacific Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,API
Financials,1035000000.0,1035000000.0,21/02/2018 00:00:00,82593000000000.0,Investment and Industrial Development Joint Stock Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,BCM
Financials,57680000.0,57680000.0,22/09/2014 00:00:00,121128000000.0,Bao Thu Industrial Development and Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,BII
Financials,19336371.0,19336371.0,01/11/2016 00:00:00,203152846400.0,Century 21 Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,C21
Financials,53199579.0,53199579.0,03/03/2011 00:00:00,292597684500.0,Cuu Long Petro Urban Development And Investment Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,CCL
Financials,257339985.0,257339985.0,29/09/2014 00:00:00,4837991718000.0,CEO Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,CEO
Financials,21150000.0,21150000.0,09/08/2010 00:00:00,24512850000.0,Cotec Investment and Land - house Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,CLG
Financials,463678534.0,463678534.0,05/09/2018 00:00:00,4187016186780.0,Century Land Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,CRE
Financials,6551965.0,6551965.0,25/02/2011 00:00:00,77784262800.0,Real Estate 11 Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,D11
Financials,30304758.0,30304758.0,14/08/2009 00:00:00,688409130500.0,Industrial Urban Development Joint - Stock Company No.2,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,D2D
Financials,609851995.0,609851995.0,19/08/2009 00:00:00,9666154120750.0,Development Investment Construction Joint Stock Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,DIG
Financials,4500000.0,4500000.0,20/05/2010 00:00:00,38250000000.0,Dalat Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,DLR
Financials,124353866.0,124353866.0,26/07/2010 00:00:00,501016857300.0,DRH Holdings JSC,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,DRH
Financials,18059832.0,18059832.0,16/07/2010 00:00:00,94994716320.0,De Tam Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,DTA
Financials,611779002.0,611779002.0,22/12/2009 00:00:00,8052416011200.0,Dat Xanh Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,DXG
Financials,10880000.0,10880000.0,30/09/2009 00:00:00,20672000000.0,Education Financial Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,EFI
Financials,38629988.0,38629988.0,18/01/2010 00:00:00,770538585600.0,Foreign Trade Development And Investment Corporation of Ho Chi Minh City,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,FDC
Financials,44615015.0,44615015.0,18/10/2018 00:00:00,2061213693000.0,First Real Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,FIR
Financials,709997807.0,709997807.0,05/10/2011 00:00:00,2534692170990.0,FLC Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,FLC
Financials,101350100.0,101350100.0,17/01/2013 00:00:00,334894315000.0,An Duong Thao Dien Real Estate Trade Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HAR
Financials,8962353.0,8962353.0,16/05/2016 00:00:00,138844772676.0,Housing Development Invesment Joint Stock Company HUD2,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HD2
Financials,14400000.0,14400000.0,23/11/2020 00:00:00,195566400000.0,Hanoi Housing Development and Investment Joint Stock Company No. 6,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HD6
Financials,10000000.0,10000000.0,15/03/2019 00:00:00,59620000000.0,HUD8 City and Housing Development Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HD8
Financials,108085693.0,108085693.0,08/10/2007 00:00:00,3296613636500.0,Ba Ria - Vung Tau House Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HDC
Financials,244605898.0,244605898.0,02/02/2010 00:00:00,7766237261500.0,Ha Do Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HDG
Financials,20000000.0,20000000.0,26/03/2013 00:00:00,586000000000.0,HUDLAND Real Estate Investment and Development Joint,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HLD
Financials,60000000.0,60000000.0,05/10/2017 00:00:00,1637940000000.0,Hiep Phuoc Industrial Park Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HPI
Financials,304168581.0,304168581.0,24/07/2018 00:00:00,1551259763100.0,Hai Phat Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HPX
Financials,476600000.0,476600000.0,20/10/2010 00:00:00,1372605909120.0,Hoang Quan Consulting Trading Service Real Estate Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HQC
Financials,6338400.0,6338400.0,06/11/2017 00:00:00,167967600000.0,Harec Investment and Trade Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HRB
Financials,89116411.0,89116411.0,12/11/2018 00:00:00,1220894830700.0,Hung Thinh Incons Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HTN
Financials,7500000.0,7500000.0,19/11/2015 00:00:00,46500000000.0,HUD6 City and Housing Development Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,HU6
Financials,329999929.0,329999929.0,24/11/2017 00:00:00,11318997564700.0,IDICO Corporation - JSC,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,IDC
Financials,173490193.0,173490193.0,13/09/2010 00:00:00,1422619582600.0,IDJ Vietnam Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,IDJ
Financials,25227906.0,25227906.0,01/06/2010 00:00:00,746746017600.0,Vinh Phuc Infrastructure Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,IDV
Financials,217097323.0,217097323.0,19/04/2010 00:00:00,2789700600550.0,Becamex Infrastructure Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,IJC
Financials,938463607.0,938463607.0,15/11/2006 00:00:00,3847118457500.0,Tan Tao Investment and Industry Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,ITA
Financials,96375409.0,96375409.0,19/10/2009 00:00:00,676342095450.0,Investment and Trading of Real Estate Joint stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,ITC
Financials,23999999.0,23999999.0,27/10/2010 00:00:00,527999978000.0,Khang An Investment Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KAC
Financials,767604759.0,767604759.0,18/12/2009 00:00:00,16503502318500.0,Kinh Bac City Development Holding Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KBC
Financials,716829995.0,716829995.0,01/02/2010 00:00:00,18816787368750.0,Khang Dien House Trading and Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KDH
Financials,14120309.0,14120309.0,19/08/2002 00:00:00,192631150200.0,Khanh Hoi Investment and Services Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KHA
Financials,449435205.0,449435205.0,19/07/2021 00:00:00,1955043141750.0,Khai Hoan Land Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KHG
Financials,216481335.0,216481335.0,08/12/2017 00:00:00,8161346329500.0,KOSY Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KOS
Financials,300000000.0,300000000.0,06/10/2021 00:00:00,21060000000000.0,KSFinance Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,KSF
Financials,26100000.0,26100000.0,14/06/2017 00:00:00,157905000000.0,Central Power Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,LEC
Financials,51500000.0,51500000.0,08/10/2009 00:00:00,159641010000.0,Long Giang Investment and Urban Development Joint-stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,LGL
Financials,50012010.0,50012010.0,23/03/2010 00:00:00,1067756413500.0,Long Hau Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,LHG
Financials,25629995.0,25629995.0,12/10/2018 00:00:00,136812913310.0,Quoc te Holding Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,LMH
Financials,90000000.0,90000000.0,12/05/2022 00:00:00,627480000000.0,Sai Gon Vina Land Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,LSG
Financials,20000000.0,20000000.0,28/04/2022 00:00:00,150000000000.0,MGROUP Group Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,MGR
Financials,12000000.0,12000000.0,06/03/2017 00:00:00,960000000000.0,Binh Long Rubber Industrial Park Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,MH3
Financials,100475656.0,100475656.0,18/02/2009 00:00:00,1282045376000.0,577 Investment Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NBB
Financials,71657936.0,71657936.0,21/04/2011 00:00:00,487273964800.0,Danang Housing Investment Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NDN
Financials,384080300.0,384080300.0,08/04/2013 00:00:00,11522409000000.0,Nam Long Investment Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NLG
Financials,88188686.0,88188686.0,05/04/2018 00:00:00,398170376600.0,Danh Khoi Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NRC
Financials,39779577.0,39779577.0,17/05/2010 00:00:00,23827966623.0,Transport Engineering Construction And Business Investment Joint Stock Company 584,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NTB
Financials,23999980.0,23999980.0,19/12/2016 00:00:00,2722197731500.0,Nam Tan Uyen Joint Stock Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NTC
Financials,60989950.0,60989950.0,21/12/2007 00:00:00,966690707500.0,Tu Liem Urban Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NTL
Financials,1949833809.0,1949833809.0,28/12/2016 00:00:00,29446578523800.0,No Va Land Investment Group Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NVL
Financials,90500000.0,90500000.0,07/05/2010 00:00:00,675130000000.0,Ninh Van Bay Travel Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,NVT
Financials,671646219.0,671646219.0,30/07/2010 00:00:00,8764983157950.0,Phat Dat Real Estate Development Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PDR
Financials,10000000.0,10000000.0,20/11/2017 00:00:00,55000000000.0,Petroleum Logistic Service and Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PLA
Financials,48290629.0,48290629.0,12/04/2010 00:00:00,33803440300.0,Pacific Infrastructure Project Development And Investment Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PPI
Financials,100000000.0,100000000.0,22/09/2010 00:00:00,326254764000.0,Victory Capital Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PTL
Financials,5801924.0,5801924.0,14/10/2022 00:00:00,37712506000.0,Khanh Hoa House Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PTN
Financials,37350000.0,37350000.0,16/12/2010 00:00:00,77424480000.0,PV2 Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PV2
Financials,50000000.0,50000000.0,15/04/2010 00:00:00,145000000000.0,Viet Property Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PVL
Financials,53100913.0,53100913.0,21/06/2010 00:00:00,79053923899.0,Ha Noi PVR Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PVR
Financials,10000000.0,10000000.0,11/06/2019 00:00:00,42800000000.0,Petrowaco Property Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PWA
Financials,15000000.0,15000000.0,22/02/2011 00:00:00,18240000000.0,PetroVietnam - Nghe An Investment & Trading Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PXA
Financials,28068900.0,28068900.0,09/02/2017 00:00:00,14034450000.0,Petrovietnam Urban Develoment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PXC
Financials,82722212.0,82722212.0,09/12/2010 00:00:00,410147104404.0,Long Son Petroleum Industrial Zone Investment Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,PXL
Financials,275129310.0,275129310.0,09/08/2010 00:00:00,1114273021050.0,Quoc Cuong Gia Lai Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,QCG
Financials,13858714.0,13858714.0,14/06/2007 00:00:00,180163282000.0,Cho Lon Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,RCL
Financials,395661775.0,395661775.0,18/11/2016 00:00:00,2215705940000.0,Sai Gon Thuong Tin Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SCR
Financials,60000000.0,60000000.0,11/05/2015 00:00:00,791999854800.0,Saigon Real Estate Group Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SGR
Financials,100000000.0,100000000.0,09/01/2017 00:00:00,794600000000.0,Saigon Co.op Investment Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SID
Financials,90904146.0,90904146.0,06/06/2019 00:00:00,6112576585332.0,Saigon VRG Investment Corporation,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SIP
Financials,114855540.0,114855540.0,06/07/2006 00:00:00,5467079040000.0,Song Da Urban &amp; Industrial Zone Investment and Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SJS
Financials,375000000.0,375000000.0,04/08/2021 00:00:00,26166375000000.0,Sunshine Homes Development Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SSH
Financials,15000000.0,15000000.0,23/09/2008 00:00:00,20430000000.0,SongDa - ThangLong Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,STL
Financials,30000000.0,30000000.0,20/12/2019 00:00:00,792000000000.0,Sonadezi Long Binh Share Holding Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SZB
Financials,100000000.0,100000000.0,15/01/2019 00:00:00,2690000000000.0,Sonadezi Chau Duc Shareholding Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SZC
Financials,54898000.0,54898000.0,27/12/2021 00:00:00,1800654400000.0,Sonadezi Giang Dien Shareholding Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SZG
Financials,20000000.0,20000000.0,09/09/2008 00:00:00,909545000000.0,Sonadezi Long Thanh Shareholding Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,SZL
Financials,24914991.0,24914991.0,12/01/2010 00:00:00,2767465393200.0,Tran Anh Digital World Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,TAG
Financials,8060000.0,8060000.0,20/07/2022 00:00:00,49166000000.0,Tan Binh Real Estate Joint Stock Company,Real Estate Investment & Services,Real Estate Holding & Development,Real Estate,TBR
