country,requirement
Afghanistan,visa required
Albania,visa-free/90 days
Algeria,visa required
Andorra,visa-free
Angola,pre-visa on arrival
Antigua and Barbuda,visa-free/180 days
Argentina,visa-free/90 days
Armenia,visa-free/180 days
Australia,eTA/90 days
Austria,visa-free
Azerbaijan,eVisa/30 days
Bahamas,visa-free/90 days
Bahrain,visa on arrival / eVisa/30 days
Bangladesh,visa on arrival/30 days
Barbados,visa-free/90 days
Belarus,visa-free/30 days
Belgium,visa-free
Belize,visa-free
Benin,eVisa
Bhutan,visa required
Bolivia,visa-free/90 days
Bosnia and Herzegovina,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Brunei,visa-free/90 days
Bulgaria,visa-free
Burkina Faso,visa on arrival/30 days
Burundi,visa on arrival/30 days
Cambodia,eVisa/30 days
Cameroon,visa required
Canada,eTA/180 days
Cape Verde,visa-free (EASE)/30 days
Central African Republic,visa required
Chad,visa required
Chile,visa-free/90 days
China,visa required
Colombia,visa-free/90 days
Comoros,visa on arrival/45 days
Congo,visa required
Congo (Dem. Rep.),eVisa/90 days
Costa Rica,visa-free/90 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Croatia,visa-free
Cuba,tourist card/30 days
Cyprus,visa-free
Czech Republic,visa-free
Denmark,visa-free
Djibouti,eVisa
Dominica,visa-free/180 days
Dominican Republic,visa-free
Ecuador,visa-free/90 days
Egypt,visa on arrival / eVisa/30 days
El Salvador,visa-free/90 days
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa-free
Eswatini,visa-free/30 days
Ethiopia,visa on arrival / eVisa/90 days
Fiji,visa-free/120 days
France,visa-free
Gabon,visa on arrival / eVisa/90 days
Gambia,visa-free/90 days
Georgia,visa-free/360 days
Germany,visa-free
Ghana,visa required
Greece,visa-free
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Guinea,eVisa/90 days
Guinea-Bissau,visa on arrival / eVisa/90 days
Guyana,visa-free/90 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Hong Kong,visa-free/90 days
Hungary,visa-free
Iceland,visa-free
India,eVisa/30 days
Indonesia,visa on arrival/30 days
Iran,eVisa/30 days
Iraq,visa on arrival/60 days
Ireland,visa-free
Israel,visa-free/90 days
Italy,visa-free
Jamaica,visa-free/90 days
Japan,visa-free/90 days
Jordan,visa on arrival
Kazakhstan,visa-free/30 days
Kenya,eVisa/90 days
Kiribati,visa-free/120 days
Kosovo,visa-free/90 days
Kuwait,eVisa/90 days
Kyrgyzstan,visa-free/60 days
Laos,visa on arrival / eVisa/30 days
Latvia,visa-free
Lebanon,visa on arrival/30 days
Lesotho,visa-free/14 days
Liberia,visa required
Libya,visa required
Liechtenstein,visa-free
Lithuania,visa-free
Luxembourg,visa-free
Macao,COVID-19 ban
Madagascar,visa on arrival/90 days
Malawi,visa on arrival / eVisa/30 days
Malaysia,visa-free/90 days
Maldives,visa on arrival/30 days
Mali,visa required
Malta,visa-free
Marshall Islands,visa-free/90 days
Mauritania,visa on arrival
Mauritius,visa-free/90 days
Mexico,visa-free/180 days
Micronesia,visa-free/90 days
Moldova,visa-free/90 days
Monaco,visa-free
Mongolia,visa on arrival / eVisa/30 days
Montenegro,visa-free/90 days
Morocco,visa-free/90 days
Mozambique,visa on arrival/30 days
Myanmar [Burma],eVisa
Namibia,visa-free/90 days
Nauru,visa required
Nepal,visa on arrival/90 days
Netherlands,visa-free
New Zealand,eTA/90 days
Nicaragua,visa-free/90 days
Niger,visa required
Nigeria,pre-visa on arrival
North Korea,visa required
North Macedonia,visa-free/90 days
Norway,visa-free
Oman,visa on arrival / eVisa/14 days
Pakistan,eTA/30 days
Palau,visa-free/90 days
Palestinian Territories,visa-free
Panama,visa-free/90 days
Papua New Guinea,visa on arrival / eVisa/60 days
Paraguay,visa-free/90 days
Peru,visa-free/90 days
Philippines,visa-free/30 days
Poland,visa-free
Portugal,visa-free
Qatar,visa-free/90 days
Romania,visa-free
Russian Federation,visa required
Rwanda,visa on arrival / eVisa/30 days
Saint Kitts and Nevis,visa-free/90 days
Saint Lucia,visa-free/90 days
Samoa,visa-free/90 days
San Marino,visa-free
Sao Tome and Principe,visa-free/15 days
Saudi Arabia,visa on arrival / eVisa/90 days
Senegal,visa-free/90 days
Serbia,visa-free/90 days
Seychelles,tourist registration/90 days
Sierra Leone,visa on arrival/30 days
Singapore,visa-free/90 days
Slovakia,visa-free
Slovenia,visa-free
Solomon Islands,visa-free/90 days
Somalia,visa on arrival/30 days
South Africa,visa-free/90 days
South Korea,eTA/90 days
South Sudan,eVisa
Spain,visa-free
Sri Lanka,eTA/30 days
St. Vincent and the Grenadines,visa-free/90 days
Sudan,visa required
Suriname,eTourist card/90 days
Sweden,visa-free
Switzerland,visa-free
Syria,visa required
Taiwan,visa-free/90 days
Tajikistan,visa-free/30 days
Tanzania,visa on arrival / eVisa
Thailand,visa-free/30 days
Timor-Leste,visa-free/90 days
Togo,visa on arrival/7 days
Tonga,visa-free/90 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa-free/90 days
Turkey,visa-free/90 days
Turkmenistan,visa required
Tuvalu,visa-free/90 days
Uganda,eVisa
Ukraine,visa-free/90 days
United Arab Emirates,visa-free/90 days
United Kingdom,visa-free/180 days
United States of America,eTA/90 days
Uruguay,visa-free/90 days
Uzbekistan,visa-free/30 days
Vanuatu,visa-free/90 days
Vatican City,visa-free
Venezuela,visa-free/90 days
Viet Nam,visa-free/15 days
Yemen,visa required
Zambia,visa on arrival / eVisa/90 days
Zimbabwe,visa on arrival/90 days
