api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000022.json,False,,,,1002061,1942-11-19,5,,,,,Gary,M,3605,/m/03rhdq,400003,15080,A000022,,False,Ackerman,2019-10-07 10:38:31 -0400,,L.,143,8.9,2012,ocd-division/country:us/state:ny/cd:5,,D,,,30,Rep.,NY,,Representative,3,1607,repgaryackerman,,5.28,94.65,,RepAckerman
https://api.propublica.org/congress/v1/members/A000366.json,False,,,,,1956-12-14,24,,,,,Sandra,F,1224,,412414,,A000366,,False,Adams,2019-10-07 10:38:31 -0400,,,0,0.0,,ocd-division/country:us/state:fl/cd:24,,R,,,2,Rep.,FL,,Representative,0,1607,RepSandyAdams,,5.96,93.98,,
https://api.propublica.org/congress/v1/members/A000055.json,False,,,N00003028,45516,1965-07-22,4,0.361,RobertAderholt,,,Robert,M,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,2021-03-02 02:35:23 -0500,,B.,13,0.81,2012,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,16,Rep.,AL,,Representative,0,1607,Robert_Aderholt,https://aderholt.house.gov,6.89,93.05,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000358.json,False,,,,87412,1947-07-05,2,0.612,,,,Todd,M,2902,/m/025xzm,400005,20123,A000358,,False,Akin,2019-10-07 10:38:31 -0400,,,280,17.42,2012,ocd-division/country:us/state:mo/cd:2,,R,,,12,Rep.,MO,,Representative,0,1607,reptoddakin,,3.72,96.21,,RepToddAkin
https://api.propublica.org/congress/v1/members/A000361.json,False,,,,1004256,1946-12-05,5,0.331,RepRodneyAlexander,,,Rodney,M,2205,/m/025jxc,400006,90327,A000361,,False,Alexander,2019-10-07 10:38:31 -0400,,,42,2.61,2012,ocd-division/country:us/state:la/cd:5,,R,,,10,Rep.,LA,,Representative,0,1607,USRepAlexander,,6.75,93.19,,RepRodneyMAlexander
https://api.propublica.org/congress/v1/members/A000362.json,False,,,,1022872,1968-03-07,4,-0.133,,,,Jason,M,4204,/m/0dzy2v,412231,20743,A000362,,False,Altmire,2019-10-07 10:38:31 -0400,,,11,0.68,2012,ocd-division/country:us/state:pa/cd:4,,D,,,6,Rep.,PA,,Representative,0,1607,RepJasonAltmire,,35.5,64.44,,congressmanaltmire
https://api.propublica.org/congress/v1/members/A000367.json,False,,,N00031938,1033767,1980-04-18,3,0.649,repjustinamash,,,Justin,M,2603,/m/0c00p_n,412438,21143,A000367,,False,Amash,2019-10-07 10:38:31 -0400,,,0,0.0,,ocd-division/country:us/state:mi/cd:3,,R,,https://amash.house.gov/rss.xml,2,Rep.,MI,,Representative,41,1607,justinamash,https://amash.house.gov,25.02,74.92,105566,repjustinamash
https://api.propublica.org/congress/v1/members/A000369.json,False,,,N00031177,62817,1958-06-12,2,0.376,MarkAmodeiNV2,,,Mark,M,3202,/m/03bzdkn,412500,21196,A000369,,False,Amodei,2021-03-02 02:35:23 -0500,,,39,4.33,,ocd-division/country:us/state:nv/cd:2,,R,,,2,Rep.,NV,,Representative,0,900,MarkAmodeiNV2,https://amodei.house.gov,3.74,96.26,12537,markamodeinv2
https://api.propublica.org/congress/v1/members/A000210.json,False,,,,19670,1957-08-04,1,-0.297,,,,Robert,M,3401,,400008,29132,A000210,,False,Andrews,2019-10-07 10:38:31 -0400,,E.,64,3.98,2012,ocd-division/country:us/state:nj/cd:1,,D,,,24,Rep.,NJ,,Representative,1,1607,RepAndrews,http://andrews.house.gov/,7.3,92.63,,
https://api.propublica.org/congress/v1/members/A000365.json,False,,,,1031355,1958-10-12,7,,,,,Steve,M,3907,,412265,,A000365,,False,Austria,2019-10-07 10:38:31 -0400,,,77,4.79,2012,ocd-division/country:us/state:oh/cd:7,,R,,,4,Rep.,OH,,Representative,0,1607,SteveAustria,,5.79,94.14,,CongressmanAustria
