_id,author,content,tags,authorSlug,length,dateAdded,dateModified
JIk3cbQ8s,Michael Jordan,"I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times, I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed.","['sports', 'competition', 'famous-quotes']",michael-jordan,224,2022-07-06,2022-07-08
nAOVUhK6RJ,Kareem Abdul-Jabbar,You can't win unless you learn how to lose.,"['sports', 'competition']",kareem-abdul-jabbar,43,2022-07-06,2022-07-08
Wp2A_oOWNEq,Muhammad Ali,"It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.",['sports'],muhammad-ali,80,2022-07-06,2022-07-08
x-0qEVIZ66n,Eric Liddell,"God made me fast. And when I run, I feel His pleasure.","['sports', 'competition']",eric-liddell,54,2022-07-06,2022-07-08
NIMf1RxZS1N,Knute Rockne,One man practicing sportsmanship is far better than a hundred teaching it.,"['sports', 'competition']",knute-rockne,74,2022-07-06,2022-07-08
gZMl2CrQvRQ,Ted Williams,Baseball is the only field of endeavor where a man can succeed three times out of ten and be considered a good performer.,"['sports', 'competition']",ted-williams,121,2022-07-06,2022-07-08
xYHasPkPjV7,Robert Griffin III,Football is football and talent is talent. But the mindset of your team makes all the difference.,"['sports', 'competition']",robert-griffin-iii,97,2022-07-06,2022-07-08
-5LundE5jXD,Erma Bombeck,"If a man watches three football games in a row, he should be declared legally dead.","['sports', 'humorous']",erma-bombeck,83,2022-07-06,2022-07-08
ch-0pti9X6U,Joe Adcock,Trying to sneak a fastball past Hank Aaron is like trying to sneak the sunrise past a rooster.,"['sports', 'competition']",joe-adcock,94,2022-07-06,2022-07-08
MsGmNTCtAXd,Mike Singletary (basketball),Do you know what my favorite part of the game is? The opportunity to play.,"['sports', 'competition']",mike-singletary-basketball,74,2022-07-06,2022-07-08
gUYV-XJG60p,Woodrow Wilson,Golf is a game in which one endeavors to control a ball with implements ill adapted for the purpose.,"['sports', 'competition']",woodrow-wilson,100,2022-07-06,2022-07-08
l1g_brfDMZy,Billie Jean King,Tennis is a perfect combination of violent action taking place in an atmosphere of total tranquillity.,"['sports', 'competition']",billie-jean-king,102,2022-07-06,2022-07-08
Yul4uqMwfA1,Arnold Palmer,"What other people may find in poetry or art museums, I find in the flight of a good drive.","['sports', 'competition']",arnold-palmer,90,2022-07-06,2022-07-08
CEURHvpb3u,J. Paul Getty,"If you owe the bank $100 that's your problem. If you owe the bank $100 million, that's the bank's problem.",['business'],j-paul-getty,106,2022-07-06,2022-07-06
Z1z6kZ2Qp8,Elon Musk,"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion.",['business'],elon-musk,124,2022-07-06,2022-07-06
l0LfTgApB3,Babe Ruth,"The way a team plays as a whole determines its success. You may have the greatest bunch of individual stars in the world, but if they don't play together, the club won't be worth a dime.","['sports', 'competition']",babe-ruth,186,2022-07-06,2022-07-08
vtzyn3LKIA,Wayne Gretzky,A good hockey player plays where the puck is. A great hockey player plays where the puck is going to be.,"['sports', 'competition']",wayne-gretzky,104,2022-07-06,2022-07-08
fwMKi2Q0Pk,Michael Phelps,"You can't put a limit on anything. The more you dream, the farther you get.","['sports', 'competition']",michael-phelps,75,2022-07-06,2022-07-08
eF07T22v0Te,P. G. Wodehouse,"To find a man's true character, play golf with him.","['sports', 'competition']",p-g-wodehouse,51,2022-07-06,2022-07-08
r7qJ-YKIq2e,Earl Monroe,"Just be patient. Let the game come to you. Don't rush. Be quick, but don't hurry.","['sports', 'competition']",earl-monroe,81,2022-07-06,2022-07-08
scBvf0Y5W3B,Ian Botham,"To me, it doesn't matter how good you are. Sport is all about playing and competing. Whatever you do in cricket and in sport, enjoy it, be positive and try to win.","['sports', 'competition']",ian-botham,163,2022-07-06,2022-07-08
