"id","name","partyShort","stateAbbreviation","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"B001236","John Boozman","R","AR","B001236","Commodities, Risk Management, and Trade Subcommittee","member","majority",1
"H001069","Heidi Heitkamp","D","ND","H001069","Commodities, Risk Management, and Trade Subcommittee","member","minority",1
"B000944","Sherrod Brown","D","OH","B000944","Commodities, Risk Management, and Trade Subcommittee","member","minority",2
"H001061","John Hoeven","R","ND","H001061","Commodities, Risk Management, and Trade Subcommittee","member","majority",3
"B001267","Michael Bennet","D","CO","B001267","Commodities, Risk Management, and Trade Subcommittee","member","minority",3
"G000386","Charles E. Grassley","R","IA","G000386","Commodities, Risk Management, and Trade Subcommittee","member","majority",4
"G000555","Kirsten E. Gillibrand","D","NY","G000555","Commodities, Risk Management, and Trade Subcommittee","member","minority",4
"T000250","John Thune","R","SD","T000250","Commodities, Risk Management, and Trade Subcommittee","member","majority",5
"D000607","Joe Donnelly","D","IN","D000607","Commodities, Risk Management, and Trade Subcommittee","member","minority",5
"S001203","Tina Smith","D","MN","S001203","Commodities, Risk Management, and Trade Subcommittee","member","minority",6
"D000618","Steve Daines","R","MT","D000618","Commodities, Risk Management, and Trade Subcommittee","member","majority",6
"V000128","Chris Van Hollen","D","MD","V000128","Commodities, Risk Management, and Trade Subcommittee","member","minority",6
"P000612","David Perdue","R","GA","P000612","Commodities, Risk Management, and Trade Subcommittee","member","majority",7
"B001267","Michael Bennet","D","CO","B001267","Conservation, Climate, Forestry, and Natural Resources","member","minority",1
"D000618","Steve Daines","R","MT","D000618","Conservation, Climate, Forestry, and Natural Resources","member","majority",1
"L000174","Patrick J. Leahy","D","VT","L000174","Conservation, Climate, Forestry, and Natural Resources","member","minority",2
"M000355","Mitch McConnell","R","KY","M000355","Conservation, Climate, Forestry, and Natural Resources","member","majority",3
"K000367","Amy Klobuchar","D","MN","K000367","Conservation, Climate, Forestry, and Natural Resources","member","minority",3
"B001236","John Boozman","R","AR","B001236","Conservation, Climate, Forestry, and Natural Resources","member","majority",4
"D000607","Joe Donnelly","D","IN","D000607","Conservation, Climate, Forestry, and Natural Resources","member","minority",4
"G000386","Charles E. Grassley","R","IA","G000386","Conservation, Climate, Forestry, and Natural Resources","member","majority",5
"C001070","Bob Casey","D","PA","C001070","Conservation, Climate, Forestry, and Natural Resources","member","minority",5
