api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000370.json,False,,,N00035451,76386,1946-05-27,12,-0.468,CongresswomanAdams,,,Alma,F,3712,/m/02b45d,412607,21545,A000370,,False,Adams,2021-03-02 02:35:22 -0500,,,2,4.17,,ocd-division/country:us/state:nc/cd:12,,D,,https://adams.house.gov/rss.xml,2,Rep.,NC,,Representative,0,48,RepAdams,https://adams.house.gov,2.17,97.83,5935,
https://api.propublica.org/congress/v1/members/A000055.json,False,,,N00003028,45516,1965-07-22,4,0.361,RobertAderholt,,,Robert,M,0104,/m/024p03,400004,29701,A000055,0.844847943,False,Aderholt,2021-03-02 02:35:23 -0500,,B.,110,9.14,2014,ocd-division/country:us/state:al/cd:4,,R,,https://aderholt.house.gov/rss.xml,18,Rep.,AL,,Representative,0,1204,Robert_Aderholt,https://aderholt.house.gov,5.5,94.4,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000361.json,False,,,,1004256,1946-12-05,5,0.331,RepRodneyAlexander,,,Rodney,M,2205,/m/025jxc,400006,90327,A000361,0.615240126,False,Alexander,2019-10-07 10:38:04 -0400,,,12,2.45,2014,ocd-division/country:us/state:la/cd:5,,R,,,12,Rep.,LA,,Representative,0,490,USRepAlexander,,6.93,92.86,,RepRodneyMAlexander
https://api.propublica.org/congress/v1/members/A000367.json,False,,,N00031938,1033767,1980-04-18,3,0.649,repjustinamash,,,Justin,M,2603,/m/0c00p_n,412438,21143,A000367,0.521346012,False,Amash,2019-10-07 10:38:04 -0400,,,0,0.0,,ocd-division/country:us/state:mi/cd:3,,R,,https://amash.house.gov/rss.xml,4,Rep.,MI,,Representative,2,1204,justinamash,https://amash.house.gov,22.6,77.31,105566,repjustinamash
https://api.propublica.org/congress/v1/members/A000369.json,False,,,N00031177,62817,1958-06-12,2,0.376,MarkAmodeiNV2,,,Mark,M,3202,/m/03bzdkn,412500,21196,A000369,0.850284197,False,Amodei,2021-03-02 02:35:23 -0500,,,98,8.14,,ocd-division/country:us/state:nv/cd:2,,R,,,4,Rep.,NV,,Representative,0,1204,MarkAmodeiNV2,https://amodei.house.gov,5.44,94.47,12537,markamodeinv2
https://api.propublica.org/congress/v1/members/A000210.json,False,,,,19670,1957-08-04,1,-0.297,,,,Robert,M,3401,,400008,29132,A000210,-0.962338518,False,Andrews,2019-10-07 10:38:04 -0400,,E.,10,1.42,2014,ocd-division/country:us/state:nj/cd:1,,D,,,26,Rep.,NJ,,Representative,1,703,RepAndrews,http://andrews.house.gov/,8.47,91.39,,
https://api.propublica.org/congress/v1/members/B001256.json,False,,,,1021492,1956-04-06,6,0.584,RepMicheleBachmann,,,Michele,F,2706,/m/06jm4y,412216,20728,B001256,0.888131092,False,Bachmann,2019-10-07 10:38:04 -0400,,,96,7.97,2014,ocd-division/country:us/state:mn/cd:6,,R,,,8,Rep.,MN,,Representative,0,1204,MicheleBachmann,http://bachmann.house.gov,5.53,94.38,,RepMicheleBachmann
https://api.propublica.org/congress/v1/members/B000013.json,False,,,,26397,1947-12-28,6,0.387,SpencerBachus,,,Spencer,M,0106,/m/024p0v,400010,29301,B000013,0.664485337,False,Bachus,2019-10-07 10:38:04 -0400,,,31,2.57,2014,ocd-division/country:us/state:al/cd:6,,R,,,22,Rep.,AL,,Representative,0,1204,BachusAL06,http://bachus.house.gov,6.59,93.33,,congressmanbachus
https://api.propublica.org/congress/v1/members/B001279.json,False,,,,31093,1945-08-25,2,-0.123,RepRonBarber,,,Ron,M,0402,/m/0k0qntf,412502,21199,B001279,-0.281236498,False,Barber,2019-10-07 10:38:04 -0400,,,33,2.74,2014,ocd-division/country:us/state:az/cd:2,,D,,,4,Rep.,AZ,,Representative,0,1204,RepRonBarber,http://barber.house.gov,23.67,76.25,,RepRonBarber
https://api.propublica.org/congress/v1/members/B001269.json,False,,,N00025495,29618,1956-01-28,11,0.277,CongressmanLouBarletta,,,Lou,M,4211,/m/03wcvjl,412469,21171,B001269,0.61629578,False,Barletta,2019-10-07 10:38:04 -0400,,,27,2.24,,ocd-division/country:us/state:pa/cd:11,,R,,,4,Rep.,PA,,Representative,0,1204,RepLouBarletta,https://barletta.house.gov,5.89,94.03,47143,reploubarletta
