"id","name","stateAbbreviation","partyShort","committeeId","committeeName","committeePosition","committeeSide","committeeRank"
"B001227","Robert A. Brady","PA","D","B001227","Committee on Administration","member","minority","1"
"M001150","Candice S. Miller","MI","R","M001150","Committee on Administration","member","majority","1"
"H001045","Gregg Harper","MS","R","H001045","Committee on Administration","member","majority","2"
"L000397","Zoe Lofgren","CA","D","L000397","Committee on Administration","member","minority","2"
"N000185","Richard Nugent","FL","R","N000185","Committee on Administration","member","majority","3"
"V000130","Juan Vargas","CA","D","V000130","Committee on Administration","member","minority","3"
"D000619","Rodney Davis","IL","R","D000619","Committee on Administration","member","majority","4"
"C001105","Barbara Comstock","VA","R","C001105","Committee on Administration","member","majority","5"
"W000819","Mark Walker","NC","R","W000819","Committee on Administration","member","majority","6"
"P000258","Collin C. Peterson","MN","D","P000258","Committee on Agriculture","member","minority","1"
"C001062","K. Michael Conaway","TX","R","C001062","Committee on Agriculture","member","majority","1"
"S001157","David Scott","GA","D","S001157","Committee on Agriculture","member","minority","2"
"G000289","Robert W. Goodlatte","VA","R","G000289","Committee on Agriculture","member","majority","2"
"C001059","Jim Costa","CA","D","C001059","Committee on Agriculture","member","minority","3"
"L000491","Frank D. Lucas","OK","R","L000491","Committee on Agriculture","member","majority","3"
"W000799","Tim Walz","MN","D","W000799","Committee on Agriculture","member","minority","4"
"K000362","Steve King","IA","R","K000362","Committee on Agriculture","member","majority","4"
"N000182","Randy Neugebauer","TX","R","N000182","Committee on Agriculture","member","majority","5"
"F000455","Marcia L. Fudge","OH","D","F000455","Committee on Agriculture","member","minority","5"
"R000575","Mike D. Rogers","AL","R","R000575","Committee on Agriculture","member","majority","6"
"M000312","Jim McGovern","MA","D","M000312","Committee on Agriculture","member","minority","6"
"D000617","Suzan K. DelBene","WA","D","D000617","Committee on Agriculture","member","minority","7"
"T000467","Glenn Thompson","PA","R","T000467","Committee on Agriculture","member","majority","7"
"V000132","Filemon Vela","TX","D","V000132","Committee on Agriculture","member","minority","8"
"G000563","Bob Gibbs","OH","R","G000563","Committee on Agriculture","member","majority","8"
"S001189","Austin Scott","GA","R","S001189","Committee on Agriculture","member","majority","9"
"L000580","Michelle Lujan Grisham","NM","D","L000580","Committee on Agriculture","member","minority","9"
"K000382","Ann McLane Kuster","NH","D","K000382","Committee on Agriculture","member","minority","10"
"C001087","Rick Crawford","AR","R","C001087","Committee on Agriculture","member","majority","10"
"N000127","Rick Nolan","MN","D","N000127","Committee on Agriculture","member","minority","11"
"D000616","Scott DesJarlais","TN","R","D000616","Committee on Agriculture","member","majority","11"
"B001286","Cheri Bustos","IL","D","B001286","Committee on Agriculture","member","minority","12"
"G000564","Chris Gibson","NY","R","G000564","Committee on Agriculture","member","majority","12"
"H001053","Vicky Hartzler","MO","R","H001053","Committee on Agriculture","member","majority","13"
"M001185","Sean Patrick Maloney","NY","D","M001185","Committee on Agriculture","member","minority","13"
"K000368","Ann Kirkpatrick","AZ","D","K000368","Committee on Agriculture","member","minority","14"
"B001271","Dan Benishek","MI","R","B001271","Committee on Agriculture","member","majority","14"
"D000612","Jeffrey Denham","CA","R","D000612","Committee on Agriculture","member","majority","15"
"A000371","Pete Aguilar","CA","D","A000371","Committee on Agriculture","member","minority","15"
"P000610","Stacey Plaskett","VI","D","P000610","Committee on Agriculture","member","minority","16"
"L000578","Doug LaMalfa","CA","R","L000578","Committee on Agriculture","member","majority","16"
"A000370","Alma Adams","NC","D","A000370","Committee on Agriculture","member","minority","17"
"D000619","Rodney Davis","IL","R","D000619","Committee on Agriculture","member","majority","17"
"G000575","Gwen Graham","FL","D","G000575","Committee on Agriculture","member","minority","18"
"Y000065","Ted Yoho","FL","R","Y000065","Committee on Agriculture","member","majority","18"
"A000373","Brad Ashford","NE","D","A000373","Committee on Agriculture","member","minority","19"
"W000813","Jackie Walorski","IN","R","W000813","Committee on Agriculture","member","majority","19"
"A000372","Rick Allen","GA","R","A000372","Committee on Agriculture","member","majority","20"
"B001295","Mike Bost","IL","R","B001295","Committee on Agriculture","member","majority","21"
"R000603","David Rouzer","NC","R","R000603","Committee on Agriculture","member","majority","22"
"A000374","Ralph Abraham","LA","R","A000374","Committee on Agriculture","member","majority","23"
"M001194","John Moolenaar","MI","R","M001194","Committee on Agriculture","member","majority","24"
"N000189","Dan Newhouse","WA","R","N000189","Committee on Agriculture","member","majority","25"
"K000388","Trent Kelly","MS","R","K000388","Committee on Agriculture","member","majority","26"
"R000395","Harold Rogers","KY","R","R000395","Committee on Appropriations","member","majority","1"
"L000480","Nita M. Lowey","NY","D","L000480","Committee on Appropriations","member","minority","1"
"R000395","Harold Rogers","KY","R","R000395","Committee on Appropriations","member","majority","1"
"F000372","Rodney Frelinghuysen","NJ","R","F000372","Committee on Appropriations","member","majority","2"
"K000009","Marcy Kaptur","OH","D","K000009","Committee on Appropriations","member","minority","2"
"A000055","Robert B. Aderholt","AL","R","A000055","Committee on Appropriations","member","majority","3"
"V000108","Peter J. Visclosky","IN","D","V000108","Committee on Appropriations","member","minority","3"
"G000377","Kay Granger","TX","R","G000377","Committee on Appropriations","member","majority","4"
"S000248","José E. Serrano","NY","D","S000248","Committee on Appropriations","member","minority","4"
"D000216","Rosa DeLauro","CT","D","D000216","Committee on Appropriations","member","minority","5"
"S001148","Mike Simpson","ID","R","S001148","Committee on Appropriations","member","majority","5"
"C001048","John Culberson","TX","R","C001048","Committee on Appropriations","member","majority","6"
"P000523","David E. Price","NC","D","P000523","Committee on Appropriations","member","minority","6"
"C001045","Ander Crenshaw","FL","R","C001045","Committee on Appropriations","member","majority","7"
"R000486","Lucille Roybal-Allard","CA","D","R000486","Committee on Appropriations","member","minority","7"
"C001051","John Carter","TX","R","C001051","Committee on Appropriations","member","majority","8"
"F000030","Sam Farr","CA","D","F000030","Committee on Appropriations","member","minority","8"
"F000043","Chaka Fattah","PA","D","F000043","Committee on Appropriations","member","minority","9"
"C000059","Ken Calvert","CA","R","C000059","Committee on Appropriations","member","majority","9"
"B000490","Sanford D. Bishop Jr.","GA","D","B000490","Committee on Appropriations","member","minority","10"
"C001053","Tom Cole","OK","R","C001053","Committee on Appropriations","member","majority","10"
"D000600","Mario Diaz-Balart","FL","R","D000600","Committee on Appropriations","member","majority","11"
"L000551","Barbara Lee","CA","D","L000551","Committee on Appropriations","member","minority","11"
"H001034","Michael M. Honda","CA","D","H001034","Committee on Appropriations","member","minority","12"
"D000604","Charlie Dent","PA","R","D000604","Committee on Appropriations","member","majority","12"
"M001143","Betty McCollum","MN","D","M001143","Committee on Appropriations","member","minority","13"
"G000560","Tom Graves","GA","R","G000560","Committee on Appropriations","member","majority","13"
"I000057","Steve Israel","NY","D","I000057","Committee on Appropriations","member","minority","14"
"Y000063","Kevin Yoder","KS","R","Y000063","Committee on Appropriations","member","majority","14"
"W000809","Steve Womack","AR","R","W000809","Committee on Appropriations","member","majority","15"
"R000577","Tim Ryan","OH","D","R000577","Committee on Appropriations","member","minority","15"
"F000449","Jeff Fortenberry","NE","R","F000449","Committee on Appropriations","member","majority","16"
"R000576","C.A. Dutch Ruppersberger","MD","D","R000576","Committee on Appropriations","member","minority","16"
"R000583","Tom Rooney","FL","R","R000583","Committee on Appropriations","member","majority","17"
"W000797","Debbie Wasserman Schultz","FL","D","W000797","Committee on Appropriations","member","minority","17"
"F000459","Chuck Fleischmann","TN","R","F000459","Committee on Appropriations","member","majority","18"
"C001063","Henry Cuellar","TX","D","C001063","Committee on Appropriations","member","minority","18"
"H001056","Jaime Herrera Beutler","WA","R","H001056","Committee on Appropriations","member","majority","19"
"P000597","Chellie Pingree","ME","D","P000597","Committee on Appropriations","member","minority","19"
"Q000023","Mike Quigley","IL","D","Q000023","Committee on Appropriations","member","minority","20"
"J000295","Dave Joyce","OH","R","J000295","Committee on Appropriations","member","majority","20"
"K000381","Derek Kilmer","WA","D","K000381","Committee on Appropriations","member","minority","21"
"V000129","David Valadao","CA","R","V000129","Committee on Appropriations","member","majority","21"
"H001052","Andy Harris","MD","R","H001052","Committee on Appropriations","member","majority","22"
"R000591","Martha Roby","AL","R","R000591","Committee on Appropriations","member","majority","23"
"A000369","Mark Amodei","NV","R","A000369","Committee on Appropriations","member","majority","24"
"S001192","Chris Stewart","UT","R","S001192","Committee on Appropriations","member","majority","25"
"R000589","Scott Rigell","VA","R","R000589","Committee on Appropriations","member","majority","26"
"J000296","David W. Jolly","FL","R","J000296","Committee on Appropriations","member","majority","27"
"Y000066","David Young","IA","R","Y000066","Committee on Appropriations","member","majority","28"
"J000297","Evan Jenkins","WV","R","J000297","Committee on Appropriations","member","majority","29"
"P000601","Steven Palazzo","MS","R","P000601","Committee on Appropriations","member","majority","30"
"T000238","William M. Thornberry","TX","R","T000238","Committee on Armed Services","member","majority","1"
"S000510","Adam Smith","WA","D","S000510","Committee on Armed Services","member","minority","1"
"J000255","Walter B. Jones","NC","R","J000255","Committee on Armed Services","member","majority","2"
"S000030","Loretta Sánchez","CA","D","S000030","Committee on Armed Services","member","minority","2"
"F000445","J. Randy Forbes","VA","R","F000445","Committee on Armed Services","member","majority","3"
"B001227","Robert A. Brady","PA","D","B001227","Committee on Armed Services","member","minority","3"
"M001144","Jeff Miller","FL","R","M001144","Committee on Armed Services","member","majority","4"
"D000598","Susan A. Davis","CA","D","D000598","Committee on Armed Services","member","minority","4"
"L000559","Jim Langevin","RI","D","L000559","Committee on Armed Services","member","minority","5"
"W000795","Joe Wilson","SC","R","W000795","Committee on Armed Services","member","majority","5"
"L000554","Frank A. LoBiondo","NJ","R","L000554","Committee on Armed Services","member","majority","6"
"L000560","Rick Larsen","WA","D","L000560","Committee on Armed Services","member","minority","6"
"C000754","Jim Cooper","TN","D","C000754","Committee on Armed Services","member","minority","7"
"B001250","Rob Bishop","UT","R","B001250","Committee on Armed Services","member","majority","7"
"B001245","Madeleine Z. Bordallo","GU","D","B001245","Committee on Armed Services","member","minority","8"
"T000463","Michael R. Turner","OH","R","T000463","Committee on Armed Services","member","majority","8"
"K000363","John Kline","MN","R","K000363","Committee on Armed Services","member","majority","9"
"C001069","Joe Courtney","CT","D","C001069","Committee on Armed Services","member","minority","9"
"R000575","Mike D. Rogers","AL","R","R000575","Committee on Armed Services","member","majority","10"
"T000465","Niki Tsongas","MA","D","T000465","Committee on Armed Services","member","minority","10"
"F000448","Trent Franks","AZ","R","F000448","Committee on Armed Services","member","majority","11"
"G000559","John Garamendi","CA","D","G000559","Committee on Armed Services","member","minority","11"
"J000288","Hank Johnson","GA","D","J000288","Committee on Armed Services","member","minority","12"
"S001154","Bill Shuster","PA","R","S001154","Committee on Armed Services","member","majority","12"
"C001062","K. Michael Conaway","TX","R","C001062","Committee on Armed Services","member","majority","13"
"S001175","Jackie Speier","CA","D","S001175","Committee on Armed Services","member","minority","13"
"L000564","Doug Lamborn","CO","R","L000564","Committee on Armed Services","member","majority","14"
"C001091","Joaquín Castro","TX","D","C001091","Committee on Armed Services","member","minority","14"
"W000804","Robert J. Wittman","VA","R","W000804","Committee on Armed Services","member","majority","15"
"D000622","Tammy Duckworth","IL","D","D000622","Committee on Armed Services","member","minority","15"
"H001048","Duncan D. Hunter","CA","R","H001048","Committee on Armed Services","member","majority","16"
"P000608","Scott Peters","CA","D","P000608","Committee on Armed Services","member","minority","16"
"V000131","Marc Veasey","TX","D","V000131","Committee on Armed Services","member","minority","17"
"F000456","John Fleming","LA","R","F000456","Committee on Armed Services","member","majority","17"
"C001077","Mike Coffman","CO","R","C001077","Committee on Armed Services","member","majority","18"
"G000571","Tulsi Gabbard","HI","D","G000571","Committee on Armed Services","member","minority","18"
"W000799","Tim Walz","MN","D","W000799","Committee on Armed Services","member","minority","19"
"G000564","Chris Gibson","NY","R","G000564","Committee on Armed Services","member","majority","19"
"H001053","Vicky Hartzler","MO","R","H001053","Committee on Armed Services","member","majority","20"
"O000170","Beto O'Rourke","TX","D","O000170","Committee on Armed Services","member","minority","20"
"N000188","Donald W. Norcross","NJ","D","N000188","Committee on Armed Services","member","minority","21"
"H001055","Joe Heck","NV","R","H001055","Committee on Armed Services","member","majority","21"
"S001189","Austin Scott","GA","R","S001189","Committee on Armed Services","member","majority","22"
"G000574","Ruben Gallego","AZ","D","G000574","Committee on Armed Services","member","minority","22"
"T000473","Mark Takai","HI","D","T000473","Committee on Armed Services","member","minority","23"
"B001274","Mo Brooks","AL","R","B001274","Committee on Armed Services","member","majority","23"
"G000575","Gwen Graham","FL","D","G000575","Committee on Armed Services","member","minority","24"
"N000185","Richard Nugent","FL","R","N000185","Committee on Armed Services","member","majority","24"
"A000373","Brad Ashford","NE","D","A000373","Committee on Armed Services","member","minority","25"
