"id","name","stateAbbreviation","partyShort","subcommitteeId","subcommitteeName","subcommitteePosition","subcommitteeSide","subcommitteeRank"
"F000455","Marcia L. Fudge","OH","D","F000455","Elections","Chair","majority","1"
"D000619","Rodney Davis","IL","R","D000619","Elections","Ranking Member","minority","1"
"B001251","G. K. Butterfield","NC","D","B001251","Elections","member","majority","2"
"A000371","Pete Aguilar","CA","D","A000371","Elections","member","majority","3"
"F000455","Marcia L. Fudge","OH","D","F000455","Elections","Chair","majority","1"
"D000619","Rodney Davis","IL","R","D000619","Elections","Ranking Member","minority","1"
"B001251","G. K. Butterfield","NC","D","B001251","Elections","member","majority","2"
"A000371","Pete Aguilar","CA","D","A000371","Elections","member","majority","3"
"F000455","Marcia L. Fudge","OH","D","F000455","Nutrition, Oversight, and Department Operations","Chair","majority","1"
"J000301","Dusty Johnson","SD","R","J000301","Nutrition, Oversight, and Department Operations","Ranking Member","minority","1"
"M000312","Jim McGovern","MA","D","M000312","Nutrition, Oversight, and Department Operations","member","majority","2"
"D000616","Scott DesJarlais","TN","R","D000616","Nutrition, Oversight, and Department Operations","member","minority","2"
"A000370","Alma Adams","NC","D","A000370","Nutrition, Oversight, and Department Operations","member","majority","3"
"D000619","Rodney Davis","IL","R","D000619","Nutrition, Oversight, and Department Operations","member","minority","3"
"H001081","Jahana Hayes","CT","D","H001081","Nutrition, Oversight, and Department Operations","member","majority","4"
"Y000065","Ted Yoho","FL","R","Y000065","Nutrition, Oversight, and Department Operations","member","minority","4"
"S001216","Kim Schrier","WA","D","S001216","Nutrition, Oversight, and Department Operations","member","majority","5"
"B001298","Don Bacon","NE","R","B001298","Nutrition, Oversight, and Department Operations","member","minority","5"
"H001088","Jim Hagedorn","MN","R","H001088","Nutrition, Oversight, and Department Operations","member","minority","6"
"L000586","Al Lawson","FL","D","L000586","Nutrition, Oversight, and Department Operations","member","majority","7"
"P000613","Jimmy Panetta","CA","D","P000613","Nutrition, Oversight, and Department Operations","member","majority","8"
"V000132","Filemon Vela","TX","D","V000132","General Farm Commodities and Risk Management","Chair","majority","1"
"T000467","Glenn Thompson","PA","R","T000467","General Farm Commodities and Risk Management","Ranking Member","minority","1"
"C001119","Angie Craig","MN","D","C001119","General Farm Commodities and Risk Management","member","majority","2"
"S001189","Austin Scott","GA","R","S001189","General Farm Commodities and Risk Management","member","minority","2"
