api_uri,at_large,contact_form,cook_pvi,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_against_party_pct,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000374.json,False,,R+15,N00036633,76236,1954-09-16,5,0.541,CongressmanRalphAbraham,,H4LA05221,Ralph,M,2205,/m/012dwd7_,412630,21522,A000374,,False,Abraham,2020-12-31 18:30:50 -0500,,,377,39.52,2020,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,R,202-225-8490,https://abraham.house.gov/rss.xml,6,Rep.,LA,,Representative,0,954,RepAbraham,https://abraham.house.gov,4.9,94.93,155414,
https://api.propublica.org/congress/v1/members/A000370.json,False,,D+18,N00035451,76386,1946-05-27,12,-0.465,CongresswomanAdams,,H4NC12100,Alma,F,3712,/m/02b45d,412607,21545,A000370,,False,Adams,2021-03-02 02:35:22 -0500,,,26,2.73,2020,ocd-division/country:us/state:nc/cd:12,2436 Rayburn House Office Building,D,202-225-1510,https://adams.house.gov/rss.xml,8,Rep.,NC,,Representative,0,954,RepAdams,https://adams.house.gov,0.65,99.24,5935,
https://api.propublica.org/congress/v1/members/A000055.json,False,,R+30,N00003028,45516,1965-07-22,4,0.369,RobertAderholt,,H6AL04098,Robert,M,0104,/m/024p03,400004,29701,A000055,,False,Aderholt,2021-03-02 02:35:23 -0500,,B.,71,7.44,2020,ocd-division/country:us/state:al/cd:4,1203 Longworth House Office Building,R,202-225-4876,https://aderholt.house.gov/rss.xml,24,Rep.,AL,,Representative,0,954,Robert_Aderholt,https://aderholt.house.gov,6.29,93.6,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000371.json,False,,D+8,N00033997,79994,1979-06-19,31,-0.291,reppeteaguilar,,H2CA31125,Pete,M,0631,/m/0jwv0xf,412615,21506,A000371,,False,Aguilar,2021-03-02 02:35:23 -0500,,,9,0.94,2020,ocd-division/country:us/state:ca/cd:31,109 Cannon House Office Building,D,202-225-3201,,6,Rep.,CA,,Representative,0,954,reppeteaguilar,https://aguilar.house.gov,2.44,97.45,70114,
https://api.propublica.org/congress/v1/members/A000372.json,False,,R+9,N00033720,62545,1951-11-07,12,0.679,CongressmanRickAllen,,H2GA12121,Rick,M,1312,/m/0127y9dk,412625,21516,A000372,,False,Allen,2021-03-02 02:35:23 -0500,,,15,1.57,2020,ocd-division/country:us/state:ga/cd:12,2400 Rayburn House Office Building,R,202-225-2823,,6,Rep.,GA,,Representative,0,954,reprickallen,https://allen.house.gov,7.63,92.26,136062,
https://api.propublica.org/congress/v1/members/A000376.json,False,,R+5,N00040989,,1983-04-15,32,,,,H8TX32098,Colin,M,4832,/m/03d066b,412828,,A000376,,False,Allred,2021-03-02 02:35:23 -0500,,,29,3.04,2020,ocd-division/country:us/state:tx/cd:32,328 Cannon House Office Building,D,202-225-2231,,2,Rep.,TX,,Representative,0,954,RepColinAllred,https://allred.house.gov,2.17,97.72,177357,
https://api.propublica.org/congress/v1/members/A000367.json,False,,,N00031938,1033767,1980-04-18,3,0.654,repjustinamash,,H0MI03126,Justin,M,2603,/m/0c00p_n,412438,21143,A000367,,False,Amash,2020-12-28 21:04:36 -0500,,,0,0.0,2020,ocd-division/country:us/state:mi/cd:3,106 Cannon House Office Building,R,202-225-3831,https://amash.house.gov/rss.xml,10,Rep.,MI,,Representative,5,430,justinamash,https://amash.house.gov,37.79,61.97,105566,repjustinamash
https://api.propublica.org/congress/v1/members/A000367.json,False,,R+6,N00031938,1033767,1980-04-18,3,,repjustinamash,,,Justin,M,2603,/m/0c00p_n,412438,21143,A000367,,False,Amash,2020-12-31 18:30:47 -0500,,,0,0.0,2020,ocd-division/country:us/state:mi/cd:3,,I,,https://amash.house.gov/rss.xml,10,Rep.,MI,,Representative,10,524,justinamash,https://amash.house.gov,41.51,58.49,105566,repjustinamash
https://api.propublica.org/congress/v1/members/A000369.json,False,,R+7,N00031177,62817,1958-06-12,2,0.384,MarkAmodeiNV2,,H2NV02395,Mark,M,3202,/m/03bzdkn,412500,21196,A000369,,False,Amodei,2021-03-02 02:35:23 -0500,,,36,3.77,2020,ocd-division/country:us/state:nv/cd:2,104 Cannon House Office Building,R,202-225-6155,,10,Rep.,NV,,Representative,0,954,MarkAmodeiNV2,https://amodei.house.gov,7.26,92.63,12537,markamodeinv2
https://api.propublica.org/congress/v1/members/A000377.json,True,,R+16,N00042868,,1976-10-08,At-Large,,,,H8ND00096,Kelly,M,3800,/g/11hcszksh3,412794,,A000377,,False,Armstrong,2021-03-02 02:35:23 -0500,,,33,3.46,2020,ocd-division/country:us/state:nd/cd:1,1004 Longworth House Office Building,R,202-225-2611,,2,Rep.,ND,,Representative,0,954,RepArmstrongND,https://armstrong.house.gov,6.58,93.31,139338,
https://api.propublica.org/congress/v1/members/A000375.json,False,,R+27,N00038285,1016482,1972-03-09,19,0.633,JodeyArrington,,H6TX19099,Jodey,M,4819,/m/0g9_f_1,412726,21700,A000375,,False,Arrington,2021-03-02 02:35:23 -0500,,,22,2.31,2020,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,,4,Rep.,TX,,Representative,0,954,RepArrington,https://arrington.house.gov,8.99,90.9,155685,
https://api.propublica.org/congress/v1/members/A000378.json,False,,R+1,N00041104,,1965-04-20,3,,,,H8IA03124,Cynthia,F,1903,/g/11fgktcgcb,412772,,A000378,,False,Axne,2021-03-02 02:35:23 -0500,,,17,1.78,2020,ocd-division/country:us/state:ia/cd:3,330 Cannon House Office Building,D,202-225-5476,,2,Rep.,IA,,Representative,0,954,RepCindyAxne,https://axne.house.gov,5.99,93.9,179226,
https://api.propublica.org/congress/v1/members/B001291.json,False,,R+26,N00005736,44883,1948-03-23,36,0.703,RepBrianBabin,,H6TX02079,Brian,M,4836,/m/010qgj35,412655,21551,B001291,,False,Babin,2021-03-02 02:35:23 -0500,,,45,4.72,2020,ocd-division/country:us/state:tx/cd:36,2236 Rayburn House Office Building,R,202-225-1555,,6,Rep.,TX,,Representative,0,954,RepBrianBabin,https://babin.house.gov,9.0,90.89,360,
https://api.propublica.org/congress/v1/members/B001298.json,False,,R+4,N00037049,103442,1963-08-16,2,0.396,RepDonBacon,,H6NE02125,Don,M,3102,/m/01311t71,412713,21701,B001298,,False,Bacon,2021-03-02 02:35:23 -0500,,,8,0.84,2020,ocd-division/country:us/state:ne/cd:2,1024 Longworth House Office Building,R,202-225-4155,,4,Rep.,NE,,Representative,0,954,repdonbacon,https://bacon.house.gov,11.42,88.47,166299,
https://api.propublica.org/congress/v1/members/B001307.json,False,,R+17,N00041954,,1945-06-04,4,,,,H8IN04199,James,M,1804,/g/11gfd5wndr,412777,,B001307,,False,Baird,2021-03-02 02:35:23 -0500,,,9,0.94,2020,ocd-division/country:us/state:in/cd:4,532 Cannon House Office Building,R,202-225-5037,,2,Rep.,IN,,Representative,0,954,RepJimBaird,https://baird.house.gov,3.74,96.15,86013,
https://api.propublica.org/congress/v1/members/B001306.json,False,,R+7,N00042194,,1962-01-16,12,,,,H8OH12180,Troy,M,3912,/m/09ry4tm,412747,,B001306,,False,Balderson,2021-03-02 02:35:24 -0500,,,2,0.21,2020,ocd-division/country:us/state:oh/cd:12,1221 Longworth House Office Building,R,202-225-5355,,4,Rep.,OH,,Representative,0,954,RepBalderson,https://balderson.house.gov,3.39,96.5,102781,
https://api.propublica.org/congress/v1/members/B001299.json,False,,R+18,N00037185,89806,1979-07-16,3,0.637,RepJimBanks,,H6IN03229,Jim,M,1803,/m/0j621nj,412702,21702,B001299,,False,Banks,2021-03-02 02:35:24 -0500,,,6,0.63,2020,ocd-division/country:us/state:in/cd:3,1713 Longworth House Office Building,R,202-225-4436,,4,Rep.,IN,,Representative,0,954,RepJimBanks,https://banks.house.gov,6.6,93.29,116801,
https://api.propublica.org/congress/v1/members/B001282.json,False,,R+9,N00031233,61848,1973-07-24,6,0.491,RepAndyBarr,,H0KY06104,Andy,M,2106,/m/0ddc6r6,412541,21333,B001282,,False,Barr,2021-03-02 02:35:24 -0500,,,22,2.31,2020,ocd-division/country:us/state:ky/cd:6,2430 Rayburn House Office Building,R,202-225-4706,,8,Rep.,KY,,Representative,0,954,RepAndyBarr,https://barr.house.gov,4.66,95.23,117290,RepAndyBarr
https://api.propublica.org/congress/v1/members/B001300.json,False,,D+35,N00037019,104730,1976-09-15,44,-0.514,CongresswomanBarragan,,H6CA44103,Nanette,F,0644,/g/11bx55ybbz,412687,21703,B001300,,False,Barragán,2021-03-02 02:35:24 -0500,,,18,1.89,2020,ocd-division/country:us/state:ca/cd:44,1030 Longworth House Office Building,D,202-225-8220,https://barragan.house.gov/feed/,4,Rep.,CA,,Representative,0,954,RepBarragan,https://barragan.house.gov,1.61,98.29,166270,
https://api.propublica.org/congress/v1/members/B001270.json,False,,D+37,N00031877,62502,1953-10-03,37,-0.585,RepKarenBass,,H0CA33117,Karen,F,0637,/m/027g9m6,412404,21110,B001270,,False,Bass,2021-03-02 02:35:24 -0500,,,52,5.45,2020,ocd-division/country:us/state:ca/cd:37,2059 Rayburn House Office Building,D,202-225-7084,https://bass.house.gov/rss.xml,10,Rep.,CA,,Representative,1,954,RepKarenBass,https://bass.house.gov,1.67,98.22,28963,RepKarenBass
https://api.propublica.org/congress/v1/members/B001281.json,False,,D+19,N00033904,67294,1950-03-12,3,-0.43,RepJoyceBeatty,,H2OH03125,Joyce,F,3903,/m/03lcwb,412565,21352,B001281,,False,Beatty,2021-03-02 02:35:24 -0500,,,44,4.61,2020,ocd-division/country:us/state:oh/cd:3,2303 Rayburn House Office Building,D,202-225-4324,https://beatty.house.gov/rss.xml,8,Rep.,OH,,Representative,0,954,RepBeatty,https://beatty.house.gov,0.66,99.23,2427,
https://api.propublica.org/congress/v1/members/B001287.json,False,,D+3,N00030717,1033636,1965-03-02,7,-0.233,RepAmiBera,,H0CA03078,Ami,M,0607,/m/0dgqnts,412512,21304,B001287,,False,Bera,2021-03-02 02:35:24 -0500,,,3,0.31,2020,ocd-division/country:us/state:ca/cd:7,1727 Longworth House Office Building,D,202-225-5716,https://bera.house.gov/rss.xml,8,Rep.,CA,,Representative,0,954,RepBera,https://bera.house.gov,1.69,98.21,120030,repamibera
https://api.propublica.org/congress/v1/members/B001301.json,False,,R+9,N00039533,1020529,1947-02-02,1,0.432,RepJackBergman,,H6MI01226,Jack,M,2601,/m/05b2l3v,412709,21704,B001301,,False,Bergman,2021-03-02 02:35:24 -0500,,,19,1.99,2020,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,R,202-225-4735,,4,Rep.,MI,,Representative,0,954,RepJackBergman,https://bergman.house.gov,6.91,92.98,170172,RepJackBergman
https://api.propublica.org/congress/v1/members/B001292.json,False,,R+6,N00036018,21141,1950-06-20,8,-0.385,RepDonBeyer,,H4VA08224,Donald,M,5108,/m/053g16,412657,21554,B001292,,False,Beyer,2021-03-02 02:35:24 -0500,,,26,2.73,2020,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,D,202-225-4376,,6,Rep.,VA,,Representative,0,954,RepDonBeyer,https://beyer.house.gov,0.86,99.03,1707,
