number,chichewa,english
33,ndi,a
422,wokhoza,able
158,za,about
307,pamwamba,above
77,mchitidwe,act
68,wonjezerani,add
917,mantha,afraid
111,pambuyo,after
91,kachiwiri,again
483,motsutsa,against
675,m’badwo,age
381,zapitazo,ago
796,amavomereza,agree
55,mpweya,air
151,onse,all
841,kulola,allow
57,komanso,also
287,nthawizonse,always
541,ndine,am
400,pakati,among
48,ndi,an
32,ndipo,and
998,mkwiyo,anger
92,nyama,animal
208,yankho,answer
101,aliyense,any
491,kuoneka,appear
927,apulosi,apple
9,ali,are
335,dera,area
547,mkono,arm
968,kukonza,arrange
850,akufika,arrive
518,zojambulajambula,art
1,monga,as
79,kufunsa,ask
13,pa,at
786,atomu,atom
701,mwana,baby
112,mmbuyo,back
624,zoipa,bad
536,mpira,ball
934,gulu,band
646,banki,bank
872,kapamwamba,bar
264,m’munsi,base
944,zoyambirira,basic
808,mleme,bat
12,kukhala,be
592,kudzachitira,bear
746,kumenya,beat
425,kukongola,beauty
504,bedi,bed
198,akhala,been
143,pamaso,before
258,anayamba,began
280,yamba,begin
445,kuseri,behind
509,ndikukhulupirira,believe
815,belu,bell
452,yabwino,best
454,bwino,better
219,pakati,between
73,yaikulu,big
314,mbalame,bird
731,pokha,bit
326,chakuda,black
951,chipika,block
627,magazi,blood
625,nkhonya,blow
359,buluu,blue
569,bolodi,board
371,ngalawa,boat
316,thupi,body
792,fupa,bone
251,buku,book
972,kubaliwa,born
290,onse,both
689,pansi,bottom
928,anagula,bought
417,bokosi,box
146,mnyamata,boy
912,nthambi,branch
869,mkate,bread
620,yopuma,break
587,yowala,bright
393,kubweretsa,bring
993,yotakata,broad
654,anaswa,broke
505,m’bale,brother
389,anabweretsa,brought
636,brown,brown
97,kumanga,build
723,kutentha,burn
368,tanganidwa,busy
21,koma,but
706,kugula,buy
18,ndi,by
192,kuitana,call
118,anabwera,came
969,msasa,camp
36,ndingathere,can
751,likulu,capital
800,woyendetsa,captain
297,galimoto,car
933,khadi,card
299,kusamalira,care
252,kunyamula,carry
655,zinalili,case
726,mphaka,cat
565,kusodza,catch
781,anamugwira,caught
140,chifukwa,cause
508,selo,cell
630,senti,cent
486,likulu,center
727,m’ma,century
405,ena,certain
753,mpando,chair
979,mwayi,chance
81,kusintha,change
779,khalidwe,character
870,azilipiritsa,charge
952,tchati,chart
383,fufuzani,check
881,mwana wankhuku,chick
829,mkulu,chief
665,mwana,child
279,ana,children
641,amasankha,choose
862,poyambira,chord
529,bwalo,circle
227,mzinda,city
999,funsani,claim
329,m’kalasi,class
619,oyera,clean
446,momveka,clear
683,kukwera,climb
831,wotchi,clock
245,pafupi,close
597,kuveka,clothe
678,mtambo,cloud
732,gombe,coast
931,odula,coat
498,ozizira,cold
647,kusonkhanitsa,collect
830,njuchi,colony
270,mtundu,color
986,danga,column
