number,maltese,english
33,a,a
422,kapaċi,able
158,dwar,about
307,hawn fuq,above
77,att,act
68,żid,add
917,jibżgħu,afraid
111,wara,after
91,darb’oħra,again
483,kontra,against
675,età,age
381,ilu,ago
796,jaqblu,agree
55,arja,air
151,kollha,all
841,jippermettu,allow
57,wkoll,also
287,dejjem,always
541,am,am
400,fost,among
48,l,an
32,u,and
998,rabja,anger
92,annimali,animal
208,tweġiba,answer
101,kwalunkwe,any
491,jidhru,appear
927,tuffieħ,apple
9,huma,are
335,żona,area
547,driegħ,arm
968,tirranġa,arrange
850,jaslu,arrive
518,arti,art
1,bħala,as
79,staqsi,ask
13,fi,at
786,atomu,atom
701,baby,baby
112,back,back
624,ħażina,bad
536,logħob,ball
934,band,band
646,bank,bank
872,bar,bar
264,bażi,base
944,bażiku,basic
808,maġina,bat
12,jkun,be
592,iġorru,bear
746,taħbit,beat
425,sbuħija,beauty
504,sodda,bed
198,kien,been
143,qabel,before
258,beda,began
280,tibda,begin
445,wara,behind
509,jemmnu,believe
815,qanpiena,bell
452,aħjar,best
454,aħjar,better
219,bejn,between
73,big,big
314,għasfur,bird
731,daqsxejn,bit
326,iswed,black
951,blokk,block
627,demm,blood
625,daqqa,blow
359,blu,blue
569,abbord,board
371,dgħajsa,boat
316,korp,body
792,għadam,bone
251,ktieb,book
972,mwieled,born
290,kemm,both
689,qiegħ,bottom
928,mixtrija,bought
417,kaxxa,box
146,tifel,boy
912,fergħa,branch
869,ħobż,bread
620,waqfa,break
587,bright,bright
393,iġibu,bring
993,wiesgħa,broad
654,kissru,broke
505,ħuh,brother
389,miġjuba,brought
636,kannella,brown
97,jibnu,build
723,burn,burn
368,okkupati,busy
21,imma,but
706,jixtru,buy
18,minn,by
192,sejħa,call
118,daħal,came
969,camp,camp
36,jista,can
751,kapital,capital
800,kaptan,captain
297,karozza,car
933,karta,card
299,kura,care
252,twettaq,carry
655,każ,case
726,qattus,cat
565,qabda,catch
781,maqbuda,caught
140,kawża,cause
508,ċellula,cell
630,ċenteżmu,cent
486,ċentru,center
727,seklu,century
405,ċerti,certain
753,president,chair
979,ċans,chance
81,bidla,change
779,karattru,character
870,ħlas,charge
952,grafika,chart
383,jiċċekkjaw,check
881,flieles,chick
829,kap,chief
665,tfal,child
279,tfal,children
641,jagħżlu,choose
862,korda,chord
529,ċirku,circle
227,belt,city
999,pretensjoni,claim
329,klassi,class
619,nadif,clean
446,ċara,clear
683,tluq,climb
831,arloġġ,clock
245,qrib,close
597,b’saqaf,clothe
678,sħaba,cloud
732,kosta,coast
931,kowt,coat
498,kiesaħ,cold
647,jiġbru,collect
830,kolonja,colony
270,kulur,color
986,kolonna,column
180,come,come
372,komuni,common
956,kumpanija,company
812,iqabblu,compare
333,kompluta,complete
940,kundizzjoni,condition
859,jgħaqqdu,connect
728,jikkunsidraw,consider
667,konsonanti,consonant
428,fihom,contain
1000,kontinent,continent
950,tkompli,continue
649,kontroll,control
719,kok,cook
684,jibred,cool
733,kopja,copy
811,qamħ,corn
773,kantuniera,corner
421,korretta,correct
634,ispiża,cost
971,qoton,cotton
178,jistgħu,could
513,għadd,count
206,pajjiż,country
354,kors,course
215,kopertura,cover
579,baqra,cow
698,titkemmex,crease
805,joħolqu,create
768,uċuħ tar-raba,crop
229,jaqsmu,cross
810,folla,crowd
409,cry,cry
847,attwali,current
267,qatgħa,cut
868,dad,dad
544,żfin,dance
754,periklu,danger
410,dlam,dark
177,jum,day
843,mejta,dead
960,jittrattaw,deal
882,għażiż,dear
903,mewt,death
361,tiddeċiedi,decide
650,informazzjoni,decimal
363,fond,deep
879,grad,degree
816,jiddependu,depend
718,jiddeskrivu,describe
845,deżert,desert
685,disinn,design
973,jiddeterminaw,determine
437,jiżviluppaw,develop
669,dizzjunarju,dictionary
181,għamlet,did
609,jmutu,die
138,differenti,differ
763,diffiċli,difficult
319,dirett,direct
921,jiddiskutu,discuss
395,bogħod,distant
532,firda,divide
855,diviżjoni,division
41,do,do
764,tabib,doctor
51,ma,does
317,klieb,dog
921,dollaru,dollar
424,isir,done
242,ma,don’t
324,bieb,door
948,double,double
196,isfel,down
238,jiġbed,draw
938,ħolma,dream
677,libsa,dress
885,xarba,drink
426,drive,drive
539,qatra,drop
377,xott,dry
876,papra,duck
456,matul,during
49,kull,each
651,widna,ear
