number,tamil,english
33,ஒரு,a
422,முடிந்தது,able
158,பற்றி,about
307,மேலே,above
77,செயல்,act
68,சேர்க்க,add
917,பயம்,afraid
111,பின்னர்,after
91,மீண்டும்,again
483,எதிரான,against
675,வயது,age
381,முன்பு,ago
796,ஒப்புக்கொள்கிறேன்,agree
55,காற்று,air
151,அனைத்து,all
841,அனுமதிக்க,allow
57,"மேலும்,",also
287,எப்போதும்,always
541,நான்,am
400,மத்தியில்,among
48,ஒரு,an
32,மற்றும்,and
998,கோபத்தை,anger
92,விலங்கு,animal
208,பதில்,answer
101,எந்த,any
491,தோன்றும்,appear
927,ஆப்பிள்,apple
9,உள்ளன,are
335,பகுதி,area
547,கை,arm
968,ஏற்பாடு,arrange
850,வரும்,arrive
518,கலை,art
1,என,as
79,கேட்க,ask
13,மணிக்கு,at
786,அணுவின்,atom
701,குழந்தை,baby
112,மீண்டும்,back
624,கெட்ட,bad
536,பந்து,ball
934,இசைக்குழு,band
646,வங்கி,bank
872,பட்டியில்,bar
264,அடிப்படை,base
944,அடிப்படை,basic
808,பேட்டிங்,bat
12,இருக்கும்,be
592,தாங்க,bear
746,அடிக்க,beat
425,அழகு,beauty
504,படுக்கையில்,bed
198,வருகிறது,been
143,முன்னால்,before
258,தொடங்கியது,began
280,தொடங்கும்,begin
445,பின்னால்,behind
509,நம்பிக்கை,believe
815,மணி,bell
452,சிறந்த,best
454,சிறந்த,better
219,இடையே,between
73,பெரிய,big
314,பறவை,bird
731,பிட்,bit
326,கருப்பு,black
951,தொகுதி,block
627,இரத்த,blood
625,அடியாக,blow
359,நீல,blue
569,குழு,board
371,படகு,boat
316,உடல்,body
792,எலும்பு,bone
251,புத்தகம்,book
972,பிறந்த,born
290,இரண்டு,both
689,கீழே,bottom
928,வாங்கி,bought
417,பெட்டியில்,box
146,சிறுவன்,boy
912,கிளை,branch
869,ரொட்டி,bread
620,இடைவெளி,break
587,பிரகாசமான,bright
393,கொண்டு வா,bring
993,பரந்த,broad
654,வெடித்தது,broke
505,சகோதரர்,brother
389,கொண்டு,brought
636,பழுப்பு,brown
97,கட்ட,build
723,எரிக்க,burn
368,பிஸியாக,busy
21,ஆனால்,but
706,வாங்க,buy
18,மூலம்,by
192,அழைப்பு,call
118,வந்தது,came
969,முகாம்,camp
36,முடியாது,can
751,தலைநகர்,capital
800,கேப்டன்,captain
297,கார்,car
933,கார்டு,card
299,பாதுகாப்பு,care
252,எடுத்து,carry
655,வழக்கு,case
726,பூனை,cat
565,ப,catch
781,பிடித்து,caught
140,காரணம்,cause
508,செல்,cell
630,சதவீதம்,cent
486,சென்டர்,center
727,நூற்றாண்டின்,century
405,நிச்சயமான,certain
753,நாற்காலியில்,chair
979,வாய்ப்பு,chance
81,மாற்றம்,change
779,பாத்திரம்,character
870,வசூலிக்க,charge
952,விளக்கப்படம்,chart
383,பார்க்க,check
881,குஞ்சு,chick
829,தலைமை,chief
665,குழந்தை,child
279,குழந்தைகள்,children
641,தேர்வு,choose
862,நாண்,chord
529,வட்டத்தின்,circle
227,நகரம்,city
999,கூற்று,claim
329,வர்க்கம்,class
619,சுத்தமான,clean
446,தெளிவான,clear
683,ஏறு மெதுவாக தொற்றி ஏறு,climb
831,கடிகார,clock
245,நெருங்கிய,close
597,உடை,clothe
678,மேகம்,cloud
732,கடற்கரையில்,coast
931,கோட்,coat
498,குளிர்,cold
647,சேகரிக்க,collect
830,காலனி,colony
270,வண்ண,color
986,பத்தியில்,column
180,வா,come
372,பொது,common
956,நிறுவனம்,company
812,ஒப்பிட்டு,compare
333,முழுமையான,complete
940,நிலை,condition
859,இணைக்க,connect
728,கருத்தில்,consider
667,மெய்,consonant
428,கொண்டிருக்கிறது,contain
1000,கண்டத்தின்,continent
950,தொடர்ந்து,continue
649,கட்டுப்பாடு,control
719,சமையற்காரர்,cook
684,குளிர்,cool
733,பிரதியை,copy
811,சோளம்,corn
773,மூலையில்,corner
421,சரியான,correct
634,செலவு,cost
971,பருத்தி,cotton
178,முடியும்,could
513,எண்ண,count
206,நாட்டின்,country
354,நிச்சயமாக,course
215,கவர்,cover
579,மாடு,cow
698,மடி,crease
805,உருவாக்க,create
768,பயிர்,crop
229,கடந்து,cross
810,கூட்டத்தில்,crowd
409,அழ,cry
847,நடப்பு,current
267,வெட்டு,cut
868,தந்தை,dad
544,நடன,dance
754,ஆபத்து,danger
410,இருண்ட,dark
177,நாள்,day
843,இறந்த,dead
960,ஒப்பந்தம்,deal
882,அன்பே,dear
903,மரணம்,death
361,முடிவு,decide
650,தசம,decimal
363,ஆழமான,deep
879,பட்டம்,degree
816,சார்ந்திருக்கிறது,depend
718,விவரிக்க,describe
845,பாலைவன,desert
685,வடிவமைப்பு,design
973,தீர்மானிக்க,determine
437,அபிவிருத்தி,develop
669,அகராதியில்,dictionary
181,செய்தது,did
609,இறக்க,die
138,வேறுபடுகின்றன,differ
763,கடினமான,difficult
319,நேரடி,direct
921,விவாதிக்க,discuss
395,தொலைதூர,distant
532,பிளவை,divide
855,பிரிவு,division
41,செய்,do
764,மருத்துவர்,doctor
51,இல்லை,does
317,நாய்,dog
921,டாலர்,dollar
424,செய்து,done
242,இல்லை,don’t
324,கதவை,door
948,இரட்டை,double
196,கீழே,down
238,வரைய,draw
938,கனவு,dream
677,ஆடை,dress
885,பானம்,drink
426,இயக்கி,drive
539,கைவிட,drop
377,உலர்,dry
876,மூழ்கு,duck
456,போது,during
