number,norwegian,english
33,en,a
422,stand,able
158,om,about
307,ovenfor,above
77,handle,act
68,legge,add
917,redd,afraid
111,etter,after
91,igjen,again
483,mot,against
675,alder,age
381,siden,ago
796,enig,agree
55,luft,air
151,alle,all
841,tillate,allow
57,også,also
287,alltid,always
541,am,am
400,blant,among
48,en,an
32,og,and
998,sinne,anger
92,dyr,animal
208,svar,answer
101,noen,any
491,vises,appear
927,eple,apple
9,er,are
335,område,area
547,arm,arm
968,arrangere,arrange
850,ankomme,arrive
518,kunst,art
1,som,as
79,spør,ask
13,på,at
786,atomet,atom
701,babyen,baby
112,tilbake,back
624,dårlig,bad
536,ballen,ball
934,bandet,band
646,bank,bank
872,bar,bar
264,basen,base
944,grunnleggende,basic
808,bat,bat
12,være,be
592,bære,bear
746,slå,beat
425,skjønnhet,beauty
504,seng,bed
198,vært,been
143,før,before
258,begynte,began
280,begynne,begin
445,bak,behind
509,tror,believe
815,bell,bell
452,beste,best
454,bedre,better
219,mellom,between
73,big,big
314,fugl,bird
731,bit,bit
326,svart,black
951,blokk,block
627,blod,blood
625,slag,blow
359,blå,blue
569,brett,board
371,båt,boat
316,kroppen,body
792,bein,bone
251,bok,book
972,født,born
290,både,both
689,bunnen,bottom
928,kjøpt,bought
417,boks,box
146,gutt,boy
912,gren,branch
869,brød,bread
620,pause,break
587,lyse,bright
393,bringe,bring
993,bred,broad
654,brøt,broke
505,bror,brother
389,brakte,brought
636,brun,brown
97,bygge,build
723,brenne,burn
368,opptatt,busy
21,men,but
706,kjøpe,buy
18,etter,by
192,samtale,call
118,kom,came
969,leir,camp
36,kan,can
751,kapital,capital
800,kaptein,captain
297,bil,car
933,kortet,card
299,omsorg,care
252,bære,carry
655,case,case
726,katt,cat
565,fangst,catch
781,fanget,caught
140,årsaken,cause
508,celle,cell
630,prosent,cent
486,senter,center
727,århundre,century
405,viss,certain
753,stol,chair
979,sjanse,chance
81,endring,change
779,karakter,character
870,belaste,charge
952,diagram,chart
383,sjekk,check
881,chick,chick
829,sjef,chief
665,barn,child
279,barn,children
641,velge,choose
862,akkord,chord
529,sirkel,circle
227,by,city
999,krav,claim
329,klasse,class
619,ren,clean
446,klar,clear
683,klatre,climb
831,klokke,clock
245,nær,close
597,ikle,clothe
678,skyen,cloud
732,kysten,coast
931,frakk,coat
498,kaldt,cold
647,samle,collect
830,koloni,colony
270,farge,color
986,kolonne,column
180,kommer,come
372,felles,common
956,selskap,company
812,sammenligne,compare
333,komplett,complete
940,tilstand,condition
859,koble,connect
728,vurdere,consider
667,konsonant,consonant
428,inneholde,contain
1000,kontinentet,continent
950,fortsette,continue
649,kontroll,control
719,kokk,cook
684,kult,cool
733,kopi,copy
811,mais,corn
773,hjørne,corner
421,riktig,correct
634,kostnader,cost
971,bomull,cotton
178,kunne,could
513,teller,count
206,landet,country
354,kurs,course
215,dekselet,cover
579,ku,cow
698,krøll,crease
805,skape,create
768,avling,crop
229,krysse,cross
810,folkemengde,crowd
409,gråte,cry
847,nåværende,current
267,kutt,cut
868,pappa,dad
544,dans,dance
754,fare,danger
410,mørk,dark
177,dag,day
843,døde,dead
960,avtale,deal
882,kjære,dear
903,død,death
361,bestemme,decide
650,desimal,decimal
363,dyp,deep
879,grad,degree
816,avhenge,depend
718,beskrive,describe
845,ørkenen,desert
685,utforming,design
973,bestemme,determine
437,utvikle,develop
669,ordbok,dictionary
181,gjorde,did
609,dø,die
138,avvike,differ
763,vanskelig,difficult
319,direkte,direct
921,diskutere,discuss
395,fjernt,distant
532,dividere,divide
855,divisjon,division
41,gjøre,do
764,lege,doctor
51,gjør,does
317,hund,dog
921,dollar,dollar
424,gjort,done
242,ikke gjør,don’t
324,dør,door
948,dobbel,double
196,ned,down
238,tegne,draw
938,drømme,dream
677,kjole,dress
885,drikke,drink
426,kjøring,drive
539,slipp,drop
377,tørk,dry
876,and,duck
456,under,during
49,hver,each
651,øret,ear
461,tidlig,early
99,jorden,earth
284,lette,ease
397,øst,east
255,spise,eat
