number,kannada,english
33,ಒಂದು,a
422,ಸಾಧ್ಯವಾಗುತ್ತದೆ,able
158,ಬಗ್ಗೆ,about
307,ಮೇಲೆ,above
77,ಆಕ್ಟ್,act
68,ಸೇರಿಸಬಹುದು,add
917,ಹೆದರುತ್ತಿದ್ದರು,afraid
111,ನಂತರ,after
91,ಮತ್ತೆ,again
483,ವಿರುದ್ಧ,against
675,ವಯಸ್ಸು,age
381,ಹಿಂದೆ,ago
796,ಒಪ್ಪುತ್ತೇನೆ,agree
55,ಗಾಳಿ,air
151,ಎಲ್ಲಾ,all
841,ಅವಕಾಶ,allow
57,ಸಹ,also
287,ಯಾವಾಗಲೂ,always
541,ನಾನು,am
400,ನಡುವೆ,among
48,ಒಂದು,an
32,ಮತ್ತು,and
998,ಕೋಪ,anger
92,ಪ್ರಾಣಿ,animal
208,ಉತ್ತರ,answer
101,ಯಾವುದೇ,any
491,ದೂರವಾಣಿ,appear
927,ಸೇಬು,apple
9,ಇವೆ,are
335,ಪ್ರದೇಶ,area
547,ಕೈ,arm
968,ವ್ಯವಸ್ಥೆ,arrange
850,ಬರುವ,arrive
518,ಕಲೆ,art
1,ಮಾಹಿತಿ,as
79,ಕೇಳಿ,ask
13,ನಲ್ಲಿ,at
786,ಪರಮಾಣು,atom
701,ಬೇಬಿ,baby
112,ಮತ್ತೆ,back
624,ಕೆಟ್ಟ,bad
536,ಚೆಂಡನ್ನು,ball
934,ಬ್ಯಾಂಡ್,band
646,ಬ್ಯಾಂಕ್,bank
872,ಬಾರ್,bar
264,ಮೂಲ,base
944,ಮೂಲ,basic
808,ಬ್ಯಾಟ್,bat
12,ಎಂದು,be
592,ಕರಡಿ,bear
746,ಬೀಟ್,beat
425,ಸೌಂದರ್ಯ,beauty
504,ಹಾಸಿಗೆ,bed
198,ಬಂದಿದೆ,been
143,ಮೊದಲು,before
258,ಆರಂಭಿಸಿದರು,began
280,ಆರಂಭಿಸಲು,begin
445,ಹಿಂದೆ,behind
509,ನಂಬಿಕೆ,believe
815,ಬೆಲ್,bell
452,ಉತ್ತಮ,best
454,ಉತ್ತಮ,better
219,ನಡುವೆ,between
73,ದೊಡ್ಡ,big
314,ಹಕ್ಕಿ,bird
731,ಸ್ವಲ್ಪ,bit
326,ಕಪ್ಪು,black
951,ಬ್ಲಾಕ್,block
627,ರಕ್ತ,blood
625,ಬ್ಲೋ,blow
359,ನೀಲಿ,blue
569,ಬೋರ್ಡ್,board
371,ದೋಣಿ,boat
316,ದೇಹದ,body
792,ಮೂಳೆ,bone
251,ಪುಸ್ತಕ,book
972,ಜನನ,born
290,ಎರಡೂ,both
689,ಕೆಳಗೆ,bottom
928,ಖರೀದಿಸಿ,bought
417,ಬಾಕ್ಸ್,box
146,ಹುಡುಗ,boy
912,ಶಾಖೆ,branch
869,ಬ್ರೆಡ್,bread
620,ಬ್ರೇಕ್,break
587,ಪ್ರಕಾಶಮಾನವಾದ,bright
393,ತರಲು,bring
993,ವಿಶಾಲ,broad
654,ಮುರಿಯಿತು,broke
505,ಸಹೋದರ,brother
389,ತಂದರು,brought
636,ಕಂದು,brown
97,ನಿರ್ಮಿಸಲು,build
723,ಬರ್ನ್,burn
368,ಬಿಡುವಿಲ್ಲದ,busy
21,ಆದರೆ,but
706,ಖರೀದಿ,buy
18,ಮೂಲಕ,by
192,ಕರೆ,call
118,ಬಂದರು,came
969,ಶಿಬಿರದಲ್ಲಿ,camp
36,ಮಾಡಬಹುದು,can
751,ಬಂಡವಾಳ,capital
800,ನಾಯಕ,captain
297,ಕಾರು,car
933,ಕಾರ್ಡ್,card
299,ಆರೈಕೆ,care
252,ಸಾಗಿಸುವ,carry
655,ಸಂದರ್ಭದಲ್ಲಿ,case
726,ಬೆಕ್ಕು,cat
565,ಕ್ಯಾಚ್,catch
781,ಕ್ಯಾಚ್,caught
140,ಕಾರಣ,cause
508,ಸೆಲ್,cell
630,ಶೇ,cent
486,ಸೆಂಟರ್,center
727,ಶತಮಾನದ,century
405,ಕೆಲವು,certain
753,ಕುರ್ಚಿ,chair
979,ಅವಕಾಶ,chance
81,ಬದಲಾವಣೆ,change
779,ರ,character
870,ಚಾರ್ಜ್,charge
952,ಚಾರ್ಟ್,chart
383,ಪರಿಶೀಲಿಸಿ,check
881,ಮರಿಯನ್ನು,chick
829,ಮುಖ್ಯ,chief
665,ಮಗು,child
279,ಮಕ್ಕಳ,children
641,ಆಯ್ಕೆ,choose
862,ಸ್ವರಮೇಳ,chord
529,ವೃತ್ತದ,circle
227,ನಗರದ,city
999,ಹಕ್ಕು,claim
329,ವರ್ಗ,class
619,ಕ್ಲೀನ್,clean
446,ಸ್ಪಷ್ಟ,clear
683,ಏರಿಕೆಗೆ,climb
831,ಗಡಿಯಾರ,clock
245,ಹತ್ತಿರ,close
597,ಬಟ್ಟೆಗೆ,clothe
678,ಮೋಡದ,cloud
732,ಕರಾವಳಿ,coast
931,ಕೋಟ್,coat
498,ಶೀತ,cold
647,ಸಂಗ್ರಹಿಸಲು,collect
830,ವಸಾಹತು,colony
270,ಬಣ್ಣ,color
986,ಕಾಲಮ್,column
180,ಬಂದು,come
372,ಸಾಮಾನ್ಯ,common
956,ಕಂಪನಿ,company
812,ಹೋಲಿಸಿ,compare
333,ಸಂಪೂರ್ಣ,complete
940,ಸ್ಥಿತಿ,condition
859,ಸಂಪರ್ಕ,connect
728,ಪರಿಗಣಿಸಲು,consider
667,ವ್ಯಂಜನ,consonant
428,ಹೊಂದಿರಬೇಕು,contain
1000,ಖಂಡದ,continent
950,ಮುಂದುವರೆಯಲು,continue
649,ನಿಯಂತ್ರಣ,control
719,ಅಡುಗೆ,cook
684,ತಂಪಾಗಿದೆ,cool
733,ಪ್ರತಿಯನ್ನು,copy
811,ಕಾರ್ನ್,corn
773,ಮೂಲೆಯಲ್ಲಿ,corner
421,ಸರಿಯಾದ,correct
634,ವೆಚ್ಚ,cost
971,ಹತ್ತಿ,cotton
178,ಸಾಧ್ಯವೋ,could
513,ಎಣಿಕೆ,count
206,ದೇಶದ,country
354,ಕೋರ್ಸ್,course
215,ಕವರ್,cover
579,ಹಸುವಿನ,cow
698,ಕ್ರೀಸ್,crease
805,ರಚಿಸಲು,create
768,ಬೆಳೆ,crop
229,ದಾಟಲು,cross
810,ಗುಂಪು,crowd
409,ಕೂಗು,cry
847,ಪ್ರಸ್ತುತ,current
267,ಕಟ್,cut
868,ತಂದೆ,dad
544,ನೃತ್ಯ,dance
754,ಅಪಾಯ,danger
410,ಡಾರ್ಕ್,dark
177,ದಿನ,day
843,ಸತ್ತ,dead
960,ಒಪ್ಪಂದ,deal
882,ಪ್ರಿಯ,dear
903,ಸಾವು,death
361,ನಿರ್ಧರಿಸಲು,decide
650,ದಶಮಾಂಶ,decimal
363,ಆಳವಾದ,deep
879,ಪದವಿ,degree
816,ಅವಲಂಬಿಸಿರುತ್ತದೆ,depend
718,ವಿವರಿಸಲು,describe
845,ಮರುಭೂಮಿಯ,desert
685,ವಿನ್ಯಾಸ,design
973,ನಿರ್ಧರಿಸಲು,determine
437,ಅಭಿವೃದ್ಧಿ,develop
669,ನಿಘಂಟು,dictionary
181,ಮಾಡಿದರು,did
609,ಸಾಯುವ,die
138,ಭಿನ್ನವಾಗಿರುತ್ತವೆ,differ
763,ಕಷ್ಟ,difficult
319,ನೇರ,direct
921,ಚರ್ಚೆ,discuss
395,ದೂರದ,distant
532,ವಿಭಜನೆಯನ್ನು,divide
855,ವಿಭಾಗ,division
41,ಹಾಗೆ,do
764,ವೈದ್ಯರು,doctor
51,ಮಾಡುತ್ತದೆ,does
317,ನಾಯಿ,dog
921,ಡಾಲರ್,dollar
424,ಮಾಡಲಾಗುತ್ತದೆ,done
242,ಹಾಗೆ,don’t
324,ಬಾಗಿಲು,door
948,ಡಬಲ್,double
196,ಕೆಳಗೆ,down
238,ಡ್ರಾ,draw
938,ಕನಸು,dream
677,ಉಡುಗೆ,dress
885,ಪಾನೀಯ,drink
426,ಡ್ರೈವ್,drive
539,ಬಿಡಿ,drop
377,ಒಣ,dry
876,ಡಕ್,duck
456,ಸಮಯದಲ್ಲಿ,during
49,ಪ್ರತಿ,each
651,ಕಿವಿ,ear
461,ಆರಂಭಿಕ,early
99,ಭೂಮಿಯ,earth
284,ಸರಾಗಗೊಳಿಸುವ,ease
397,ಪೂರ್ವ,east
255,ತಿನ್ನಲು,eat
581,ಅಂಚಿನ,edge
789,ಪರಿಣಾಮ,effect
506,ಮೊಟ್ಟೆ,egg
702,ಎಂಟು,eight
721,ಎರಡೂ,either
790,ವಿದ್ಯುತ್,electric
770,ಅಂಶ,element
652,ಬೇರೆ,else
60,ಕೊನೆಯಲ್ಲಿ,end
883,ಶತ್ರು,enemy
501,ಶಕ್ತಿ,energy
545,ಎಂಜಿನ್,engine
301,ಸಾಕಷ್ಟು,enough
834,ನಮೂದಿಸಿ,enter
639,ಸಮಾನ,equal
386,ಪೂರಕವಾಗಿಲ್ಲ,equate
915,ವಿಶೇಷವಾಗಿ,especially
69,ಸಹ,even
939,ಸಂಜೆ,evening
958,ಈವೆಂಟ್,event
308,ಇದುವರೆಗೆ,ever
120,ಪ್ರತಿ,every
607,ನಿಖರ,exact
283,ಉದಾಹರಣೆಗೆ,example
613,ಹೊರತುಪಡಿಸಿ,except
747,ಪ್ರಚೋದಿಸಲು,excite
563,ವ್ಯಾಯಾಮ,exercise
791,ನಿರೀಕ್ಷೆ,expect
925,ಅನುಭವ,experience
688,ಪ್ರಯೋಗ,experiment
222,ಕಣ್ಣಿನ,eye
271,ಮುಖ,face
449,ವಾಸ್ತವವಾಗಿ,fact
645,ನ್ಯಾಯೋಚಿತ,fair
407,ಬೀಳುತ್ತವೆ,fall
318,ಕುಟುಂಬ,family
820,ಪ್ರಸಿದ್ಧ,famous
236,ದೂರದ,far
230,ಕೃಷಿ,farm
467,ವೇಗವಾಗಿ,fast
863,ಕೊಬ್ಬು,fat
100,ತಂದೆ,father
858,ಒಲವು,favor
823,ಭಯ,fear
941,ಫೀಡ್,feed
312,ಅಭಿಪ್ರಾಯ,feel
298,ಅಡಿ,feet
642,ಕುಸಿಯಿತು,fell
534,ಅಭಿಪ್ರಾಯ,felt
249,ಕೆಲವು,few
419,ಕ್ಷೇತ್ರ,field
916,ಅಂಜೂರದ,fig
744,ಹೋರಾಟ,fight
415,ವ್ಯಕ್ತಿ,figure
396,ತುಂಬಲು,fill
432,ಅಂತಿಮ,final
200,ಹೇಗೆ,find
404,ದಂಡ,fine
741,ಬೆರಳು,finger
593,ಅಂತಿಮ,finish
339,ಬೆಂಕಿ,fire
193,ಮೊದಲ,first
260,ಮೀನು,fish
643,ಸರಿಹೊಂದದ,fit
458,ಐದು,five
694,ಫ್ಲಾಟ್,flat
720,ನೆಲದ,floor
644,ಹರಿಯುವಂತೆ,flow
596,ಹೂವಿನ,flower
406,ಹಾರುವ,fly
76,ಅನುಸರಿಸಿ,follow
216,ಆಹಾರ,food
366,ಕಾಲು,foot
7,ಫಾರ್,for
358,ಶಕ್ತಿ,force
552,ಅರಣ್ಯ,forest
130,ರೂಪ,form
922,ಮುಂದೆ,forward
207,ಕಂಡುಬಂದಿಲ್ಲ,found
218,ನಾಲ್ಕು,four
551,ಕ,fraction
440,ಉಚಿತ,free
836,ತಾಜಾ,fresh
257,ಸ್ನೇಹಿತ,friend
17,ರಿಂದ,from
429,ಮುಂದೆ,front
755,ಹಣ್ಣು,fruit
357,ಪೂರ್ಣ,full
586,ಮೋಜಿನ,fun
384,ಆಟದ,game
638,ತೋಟದ,garden
588,ಅನಿಲ,gas
980,ಸಂಗ್ರಹಿಸಲು,gather
433,ನೀಡಿದರು,gave
526,ಸಾಮಾನ್ಯ,general
798,ಶಾಂತ,gentle
106,ಪಡೆಯಲು,get
303,ಹುಡುಗಿ,girl
123,ನೀಡಿ,give
864,ಸಂತೋಷವನ್ನು,glad
577,ಗಾಜಿನ,glass
179,ಹೋಗಿ,go
373,ಚಿನ್ನದ,gold
599,ಹೋದ,gone
121,ಉತ್ತಮ,good
281,ಸಿಕ್ಕಿತು,got
496,ಆಡಳಿತ,govern
535,ಮಹೋನ್ನತ,grand
578,ಹುಲ್ಲು,grass
990,ಬೂದು,gray
132,ಮಹಾನ್,great
434,ಹಸುರು,green
629,ಬೆಳೆಯಿತು,grew
464,ನೆಲದ,ground
286,ಗುಂಪು,group
210,ಬೆಳೆಯಲು,grow
801,ಊಹೆ,guess
924,ಮಾರ್ಗದರ್ಶನ,guide
840,ಗನ್,gun
28,ಹೊಂದಿತ್ತು,had
717,ಕೂದಲು,hair
336,ಅರ್ಧ,half
64,ಕೈ,hand
332,ಸಂಭವಿಸಿ,happen
594,ಸಂತೋಷ,happy
231,ಹಾರ್ಡ್,hard
174,ಹೊಂದಿದೆ,has
953,ಹ್ಯಾಟ್,hat
15,ಹೊಂದಿವೆ,have
5,ಅವರು,he
201,ತಲೆ,head
265,ಕೇಳಲು,hear
451,ಕೇಳಿದ,heard
540,ಹೃದಯ,heart
390,ಶಾಖ,heat
543,ಭಾರೀ,heavy
716,ನಡೆದ,held
135,ಸಹಾಯ,help
167,ತನ್ನ,her
71,ಇಲ್ಲಿ,here
74,ಹೆಚ್ಚಿನ,high
724,ಬೆಟ್ಟದ,hill
172,ಅವರಿಗೆ,him
3,ಅವರ,his
788,ಇತಿಹಾಸ,history
771,ಹಿಟ್,hit
462,ಹಿಡಿದುಕೊಳ್ಳಿ,hold
699,ರಂಧ್ರ,hole
62,ಮನೆ,home
595,ಭಾವಿಸುತ್ತೇವೆ,hope
266,ಕುದುರೆ,horse
19,ಬಿಸಿ,hot
387,ಬಿಸಿ,hot
453,ಗಂಟೆ,hour
87,ಮನೆ,house
46,ಹೇಗೆ,how
918,ಬೃಹತ್,huge
787,ಮಾನವ,human
457,ನೂರು,hundred
502,ಬೇಟೆ,hunt
828,ಯದ್ವಾತದ್ವಾ,hurry
2,ನಾನು,i
527,ಐಸ್,ice
259,ಕಲ್ಪನೆ,idea
44,ವೇಳೆ,if
794,ಕಲ್ಪನೆ,imagine
34,ರಲ್ಲಿ,in
351,ಇಂಚು,inch
531,ಸೇರಿವೆ,include
783,ಸೂಚಿಸುತ್ತದೆ,indicate
742,ಉದ್ಯಮ,industry
780,ಕೀಟ,insect
877,ತ್ವರಿತ,instant
575,ವಾದ್ಯ,instrument
465,ಆಸಕ್ತಿ,interest
970,ಆವಿಷ್ಕಾರ,invent
691,ಕಬ್ಬಿಣದ,iron
24,ಆಗಿದೆ,is
365,ದ್ವೀಪದ,island
25,ಇದು,it
580,ಕೆಲಸ,job
617,ಸೇರಲು,join
570,ಸಂತೋಷ,joy
700,ಜಿಗಿತವನ್ನು,jump
129,ಕೇವಲ,just
221,ಇರಿಸಿಕೊಳ್ಳಲು,keep
576,ಇದ್ದರು,kept
690,ಪ್ರಮುಖ,key
657,ಕೊಲ್ಲಲು,kill
84,ರೀತಿಯ,kind
349,ರಾಜ,king
344,ತಿಳಿದಿತ್ತು,knew
189,ಗೊತ್ತು,know
621,ಮಹಿಳೆ,lady
659,ಸರೋವರದ,lake
70,ಭೂಮಿ,land
399,ಭಾಷೆ,language
66,ದೊಡ್ಡ,large
224,ಕಳೆದ,last
240,ಕೊನೆಯ,late
379,ನಗು,laugh
730,ಕಾನೂನು,law
482,ಲೇ,lay
408,ದಾರಿ,lead
213,ತಿಳಿಯಲು,learn
610,ಕನಿಷ್ಠ,least
321,ಬಿಟ್ಟು,leave
929,ಕಾರಣವಾಯಿತು,led
239,ಬಿಟ್ಟು,left
562,ಲೆಗ್,leg
516,ಉದ್ದ,length
474,ಕಡಿಮೆ,less
225,ಅವಕಾಶ,let
293,ಪತ್ರ,letter
978,ಮಟ್ಟದ,level
745,ಸುಳ್ಳು,lie
248,ಜೀವನ,life
848,ಲಿಫ್ಟ್,lift
83,ಬೆಳಕಿನ,light
164,ಹಾಗೆ,like
137,ಸಾಲು,line
894,ದ್ರವ,liquid
310,ಪಟ್ಟಿ,list
470,ಕೇಳಲು,listen
113,ಕಡಿಮೆ,little
109,ಲೈವ್,live
777,ಪತ್ತೆ,locate
895,ಲಾಗ್,log
561,ಒಂಟಿ,lone
168,ಉದ್ದ,long
175,ನೋಡಲು,look
635,ಕಳೆದು,lost
687,ಬಹಳಷ್ಟು,lot
662,ಜೋರಾಗಿ,loud
487,ಪ್ರೀತಿ,love
136,ಕಡಿಮೆ,low
411,ಯಂತ್ರ,machine
108,ಮಾಡಿದ,made
909,ಮ್ಯಾಗ್ನೆಟ್,magnet
273,ಮುಖ್ಯ,main
835,ಪ್ರಮುಖ,major
169,ಮಾಡಲು,make
116,ವ್ಯಕ್ತಿ,man
159,ಅನೇಕ,many
493,ನಕ್ಷೆ,map
291,ಮಾರ್ಕ್,mark
878,ಮಾರುಕಟ್ಟೆ,market
932,ಸಮೂಹ,mass
851,ಮಾಸ್ಟರ್,master
913,ಪಂದ್ಯದ,match
550,ವಸ್ತು,material
528,ಮ್ಯಾಟರ್,matter
195,ಮೇ,may
122,ನನಗೆ,me
142,ಅರ್ಥ,mean
896,ಅರ್ಥ,meant
323,ಅಳೆಯಲು,measure
817,ಮಾಂಸ,meat
704,ಭೇಟಿ,meet
601,ಮಧುರ,melody
80,ಪುರುಷರು,men
709,ಲೋಹದ,metal
672,ವಿಧಾನ,method
656,ಮಧ್ಯಮ,middle
233,ಅಧಿಕಬಲ,might
295,ಮೈಲಿ,mile
670,ಹಾಲು,milk
591,ಮಿಲಿಯನ್,million
444,ಮನಸ್ಸು,mind
832,ಗಣಿ,mine
441,ನಿಮಿಷದ,minute
388,ಮಿಸ್,miss
631,ಮಿಶ್ರಣ,mix
769,ಆಧುನಿಕ,modern
987,ಅಣು,molecule
660,ಕ್ಷಣ,moment
489,ಹಣ,money
590,ತಿಂಗಳು,month
364,ಚಂದ್ರ,moon
176,ಹೆಚ್ಚು,more
475,ಬೆಳಿಗ್ಗೆ,morning
185,ಅತ್ಯಂತ,most
94,ತಾಯಿ,mother
892,ಚಲನೆಯ,motion
566,ಆರೋಹಣ,mount
261,ಪರ್ವತ,mountain
606,ಬಾಯಿ,mouth
144,ನಡೆಸುವಿಕೆಯನ್ನು,move
141,ಹೆಚ್ಚು,much
352,ಗುಣಿಸಿ,multiply
288,ಸಂಗೀತ,music
72,ಮಾಡಬೇಕಾಗುತ್ತದೆ,must
187,ನನ್ನ,my
126,ಹೆಸರು,name
668,ರಾಷ್ಟ್ರದ,nation
748,ನೈಸರ್ಗಿಕ,natural
889,ಪ್ರಕೃತಿ,nature
96,ಬಳಿ,near
802,ಅಗತ್ಯ,necessary
900,ಕುತ್ತಿಗೆ,neck
86,ಅಗತ್ಯವಿದೆ,need
806,ನೆರೆಯ,neighbor
223,ಎಂದಿಗೂ,never
102,ಹೊಸ,new
277,ಮುಂದಿನ,next
246,ರಾತ್ರಿ,night
975,ಒಂಬತ್ತು,nine
184,ಯಾವುದೇ,no
977,ಶಬ್ದ,noise
767,ಮಧ್ಯಾಹ್ನ,noon
947,ಅಥವಾ,nor
250,ಉತ್ತರ,north
996,ಮೂಗು,nose
412,ಟಿಪ್ಪಣಿ,note
353,ಏನೂ,nothing
499,ಸೂಚನೆ,notice
418,ನಾಮಪದ,noun
199,ಈಗ,now
182,ಸಂಖ್ಯೆ,number
328,ಸಂಖ್ಯಾವಾಚಕ,numeral
360,ವಸ್ತು,object
664,ಗಮನಿಸಿ,observe
886,ಸಂಭವಿಸುತ್ತದೆ,occur
438,ಸಾಗರ,ocean
30,ನ,of
85,ಆಫ್,off
873,ಪ್ರಸ್ತಾಪವನ್ನು,offer
603,ಕಚೇರಿ,office
292,ಸಾಮಾನ್ಯವಾಗಿ,often
435,ಓಹ್,oh
626,ತೈಲ,oil
147,ಹಳೆಯ,old
8,ಮೇಲೆ,on
263,ಒಮ್ಮೆ,once
14,ಒಂದು,one
114,ಮಾತ್ರ,only
274,ತೆರೆದ,open
760,ಕೆಲಸ,operate
963,ವಿರುದ್ಧ,opposite
27,ಅಥವಾ,or
338,ಆದೇಶ,order
673,ಅಂಗ,organ
865,ಮೂಲ,original
38,ಇತರ,other
124,ನಮ್ಮ,our
37,ಔಟ್,out
188,ಮೇಲೆ,over
203,ಶಾಲೆ,own
901,ಆಮ್ಲಜನಕ,oxygen
204,ಪುಟ,page
398,ಬಣ್ಣ,paint
530,ಜೋಡಿ,pair
285,ಕಾಗದದ,paper
713,ಪ್ಯಾರಾಗ್ರಾಫ್,paragraph
853,ಮೂಲ,parent
104,ಭಾಗ,part
959,ನಿರ್ದಿಷ್ಟ,particular
774,ಪಕ್ಷದ,party
345,ಪಾಸ್,pass
584,ಕಳೆದ,past
893,ಮಾರ್ಗ,path
484,ಮಾದರಿ,pattern
674,ಪಾವತಿ,pay
186,ಜನರು,people
510,ಬಹುಶಃ,perhaps
782,ಅವಧಿ,period
488,ವ್ಯಕ್ತಿ,person
734,ನುಡಿಗಟ್ಟು,phrase
511,ಆಯ್ಕೆ,pick
88,ಚಿತ್ರ,picture
342,ತುಣುಕು,piece
930,ಪಿಚ್,pitch
107,ಸ್ಥಾನ,place
302,ಸರಳ,plain
414,ಯೋಜನೆ,plan
375,ವಿಮಾನ,plane
827,ಗ್ರಹದ,planet
214,ಸಸ್ಯ,plant
58,ಆಡಲು,play
765,ದಯವಿಟ್ಟು,please
997,ಬಹುವಚನ,plural
813,ಕವಿತೆಯ,poem
93,ಪಾಯಿಂಟ್,point
686,ಕಳಪೆ,poor
880,ಜನಪ್ರಿಯಗೊಳಿಸುವುದಕ್ಕೆ,populate
65,ಬಂದರು,port
320,ಭಂಗಿ,pose
546,ಸ್ಥಾನ,position
374,ಸಾಧ್ಯ,possible
860,ಪೋಸ್ಟ್,post
423,ಪೌಂಡ್,pound
402,ವಿದ್ಯುತ್,power
761,ಅಭ್ಯಾಸ,practice
994,ತಯಾರು,prepare
542,ಪ್ರಸ್ತುತ,present
244,ಪತ್ರಿಕಾ,press
904,ಬಹಳ,pretty
842,ಮುದ್ರಣ,print
503,ಬಹುಶಃ,probable
341,ಸಮಸ್ಯೆ,problem
759,ಪ್ರಕ್ರಿಯೆ,process
448,ಉತ್ಪತ್ತಿ,produce
325,ಉತ್ಪನ್ನ,product
871,ಸರಿಯಾದ,proper
985,ಆಸ್ತಿ,property
766,ರಕ್ಷಿಸಲು,protect
560,ಸಾಬೀತು,prove
795,ಒದಗಿಸಲು,provide
497,ಪುಲ್,pull
711,ಪುಶ್,push
61,ಪುಟ್,put
974,ಕಾಲುಭಾಗ,quart
331,ಪ್ರಶ್ನೆ,question
436,ತ್ವರಿತ,quick
680,ಸ್ತಬ್ಧ,quiet
653,ಸಾಕಷ್ಟು,quite
897,ಭಾಗಲಬ್ಧ,quotient
554,ಓಟದ,race
784,ರೇಡಿಯೋ,radio
793,ರೈಲು,rail
494,ಮಳೆ,rain
707,ಹೆಚ್ಚಿಸಲು,raise
382,ಓಡಿ,ran
890,ಶ್ರೇಣಿಯ,range
809,ಬದಲಿಗೆ,rather
466,ತಲುಪಲು,reach
63,ಓದಲು,read
306,ಸಿದ್ಧ,ready
247,ನಿಜವಾದ,real
515,ಕಾರಣ,reason
604,ಸ್ವೀಕರಿಸಲು,receive
370,ದಾಖಲೆ,record
309,ಕೆಂಪು,red
520,ಪ್ರದೇಶದಲ್ಲಿ,region
459,ನೆನಪಿಡಿ,remember
991,ಮತ್ತೆ,repeat
884,ಪ್ರತ್ಯುತ್ತರ,reply
517,ಪ್ರತಿನಿಧಿಸುತ್ತವೆ,represent
992,ಅಗತ್ಯವಿರುತ್ತದೆ,require
420,ಉಳಿದ,rest
722,ಪರಿಣಾಮವಾಗಿ,result
756,ಶ್ರೀಮಂತ,rich
507,ಸವಾರಿ,ride
145,ಬಲ,right
778,ರಿಂಗ್,ring
623,ಏರಿಕೆ,rise
296,ನದಿ,river
492,ರಸ್ತೆ,road
337,ರಾಕ್,rock
739,ರೋಲ್,roll
256,ಕೊಠಡಿ,room
705,ಮೂಲ,root
935,ಹಗ್ಗ,rope
840,ಗುಲಾಬಿ,rose
115,ಸುತ್ತಿನಲ್ಲಿ,round
605,ಸಾಲು,row
818,ರಬ್,rub
495,ನಿಯಮ,rule
241,ರನ್,run
725,ಸುರಕ್ಷಿತ,safe
47,ಹೇಳಿದರು,said
549,ಪಟ,sail
995,ಉಪ್ಪು,salt
149,ಅದೇ,same
737,ಮರಳು,sand
572,ಶನಿ,sat
648,ಉಳಿಸಲು,save
235,ಗರಗಸದ,saw
134,ಹೇಳಲು,say
661,ಪ್ರಮಾಣದ,scale
209,ಶಾಲೆಯ,school
254,ವಿಜ್ಞಾನ,science
926,ಸ್ಕೋರ್,score
237,ಸಮುದ್ರ,sea
837,ಹುಡುಕಾಟ,search
907,ಋತುವಿನ,season
949,ಸ್ಥಾನವನ್ನು,seat
300,ಎರಡನೇ,second
676,ವಿಭಾಗ,section
171,ನೋಡಿ,see
615,ಬೀಜ,seed
275,ತೋರುತ್ತದೆ,seem
874,ಭಾಗ,segment
988,ಆಯ್ಕೆ,select
98,ಸ್ವಯಂ,self
954,ಮಾರಾಟ,sell
838,ಕಳುಹಿಸಿ,send
750,ಅರ್ಥದಲ್ಲಿ,sense
640,ಕಳುಹಿಸಿದ,sent
131,ವಾಕ್ಯ,sentence
762,ಪ್ರತ್ಯೇಕ,separate
490,ಸೇವೆ,serve
52,ಸೆಟ್,set
523,ಇತ್ಯರ್ಥ,settle
712,ಏಳು,seven
478,ಹಲವಾರು,several
715,ಶಲ್,shall
385,ಆಕಾರ,shape
866,ಪಾಲು,share
803,ಚೂಪಾದ,sharp
150,ಅವರು,she
856,ಹಾಳೆ,sheet
899,ಚಿಪ್ಪು,shell
984,ಶೈನ್,shine
334,ಹಡಗು,ship
965,ಶೂ,shoe
981,ಅಂಗಡಿ,shop
854,ತೀರದ,shore
327,ಸಣ್ಣ,short
205,ಮಾಡಬೇಕಾದುದು,should
966,ಭುಜದ,shoulder
612,ಕೂಗು,shout
