number,slovak,english
33,cesta,a
422,schopný,able
158,o,about
307,vyššie,above
77,akt,act
68,pridať,add
917,strach,afraid
111,po,after
91,znova,again
483,proti,against
675,vek,age
381,pred,ago
796,súhlasiť,agree
55,vzduch,air
151,všetky,all
841,umožňujú,allow
57,tiež,also
287,vždy,always
541,am,am
400,medzi,among
48,píla,an
32,a,and
998,hnev,anger
92,zviera,animal
208,odpoveď,answer
101,akýkoľvek,any
491,sa objaví,appear
927,jablko,apple
9,sú,are
335,oblasť,area
547,paže,arm
968,zariadiť,arrange
850,príjazd,arrive
518,umenie,art
1,as,as
79,opýtať sa,ask
13,na,at
786,atóm,atom
701,dieťa,baby
112,späť,back
624,zlý,bad
536,guľa,ball
934,kapela,band
646,banka,bank
872,bar,bar
264,základné,base
944,základné,basic
808,bat,bat
12,byť,be
592,nesú,bear
746,poraziť,beat
425,krása,beauty
504,posteľ,bed
198,bol,been
143,pred,before
258,začal,began
280,začať,begin
445,za,behind
509,veriť,believe
815,zvonček,bell
452,najlepšie,best
454,lepšia,better
219,medzi,between
73,veľký,big
314,vták,bird
731,bit,bit
326,čierna,black
951,blok,block
627,krv,blood
625,rana,blow
359,modrá,blue
569,doska,board
371,loď,boat
316,telo,body
792,kosť,bone
251,kniha,book
972,narodený,born
290,ako,both
689,spodný,bottom
928,kúpil,bought
417,eciálny,box
146,chlapec,boy
912,pobočka,branch
869,chlieb,bread
620,prestávka,break
587,svetlý,bright
393,priniesť,bring
993,široký,broad
654,zlomil,broke
505,brat,brother
389,priniesol,brought
636,hnedá,brown
97,stavať,build
723,horieť,burn
368,zaneprázdnený,busy
21,ale,but
706,kúpiť,buy
18,od,by
192,volanie,call
118,prišiel,came
969,tábor,camp
36,moci,can
751,kapitál,capital
800,kapitán,captain
297,auto,car
933,karta,card
299,starostlivosť,care
252,niesť,carry
655,puzdro,case
726,mačka,cat
565,úlovok,catch
781,chytil,caught
140,príčina,cause
508,bunka,cell
630,centov,cent
486,centrum,center
727,storočia,century
405,isté,certain
753,stoličky,chair
979,šanca,chance
81,zmena,change
779,charakter,character
870,nabíjania,charge
952,graf,chart
383,skontrolovať,check
881,chick,chick
829,šéf,chief
665,dieťa,child
279,deti,children
641,vybrať,choose
862,akord,chord
529,kruh,circle
227,město,city
999,reklamácie,claim
329,trieda,class
619,čistý,clean
446,jasný,clear
683,stúpanie,climb
831,hodiny,clock
245,zavrieť,close
597,obliekli,clothe
678,oblak,cloud
732,pobrežie,coast
931,kabát,coat
498,za studena,cold
647,zbierať,collect
830,kolónie,colony
270,farba,color
986,stĺpec,column
180,prísť,come
372,spoločný,common
956,spoločnosť,company
812,porovnať,compare
333,kompletné,complete
940,stav,condition
859,pripojiť,connect
728,zvážiť,consider
667,spoluhláska,consonant
428,obsahovať,contain
1000,kontinent,continent
950,pokračovať,continue
649,ovládanie,control
719,kuchár,cook
684,v pohode,cool
733,kópie,copy
811,kukurica,corn
773,rohu,corner
421,správne,correct
634,náklady,cost
971,bavlna,cotton
178,mohol,could
513,počítať,count
206,krajiny,country
354,kurz,course
215,kryt,cover
579,krava,cow
698,pokrčeniu,crease
805,vytvoriť,create
768,plodín,crop
229,kríž,cross
810,dav,crowd
409,krik,cry
847,prúd,current
267,rez,cut
868,otec,dad
544,tanec,dance
754,nebezpečenstvo,danger
410,tmavá,dark
177,deň,day
843,mŕtvy,dead
960,dohoda,deal
882,drahá,dear
903,smrť,death
