number,myanmar_(burmese),english
33,တစ်ဦး,a
422,နိုင်,able
158,အကွောငျး,about
307,အထက်,above
77,လုပ်ရပ်,act
68,ပေါင်း,add
917,ကြောက်လန့်,afraid
111,ပြီးနောက်,after
91,နောက်တဖန်အ,again
483,ဆန့်ကျင်,against
675,အသက်အရွယ်,age
381,လွန်ခဲ့တဲ့,ago
796,သဘောတူ,agree
55,လေ,air
151,အားလုံး,all
841,ခွင့်ပြု,allow
57,လည်း,also
287,အမြဲ,always
541,နံနက်,am
400,အနက်,among
48,တစ်ခု,an
32,နှင့်,and
998,အမျက်ဒေါသ,anger
92,တိရစ္ဆာန်အ,animal
208,အဖြေ,answer
101,မည်သည့်,any
491,ပေါ်လာ,appear
927,ပန်းသီး,apple
9,များမှာ,are
335,ဧရိယာ,area
547,လက်,arm
968,စီစဉ်,arrange
850,ရောက်လာ,arrive
518,အတတ်ပညာ,art
1,အဖြစ်,as
79,မေးမြန်း,ask
13,တွင်,at
786,အက်တမ်,atom
701,ကလေး,baby
112,ပြန်.,back
624,ဆိုးသော,bad
536,အလုံး,ball
934,တီးဝိုင်း,band
646,ကမ်း,bank
872,bar မှာ,bar
264,အခြေစိုက်စခန်း,base
944,အခြေခံပညာ,basic
808,လင်းနို့,bat
12,ဖြစ်,be
592,ဝက်ဝံ,bear
746,ရိုက်,beat
425,လှပမှု,beauty
504,အိပ်ရာ,bed
198,ဖြစ်,been
143,ရှေ့က,before
258,စတင်ခဲ့သည်,began
280,အစ,begin
445,နောက်တွင်,behind
509,ယုံကြည်,believe
815,ခေါင်းလောင်း,bell
452,အကောင်းဆုံး,best
454,ပိုကောင်း,better
219,အကြား,between
73,ကြီးမားသော,big
314,ငှက်,bird
731,bit နဲ့,bit
326,အနက်ရောင်,black
951,ပိတ်ဆို့,block
627,သှေး,blood
625,ထိုးနှက်,blow
359,ပြာသော,blue
569,ပျဉ်ပြား,board
371,လှေ,boat
316,ကိုယ်ခန္ဓာ,body
792,အရိုး,bone
251,စာအုပ်,book
972,မွေးဖွားလာ,born
290,နှစ်ဦးစလုံး,both
689,အောက်ခြေ,bottom
928,ကိုဝယ်ယူ,bought
417,သေတ္တာ,box
146,လူကလေး,boy
912,အကိုင်း,branch
869,ပေါင်မုန့်,bread
620,ချိုး,break
587,ပြောင်လက်တောက်ပသော,bright
393,ယူလာ,bring
993,ကျယ်ပြန့်,broad
654,ချိုးဖဲ့,broke
505,အစ်ကို,brother
389,သို့ဆောင် ခဲ့.,brought
636,ညိုသော,brown
97,တည်ဆောက်,build
723,မီးလောင်,burn
