number,korean,english
33,이,a
422,수,able
158,에 대한,about
307,위,above
77,행위,act
68,추가,add
917,두려워,afraid
111,후,after
91,다시,again
483,에 대하여,against
675,연령,age
381,전,ago
796,동의,agree
55,공기,air
151,모든,all
841,수,allow
57,또한,also
287,항상,always
541,어디로,am
400,중,among
48,이,an
32,과,and
998,분노,anger
92,동물,animal
208,답변,answer
101,모든,any
491,표시,appear
927,사과,apple
9,아르,are
335,지역,area
547,팔,arm
968,준비,arrange
850,도착,arrive
518,예술,art
1,로,as
79,문의,ask
13,에,at
786,원자,atom
701,아가,baby
112,다시,back
624,나쁜,bad
536,공,ball
934,밴드,band
646,은행,bank
872,바,bar
264,기본,base
944,기본,basic
808,박쥐,bat
12,있다,be
592,곰,bear
746,이길,beat
425,아름다움,beauty
504,침대,bed
198,하고,been
143,이전,before
258,시작,began
280,시작,begin
445,뒤에,behind
509,생각,believe
815,벨,bell
452,가장,best
454,더,better
219,사이,between
73,큰,big
314,조류,bird
731,비트,bit
326,블랙,black
951,블록,block
627,피,blood
625,타격,blow
359,푸른,blue
569,판,board
371,보트,boat
316,몸,body
792,골,bone
251,책,book
972,태어난,born
290,모두,both
689,바닥,bottom
928,구입,bought
417,상자,box
146,소년,boy
912,지점,branch
869,빵,bread
620,단절,break
587,밝은,bright
393,가져,bring
993,폭 넓은,broad
654,파산,broke
505,형제,brother
389,가져,brought
636,갈색,brown
97,구축,build
723,구울,burn
368,바쁜,busy
21,하지만,but
706,사기,buy
18,에 의해,by
192,통화,call
118,온,came
969,캠프,camp
36,수,can
751,자본,capital
800,주장,captain
297,자동차,car
933,카드,card
299,주의,care
252,수행,carry
655,경우,case
726,고양이,cat
565,캐치,catch
781,적발,caught
140,원인,cause
508,셀,cell
630,센트,cent
486,센터,center
727,세기,century
405,어떤,certain
753,의자,chair
979,기회,chance
81,변경,change
779,문자,character
870,충전,charge
952,차트,chart
383,확인,check
881,병아리,chick
829,장,chief
665,아이,child
279,어린이,children
641,선택,choose
862,코드,chord
529,원,circle
227,도시,city
999,제,claim
329,클래스,class
619,청소,clean
446,명확한,clear
683,등반,climb
831,시계,clock
245,가까이,close
597,의복을 걸치다,clothe
678,구름,cloud
732,해안,coast
931,코트,coat
498,감기,cold
647,수집,collect
830,식민지,colony
270,색,color
986,열,column
180,올,come
372,공통의,common
956,회사,company
812,비교,compare
333,완료,complete
940,조건,condition
859,연결,connect
728,고려,consider
667,자음,consonant
428,포함,contain
1000,대륙,continent
950,계속,continue
649,제어,control
719,요리,cook
684,멋진,cool
733,복사,copy
811,옥수수,corn
773,코너,corner
421,정확한,correct
634,비용,cost
971,면,cotton
178,수,could
513,계산,count
206,국가,country
354,물론,course
215,덮개,cover
579,소,cow
698,주름,crease
805,작성,create
768,작물,crop
229,교차,cross
810,군중,crowd
409,울음 소리,cry
847,현재,current
267,컷,cut
868,아빠,dad
544,댄스,dance
754,위험,danger
410,어두운,dark
177,일,day
843,죽은,dead
960,거래,deal
882,친애,dear
903,죽음,death
361,결정,decide
650,소수점,decimal
363,깊은,deep
879,도,degree
816,따라,depend
718,설명,describe
845,사막,desert
685,디자인,design
973,결정,determine
437,개발,develop
669,사전,dictionary
181,한,did
609,죽다,die
138,차이,differ
763,어려운,difficult
319,직접,direct
921,논의,discuss
395,먼,distant
532,분할,divide
855,부문,division
41,할,do
764,의사,doctor
51,하지,does
317,개,dog
921,달러,dollar
424,완료,done
242,하지,don’t
324,문,door
948,더블,double
196,아래로,down
238,그리,draw
938,꿈,dream
677,드레스,dress
885,한잔,drink
426,드라이브,drive
539,드롭,drop
377,건조,dry
876,오리,duck
456,중,during
49,각,each
651,귀,ear
461,초기,early
99,지구,earth
284,완화,ease
397,동쪽,east
255,식사,eat
581,에지,edge
789,효과,effect
506,계란,egg
702,팔,eight
721,중,either
790,전기,electric
770,요소,element
652,다른,else
60,끝,end
883,적,enemy
501,에너지,energy
545,엔진,engine
301,충분히,enough
834,입력,enter
639,동일,equal
386,동일시,equate
915,특히,especially
69,도,even
939,저녁,evening
958,이벤트,event
308,지금까지,ever
120,모든,every
607,정확한,exact
283,예,example
613,제외,except
747,흥분,excite
563,운동,exercise
791,기대,expect
925,경험,experience
688,실험,experiment
222,눈,eye
271,얼굴,face
449,사실,fact
645,박람회,fair
407,가을,fall
318,가족,family
820,유명한,famous
236,까지,far
230,농장,farm
467,빠른,fast
863,지방,fat
100,아버지,father
858,호의,favor
