number,welsh,english
33,mae,a
422,gallu,able
158,tua,about
307,uchod,above
77,gweithredu,act
68,ychwanegu,add
917,ofn,afraid
111,ar ôl,after
91,eto,again
483,erbyn,against
675,oedran,age
381,yn ôl,ago
796,cytuno,agree
55,aer,air
151,gyd,all
841,caniatáu,allow
57,hefyd,also
287,bob amser,always
541,wyf,am
400,ymhlith,among
48,mae,an
32,a’r,and
998,dicter,anger
92,anifail,animal
208,ateb,answer
101,unrhyw,any
491,ymddangos,appear
927,afal,apple
9,yn,are
335,ardal,area
547,braich,arm
968,trefnu,arrange
850,cyrraedd,arrive
518,celf,art
1,fel,as
79,gofyn,ask
13,yn,at
786,atom,atom
701,babi,baby
112,yn ôl,back
624,drwg,bad
536,pêl,ball
934,mand,band
646,banc,bank
872,bar,bar
264,sylfaen,base
944,sylfaenol,basic
808,ystlumod,bat
12,fod yn,be
592,arth,bear
746,guro,beat
425,harddwch,beauty
504,gwely,bed
198,bod,been
143,cyn,before
258,dechreuodd,began
280,dechrau,begin
445,y tu ôl i,behind
509,yn credu,believe
815,cloch,bell
452,gorau,best
454,gwell,better
219,rhwng,between
73,mawr,big
314,adar,bird
731,bit,bit
326,du,black
951,bloc,block
627,gwaed,blood
625,ergyd,blow
359,glas,blue
569,bwrdd,board
371,cwch,boat
316,corff,body
792,esgyrn,bone
251,llyfr,book
972,anwyd,born
290,ddau,both
689,gwaelod,bottom
928,brynwyd,bought
417,blwch,box
146,bachgen,boy
912,gangen,branch
869,bara,bread
620,egwyl,break
587,llachar,bright
393,dod â,bring
993,eang,broad
654,torrodd,broke
505,brawd,brother
389,dwyn,brought
636,brown,brown
97,adeiladu,build
723,llosgi,burn
368,brysur,busy
21,ond,but
706,prynu,buy
18,gan,by
192,alwad,call
118,daeth,came
969,gwersyll,camp
36,gall,can
751,cyfalaf,capital
800,capten,captain
297,car,car
933,cerdyn,card
299,gofal,care
252,cario,carry
655,achos,case
726,cath,cat
565,dal,catch
781,dal,caught
140,achos,cause
508,cell,cell
630,cant,cent
486,canolfan,center
727,ganrif,century
405,penodol,certain
753,gadeirydd,chair
979,cyfle,chance
81,newid,change
779,cymeriad,character
870,codi tâl,charge
952,siart,chart
383,gwirio,check
881,cyw,chick
829,prif,chief
665,plentyn,child
279,plant,children
641,dewis,choose
862,tant,chord
529,cylch,circle
227,ddinas,city
999,hawliad,claim
329,dosbarth,class
619,lân,clean
446,glir,clear
683,dringo,climb
831,cloc,clock
245,agos,close
597,dilladu,clothe
