number,lithuanian,english
33,grožis,a
422,sugebėti,able
158,apie,about
307,aukščiau,above
77,aktas,act
68,pridėti,add
917,bijau,afraid
111,po,after
91,vėl,again
483,prieš,against
675,amžius,age
381,prieš,ago
796,susitarti,agree
55,oro,air
151,visi,all
841,leisti,allow
57,taip pat,also
287,visada,always
541,pm,am
400,tarp,among
48,,an
32,ir,and
998,pyktis,anger
92,gyvūnas,animal
208,atsakymas,answer
101,bet koks,any
491,pasirodyti,appear
927,obuolių,apple
9,yra,are
335,plotas,area
547,ranka,arm
968,susitarti,arrange
850,atvykti,arrive
518,menas,art
1,kaip,as
79,paklausti,ask
13,pradėjo,at
786,atomas,atom
701,kūdikis,baby
112,atgal,back
624,blogas,bad
536,kamuoliukas,ball
934,grupė,band
646,bankas,bank
872,baras,bar
264,bazė,base
944,pagrindinis,basic
808,bat,bat
12,būti,be
592,būti,bear
746,įveikti,beat
425,grožis,beauty
504,lova,bed
198,buvo,been
143,prieš,before
258,pradėjo,began
280,pradėti,begin
445,už,behind
509,tikėti,believe
815,varpas,bell
452,geriausias,best
454,geriau,better
219,tarp,between
73,didelis,big
314,paukštis,bird
731,tiek,bit
326,juodas,black
951,blokas,block
627,kraujo,blood
625,smūgis,blow
359,mėlynas,blue
569,lenta,board
371,valtis,boat
316,kūnas,body
792,kaulas,bone
251,knyga,book
972,gimė,born
290,abu,both
689,apačia,bottom
928,nusipirkau,bought
417,dėžutė,box
146,berniukas,boy
912,filialas,branch
869,duona,bread
620,pertrauka,break
587,šviesus,bright
393,atnešti,bring
993,platus,broad
654,sumušė,broke
505,brolis,brother
389,atnešė,brought
636,rudi,brown
97,statyti,build
723,deginti,burn
368,užimtas,busy
21,tačiau,but
706,pirkti,buy
18,pagal,by
192,kvietimas,call
118,atėjo,came
969,stovykla,camp
36,galima,can
751,kapitalas,capital
800,kapitonas,captain
297,automobilių,car
933,kortelė,card
299,priežiūra,care
252,vykdyti,carry
655,atveju,case
726,katė,cat
565,laimikis,catch
781,sugauti,caught
140,priežastis,cause
508,ląstelė,cell
630,centas,cent
486,centras,center
727,amžius,century
405,tikras,certain
753,kėdė,chair
979,tikimybė,chance
81,pokytis,change
779,charakteris,character
870,imti,charge
952,schema,chart
383,patikrinti,check
881,jauniklį,chick
829,vyriausiasis,chief
665,vaikas,child
279,vaikai,children
641,pasirinkti,choose
862,styga,chord
529,ratas,circle
227,miestas,city
999,reikalavimas,claim
329,klasė,class
619,švarus,clean
446,"aišku,",clear
683,lipti,climb
831,laikrodis,clock
245,arti,close
597,aprengti,clothe
678,debesis,cloud
732,pakrantė,coast
931,kailis,coat
498,šaltas,cold
647,rinkti,collect
830,kolonija,colony
270,spalva,color
986,stulpelis,column
180,ateiti,come
372,bendras,common
956,įmonė,company
812,palyginti,compare
333,pilnas,complete
940,sąlyga,condition
859,prisijungti,connect
728,apsvarstyti,consider
667,priebalsis,consonant
428,būti,contain
1000,žemynas,continent
950,toliau,continue
649,valdymas,control
719,virėjas,cook
684,kietas,cool
733,kopija,copy
811,kukurūzai,corn
773,kampas,corner
421,teisingas,correct
634,kaina,cost
971,medvilnės,cotton
178,galėtų,could
513,skaičiuoti,count
206,šalis,country
354,žinoma,course
215,dangtis,cover
579,karvė,cow
698,raukšlėtis,crease
805,kurti,create
768,pasėlių,crop
229,kirsti,cross
810,minia,crowd
409,šauksmas,cry
847,dabartinis,current
267,supjaustyti,cut
868,tėtis,dad
544,šokis,dance
754,pavojus,danger
410,tamsus,dark
177,dieną,day
843,miręs,dead
960,spręsti,deal
882,brangusis,dear
903,mirtis,death
361,nuspręsti,decide
650,dešimtainis,decimal
363,giliai,deep
879,laipsnis,degree
816,priklauso,depend
718,apibūdinti,describe
845,dykuma,desert
685,dizainas,design
973,nustatyti,determine
437,plėtoti,develop
669,žodynas,dictionary
181,padarė,did
609,mirti,die
138,skiriasi,differ
763,sunkus,difficult
319,tiesiogiai,direct
921,aptarti,discuss
395,tolimas,distant
532,takoskyra,divide
855,skyrius,division
41,padaryti,do
764,gydytojas,doctor
51,daro,does
317,šuo,dog
921,doleris,dollar
424,padirbtas,done
242,nėra,don’t
324,durys,door
948,dvigubai,double
196,žemyn,down
238,atkreipti,draw
938,svajonė,dream
677,suknelė,dress
885,gėrimas,drink
426,vairuoti,drive
539,lašas,drop
377,sausas,dry
876,antis,duck
456,metu,during
49,kiekvienas,each
651,ausis,ear
461,anksti,early
99,žemė,earth
284,palengvinti,ease
397,į rytus,east
255,valgyti,eat
581,kraštas,edge
789,poveikis,effect
506,kiaušinis,egg
702,aštuoni,eight
721,arba,either
790,elektros,electric
770,elementas,element
652,kitas,else
60,pabaiga,end
883,priešas,enemy
501,energija,energy
545,variklis,engine
301,pakankamai,enough
834,įeiti,enter
639,lygūs,equal
386,prilygti,equate
915,ypač,especially
69,net,even
939,vakaras,evening
958,renginys,event
308,kada nors,ever
120,kiekvienas,every
607,tikslus,exact
283,pavyzdys,example
613,išskyrus,except
747,sužadinti,excite
563,pratimas,exercise
791,tikėtis,expect
925,patirtis,experience
688,eksperimentas,experiment
222,akių,eye
271,veido,face
449,faktas,fact
645,sąžininga,fair
407,patenka,fall
318,šeima,family
820,garsus,famous
236,toli,far
230,ūkis,farm
467,greitai,fast
863,riebalų,fat
100,tėvas,father
858,pirmenybę,favor
823,baimė,fear
941,pašarai,feed
312,jausti,feel
298,pėdų,feet
642,sumažėjo,fell
534,jaučiamas,felt
249,mažai,few
419,srityje,field
916,pav,fig
744,kova,fight
415,figūra,figure
396,užpildyti,fill
432,galutinis,final
200,rasti,find
404,gerai,fine
741,pirštas,finger
593,apdaila,finish
339,gaisro,fire
193,pirmas,first
260,žuvis,fish
643,tinka,fit
458,penki,five
694,butas,flat
720,aukštas,floor
644,tekėti,flow
596,gėlė,flower
406,skristi,fly
76,sekti,follow
216,maistas,food
366,pėda,foot
7,už,for
358,jėga,force
552,miškas,forest
130,forma,form
922,pirmyn,forward
207,rasti,found
218,keturi,four
551,frakcija,fraction
440,nemokamai,free
836,švieži,fresh
257,draugas,friend
17,nuo,from
429,priekinis,front
755,vaisiai,fruit
357,pilnas,full
586,malonumas,fun
384,žaidimas,game
638,sodas,garden
588,dujos,gas
980,surinkti,gather
433,davė,gave
526,bendras,general
798,švelnus,gentle
106,gauti,get
303,mergina,girl
123,duoti,give
864,malonu,glad
577,stiklas,glass
179,eiti,go
373,aukso,gold
599,dingo,gone
121,geras,good
281,turiu,got
496,reglamentuoja,govern
535,didysis,grand
578,žolė,grass
990,pilka,gray
132,puikus,great
434,žalia,green
629,augo,grew
464,žemės,ground
286,grupė,group
210,augti,grow
801,atspėti,guess
924,vadovas,guide
840,pistoletas,gun
28,buvo,had
717,plaukai,hair
336,pusė,half
64,rankų,hand
332,atsitikti,happen
594,laimingas,happy
231,sunku,hard
174,turi,has
953,skrybėlė,hat
15,turėti,have
5,jis,he
201,vadovas,head
265,išgirsti,hear
451,girdėjau,heard
540,širdis,heart
390,šilumos,heat
543,sunkus,heavy
716,rankinė,held
135,padėti,help
167,jos,her
71,čia,here
74,aukštas,high
724,kalnas,hill
172,jį,him
3,jo,his
788,istorija,history
771,nukentėjo,hit
462,palaikykite,hold
699,skylė,hole
62,namai,home
595,tikiuosi,hope
266,arklys,horse
19,karštas,hot
387,karštas,hot
453,valandos,hour
87,namas,house
46,kaip,how
918,didžiulis,huge
787,žmogaus,human
457,šimtai,hundred
502,medžioklė,hunt
828,skubėti,hurry
2,aš,i
527,ledas,ice
259,idėja,idea
44,jei,if
794,įsivaizduoti,imagine
34,matyti,in
351,colis,inch
531,įtraukti,include
783,rodo,indicate
742,pramonė,industry
780,vabzdžių,insect
877,momentinis,instant
575,priemonė,instrument
465,palūkanos,interest
970,sugalvoti,invent
691,geležies,iron
24,yra,is
365,sala,island
25,ji,it
580,darbas,job
617,prisijungti,join
570,džiaugsmas,joy
700,šuolis,jump
129,tiesiog,just
221,išlaikyti,keep
576,laikomi,kept
690,raktas,key
657,nužudyti,kill
84,natūra,kind
349,karalius,king
344,"žinojo,",knew
189,žinoti,know
621,panele,lady
659,ežeras,lake
70,žemės,land
399,kalba,language
66,didelis,large
224,paskutinis,last
240,vėlai,late
379,juokas,laugh
730,teisė,law
482,padėti,lay
408,vadovauti,lead
213,sužinoti,learn
610,mažiau,least
321,palikti,leave
929,lėmė,led
239,į kairę,left
562,koja,leg
516,ilgis,length
474,mažiau,less
225,tegul,let
293,laiškas,letter
978,lygis,level
745,melas,lie
248,gyvenimas,life
848,keltuvas,lift
83,šviesa,light
164,kaip,like
137,linija,line
894,skystis,liquid
310,sąrašas,list
470,klausyti,listen
113,mažai,little
109,gyventi,live
777,rasti,locate
895,prisijungti,log
561,vienišas,lone
168,ilgai,long
175,žiūrėti,look
635,prarado,lost
687,daug,lot
662,garsiai,loud
487,patinka,love
136,žemas,low
411,mašina,machine
108,padarė,made
909,magnetas,magnet
273,pagrindinis,main
835,pagrindinis,major
169,padaryti,make
116,vyras,man
159,daug,many
493,žemėlapis,map
291,ženklas,mark
878,rinka,market
932,masė,mass
851,meistras,master
913,rungtynės,match
550,medžiaga,material
528,nesvarbu,matter
195,gali,may
122,mane,me
142,reiškia,mean
896,reiškia,meant
323,matuoti,measure
817,mėsa,meat
704,patenkinti,meet
601,melodija,melody
80,vyrai,men
709,metalo,metal
672,metodas,method
656,vidurys,middle
233,might,might
295,mylių,mile
670,pienas,milk
591,milijonas,million
444,protas,mind
832,mano,mine
441,minučių,minute
388,praleisti,miss
631,maišyti,mix
769,modernus,modern
987,molekulė,molecule
660,akimirka,moment
489,pinigai,money
590,mėnesį,month
364,mėnulis,moon
176,daugiau,more
475,rytas,morning
185,dauguma,most
94,motina,mother
892,pasiūlymas,motion
566,kalno,mount
261,kalnas,mountain
606,burna,mouth
144,perkelti,move
141,daug,much
352,daugintis,multiply
288,muzika,music
72,turi,must
187,mano,my
126,pavadinimas,name
668,tauta,nation
748,natūralus,natural
889,pobūdis,nature
96,šalia,near
802,reikalingas,necessary
900,kaklas,neck
86,reikėti,need
806,kaimynas,neighbor
223,niekada,never
102,nauja,new
277,kitas,next
246,naktis,night
975,devyni,nine
184,ne,no
977,triukšmas,noise
767,vidurdienis,noon
947,nei,nor
250,į šiaurę,north
996,nosis,nose
412,pastaba,note
353,nieko,nothing
499,pranešimas,notice
