number,nepali,english
33,एक,a
422,सक्षम,able
158,बारेमा,about
307,माथि,above
77,काम,act
68,जोड,add
917,डर,afraid
111,पछि,after
91,फेरि,again
483,विरुद्ध,against
675,उमेर,age
381,पहिले,ago
796,सहमत,agree
55,हावा,air
151,सबै,all
841,अनुमति,allow
57,पनि,also
287,सधैं,always
541,छु,am
400,बीचमा,among
48,एक,an
32,र,and
998,रिस,anger
92,पशु,animal
208,जवाफ,answer
101,कुनै पनि,any
491,देखा,appear
927,स्याउ,apple
9,हो,are
335,क्षेत्र,area
547,हात,arm
968,व्यवस्था,arrange
850,आइपुग्छन्,arrive
518,कला,art
1,रूप,as
79,सोध्न,ask
13,मा,at
786,अणु,atom
701,बच्चा,baby
112,फिर्ता,back
624,खराब,bad
536,बल,ball
934,दल,band
646,बैंक,bank
872,बार,bar
264,आधार,base
944,आधारभूत,basic
808,bat,bat
12,हुन,be
592,फलाउन,bear
746,पिटे,beat
425,सौन्दर्य,beauty
504,ओछ्यानमा,bed
198,भएको,been
143,अघि,before
258,सुरु,began
280,सुरु,begin
445,पछि,behind
509,विश्वास,believe
815,घन्टी,bell
452,सबै भन्दा राम्रो,best
454,राम्रो,better
219,बीच,between
73,ठूलो,big
314,चरा,bird
731,बिट,bit
326,कालो,black
951,ब्लक,block
627,रगत,blood
625,झटका,blow
359,नीलो,blue
569,बोर्ड,board
371,डुङ्गा,boat
316,निकाय,body
792,हड्डी,bone
251,पुस्तक,book
972,जन्म,born
290,दुवै,both
689,तल,bottom
928,किनेको,bought
417,बक्स,box
146,केटा,boy
912,शाखा,branch
869,रोटी,bread
620,ब्रेक,break
587,उज्ज्वल,bright
393,ल्याउन,bring
993,व्यापक,broad
654,भत्केको,broke
505,भाइ,brother
389,ल्याए,brought
636,खैरो,brown
97,निर्माण,build
723,बाल्न,burn
368,व्यस्त,busy
21,तर,but
706,किन्न,buy
18,द्वारा,by
192,कल,call
118,आयो,came
969,शिविरमा,camp
36,गर्न सक्छन्,can
751,राजधानी,capital
800,कप्तान,captain
297,कार,car
933,कार्ड,card
299,हेरचाह,care
252,पूरा,carry
655,मामला,case
726,बिरालो,cat
565,जालो,catch
781,समातिए,caught
140,कारण,cause
508,सेल,cell
630,प्रतिशत,cent
486,केन्द्र,center
727,शताब्दीमा,century
405,निश्चित,certain
753,कुर्सी,chair
979,मौका,chance
81,परिवर्तन,change
779,चरित्र,character
870,शुल्क,charge
952,चार्ट,chart
383,जाँच,check
881,केटी,chick
829,प्रमुख,chief
665,बच्चा,child
279,छोराछोरीको,children
641,चयन,choose
862,तार,chord
529,सर्कल,circle
227,शहर,city
999,दाबी,claim
329,वर्ग,class
619,स्वच्छ,clean
446,स्पष्ट,clear
683,उकालो,climb
831,घडी,clock
245,नजिक,close
597,लुगा लगाउनु,clothe
678,बादल,cloud
732,तट,coast
931,कोट,coat
498,चिसो,cold
647,सङ्कलन,collect
830,उपनिवेश,colony
270,रङ,color
986,स्तम्भ,column
180,आउन,come
372,सामान्य,common
956,कम्पनी,company
812,तुलना गर्नुहोस्,compare
333,पूर्ण,complete
940,अवस्था,condition
859,जडान,connect
728,विचार,consider
667,व्यञ्जनवर्ण,consonant
428,समावेश,contain
1000,महादेशमा,continent
950,जारी,continue
649,नियन्त्रण,control
719,कुक,cook
684,सुन्दर,cool
733,प्रतिलिपि,copy
811,मकै,corn
773,कुना,corner
421,सही,correct
634,लागत,cost
971,कपास,cotton
178,सकेजति,could
513,गणना,count
206,देश,country
354,पाठ्यक्रम,course
215,आवरण,cover
579,गाई,cow
698,क्रीज,crease
805,सिर्जना,create
768,बाली,crop
229,पार,cross
810,भीड,crowd
409,पुकारा,cry
847,वर्तमान,current
267,कटौती,cut
868,पिताजी,dad
544,नृत्य,dance
754,खतरा,danger
410,अन्धकार,dark
177,दिन,day
843,मृत्यु,dead
960,सम्झौता,deal
882,प्रिय,dear
903,मृत्यु,death
361,निर्णय,decide
650,दशमलव,decimal
363,गहिरो,deep
879,तह,degree
816,निर्भर,depend
718,वर्णन,describe
845,मरुभूमि,desert
685,डिजाइन,design
973,निर्धारित,determine
437,विकास,develop
669,शब्दकोश,dictionary
181,गरे,did
609,मर्न,die
138,फरक,differ
763,कठिन,difficult
319,प्रत्यक्ष,direct
921,छलफल,discuss
395,टाढा,distant
532,विभाजित,divide
855,विभाजन,division
41,के,do
764,डाक्टर,doctor
51,गर्छ,does
317,कुकुर,dog
921,डलर,dollar
424,डन,done
242,के छैन,don’t
324,ढोका,door
948,डबल,double
196,तल,down
238,नजिक,draw
938,सपना,dream
677,पहिरन,dress
885,पिउने पानी,drink
426,ड्राइव,drive
539,ड्रप,drop
377,सुक्खा,dry
876,धुनमा,duck
456,समयमा,during
49,प्रत्येक,each
651,कान,ear
461,प्रारम्भिक,early
99,पृथ्वीमा,earth
284,कम,ease
397,पूर्व,east
255,खान,eat
581,किनारा,edge
789,प्रभाव,effect
506,अण्डा,egg
702,आठ,eight
721,या त,either
790,बिजुली,electric
770,तत्व,element
652,अरू,else
60,अन्त,end
883,शत्रु,enemy
501,ऊर्जा,energy
545,इन्जिन,engine
301,पर्याप्त,enough
834,प्रवेश,enter
639,बराबर,equal
386,समान मनाना,equate
915,विशेष गरी,especially
69,पनि,even
939,साँझ,evening
958,घटना,event
308,कहिल्यै,ever
120,हरेक,every
607,सही,exact
283,उदाहरणका,example
613,बाहेक,except
747,उत्तेजित,excite
563,व्यायाम,exercise
791,आशा,expect
925,अनुभव,experience
688,प्रयोग,experiment
222,आँखा,eye
271,अनुहार,face
449,वास्तवमा,fact
645,निष्पक्ष,fair
407,गिरावट,fall
318,परिवार,family
820,प्रसिद्ध,famous
236,टाढा,far
230,खेत,farm
467,छिटो,fast
