number,kazakh,english
33,а,a
422,қабілетті,able
158,туралы,about
307,жоғарыда,above
77,акт,act
68,қосу,add
917,қорқады,afraid
111,кейін,after
91,қайтадан,again
483,қарсы,against
675,жас,age
381,бұрын,ago
796,келісу,agree
55,ауа,air
151,барлық,all
841,рұқсат ету,allow
57,"сондай-ақ,",also
287,әрқашан,always
541,am,am
400,арасында,among
48,егер,an
32,мен,and
998,ашу,anger
92,жануар,animal
208,жауап,answer
101,кез келген,any
491,пайда болу,appear
927,алма,apple
9,болып табылады,are
335,аудан,area
547,қол,arm
968,орналастыру,arrange
850,келу,arrive
518,өнер,art
1,ретінде,as
79,сұрау,ask
13,жанында,at
786,атом,atom
701,нәресте,baby
112,артқа,back
624,жаман,bad
536,доп,ball
934,топ,band
646,банк,bank
872,бар,bar
264,база,base
944,негізгі,basic
808,жарғанат,bat
12,болуы,be
592,аю,bear
746,ұрыс,beat
425,сұлулық,beauty
504,төсек,bed
198,болды,been
143,бұрын,before
258,бастады,began
280,баста,begin
445,артында,behind
509,сену,believe
815,қоңырау,bell
452,ең жақсы,best
454,жақсырақ,better
219,арасында,between
73,үлкен,big
314,құс,bird
731,биттік,bit
326,қара,black
951,блок,block
627,қан,blood
625,үрлеу,blow
359,көк,blue
569,басқарма,board
371,қайық,boat
316,дене,body
792,сүйек,bone
251,кітап,book
972,туған,born
290,екеуі де,both
689,төменгі,bottom
928,сатып,bought
417,қорап,box
146,ұл,boy
912,филиал,branch
869,нан,bread
620,үзіліс,break
587,ашық,bright
393,әкелу,bring
993,кең,broad
654,сынған,broke
505,аға,brother
389,әкелді,brought
636,қоңыр,brown
97,салу,build
723,күйік,burn
368,бос емес,busy
21,бірақ,but
706,сатып алу,buy
18,арқылы,by
192,шақыру,call
118,келді,came
969,лагерь,camp
36,болады,can
751,капитал,capital
800,капитан,captain
297,автомобиль,car
933,кәртішке,card
299,қамқорлық,care
252,қазақстан бойынша жүк тасымалдары,carry
655,оқиға,case
726,мысық,cat
565,аулау,catch
781,ұстап,caught
140,себеп,cause
508,жасуша,cell
630,цент,cent
486,орталық,center
727,ғасыр,century
405,сенімді,certain
753,кафедра,chair
979,кездейсоқтық,chance
81,өзгеріс,change
779,кейіпкер,character
870,төлем,charge
952,кесте,chart
383,тексеру,check
881,chick,chick
829,бас,chief
665,бала,child
279,балалар,children
641,таңдау,choose
862,аккорд,chord
529,шеңбер,circle
227,қала,city
999,талап,claim
329,сынып,class
619,таза,clean
446,айқын,clear
683,өрмелеу,climb
831,сағат,clock
245,жақын,close
597,киіндіру,clothe
678,бұлт,cloud
732,жаға,coast
931,пальто,coat
498,суық,cold
647,жинау,collect
830,отар,colony
270,түс,color
986,колонна,column
180,келу,come
372,ортақ,common
956,компания,company
812,салыстыру,compare
333,аяқталған,complete
940,жағдай,condition
859,қосылу,connect
728,қарау,consider
667,дауыссыз дыбыс,consonant
428,болу,contain
1000,құрылық,continent
950,жалғастыру,continue
649,бақылау,control
719,аспаз,cook
684,салқын,cool
733,көшірме,copy
811,дән,corn
773,бұрыш,corner
421,дұрыс,correct
634,құны,cost
971,мақта,cotton
178,еді,could
513,санау,count
206,ел,country
354,курс,course
215,қақпақ,cover
579,сиыр,cow
698,қыртыстарды,crease
805,жасау,create
768,өнім,crop
229,крест,cross
810,тобыр,crowd
409,жылау,cry
847,ағымдағы,current
267,кесу,cut
868,әке,dad
544,би,dance
754,қауіп,danger
410,қараңғы,dark
177,күн,day
843,өлі,dead
960,мәміле,deal
882,құрметті,dear
903,өлім,death
361,шешу,decide
650,ондық,decimal
363,терең,deep
879,градус,degree
816,байланысты,depend
718,сипаттау,describe
845,шөл,desert
685,жобалау,design
973,анықтау,determine
437,даму,develop
669,сөздік,dictionary
181,жасады,did
609,өлу,die
138,әр түрлі,differ
763,қиын,difficult
319,тура,direct
921,талқылау,discuss
395,алыс,distant
532,бөлу,divide
855,бөлу,division
41,істеу,do
764,дәрігер,doctor
51,жасайды,does
317,ит,dog
921,доллар,dollar
424,done,done
242,істемеу,don’t
324,есік,door
948,қос,double
196,төмен,down
238,сурет салу,draw
938,арман,dream
677,көйлек,dress
885,сусын,drink
426,диск,drive
539,тастау,drop
377,құрғақ,dry
876,үйрек,duck
456,ішінде,during
49,әрбір,each
651,құлақ,ear
461,ерте,early
99,жер,earth
284,жеңілдік,ease
397,шығыс,east
255,жеу,eat
581,edge,edge
789,әсер,effect
506,жұмыртқа,egg
702,сегіз,eight
721,немесе,either
790,электр,electric
770,элемент,element
652,тағы,else
60,соңы,end
883,жау,enemy
501,энергия,energy
545,қозғалтқыш,engine
301,жеткілікті,enough
834,кіру,enter
639,тең,equal
386,теңестіру,equate
915,әсіресе,especially
69,тіпті,even
939,кеш,evening
958,оқиға,event
308,соңды,ever
120,әрбір,every
607,дәл,exact
283,мысал,example
613,қоспағанда,except
747,қоздыру,excite
563,жаттығу,exercise
791,күту,expect
925,тәжірибе,experience
688,эксперимент,experiment
222,көз,eye
271,бет,face
449,факт,fact
645,әділ,fair
407,күз,fall
318,отбасы,family
820,атақты,famous
236,алыс,far
230,ферма,farm
467,жылдам,fast
863,май,fat
100,әке,father
858,сыпайылық,favor
823,қорқыныш,fear
941,жем,feed
312,сезу,feel
298,фут,feet
642,пала,fell
534,сезіндім,felt
249,бірнеше,few
419,өріс,field
916,інжір,fig
744,төбелес,fight
415,сан,figure
396,толтыру,fill
432,соңғы,final
200,табу,find
404,айыппұл,fine
741,саусақ,finger
593,финиш,finish
339,от,fire
193,бірінші,first
260,балық,fish
643,fit,fit
458,бес,five
694,тегіс,flat
720,еден,floor
644,ағыны,flow
596,гүл,flower
406,шыбын,fly
76,орындаңыз,follow
216,тамақ,food
366,аяқ,foot
7,үшін,for
358,күш,force
552,орман,forest
130,форма,form
922,алға,forward
207,табылған,found
218,төрт,four
551,фракциясы,fraction
440,тегін,free
836,жаңа,fresh
257,дос,friend
17,-дан,from
429,алдыңғы,front
755,жеміс,fruit
357,толық,full
586,ермек,fun
384,ойын,game
638,бақ,garden
588,газ,gas
980,жинау,gather
433,берді,gave
526,жалпы,general
798,жұмсақ,gentle
106,алу,get
303,қыз бала,girl
123,беру,give
864,қуанышты,glad
577,шыны,glass
179,жүру,go
373,алтын,gold
599,кеткен,gone
121,жақсы,good
281,алды,got
496,басқару,govern
535,grand,grand
578,шөп,grass
990,сұр,gray
132,ұлы,great
434,жасыл,green
629,өсті,grew
464,жер,ground
286,топ,group
210,өсу,grow
801,жорамал,guess
924,гид,guide
840,мылтық,gun
28,болды,had
717,шаш,hair
336,жарты,half
