number,malayalam,english
33,ഒരു,a
422,കഴിവുള്ള,able
158,കുറിച്ച്,about
307,മുകളിൽ,above
77,പ്രവർത്തി,act
68,ചേർക്കുക,add
917,ഭയപ്പെട്ടു,afraid
111,ശേഷം,after
91,വീണ്ടും,again
483,എതിരായി,against
675,പ്രായം,age
381,മുന്പ്,ago
796,സമ്മതിക്കുക,agree
55,എയർ,air
151,എല്ലാം,all
841,അനുവദിക്കുക,allow
57,പുറമേ,also
287,എല്ലായിപ്പോഴും,always
541,ആകുന്നു,am
400,കൂട്ടത്തില്,among
48,ഒരു,an
32,ഒപ്പം,and
998,കോപം,anger
92,ജന്തു,animal
208,ഉത്തരം,answer
101,എന്തെങ്കിലും,any
491,ദൃശ്യമാകും,appear
927,ആപ്പിൾ,apple
9,ഉണ്ട്,are
335,പ്രദേശം,area
547,ഭുജം,arm
968,കമീകരിക്കുക,arrange
850,എത്തും,arrive
518,കല,art
1,പോലെ,as
79,ചോദിക്കുക,ask
13,ഭൂതകാല,at
786,പരമാണു,atom
701,ശിശു,baby
112,തിരികെ,back
624,ചീത്ത,bad
536,പന്ത്,ball
934,കൂട്ടം,band
646,ബാങ്ക്,bank
872,ബാർ,bar
264,അടിത്തറ,base
944,അടിസ്ഥാനപരമായ,basic
808,ബാറ്റ്,bat
12,എന്നു,be
592,കരടി,bear
746,അടി,beat
425,സൗന്ദര്യം,beauty
504,കിടക്ക,bed
198,ഉണ്ടായിരുന്നതു,been
143,മുമ്പ്,before
258,തുടങ്ങി,began
280,ആരംഭിക്കുന്നു,begin
445,പിന്നാലെ,behind
509,വിശ്വസിക്കുകയും,believe
815,മണി,bell
452,മികച്ച,best
454,മെച്ചപ്പെട്ട,better
219,ഇടയില്,between
73,വലിയ,big
314,പക്ഷി,bird
731,ബിറ്റ്,bit
326,കറുത്ത,black
951,ബ്ലോക്ക്,block
627,രക്തം,blood
625,അടിക്കുക,blow
359,നീല,blue
569,പലക,board
371,വള്ളം,boat
316,ശരീരം,body
792,അസ്ഥി,bone
251,പുസ്തകം,book
972,ജനിച്ച,born
290,രണ്ടും,both
689,അടിത്തട്ട്,bottom
928,വാങ്ങിയ,bought
417,പെട്ടി,box
146,കുട്ടി,boy
912,ശാഖ,branch
869,റൊട്ടി,bread
620,ബ്രേക്ക്,break
