number,armenian,english
33,ա,a
422,կարող,able
158,մոտ,about
307,վեր,above
77,գործ,act
68,ավելացնել,add
917,վախենում,afraid
111,երբ,after
91,կրկին,again
483,դեմ,against
675,դարաշրջան,age
381,առաջ,ago
796,համաձայն,agree
55,օդի,air
151,ամբողջ,all
841,թույլ տալ,allow
57,նույնպես,also
287,միշտ,always
541,թեմա.,am
400,մեջ,among
48,է,an
32,իսկ,and
998,զայրույթը,anger
92,կենդանի,animal
208,պատասխան,answer
101,ցանկացած,any
491,հայտնվել,appear
927,խնձոր,apple
9,են,are
335,շրջան,area
547,arm,arm
968,դասավորել,arrange
850,ժամանել,arrive
518,արվեստ,art
1,ինչպես,as
79,խնդրել,ask
13,ի,at
786,ատոմ,atom
701,երեխա,baby
112,վերադառնալ,back
624,վատ,bad
536,գնդակ,ball
934,խումբ,band
646,բանկ,bank
872,բար,bar
264,բազա,base
944,հիմնական,basic
808,խփել,bat
12,լինել,be
592,կրել,bear
746,ծեծել,beat
425,գեղեցկություն,beauty
504,մահճակալ,bed
198,եղել,been
143,մինչեւ,before
258,սկսվեց,began
280,սկսել,begin
445,ետեւում,behind
509,հավատալ,believe
815,զանգ,bell
452,լավագույն,best
454,ավելի լավ,better
219,միջեւ,between
73,մեծ,big
314,թռչուն,bird
731,բիտ,bit
326,սեւ,black
951,թաղամաս,block
627,արյուն,blood
625,հարված,blow
359,կապույտ,blue
569,խորհուրդ,board
371,նավակ,boat
316,մարմին,body
792,ոսկրածուծի,bone
251,հյուրատետր,book
972,ծնված,born
290,երկուսն էլ,both
689,հատակ,bottom
928,գնել,bought
417,տուփ,box
146,տղա,boy
912,մասնաճյուղ,branch
869,հաց,bread
620,կոտրել,break
587,պայծառ,bright
393,բերել,bring
993,լայն,broad
654,խախտել,broke
505,եղբայր,brother
389,բերեց,brought
636,դարչնագույն,brown
97,կառուցել,build
723,այրել,burn
368,զբաղված,busy
21,բայց,but
706,գնել,buy
18,ի,by
192,կոչ,call
118,եկել,came
969,ճամբար,camp
36,կարող,can
751,կապիտալ,capital
800,կապիտան,captain
297,ավտոմեքենա,car
933,հարցաթերթիկ,card
299,խնամք,care
252,կրել,carry
655,գործ,case
726,կատու,cat
565,բռնել,catch
781,բռնել,caught
140,պատճառը,cause
508,բջջային,cell
630,ցենտ,cent
486,կենտրոն,center
727,դար,century
405,որոշակի,certain
753,աթոռ,chair
979,շանս,chance
81,փոփոխություն,change
779,բնավորությունը,character
870,անվճար,charge
952,աղյուսակը,chart
383,ստուգում,check
881,չիկ,chick
829,գլխավոր,chief
665,երեխա,child
279,երեխաներ,children
641,ընտրել,choose
862,կապան,chord
529,շրջան,circle
227,քաղաք,city
999,պահանջը,claim
329,դաս,class
619,մաքուր,clean
446,պարզ,clear
683,բարձրանալ,climb
831,ժամացույց,clock
245,մոտիկ,close
597,հագցնել,clothe
678,ամպ,cloud
732,ափ,coast
931,վերարկու,coat
498,ցուրտ,cold
647,հավաքել,collect
830,գաղութ,colony
270,գույն,color
986,սյունակ,column
180,գալ,come
372,ընդհանուր,common
956,ընկերությունը,company
812,համեմատել,compare
333,ամբողջական,complete
940,վիճակ,condition
859,միացնել,connect
728,համարում,consider
667,համահունչ,consonant
428,պարունակել,contain
1000,անարատ,continent
950,շարունակել,continue
649,վերահսկիչ,control
719,խոհարար,cook
684,զով,cool
733,օրինակ,copy
811,եգիպտացորեն,corn
773,անկյուն,corner
421,ճիշտ,correct
634,ծախսերը,cost
971,բամբակ,cotton
178,կարող,could
513,հաշվել,count
206,երկիր,country
354,դասընթաց,course
215,կազմ,cover
579,կով,cow
698,ծալել,crease
805,ստեղծել,create
768,բուսաբուծություն,crop
229,անցնել,cross
810,ամբոխ,crowd
409,լաց,cry
847,ընթացիկ,current
267,կտրել,cut
868,հայրիկ,dad
544,պարի,dance
754,վտանգ,danger
410,մութ,dark
177,օր,day
843,մեռած,dead
960,զբաղվել,deal
882,սիրելի,dear
903,մահվան,death
361,որոշել,decide
650,տասնորդական,decimal
363,խոր,deep
879,աստիճան,degree
816,կախված,depend
718,նկարագրել,describe
845,անապատ,desert
685,դիզայն,design
973,որոշել,determine
437,զարգանալ,develop
669,բառարան,dictionary
181,արել,did
609,մեռնել,die
138,տարբերվել,differ
763,դժվար,difficult
319,ուղղակի,direct
921,քննարկել,discuss
395,հեռավոր,distant
532,բաժանել,divide
855,բաժին,division
41,անել,do
764,բժիշկ,doctor
51,մենք,does
317,շուն,dog
921,դոլար,dollar
424,կատարած,done
242,չեն,don’t
324,դուռը,door
948,կրկնակի,double
196,ներքեւ,down
238,նկարել,draw
938,երազ,dream
677,զգեստ,dress
885,խմել,drink
426,տեղերի,drive
539,թողնել,drop
377,չոր,dry
876,բադ,duck
456,ընթացքում,during
49,յուրաքանչյուր,each
651,ականջ,ear
461,վաղ,early
99,երկիր,earth
284,հանգիստ,ease
397,արեւելք,east
255,ուտել,eat
581,եզրին,edge
789,ազդեցություն,effect
506,ձու,egg
702,ութ,eight
721,կամ,either
790,էլեկտրական,electric
770,տարր,element
652,ուրիշ,else
60,վերջ,end
883,թշնամի,enemy
501,էներգիա,energy
545,շարժիչ,engine
301,բավական,enough
834,մտնել,enter
639,հավասար,equal
386,հավասարեցնել,equate
915,հատկապես,especially
69,նույնիսկ,even
939,երեկո,evening
958,իրադարձություն,event
308,որ,ever
120,ամեն,every
607,ճիշտ,exact
283,օրինակ,example
613,բացառությամբ,except
747,հարուցել,excite
563,վարժություն,exercise
791,ակնկալում,expect
925,փորձառություն,experience
688,փորձ,experiment
222,աչքի,eye
271,դեմքը,face
449,փաստ,fact
645,արդար,fair
407,անկում,fall
318,ընտանիք,family
820,հայտնի,famous
236,հեռու,far
230,ֆերմա,farm
467,արագ,fast
863,ճարպ,fat
100,հայր,father
