number,latvian,english
33,seši,a
422,spējīgs,able
158,par,about
307,iepriekš,above
77,akts,act
68,pievienot,add
917,nobijies,afraid
111,pēc,after
91,atkal,again
483,pret,against
675,vecums,age
381,pirms,ago
796,piekrītu,agree
55,gaisa,air
151,viss,all
841,ļaut,allow
57,arī,also
287,vienmēr,always
541,am,am
400,vidū,among
48,viņiem,an
32,un,and
998,dusmas,anger
92,dzīvnieks,animal
208,atbilde,answer
101,jebkurš,any
491,parādās,appear
927,ābolu,apple
9,ir,are
335,platība,area
547,roku,arm
968,organizēt,arrange
850,ierasties,arrive
518,art,art
1,kā,as
79,jautāt,ask
13,pie,at
786,atoms,atom
701,mazulis,baby
112,atpakaļ,back
624,slikti,bad
536,bumba,ball
934,grupa,band
646,banka,bank
872,bārs,bar
264,bāze,base
944,bāzes,basic
808,nūja,bat
12,būt,be
592,nest,bear
746,pārspēt,beat
425,skaistums,beauty
504,gulta,bed
198,ir,been
143,pirms,before
258,sākās,began
280,sākties,begin
445,aiz,behind
509,tic,believe
815,zvans,bell
452,vislabāk,best
454,labāk,better
219,starp,between
73,big,big
314,putns,bird
731,bits,bit
326,melna,black
951,bloks,block
627,asinis,blood
625,trieciens,blow
359,blue,blue
569,dēlis,board
371,laiva,boat
316,korpuss,body
792,kauls,bone
251,grāmata,book
972,dzimis,born
290,abi,both
689,apakšā,bottom
928,nopirka,bought
417,kaste,box
146,boy,boy
912,filiāle,branch
869,maize,bread
620,pārtraukums,break
587,spilgti,bright
393,celt,bring
993,plašs,broad
654,izputējis,broke
505,brālis,brother
389,celta,brought
636,brūns,brown
97,būvēt,build
723,dedzināt,burn
368,aizņemts,busy
21,bet,but
706,nopirkt,buy
18,līdz,by
192,izsaukums,call
118,atnāca,came
969,nometne,camp
36,var,can
751,kapitāls,capital
800,kapteinis,captain
297,auto,car
933,kartes,card
299,kopšana,care
252,pārvadāt,carry
655,case,case
726,kaķis,cat
565,loms,catch
781,nozvejotas,caught
140,cēlonis,cause
508,šūna,cell
630,centu,cent
486,centrs,center
727,gadsimts,century
405,skaidrs,certain
753,krēsls,chair
979,iespēja,chance
81,maiņa,change
779,raksturs,character
870,maksa,charge
952,diagramma,chart
383,pārbaudiet,check
881,cālis,chick
829,galvenais,chief
665,bērns,child
279,bērni,children
641,izvēlēties,choose
862,akords,chord
529,aplis,circle
227,city,city
999,prasījums,claim
329,klase,class
619,tīrs,clean
446,skaidrs,clear
683,kāpt,climb
831,pulkstenis,clock
245,aizvērt,close
597,ietērpt,clothe
678,mākonis,cloud
732,piekraste,coast
931,mētelis,coat
498,auksts,cold
647,savākt,collect
830,kolonija,colony
270,krāsu,color
986,kolonna,column
180,nākt,come
372,kopēja,common
956,uzņēmums,company
812,salīdzināt,compare
333,pilnīgs,complete
940,nosacījums,condition
859,savienot,connect
728,apsvērt,consider
667,līdzskanis,consonant
428,satur,contain
1000,kontinents,continent
950,turpināt,continue
649,kontrole,control
719,pavārs,cook
684,atdzist,cool
733,kopija,copy
811,kukurūza,corn
773,stūris,corner
421,pareizs,correct
634,izmaksas,cost
971,kokvilna,cotton
178,varētu,could
513,skaitīt,count
206,valsts,country
354,protams,course
215,vāks,cover
579,govs,cow
698,burzīties,crease
805,izveidot,create
768,raža,crop
229,šķērsot,cross
810,pūlis,crowd
409,sauciens,cry
847,strāva,current
267,cut,cut
868,tētis,dad
544,deja,dance
754,briesmas,danger
410,tumšs,dark
177,diena,day
843,miris,dead
960,darījums,deal
882,dārgais,dear
903,nāve,death
361,izlemt,decide
650,decimāldaļskaitlis,decimal
363,dziļi,deep
879,pakāpe,degree
816,atkarīgi,depend
718,aprakstīt,describe
845,tuksnesis,desert
685,dizains,design
973,noteikt,determine
437,attīstīt,develop
669,vārdnīca,dictionary
181,darīja,did
609,nomirt,die
138,atšķiras,differ
763,grūti,difficult
319,tieši,direct
921,apspriest,discuss
395,tāls,distant
532,dalīt,divide
855,nodaļa,division
41,do,do
764,ārsts,doctor
51,nav,does
317,suns,dog
921,dolāru,dollar
424,gatavots,done
242,nav,don’t
324,durvis,door
948,dubultā,double
196,leju,down
238,izdarīt,draw
938,sapnis,dream
677,kleita,dress
885,dzēriens,drink
426,disku,drive
539,piliens,drop
377,sauss,dry
876,pīle,duck
456,laikā,during
49,katrs,each
651,auss,ear
461,agri,early
99,zemes,earth
284,atvieglot,ease
397,austrumiem,east
255,ēst,eat
581,mala,edge
789,efekts,effect
506,olu,egg
702,astoņi,eight
721,nu,either
790,elektriskā,electric
770,elements,element
652,cits,else
60,beigas,end
883,ienaidnieks,enemy
501,enerģija,energy
545,dzinējs,engine
301,pietiekami,enough
834,ievadiet,enter
639,vienāds,equal
386,vienādot,equate
915,sevišķi,especially
69,pat,even
