number,igbo,english
33,a,a
422,ike,able
158,banyere,about
307,n’elu,above
77,eme,act
68,tinye,add
917,egwu,afraid
111,mgbe,after
91,ọzọ,again
483,megide,against
675,afọ,age
381,gara aga,ago
796,ekweta,agree
55,ikuku,air
151,niile,all
841,ekwe,allow
57,na-,also
287,mgbe nile,always
541,m,am
400,n’etiti,among
48,ihe,an
32,na,and
998,iwe,anger
92,anụmanụ,animal
208,azịza,answer
101,ọ bụla,any
491,iyi,appear
927,apụl,apple
9,ma ọ bụrụ na,are
335,mpaghara,area
547,ogwe aka,arm
968,ndokwa,arrange
850,na-abata,arrive
518,nkà,art
1,dị ka,as
79,ịjụ,ask
13,na,at
786,atọm,atom
701,nwa,baby
112,azụ,back
624,ọjọọ,bad
536,bọl,ball
934,gbalaga,band
646,akụ,bank
872,mmanya,bar
264,isi,base
944,isi,basic
808,ụsụ,bat
12,ịbụ,be
592,agba,bear
746,uda,beat
425,ịma mma,beauty
504,bed,bed
198,kemgbe,been
143,n’ihu,before
258,malitere,began
280,na-amalite,begin
445,n’azụ,behind
509,kwere,believe
815,mgbịrịgba,bell
452,mma,best
454,mma,better
219,n’etiti,between
73,nnukwu,big
314,nnụnụ,bird
731,bit,bit
326,ojii,black
951,gbochie,block
627,ọbara,blood
625,igbu,blow
359,acha anụnụ anụnụ,blue
569,osisi,board
371,ụgbọ mmiri,boat
316,ozu,body
792,ọkpụkpụ,bone
251,akwụkwọ,book
972,keomumu,born
290,ma,both
689,ike,bottom
928,zụta,bought
417,igbe,box
146,nwa,boy
912,alaka ụlọ ọrụ,branch
869,nri,bread
620,nkwụsịtụ,break
587,"enwu enwu,",bright
393,eme,bring
993,sara mbara,broad
654,mebiri,broke
505,nwanne,brother
389,ada,brought
636,na agba aja aja,brown
97,ewu,build
723,ọkụ,burn
368,arụsi ọrụ ike,busy
21,ma,but
706,ịzụta,buy
18,site,by
192,oku,call
118,wee,came
969,mara ụlọikwuu,camp
36,ike,can
751,isi obodo,capital
800,onyeisi,captain
297,ụgbọ ala,car
933,kaadị,card
299,nlekọta,care
252,ebu,carry
655,ikpe,case
726,pusi,cat
565,gbutere,catch
781,jidere,caught
140,kpatara,cause
508,cell,cell
630,pasent,cent
486,ebe,center
727,na narị afọ,century
405,ụfọdụ,certain
753,oche,chair
979,ohere,chance
81,mgbanwe,change
779,agwa,character
870,ana,charge
952,chart,chart
383,ịlele,check
881,chick,chick
829,isi,chief
665,nwa,child
279,ụmụ,children
641,họrọ,choose
862,mmagba,chord
529,gburugburu,circle
227,obodo,city
999,mgbarakwa,claim
329,otu,class
619,dị ọcha,clean
446,doro anya,clear
683,ọrịrị,climb
831,elekere,clock
245,nso,close
597,uwe,clothe
678,ígwé ojii,cloud
732,n’ụsọ oké osimiri,coast
931,uwe,coat
498,oyi,cold
647,na-anakọta,collect
830,ógbè,colony
270,agba,color
986,na kọlụm,column
180,bịa,come
372,ọsọ,common
956,ụlọ ọrụ,company
812,tụnyere,compare
333,zuru oke,complete
940,ọnọdụ,condition
859,ijikọ,connect
728,tụlee,consider
667,mgbochiume,consonant
428,nwere,contain
1000,kọntinent,continent
950,na-,continue
649,akara,control
719,isi nri,cook
684,jụụ,cool
733,akwụkwọ,copy
811,ọka,corn
773,n’akụkụ,corner
421,ziri ezi,correct
634,na-eri,cost
971,na owu,cotton
178,ike,could
513,ịgụ,count
206,obodo,country
354,n’ezie,course
215,mkpuchi,cover
579,ehi,cow
698,ahịrị,crease
805,ike,create
768,ọkụkụ,crop
229,ịgafe,cross
810,ìgwè mmadụ,crowd
409,mkpu,cry
847,ugbu a,current
267,ịkpụ,cut
868,papa,dad
544,agba egwú,dance
754,ihe egwu,danger
410,gbara ọchịchịrị,dark
177,ụbọchị,day
843,nwụrụ anwụ,dead
960,ihe,deal
882,ezigbo,dear
903,ọnwụ,death
361,ikpebi,decide
650,ntụpọ,decimal
363,miri,deep
879,n’ókè,degree
816,na-adabere,depend
718,kọwaa,describe
845,desert,desert
685,imewe,design
973,chọpụta,determine
437,imepe,develop
669,ọkọwa okwu,dictionary
181,mere,did
609,anwụ,die
138,iche,differ
763,ike,difficult
319,kpọmkwem,direct
921,tụlee,discuss
395,anya,distant
532,ike,divide
855,nkewa,division
41,eme,do
764,dọkịta,doctor
51,ke,does
317,nkịta,dog
921,dollar,dollar
424,eme,done
242,emela,don’t
324,ụzọ,door
948,abụọ,double
196,ala,down
238,ise,draw
938,nrọ,dream
677,uwe,dress
885,ọṅụṅụ,drink
426,mbanye,drive
539,dobe,drop
377,akọrọ,dry
876,ọbọgwụ,duck
456,n’oge,during
49,ọ bụla,each
651,ntị,ear
461,n’isi,early
99,ụwa,earth
284,mfe,ease
397,n’ebe ọwụwa anyanwụ,east
255,eri,eat
581,ihu,edge
789,mmetụta,effect
506,akwa,egg
702,asatọ,eight
721,ma,either
790,electric,electric
770,mmewere,element
652,ọzọ,else
60,njedebe,end
883,onye iro,enemy
501,ike,energy
545,engine,engine
301,ezuru,enough
834,banye,enter
639,hara,equal
386,equate,equate
915,karịsịa,especially
69,ọbụna,even
939,mgbede,evening
958,ihe,event
308,mgbe,ever
120,ọ bụla,every
607,kpọmkwem,exact
283,atụ,example
613,ma e wezụga,except
747,ejikere,excite
563,mmega,exercise
791,na-atụ anya,expect
925,ahụmahụ,experience
688,nnwale,experiment
222,anya,eye
271,ihu,face
449,n’eziokwu,fact
645,mma,fair
407,ada,fall
318,ezinụlọ,family
820,ama,famous
236,anya,far
230,ugbo,farm
467,ngwa-ngwa,fast
863,abụba,fat
100,nna,father
858,amara,favor
823,egwu,fear
941,ndepụta,feed
312,na-eche,feel
298,ụkwụ,feet
642,dara,fell
534,chere,felt
249,ole na ole,few
419,ubi,field
916,fig,fig
744,agha,fight
415,ọnụ ọgụgụ,figure
396,ju,fill
432,ikpeazụ,final
200,ịchọta,find
404,mma,fine
741,aka,finger
593,n’isi,finish
339,ọkụ,fire
193,mbụ,first
260,azụ,fish
643,kwekọrọ,fit
458,ise,five
694,larịị,flat
720,ebe,floor
644,asọpụta,flow
596,ifuru,flower
406,ofufe,fly
76,na-eso,follow
216,nri,food
366,ụkwụ,foot
7,n’ihi na,for
358,ike,force
552,ọhịa,forest
130,ụdị,form
922,anya,forward
207,hụrụ,found
218,anọ,four
551,akụkụ,fraction
440,free,free
836,ọhụrụ,fresh
257,enyi,friend
17,si,from
429,n’ihu,front
755,mkpụrụ,fruit
357,zuru,full
586,ọchị,fun
384,egwuregwu,game
638,ubi,garden
588,gas,gas
980,akpọkọta,gather
433,nyere,gave
526,n’ozuzu,general
798,nwayọọ,gentle
106,nweta,get
303,nwa agbọghọ,girl
123,nye,give
864,obi ụtọ na,glad
577,iko,glass
179,aga,go
373,ọlaedo,gold
599,gawara,gone
121,mma,good
281,wee,got
496,akara,govern
535,akwa,grand
578,ahịhịa,grass
990,isi awọ,gray
132,akwa,great
434,akwụkwọ ndụ akwụkwọ ndụ,green
629,na-eto,grew
464,n’ala,ground
286,otu,group
210,na-eto,grow
801,maa amụma,guess
924,na-eduzi,guide
840,égbè,gun
28,nwere,had
717,ntutu isi,hair
336,ọkara,half
64,aka,hand
332,eme,happen
594,obi ụtọ,happy
231,ike,hard
174,nwere,has
953,okpu,hat
15,nwere,have
5,enye,he
201,isi,head
265,hear,hear
451,nụrụ,heard
540,obi,heart
390,okpomọkụ,heat
543,arọ,heavy
716,mkpọrọgwụ,held
135,aka,help
167,ya,her
71,ebe a,here
