number,chinese,english
1,一,a
15,个,a
221,個,a
495,一個,a
685,一件,a
754,阿,a
913,a,a
225,几,a few
870,才能,ability
131,一下,about
631,不在,absence
705,绝,absolutely
888,接受,accepted
197,据,according to
135,经,after
159,後,after
581,之后,after
600,以后,after
780,后,after
826,以后,after
976,再,again
773,前,ago
42,啊,ah
486,嗯,ah
790,艾,ai
736,空,air
232,所有,all
838,沒事,all right
437,已經,already
996,已,already
9,也,also
45,还,also
186,還,also
34,和,and
77,与,and
139,而,and
143,又,and
326,而且,and
358,且,and
764,并,and
945,埃,angstrom
731,另一,another
570,反,anti-
53,任何,any
385,任何人,anyone
118,诉,appeal
427,约,approximately
85,正在,are
299,区,area
434,条,article
864,登,ascend
796,问,ask
212,褉,aspx.
153,混蛋,asshole
148,于,at
827,至少,at least
528,晚上,at night
943,攻,attack
537,奥,austrian
712,回到,back to
404,坏,bad
436,不好,bad
444,球,ball
359,帶,band
500,带,band
281,基,base
22,是,be
979,被,be
702,害怕,be afraid
524,受,be subject
223,结,bear
847,拍,beat
161,漂亮,beautiful
105,因,because
423,因為,because
231,成,become
410,之前,before
218,始,beginning
222,相信,believe
176,钟,bell
142,间,between
652,黑,black
803,福,blessing
832,块,block
744,血,blood
589,伯,bo
897,萨,bodhisattva
52,身,body
599,身上,body
776,体,body
825,身上,body
605,弹,bomb
508,书,book
724,怀,bosom
39,都,both
305,两,both
291,烦,bother
942,男孩,boy
250,脑,brain
178,科,branch
815,小子,brat
726,断,break
893,破,break
833,快走,brisk walking
293,英,britain
166,哥,brother
841,老兄,brother
409,兄弟,brothers
362,佛,buddha
370,建,build
263,束,bundle
574,局,bureau
622,务,business
174,忙,busy
76,可是,but
110,但是,but
717,却,but
801,不過,but
966,但,but
261,买,buy
568,靠,by
616,由,by
368,承,by order of the
901,历,calendar
120,叫,call
4,会,can
452,可,can
672,能不能,can
950,能,can
956,可以,can
997,會,can
104,不能,can not
249,不起,can not afford to
927,资,capital
130,车,car
755,卡,card
842,抓,catch
845,抓住,catch
154,礼,ceremony
207,一定,certainly
67,证,certificate
606,改,change
661,换,change
751,变,change
918,追,chase
911,骗,cheat
753,查,check
910,检,check
658,小孩,child
960,儿,child
995,子,child
460,孩子,children
653,华,china
693,择,choose
386,城市,city
396,市,city
655,城,city
929,要求,claim
378,磲,clams
535,类,class
865,班,class
714,清楚,clear
862,聪,clever
280,闭,close
471,关,close
519,合,close
906,密,close
784,布,cloth
550,服,clothes
637,衣服,clothes
696,码,code
660,咖啡,coffee
715,冷,cold
394,领,collar
627,统,collectively
649,色,color
16,来,come
114,來,come
382,過來,come
853,回來,come back
289,公司,company
917,完,complete
933,完成,complete
536,复,complex
290,况,condition
611,续,continue
665,控制,control
925,酷,cool
992,芯,core
836,算,count
144,国,country
566,蟹,crab
422,疯,crazy
46,过,cross
158,過,cross
860,交,cross
267,文,culture
915,杯,cup
543,爸,dad
351,媽的,damn
151,担,dan
806,危,danger
667,敢,dare
240,天,day
634,日,day
552,顿,dayton
127,死,dead
349,死了,dead
387,死亡,death
80,决,decide
572,度,degree
84,部,department
343,迪,di
