number,french,english
33,un,a
422,capable,able
158,sur,about
307,au-dessus,above
77,acte,act
68,ajouter,add
917,peur,afraid
111,après,after
91,encore,again
483,contre,against
675,âge,age
381,il ya,ago
796,se mettre d’accord,agree
55,air,air
151,tous,all
841,permettre,allow
57,aussi,also
287,toujours,always
541,h,am
400,entre,among
48,un,an
32,et,and
998,colère,anger
92,animal,animal
208,réponse,answer
101,tout,any
491,apparaître,appear
927,pomme,apple
9,sont,are
335,zone,area
547,bras,arm
968,organiser,arrange
850,arriver,arrive
518,art,art
1,comme,as
79,interroger,ask
13,à,at
786,atome,atom
701,bébé,baby
112,arrière,back
624,mauvais,bad
536,balle,ball
934,bande,band
646,banque,bank
872,bar,bar
264,base,base
944,de base,basic
808,chauve-souris,bat
12,être,be
592,porter,bear
746,battre,beat
425,beauté,beauty
504,lit,bed
198,été,been
143,avant,before
258,a commencé,began
280,commencer,begin
445,derrière,behind
509,croire,believe
815,cloche,bell
452,meilleur,best
454,mieux,better
219,entre,between
73,grand,big
314,oiseau,bird
731,peu,bit
326,noir,black
951,bloc,block
627,sang,blood
625,coup,blow
359,bleu,blue
569,conseil,board
371,bateau,boat
316,corps,body
792,os,bone
251,livre,book
972,né,born
290,tous les deux,both
689,bas,bottom
928,acheté,bought
417,boîte,box
146,garçon,boy
912,branche,branch
869,pain,bread
620,pause,break
587,clair,bright
393,apporter,bring
993,large,broad
654,cassé,broke
505,frère,brother
389,apporté,brought
636,brun,brown
97,construire,build
723,brûler,burn
368,occupé,busy
21,mais,but
706,acheter,buy
18,par,by
192,appel,call
118,est venu,came
969,camp,camp
36,boîte,can
751,capital,capital
800,capitaine,captain
297,voiture,car
933,carte,card
299,soins,care
252,porter,carry
655,cas,case
726,chat,cat
565,capture,catch
781,pris,caught
140,la cause,cause
508,cellule,cell
630,cent,cent
486,centre,center
727,siècle,century
405,certain,certain
753,chaise,chair
979,chance,chance
81,changement,change
779,caractère,character
870,charger,charge
952,graphique,chart
383,vérifier,check
881,poussin,chick
829,chef,chief
665,enfant,child
279,enfants,children
641,choisir,choose
862,corde,chord
529,cercle,circle
227,ville,city
999,revendication,claim
329,classe,class
619,propre,clean
446,clair,clear
683,montée,climb
831,horloge,clock
245,proche,close
597,vêtir,clothe
678,nuage,cloud
732,côte,coast
931,manteau,coat
