number,uyghur,english
33,а,a
422,сәләтле,able
158,турында,about
307,өстә,above
77,акт,act
68,өстәргә,add
917,курка,afraid
111,аннан соң,after
91,тагын,again
483,каршы,against
675,яшь,age
381,элек,ago
796,риза,agree
55,һава,air
151,барысы да,all
841,рөхсәт итегез,allow
57,шулай ук,also
287,гел,always
541,мин,am
400,арасында,among
48,ан,an
32,һәм,and
998,ачу,anger
92,хайван,animal
208,җавап,answer
101,теләсә нинди,any
491,пәйда була,appear
927,алма,apple
9,бар,are
335,мәйданы,area
547,кул,arm
968,тәртипкә китерегез,arrange
850,килеп җит,arrive
518,сәнгать,art
1,кебек,as
79,сора,ask
13,чыгыш,at
786,атом,atom
701,сабый,baby
112,кире,back
624,начар,bad
536,туп,ball
934,төркем,band
646,банк,bank
872,бар,bar
264,нигез,base
944,төп,basic
808,бат,bat
12,бул,be
592,аю,bear
746,кыйнау,beat
425,матурлык,beauty
504,карават,bed
198,булды,been
143,элек,before
258,башланды,began
280,башларга,begin
445,артта,behind
509,ышан,believe
815,кыңгырау,bell
452,иң яхшы,best
454,яхшырак,better
219,арасында,between
73,зур,big
314,кош,bird
731,бераз,bit
326,кара,black
951,блок,block
627,кан,blood
625,сугу,blow
359,зәңгәр,blue
569,такта,board
371,көймә,boat
316,тән,body
792,сөяк,bone
251,китап,book
972,туган,born
290,икесе дә,both
689,аста,bottom
928,сатып алынган,bought
417,тартма,box
146,малай,boy
912,филиал,branch
869,икмәк,bread
620,тәнәфес,break
587,якты,bright
393,алып кил,bring
993,киң,broad
654,ватылды,broke
505,абый,brother
389,алып килделәр,brought
636,коңгырт,brown
97,төзү,build
723,яндыру,burn
368,мәшгуль,busy
21,ләкин,but
706,сатып ал,buy
18,тарафыннан,by
192,шалтырату,call
118,килде,came
969,лагерь,camp
36,булдыра ала,can
751,капитал,capital
800,капитан,captain
297,машина,car
933,карточка,card
299,кайгырту,care
252,алып бару,carry
655,очрак,case
726,мәче,cat
565,тоту,catch
781,тотылды,caught
140,сәбәп,cause
508,күзәнәк,cell
630,цент,cent
486,үзәк,center
727,гасыр,century
405,билгеле,certain
753,урындык,chair
979,мөмкинлек,chance
81,үзгәртү,change
779,характер,character
870,заряд,charge
952,диаграмма,chart
383,тикшерегез,check
881,тавык,chick
829,начальнигы,chief
665,бала,child
279,балалар,children
641,сайлау,choose
862,аккорд,chord
529,түгәрәк,circle
227,шәһәр,city
999,таләп,claim
329,класс,class
619,чиста,clean
446,чиста,clear
683,менү,climb
831,сәгать,clock
245,ябык,close
597,киен,clothe
678,болыт,cloud
732,яр,coast
931,пальто,coat
498,салкын,cold
647,җыю,collect
830,колония,colony
270,төс,color
986,багана,column
180,кил,come
372,уртак,common
956,компаниясе,company
812,чагыштырыгыз,compare
333,тулы,complete
940,шарт,condition
859,тоташу,connect
728,карагыз,consider
667,сузык аваз,consonant
428,эчендә,contain
1000,континент,continent
950,дәвам итегез,continue
649,контроль,control
719,пешерегез,cook
684,салкын,cool
733,күчереп алу,copy
811,кукуруз,corn
773,почмак,corner
421,дөрес,correct
634,бәясе,cost
971,мамык,cotton
178,булдыра алыр иде,could
513,санагыз,count
206,ил,country
354,курс,course
215,каплау,cover
579,сыер,cow
698,эрү,crease
805,булдыру,create
768,уҗым культурасы,crop
229,кросс,cross
810,халык,crowd
409,ела,cry
847,ток,current
267,кисү,cut
868,әти,dad
544,бию,dance
754,куркыныч,danger
410,караңгы,dark
177,көн,day
843,үлде,dead
960,килешү,deal
882,кадерлем,dear
903,үлем,death
361,карар,decide
650,дистә,decimal
363,тирән,deep
879,дәрәҗәсе,degree
816,бәйле,depend
718,тасвирла,describe
845,чүл,desert
685,дизайн,design
973,билгеләү,determine
437,үсеш,develop
669,сүзлек,dictionary
181,эшләде,did
609,үлә,die
138,төрле,differ
763,авыр,difficult
319,туры,direct
921,фикер алышу,discuss
395,ерак,distant
532,бүлү,divide
855,бүленү,division
41,эшлә,do
764,табиб,doctor
51,эшли,does
317,эт,dog
921,доллар,dollar
424,эшләнде,done
242,эшләмә,don’t
324,ишек,door
948,икеләтә,double
196,аста,down
238,рәсем,draw
938,хыял,dream
677,кием,dress
885,эч,drink
426,диск,drive
539,төшү,drop
377,коры,dry
876,үрдәк,duck
456,вакытында,during
49,һәрберсе,each
651,колак,ear
461,иртә,early
99,җир,earth
284,җиңеллек,ease
397,көнчыгыш,east
255,ашау,eat
581,кыр,edge
789,эффект,effect
506,йомырка,egg
702,сигез,eight
721,яисә,either
790,электр,electric
770,элемент,element
652,бүтән,else
60,ахыр,end
883,дошман,enemy
501,энергия,energy
545,двигатель,engine
301,җитте,enough
834,керегез,enter
639,тигез,equal
386,тигезләү,equate
915,аеруча,especially
69,хәтта,even
939,кич,evening
958,вакыйга,event
308,гел,ever
120,һәрбер,every
607,төгәл,exact
283,мисал,example
613,башка,except
747,дулкынландыр,excite
563,күнегүләр,exercise
791,көтегез,expect
925,тәҗрибә,experience
688,эксперимент,experiment
222,күз,eye
271,йөз,face
449,факт,fact
645,ярминкә,fair
407,егылу,fall
318,гаилә,family
820,танылган,famous
236,ерак,far
230,фермасы,farm
467,тиз,fast
863,май,fat
100,әтисе,father
858,хуплау,favor
823,курку,fear
941,туклану,feed
312,тою,feel
298,аяк,feet
642,егылды,fell
534,сизелде,felt
249,бик аз,few
419,кыр,field
916,инҗир,fig
744,сугыш,fight
415,фигурасы,figure
396,тутыру,fill
432,финал,final
200,табу,find
404,әйбәт,fine
741,бармак,finger
593,тәмамлау,finish
339,ут,fire
193,башта,first
260,балык,fish
643,туры килә,fit
458,биш,five
694,яссы,flat
720,идән,floor
644,агым,flow
596,чәчәк,flower
406,оча,fly
76,иярегез,follow
216,ризык,food
366,аяк,foot
7,өчен,for
358,көч,force
552,урман,forest
130,форма,form
922,forward,forward
207,табылды,found
218,дүрт,four
551,фракция,fraction
440,бушлай,free
836,яңа,fresh
257,дус,friend
17,дан,from
429,фронт,front
755,җимеш,fruit
357,тулы,full
586,күңелле,fun
384,уен,game
638,бакча,garden
588,газ,gas
980,җыел,gather
433,бирде,gave
526,гомуми,general
798,йомшак,gentle
106,алу,get
303,кыз,girl
123,бир,give
864,шат,glad
577,пыяла,glass
179,бар,go
373,алтын,gold
599,китте,gone
121,яхшы,good
281,алдым,got
496,идарә итү,govern
535,олы,grand
578,үлән,grass
990,соры,gray
132,бик яхшы,great
434,яшел,green
629,үсә,grew
464,җир,ground
286,төркем,group
210,үсә,grow
801,фаразлау,guess
924,кулланма,guide
840,мылтык,gun
28,булган,had
717,чәч,hair
336,ярты,half
64,кул,hand
332,була,happen
594,бәхетле,happy
231,авыр,hard
174,бар,has
953,шляпа,hat
15,бар,have
5,ул,he
201,баш,head
265,ишет,hear
451,ишеттеләр,heard
540,йөрәк,heart
390,җылылык,heat
543,авыр,heavy
716,үткәрелде,held
135,ярдәм итегез,help
167,herәр сүзнең,her
71,монда,here
74,биек,high
724,калкулык,hill
172,аны,him
3,аның,his
788,тарих,history
771,хит,hit
462,тоту,hold
699,тишек,hole
62,өй,home
595,өмет,hope
266,ат,horse
19,кайнар,hot
387,кайнар,hot
453,сәгать,hour
87,йорт,house
46,ничек,how
918,бик зур,huge
787,кеше,human
457,йөз,hundred
502,ау,hunt
828,ашык,hurry
2,мин,i
527,боз,ice
259,идея,idea
44,if,if
794,күз алдыгызга китерегез,imagine
34,.әр сүзнең,in
351,дюйм,inch
531,кертегез,include
783,күрсәтегез,indicate
742,сәнәгате,industry
780,бөҗәк,insect
877,мизгел,instant
575,корал,instrument
465,кызыксыну,interest
970,уйлап табу,invent
691,тимер,iron
24,була,is
365,утрау,island
25,it,it
580,эш,job
617,кушыл,join
570,шатлык,joy
700,сикерү,jump
129,гадел,just
221,саклагыз,keep
576,сакланган,kept
690,ачкыч,key
657,үтерү,kill
84,игелекле,kind
349,патша,king
344,белә иде,knew
189,бел,know
621,ханым,lady
659,күл,lake
70,җир,land
399,тел,language
66,зур,large
224,соңгы,last
240,соң,late
379,көлү,laugh
730,закон,law
482,ята,lay
408,кургаш,lead
213,өйрәнү,learn
610,ким дигәндә,least
321,китү,leave
929,индикатор,led
239,сулда,left
562,аягы,leg
516,озынлык,length
474,кимрәк,less
225,рөхсәт ит,let
293,хат,letter
978,дәрәҗәсе,level
745,ялган,lie
248,тормыш,life
848,лифт,lift
83,яктылык,light
164,кебек,like
137,сызык,line
894,сыеклык,liquid
310,исемлеге,list
470,тыңла,listen
113,аз,little
109,яшә,live
777,табу,locate
895,бүрәнә,log
561,ялгыз,lone
168,озын,long
175,кара,look
635,югалды,lost
687,күп,lot
662,көчле,loud
487,мәхәббәт,love
136,түбән,low
411,машина,machine
108,ясалган,made
909,магнит,magnet
273,төп,main
835,майор,major
169,ясарга,make
116,кеше,man
159,күп,many
493,карта,map
291,билгесе,mark
878,базар,market
932,масса,mass
851,мастер,master
913,матч,match
550,материал,material
528,материя,matter
195,булырга мөмкин,may
122,мин,me
142,уртача,mean
896,дигән сүз,meant
323,үлчәү,measure
817,ит,meat
704,очрашу,meet
601,көй,melody
80,ирләр,men
709,металл,metal
672,ысулы,method
656,урта,middle
233,булырга мөмкин,might
295,миль,mile
670,саварга,milk
591,миллион,million
444,акыл,mind
832,минеке,mine
441,минут,minute
388,сагыну,miss
631,катнаш,mix
769,заманча,modern
987,молекула,molecule
660,мизгел,moment
489,акча,money
590,ай,month
364,ай,moon
176,күбрәк,more
475,иртә,morning
185,күпчелек,most
94,әни,mother
892,хәрәкәт,motion
566,монтаж,mount
261,тау,mountain
606,авыз,mouth
144,хәрәкәт,move
141,күп,much
352,тапкырлау,multiply
288,музыка,music
72,булырга тиеш,must
187,минем,my
126,исем,name
668,милләт,nation
748,табигый,natural
889,табигать,nature
96,янында,near
802,кирәк,necessary
900,муен,neck
86,кирәк,need
806,күрше,neighbor
223,беркайчан да,never
102,яңа,new
277,алга,next
246,төн,night
975,тугыз,nine
184,юк,no
977,шау-шу,noise
767,төш,noon
947,һәм,nor
250,төньяк,north
996,борын,nose
412,тамга,note
353,бернәрсә дә,nothing
499,белдерү,notice
418,исем,noun
199,хәзер,now
182,саны,number
328,сан,numeral
360,объект,object
664,күзәтегез,observe
886,була,occur
438,океан,ocean
30,һәм,of
85,сүндерелгән,off
873,тәкъдим,offer
603,офис,office
292,еш,often
435,о,oh
626,нефть,oil
147,карт,old
8,өстендә,on
263,бер тапкыр,once
14,бер,one
114,гына,only
274,ачык,open
760,эшлә,operate
963,киресенчә,opposite
27,яки,or
338,заказ,order
673,орган,organ
865,оригиналь,original
38,бүтән,other
124,безнең,our
37,чыга,out
188,бетте,over
203,үз,own
901,кислород,oxygen
204,бит,page
398,буяу,paint
530,пар,pair
285,кәгазь,paper
713,абзац,paragraph
853,ата-ана,parent
104,өлеше,part
959,аерым,particular
774,кичә,party
345,узу,pass
584,үткән,past
893,юл,path
484,үрнәк,pattern
674,түләү,pay
186,кешеләр,people
510,бәлки,perhaps
782,период,period
488,кеше,person
734,гыйбарә,phrase
511,сайлау,pick
88,рәсем,picture
342,кисәк,piece
930,тишек,pitch
107,урын,place
302,гади,plain
414,план,plan
375,самолет,plane
827,планета,planet
214,үсемлек,plant
58,уйнау,play
765,зинһар,please
997,күплек,plural
813,шигырь,poem
93,пункт,point
686,ярлы,poor
880,халык,populate
65,порт,port
320,поза,pose
546,позиция,position
374,мөмкин,possible
860,пост,post
423,фунт,pound
402,көче,power
761,практика,practice
994,әзерлән,prepare
542,хәзерге,present
244,басыгыз,press
904,бик матур,pretty
842,бастыру,print
503,ихтимал,probable
341,проблема,problem
759,процесс,process
448,җитештермә,produce
325,продукт,product
871,тиеш,proper
985,милек,property
766,сакла,protect
560,исбатлау,prove
795,тәэмин итү,provide
497,киеренкелек,pull
711,этәргеч,push
61,куегыз,put
974,квартал,quart
331,сорау,question
436,тиз,quick
680,тыныч,quiet
653,шактый,quite
897,квотиент,quotient
554,узыш,race
784,радио,radio
793,тимер юл,rail
494,яңгыр,rain
707,күтәрү,raise
382,йөгерде,ran
890,диапазоны,range
809,киресенчә,rather
466,барып җитү,reach
63,укыгыз,read
306,әзер,ready
247,реаль,real
515,сәбәп,reason
604,алу,receive
370,язма,record
309,кызыл,red
520,төбәк,region
459,исегездә тотыгыз,remember
991,кабатлау,repeat
884,җавап,reply
517,вәкиллеге,represent
992,таләп итә,require
420,ял,rest
722,нәтиҗә,result
756,бай,rich
507,йөртү,ride
145,уң,right
778,шыңгырау,ring
623,күтәрелү,rise
296,елга,river
492,юл,road
337,кыя,rock
739,ролл,roll
256,бүлмә,room
705,тамыр,root
935,аркан,rope
840,роза,rose
115,түгәрәк,round
605,рәт,row
818,сөртегез,rub
495,кагыйдә,rule
241,йөгер,run
725,куркынычсыз,safe
47,– диде,said
549,җилкән,sail
995,тоз,salt
149,шул ук,same
737,ком,sand
572,утырды,sat
648,саклагыз,save
235,кара,saw
134,әйтегез,say
661,масштаб,scale
209,мәктәп,school
254,фән,science
926,хисап,score
237,диңгез,sea
837,эзләү,search
907,сезон,season
949,урын,seat
300,икенче,second
676,бүлек,section
171,кара,see
615,орлык,seed
275,кебек,seem
874,сегмент,segment
988,сайлагыз,select
98,үзең,self
954,сату,sell
838,җибәрү,send
750,мәгънә,sense
640,җибәрелгән,sent
131,җөмлә,sentence
762,аерым,separate
490,хезмәт ит,serve
52,көйләү,set
523,урнаштыру,settle
712,җиде,seven
478,берничә,several
715,.әр сүзнең,shall
385,формасы,shape
866,бүлешү,share
803,үткен,sharp
150,ул,she
856,таблица,sheet
899,кабыгы,shell
984,балкып тор,shine
334,кораб,ship
965,аяк киеме,shoe
981,кибет,shop
854,яр,shore
327,кыска,short
205,тиеш,should
966,җилкә,shoulder
612,кычкыр,shout
119,шоу,show
197,ягы,side
284,күрү,sight
582,билге,sign
735,эндәшми,silent
910,көмеш,silver
923,охшаш,similar
477,гади,simple
346,шуннан,since
469,җырла,sing
692,ялгыз,single
919,апа,sister
553,утыр,sit
471,алты,six
