number,russian,english
33,основной,a
422,состоянии,able
158,о,about
307,выше,above
77,акт,act
68,добавлять,add
917,боится,afraid
111,после,after
91,снова,again
483,против,against
675,возраст,age
381,назад,ago
796,соглашаться,agree
55,воздух,air
151,все,all
841,позволять,allow
57,также,also
287,всегда,always
541,утра,am
400,среди,among
48,назад,an
32,и,and
998,гнев,anger
92,животных,animal
208,ответ,answer
101,любой,any
491,появляются,appear
927,яблоко,apple
9,являются,are
335,площадь,area
547,рука,arm
968,организовать,arrange
850,приходим,arrive
518,искусство,art
1,как,as
79,спросите,ask
13,в,at
786,атом,atom
701,ребенок,baby
112,назад,back
624,плохо,bad
536,мяч,ball
934,полоса,band
646,банк,bank
872,бар,bar
264,база,base
944,основной,basic
808,летучая мышь,bat
12,быть,be
592,нести,bear
746,бить,beat
425,красота,beauty
504,кровать,bed
198,был,been
143,до,before
258,начал,began
280,начать,begin
445,за,behind
509,верить,believe
815,колокол,bell
452,лучше,best
454,лучше,better
219,между,between
73,большой,big
314,птица,bird
731,немного,bit
326,черный,black
951,блок,block
627,кровь,blood
625,удар,blow
359,синий,blue
569,доска,board
371,лодка,boat
316,тело,body
792,кость,bone
251,книга,book
972,родившийся,born
290,как,both
689,снизу,bottom
928,купленный,bought
417,коробка,box
146,мальчик,boy
912,филиал,branch
869,хлеб,bread
620,перерыв,break
587,яркий,bright
393,приносить,bring
993,широкий,broad
654,сломал,broke
505,брат,brother
389,принес,brought
636,коричневый,brown
97,строить,build
723,сжечь,burn
368,занято,busy
21,но,but
706,купить,buy
18,по,by
192,вызов,call
118,пришел,came
969,лагерь,camp
36,может,can
751,капитал,capital
800,капитан,captain
297,автомобиль,car
933,карта,card
299,уход,care
252,нести,carry
655,дело,case
726,кошка,cat
565,улов,catch
781,пойманный,caught
140,причиной,cause
508,клеток,cell
630,цент,cent
486,центр,center
727,век,century
405,уверен,certain
753,стул,chair
979,шанс,chance
81,изменение,change
779,характер,character
870,взимать,charge
952,диаграмма,chart
383,проверять,check
881,цыпленок,chick
829,главный,chief
665,ребенок,child
279,дети,children
641,выбирать,choose
862,аккорд,chord
529,круг,circle
227,город,city
999,претензии,claim
329,класс,class
619,чистый,clean
446,ясно,clear
683,подъем,climb
831,часы,clock
245,близко,close
597,одевать,clothe
678,облако,cloud
732,побережье,coast
931,пальто,coat
498,холодный,cold
647,собирать,collect
830,колония,colony
270,цвет,color
986,колонка,column
180,приходят,come
372,общая,common
956,компания,company
812,сравнить,compare
333,полная,complete
940,состояние,condition
859,подключать,connect
728,рассматривать,consider
667,согласный,consonant
428,содержать,contain
1000,континент,continent
950,продолжать,continue
649,контроль,control
719,повар,cook
684,круто,cool
733,копия,copy
811,кукуруза,corn
773,угол,corner
421,верный,correct
634,стоимость,cost
971,хлопок,cotton
178,мог,could
513,считать,count
206,страна,country
354,курс,course
215,крышка,cover
579,корова,cow
698,складка,crease
805,создавать,create
768,урожай,crop
229,пересекают,cross
810,толпа,crowd
409,крик,cry
847,ток,current
267,вырезать,cut
868,папа,dad
544,танец,dance
754,опасность,danger
410,темно,dark
177,день,day
843,мертвый,dead
960,сделка,deal
882,дорогой,dear
903,смерть,death
361,решать,decide
650,десятичной,decimal
363,глубоко,deep
879,степень,degree
816,зависеть,depend
718,описывать,describe
845,пустыня,desert
685,дизайн,design
973,определять,determine
437,развивать,develop
669,словарь,dictionary
181,сделал,did
609,умереть,die
138,отличаются,differ
763,трудный,difficult
319,прямой,direct
921,обсуждать,discuss
395,удаленная,distant
532,разделяй,divide
855,деление,division
41,сделать,do
764,врач,doctor
51,делает,does
317,собака,dog
921,доллар,dollar
424,сделано,done
242,не,don’t
324,дверь,door
948,двойной,double
196,вниз,down
238,привлечь,draw
938,мечтать,dream
677,платье,dress
885,напиток,drink
426,привод,drive
539,падение,drop
377,сухой,dry
876,утка,duck
456,во,during
49,каждый,each
651,ухо,ear
461,рано,early
99,земля,earth
284,легкость,ease
397,восток,east
255,есть,eat
581,край,edge
789,эффект,effect
506,яйцо,egg
702,восемь,eight
721,или,either
790,электрический,electric
770,элемент,element
652,еще,else
60,конец,end
883,враг,enemy
501,энергия,energy
545,двигатель,engine
301,достаточно,enough
834,введите,enter
639,равный,equal
386,приравнять,equate
915,особенно,especially
69,даже,even
939,вечер,evening
958,мероприятие,event
308,когда-либо,ever
120,каждый,every
607,точный,exact
283,пример,example
613,кроме,except
747,возбуждать,excite
563,упражнение,exercise
791,ожидать,expect
925,опыт,experience
688,эксперимент,experiment
222,глаз,eye
271,лицо,face
449,факт,fact
645,ярмарка,fair
407,падать,fall
318,семья,family
820,известный,famous
236,далеко,far
230,ферма,farm
467,быстро,fast
863,жира,fat
100,отец,father
858,пользу,favor
823,страх,fear
941,корма,feed
312,чувствовать,feel
298,футов,feet
642,упал,fell
534,чувствовал,felt
249,несколько,few
419,поле,field
916,рис,fig
744,борьба,fight
415,фигура,figure
396,заполнить,fill
432,окончательный,final
200,находить,find
404,отлично,fine
741,палец,finger
593,отделка,finish
339,огонь,fire
193,первый,first
260,рыба,fish
643,соответствовать,fit
458,пять,five
694,плоским,flat
720,этаж,floor
644,течь,flow
596,цветок,flower
406,летать,fly
76,следовать,follow
216,еда,food
366,фут,foot
7,для,for
358,сила,force
552,лес,forest
130,форма,form
922,вперед,forward
207,найдено,found
218,четыре,four
551,доля,fraction
440,бесплатно,free
836,свежий,fresh
257,друг,friend
17,от,from
429,передние,front
755,фрукты,fruit
357,полный,full
586,весело,fun
384,игра,game
638,сад,garden
588,газа,gas
980,собирать,gather
433,дал,gave
526,общий,general
798,нежный,gentle
106,получать,get
303,девушка,girl
123,давать,give
864,довольный,glad
577,стекло,glass
179,идти,go
373,золото,gold
599,ушел,gone
121,хорошее,good
281,получил,got
496,управлять,govern
535,великий,grand
578,трава,grass
990,серый,gray
132,большой,great
434,зеленый,green
629,выросла,grew
464,земля,ground
286,группа,group
210,расти,grow
801,догадываться,guess
924,направлять,guide
840,пистолет,gun
28,было,had
717,волосы,hair
336,половина,half
64,рука,hand
332,произойдет,happen
594,счастливы,happy
231,трудно,hard
174,имеет,has
953,шляпа,hat
15,иметь,have
5,он,he
201,руководитель,head
265,слышать,hear
451,слышал,heard
540,сердце,heart
390,тепло,heat
543,тяжелый,heavy
716,ручные,held
135,помощь,help
167,ее,her
71,здесь,here
74,высокий,high
724,холм,hill
172,его,him
3,его,his
788,история,history
771,хит,hit
462,удерживайте,hold
699,отверстие,hole
62,домой,home
595,надеюсь,hope
266,лошадь,horse
19,горячий,hot
387,горячий,hot
453,час,hour
87,дом,house
46,как,how
918,огромный,huge
787,человек,human
457,сто,hundred
502,охота,hunt
828,спешить,hurry
2,я,i
527,лед,ice
259,идея,idea
44,если,if
794,вообразить,imagine
34,взял,in
351,дюйм,inch
531,включают,include
783,указывать,indicate
742,промышленность,industry
780,насекомое,insect
877,растворимый,instant
575,инструмент,instrument
465,интерес,interest
970,изобретать,invent
691,железо,iron
24,является,is
365,остров,island
25,это,it
580,работа,job
617,присоединиться,join
570,радость,joy
700,прыжок,jump
129,просто,just
221,держать,keep
576,хранится,kept
690,ключ,key
657,убивать,kill
84,вид,kind
349,король,king
344,знал,knew
189,знать,know
621,леди,lady
659,озеро,lake
70,земля,land
399,язык,language
66,большой,large
224,последнее,last
240,поздно,late
379,смех,laugh
730,закон,law
482,заложить,lay
408,привести,lead
213,учиться,learn
610,мере,least
321,оставить,leave
929,привело,led
239,слева,left
562,нога,leg
516,длина,length
474,меньше,less
225,позволять,let
293,письмо,letter
978,уровень,level
745,ложь,lie
248,жизнь,life
848,лифт,lift
83,свет,light
164,подобно,like
137,линия,line
894,жидкости,liquid
310,список,list
470,слушать,listen
113,немного,little
109,жить,live
777,разместить,locate
895,войти,log
561,одинокий,lone
168,долго,long
175,искать,look
635,потерянный,lost
687,много,lot
662,громко,loud
487,любовь,love
136,низкий,low
411,машина,machine
108,сделал,made
909,магнит,magnet
273,основной,main
835,основным,major
169,сделать,make
116,человек,man
159,многие,many
493,карта,map
291,знак,mark
878,рынок,market
932,масса,mass
851,мастер,master
913,матч,match
550,материал,material
528,дело,matter
195,может,may
122,меня,me
142,означать,mean
896,означало,meant
323,измерять,measure
817,мясо,meat
704,знакомства,meet
601,мелодия,melody
80,люди,men
709,металла,metal
672,метод,method
656,средний,middle
233,мощи,might
295,км,mile
670,молоко,milk
591,миллион,million
444,ум,mind
832,шахта,mine
441,минут,minute
388,мисс,miss
631,смешивать,mix
769,современный,modern
987,молекула,molecule
660,момент,moment
489,деньги,money
590,месяц,month
364,луна,moon
176,еще,more
475,утро,morning
185,наиболее,most
94,мать,mother
892,движение,motion
566,крепление,mount
261,гора,mountain
606,рот,mouth
144,движение,move
141,много,much
352,умножить,multiply
288,музыка,music
72,должны,must
187,мой,my
126,название,name
668,нация,nation
748,естественный,natural
889,природа,nature
96,около,near
802,необходимо,necessary
900,шея,neck
86,нуждаться,need
806,сосед,neighbor
223,никогда не,never
102,новый,new
277,следующий,next
246,ночь,night
975,девять,nine
184,нет,no
977,шум,noise
767,полдень,noon
947,ни,nor
250,к северу,north
996,нос,nose
412,примечание,note
353,ничего,nothing
499,уведомление,notice
418,существительное,noun
199,сейчас,now
182,число,number
328,цифра,numeral
360,объект,object
664,наблюдать,observe
886,происходить,occur
438,океан,ocean
30,из,of
85,от,off
873,предложение,offer
603,офис,office
292,часто,often
435,ой,oh
626,масло,oil
147,старый,old
8,на,on
263,раз,once
14,один,one
114,только,only
274,открыт,open
760,работать,operate
963,напротив,opposite
27,или,or
338,порядок,order
673,орган,organ
865,оригинальный,original
38,другой,other
124,наш,our
37,из,out
188,над,over
203,самостоятельно,own
901,кислорода,oxygen
204,страница,page
398,краска,paint
530,пара,pair
285,бумага,paper
713,пункт,paragraph
853,родитель,parent
104,часть,part
959,частности,particular
774,партия,party
345,проходить,pass
584,мимо,past
893,путь,path
484,шаблон,pattern
674,платить,pay
186,люди,people
510,"возможно,",perhaps
782,период,period
488,человек,person
734,фраза,phrase
511,выбрать,pick
88,картинка,picture
342,кусок,piece
930,шаг,pitch
107,место,place
302,равнина,plain
414,план,plan
375,самолет,plane
827,планета,planet
214,завод,plant
58,играть,play
765,пожалуйста,please
997,множественное,plural
813,стихотворение,poem
93,точка,point
686,бедный,poor
880,заселять,populate
65,порт,port
320,представляют,pose
546,положение,position
374,возможно,possible
860,пост,post
423,фунт,pound
402,мощность,power
761,практика,practice
994,подготовить,prepare
542,присутствует,present
244,нажмите,press
904,довольно,pretty
842,печать,print
503,вероятный,probable
341,проблема,problem
759,процесс,process
448,производить,produce
325,продукт,product
871,собственно,proper
985,имущество,property
766,защищать,protect
560,доказывать,prove
795,обеспечить,provide
497,тянуть,pull
711,толчок,push
61,положить,put
974,кварта,quart
331,вопрос,question
436,быстро,quick
680,тихо,quiet
653,вполне,quite
897,фактор,quotient
554,гонка,race
784,радио,radio
793,железнодорожные,rail
494,дождь,rain
707,поднимать,raise
382,побежал,ran
890,диапазон,range
809,а,rather
466,достичь,reach
63,читать,read
306,готовый,ready
247,реальный,real
515,причина,reason
604,получать,receive
370,запись,record
309,красный,red
520,область,region
459,запомнить,remember
991,повторение,repeat
884,ответ,reply
517,представлять,represent
992,требовать,require
420,остальные,rest
722,результат,result
756,богатые,rich
507,поездка,ride
