number,sinhala,english
33,වූ,a
422,හැකි,able
158,ගැන,about
307,ඉහත,above
77,පනත,act
68,එකතු,add
917,බිය,afraid
111,පසු,after
91,නැවත,again
483,එරෙහිව,against
675,වයස අවුරුදු,age
381,පෙර,ago
796,එකඟ,agree
55,ගුවන්,air
151,සියලු,all
841,ඉඩ,allow
57,ද,also
287,සෑම විටම,always
541,am,am
400,අතර,among
48,ක,an
32,හා,and
998,කෝපය,anger
92,සත්ව,animal
208,පිළිතුර,answer
101,ඕනෑම,any
491,පෙනී,appear
927,ඇපල්,apple
9,ඇත,are
335,ප්රදේශයේ,area
547,අත,arm
968,සූදානම්,arrange
850,පැමිණීමට,arrive
518,කලා,art
1,ලෙස,as
79,අහන්න,ask
13,දී,at
786,පරමාණුවක්,atom
701,බබා,baby
112,ආපසු,back
624,නරක,bad
536,ක්රීඞා,ball
934,සංගීත කණ්ඩායම,band
646,බැංකු,bank
872,තීරුව,bar
264,පදනම,base
944,මූලික,basic
808,පන්දුවට පහර දුන්,bat
12,විය,be
592,වලසා,bear
746,ගුටි,beat
425,රූපලාවන්ය,beauty
504,ඇඳ,bed
198,වී,been
143,පෙර,before
258,ආරම්භ,began
280,ආරම්භය,begin
445,පිටුපස,behind
509,විශ්වාස,believe
815,සීනුව,bell
452,හොඳම,best
454,වඩා හොඳ,better
219,අතර,between
73,විශාල,big
314,පක්ෂි,bird
731,ටිකක්,bit
326,කළු,black
951,දරන ඉඩම් ෙකොටස්ෙලස ෙපන්නුම් ෙකොට ඇත්තා,block
627,ලේ,blood
625,පහරක්,blow
359,නිල්,blue
569,මණ්ඩලය,board
371,බෝට්ටු,boat
316,ශරීරය,body
792,අස්ථි,bone
251,පොත,book
972,උපත,born
290,දෙකම,both
689,පහළ,bottom
928,මිලදී ගත්,bought
417,කොටුව,box
146,පිරිමි ළමයා,boy
912,ශාඛා,branch
869,පාන්,bread
620,විවේකයක්,break
587,දීප්තිමත්,bright
393,ගෙන ඒමට,bring
993,පුළුල්,broad
654,කඩා,broke
505,සහෝදරයා,brother
389,ගෙන එන,brought
636,දුඹුරු,brown
97,ඉදි,build
723,පිළිස්සුම්,burn
368,කාර්යබහුල,busy
21,නමුත්,but
706,මිලදී,buy
18,විසින්,by
192,ඇමතුම්,call
118,පැමිණි,came
969,කඳවුරේ,camp
36,පුළුවන්,can
751,ප්රාග්ධන,capital
800,නායක,captain
297,මෝටර් රථ,car
933,කාඩ්,card
299,සත්කාර,care
252,රැගෙන,carry
655,නඩුව,case
726,බළලා,cat
565,අතට උඩ පන්දුවක්,catch
781,අල්ලා,caught
140,හේතුව,cause
508,සෛල,cell
630,සියයට,cent
486,මධ්යස්ථානයක්,center
727,සියවසේ,century
405,ඇතැම්,certain
753,පුටුවක්,chair
979,අවස්ථාවක්,chance
81,වෙනස්,change
779,චරිත,character
870,භාර,charge
952,සටහන,chart
383,චෙක්පත,check
881,කෑල්ල,chick
829,ප්රධාන,chief
665,ළමා,child
279,දරුවන්,children
641,තෝරා,choose
862,හැඟීම් ඇවිස්සුවේ,chord
529,රවුම,circle
227,නගරය,city
999,හිමිකම,claim
329,පන්ති,class
619,පිරිසිදු,clean
446,පැහැදිලි,clear
683,ක්ලයිම්බ්,climb
831,ඔරලෝසුව,clock
245,සමීප,close
597,ඇදුම්,clothe
678,වලාකුළක්,cloud
732,වෙරළ,coast
931,කබාය,coat
498,සීතල,cold
647,එකතු,collect
830,යටත් විජිතයක්,colony
270,වර්ණ,color
986,තීරුව,column
180,පැමිණ,come
372,පොදු,common
956,සමාගම,company
812,සංසන්දනය,compare
333,සම්පූර්ණ,complete
940,තත්ත්වය,condition
859,සම්බන්ධ,connect
728,සලකා,consider
667,යෙදෙන ව්යාංජනාක්ෂර,consonant
428,අඩංගු,contain
1000,මහාද්වීපය,continent
950,දිගටම,continue
649,පාලනය,control
719,කුක්,cook
684,සිසිල්,cool
733,පිටපතක්,copy
811,ඉරිඟු,corn
773,කෙළවරේ,corner
421,නිවැරදි,correct
634,පිරිවැය,cost
971,කපු,cotton
178,හැකි,could
513,ගණන්,count
206,රට,country
354,පාඨමාලාව,course
215,ආවරණය,cover
579,ගව,cow
698,තණතීරුව,crease
805,නිර්මාණය,create
768,බෝග,crop
229,හරස්,cross
