number,urdu,english
33,ایک,a
422,قابل,able
158,کے بارے میں,about
307,اوپر,above
77,ایکٹ,act
68,شامل,add
917,ڈر,afraid
111,کے بعد,after
91,پھر,again
483,کے خلاف,against
675,عمر,age
381,پہلے,ago
796,اتفاق,agree
55,ہوا,air
151,تمام,all
841,کی اجازت,allow
57,بھی,also
287,ہمیشہ,always
541,صبح,am
400,میں,among
48,ایک,an
32,اور,and
998,غصہ,anger
92,جانور,animal
208,جواب,answer
101,کوئی بھی,any
491,ظاہر,appear
927,ایپل,apple
9,ہیں,are
335,علاقے,area
547,بازو,arm
968,بندوبست,arrange
850,پہنچ,arrive
518,فن,art
1,کے طور پر,as
79,پوچھنا,ask
13,میں,at
786,ایٹم,atom
701,بچے,baby
112,واپس,back
624,برا,bad
536,گیند,ball
934,بینڈ,band
646,بینک,bank
872,بار,bar
264,بنیاد,base
944,بنیادی,basic
808,بیٹ,bat
12,ہو,be
592,برداشت,bear
746,شکست دی,beat
425,خوبصورتی,beauty
504,بستر,bed
198,رہا,been
143,پہلے,before
258,شروع,began
280,شروع,begin
445,پیچھے,behind
509,یقین,believe
815,گھنٹی,bell
452,بہترین,best
454,بہتر,better
219,کے درمیان,between
73,بڑا,big
314,برڈ,bird
731,سا,bit
326,سیاہ,black
951,بلاک,block
627,خون,blood
625,دھچکا,blow
359,بلیو,blue
569,بورڈ,board
371,کشتی,boat
316,جسم,body
792,ہڈی,bone
251,کتاب,book
972,پیدا ہوا,born
290,دونوں,both
689,نیچے,bottom
928,خریدا,bought
417,باکس,box
146,لڑکے,boy
912,شاخ,branch
869,روٹی,bread
620,وقفے,break
587,روشن,bright
393,لانے کے,bring
993,وسیع,broad
654,توڑ دیا,broke
505,بھائی,brother
389,لایا,brought
636,براؤن,brown
97,تعمیر,build
723,جلا,burn
368,مصروف,busy
21,لیکن,but
706,خریدنے کے,buy
18,کی طرف سے,by
192,کال,call
118,آیا,came
969,کیمپ,camp
36,کر سکتے ہیں,can
751,دارالحکومت,capital
800,کیپٹن,captain
297,کار,car
933,کارڈ,card
299,دیکھ بھال,care
252,لے جانے کے,carry
655,کیس,case
726,بلی,cat
565,کیچ,catch
781,پکڑے,caught
140,وجہ,cause
508,سیل,cell
630,فیصد,cent
486,مرکز,center
727,صدی,century
405,کچھ,certain
753,کرسی,chair
979,موقع,chance
81,تبدیلی,change
779,کردار,character
870,چارج,charge
952,چارٹ,chart
383,چیک,check
881,لڑکی,chick
829,چیف,chief
665,بچے,child
279,بچوں,children
641,منتخب کریں,choose
862,راگ,chord
529,دائرے,circle
227,شہر,city
999,دعوی,claim
329,کلاس,class
619,صاف,clean
446,واضح,clear
683,چڑھنے,climb
831,گھڑی,clock
245,بند کریں,close
597,کپڑے,clothe
678,بادل,cloud
732,کوسٹ,coast
931,کوٹ,coat
498,سرد,cold
647,جمع,collect
830,کالونی,colony
270,رنگین,color
986,کالم,column
180,آئے,come
372,عام,common
956,کمپنی,company
812,موازنہ,compare
333,مکمل,complete
940,حالت,condition
859,مربوط,connect
728,غور,consider
667,آواز,consonant
428,پر مشتمل ہے,contain
1000,براعظم,continent
950,جاری,continue
649,کنٹرول,control
719,کک,cook
684,ڈاؤن لوڈ، اتارنا,cool
733,کاپی,copy
811,مکئی,corn
773,کونے,corner
421,صحیح,correct
634,قیمت,cost
971,کپاس,cotton
178,کر سکتے ہیں,could
513,شمار,count
206,ملک,country
354,کورس,course
215,کور,cover
579,گائے,cow
698,کریج,crease
805,تخلیق,create
768,فصل,crop
229,پار,cross
810,بھیڑ,crowd
409,رونا,cry
847,موجودہ,current
267,کٹ,cut
868,والد,dad
544,رقص,dance
754,خطرہ,danger
410,سیاہ,dark
177,دن,day
843,مردہ,dead
960,معاہدے,deal
882,عزیز,dear
903,موت,death
361,فیصلہ,decide
650,دشملو,decimal
363,گہری,deep
879,ڈگری,degree
816,انحصار,depend
718,وضاحت,describe
845,صحرا,desert
685,ڈیزائن,design
973,کا تعین,determine
437,ترقی,develop
669,ڈکشنری,dictionary
181,کیا,did
609,مر,die
138,اختلاف,differ
763,مشکل,difficult
319,براہ راست,direct
921,بات چیت,discuss
395,دور,distant
532,تقسیم,divide
855,ڈویژن,division
41,کر,do
764,ڈاکٹر,doctor
51,کرتا ہے,does
317,کتا,dog
921,ڈالر,dollar
424,ہو گیا,done
242,نہیں,don’t
324,دروازہ,door
948,ڈبل,double
196,نیچے,down
238,اپنی طرف متوجہ,draw
938,خواب,dream
