number,spanish,english
33,un,a
822,capaz,able
258,acerca,about
607,por encima de,above
77,acto,act
68,añadir,add
1817,miedo,afraid
211,después,after
91,de nuevo,again
883,contra,against
1275,edad,age
681,hace,ago
1496,acuerdo,agree
55,aire,air
251,todo,all
1641,permitir,allow
57,también,also
487,siempre,always
1041,am,am
700,entre,among
48,un,an
32,y,and
1898,cólera,anger
92,animal,animal
408,respuesta,answer
201,cualquier,any
891,aparecerá,appear
1827,manzana,apple
9,son,are
635,zona,area
1047,brazo,arm
1868,organizar,arrange
1650,llegar,arrive
1018,arte,art
1,como,as
79,preguntar,ask
13,en,at
1486,átomo,atom
1401,bebé,baby
212,espalda,back
1224,mal,bad
1036,bola,ball
1834,banda,band
1246,banco,bank
1672,barra,bar
464,base de,base
1844,básico,basic
1608,bate,bat
12,ser,be
1092,soportar,bear
1446,batir,beat
825,belleza,beauty
1004,cama,bed
298,estado,been
243,antes,before
458,comenzó,began
480,comenzar,begin
845,detrás,behind
1009,creer,believe
1615,campana,bell
852,mejor,best
854,mejor,better
419,entre,between
73,grande,big
614,pájaro,bird
1431,bit,bit
626,negro,black
1851,bloque,block
1227,sangre,blood
1225,golpe,blow
659,azul,blue
1069,bordo,board
671,barco,boat
616,cuerpo,body
1492,hueso,bone
451,libro,book
1872,nacido,born
490,ambos,both
1289,inferior,bottom
1828,comprado,bought
817,caja,box
246,niño,boy
1812,rama,branch
1669,pan,bread
1220,rotura,break
1087,brillante,bright
693,traer,bring
1893,amplio,broad
1254,rompió,broke
1005,hermano,brother
689,traído,brought
1236,marrón,brown
97,construir,build
1423,quemar,burn
668,ocupado,busy
21,pero,but
1406,comprar,buy
18,por,by
292,llamada,call
218,vino,came
1869,campamento,camp
36,lata,can
1451,de capital,capital
1500,capitán,captain
497,coche,car
1833,tarjeta,card
499,cuidado,care
452,llevar,carry
1255,caso,case
1426,gato,cat
1065,capturas,catch
1481,capturado,caught
240,causa,cause
1008,celular,cell
1230,ciento,cent
886,centro,center
1427,siglo,century
805,cierto,certain
1453,silla,chair
1879,oportunidad,chance
81,cambio,change
1479,carácter,character
1670,cobrar,charge
1852,tabla,chart
683,comprobar,check
1681,polluelo,chick
1629,jefe,chief
1265,niño,child
479,niños,children
1241,elegir,choose
1662,acorde,chord
1029,círculo,circle
427,ciudad,city
1899,reclamación,claim
629,clase,class
1219,limpia,clean
846,claro,clear
1283,ascenso,climb
1631,reloj,clock
445,cerrar,close
1097,vestir,clothe
1278,nube,cloud
1432,costa,coast
1831,abrigo,coat
898,frío,cold
1247,recoger,collect
1630,colonia,colony
470,colores,color
1886,columna,column
280,venir,come
672,común,common
1856,empresa,company
1612,comparar,compare
633,completo,complete
1840,condición,condition
1659,conectar,connect
1428,considerar,consider
1267,consonante,consonant
828,contener,contain
1900,continente,continent
1850,continuar,continue
1249,el control,control
1419,cocinero,cook
1284,fresco,cool
1433,copia,copy
1611,maíz,corn
1473,esquina,corner
821,correcta,correct
1234,costo,cost
1871,algodón,cotton
278,podía,could
1013,contar,count
406,país,country
654,curso,course
415,cubierta,cover
1079,vaca,cow
1298,pliegue,crease
1605,crear,create
1468,de cultivos,crop
429,cruzar,cross
1610,multitud,crowd
809,grito,cry
1647,actual,current
467,cortada,cut
1668,papá,dad
1044,danza,dance
1454,peligro,danger
810,oscuro,dark
277,día,day
1643,muerto,dead
1860,acuerdo,deal
1682,querido,dear
1803,muerte,death
661,decidir,decide
1250,decimal,decimal
663,profunda,deep
1679,grado,degree
1616,dependerá,depend
1418,describir,describe
1645,desierto,desert
1285,diseño,design
1873,determinar,determine
837,desarrollar,develop
1269,diccionario,dictionary
281,hizo,did
1209,morir,die
238,ser distinto,differ
1463,difícil,difficult
619,directa,direct
1821,discutir,discuss
695,distante,distant
1032,brecha,divide
1655,división,division
41,hacer,do
1464,médico,doctor
51,hace,does
617,perro,dog
1721,dólar,dollar
824,hecho,done
442,no,don’t
624,puerta,door
1848,doble,double
296,abajo,down
438,dibujar,draw
1838,soñar,dream
1277,vestido,dress
1685,bebida,drink
826,unidad,drive
1039,caer,drop
677,seco,dry
1676,pato,duck
856,durante,during
49,cada,each
1251,oído,ear
861,temprana,early
99,tierra,earth
484,aliviar,ease
697,al este,east
455,comer,eat
1081,borde,edge
1489,efecto,effect
1006,huevo,egg
1402,ocho,eight
1421,ya sea,either
1490,eléctrica,electric
1470,elemento,element
1252,demás,else
60,fin,end
1683,enemigo,enemy
1001,energía,energy
1045,motor,engine
601,suficiente,enough
1634,entrar,enter
1239,igual,equal
686,equiparar,equate
1815,especialmente,especially
69,incluso,even
1839,noche,evening
1858,evento,event
608,nunca,ever
220,cada,every
1207,exacta,exact
483,ejemplo,example
1213,excepto,except
1447,excitar,excite
1063,ejercicio,exercise
1491,esperar,expect
1825,experiencia,experience
1288,experimento,experiment
422,ojo,eye
471,cara,face
849,hecho,fact
1245,justo,fair
807,caer,fall
618,familia,family
1620,famoso,famous
436,ahora,far
430,granja,farm
867,rápido,fast
1663,grasa,fat
100,padre,father
1658,favorecer,favor
1623,miedo,fear
1841,pienso,feed
612,sentir,feel
498,pies,feet
1242,cayó,fell
1034,sentido,felt
449,pocos,few
819,campo,field
1816,higo,fig
1444,lucha,fight
815,figura,figure
696,llenar,fill
832,último,final
300,encontrar,find
804,fina,fine
1441,dedo,finger
1093,acabado,finish
639,fuego,fire
293,primero,first
460,peces,fish
1243,encajar,fit
858,cinco,five
1294,plana,flat
1420,piso,floor
1244,fluir,flow
1096,flor,flower
