number,sindhi,english
33,هڪ,a
422,وس,able
158,جي باري ۾,about
307,مٿي,above
77,ايڪٽ,act
68,شامل,add
917,ڊڄو,afraid
111,پوء,after
91,ٻيهر,again
483,خلاف,against
675,عمر,age
381,اڳ,ago
796,متفق,agree
55,هوائي,air
151,سڀ,all
841,جي اجازت,allow
57,به,also
287,هميشه,always
541,آهيان,am
400,مان,among
48,هڪ,an
32,۽,and
998,ڪاوڙ,anger
92,حيوان,animal
208,جواب,answer
101,ڪنهن به,any
491,ظاهر,appear
927,صوف,apple
9,آهن,are
335,علائقي,area
547,بجا,arm
968,بندوبست,arrange
850,پهچڻ,arrive
518,فن,art
1,جيئن,as
79,پڇا ڳاڇا,ask
13,تي,at
786,جوهر,atom
701,بيبي,baby
112,واپس,back
624,خراب,bad
536,طالب المولي,ball
934,موڪلايو,band
646,ڪناري تي,bank
872,بار,bar
264,بنيادي طور,base
944,بنيادي,basic
808,بيٽ,bat
12,ٿي,be
592,کڻندو,bear
746,نزاڪت,beat
425,حسن,beauty
504,پلنگ,bed
198,ٿي,been
143,کان اڳ,before
258,شروع,began
280,شروع,begin
445,پويان,behind
509,ايمان,believe
815,بيل,bell
452,بهترين,best
454,ڀلي,better
219,جي وچ ۾,between
73,وڏي,big
314,پکي,bird
731,سا,bit
326,ڪارو,black
951,بلاڪ,block
627,رت,blood
625,لڳڻ,blow
359,نيرو,blue
569,بورڊ,board
371,ٻيڙيء,boat
316,جسم,body
792,بون,bone
251,ڪتاب,book
972,ڄائو,born
290,ٻنهي,both
689,تري ۾,bottom
928,خريد,bought
417,باڪس,box
146,ڇوڪرو,boy
912,شاخ,branch
869,ماني,bread
620,وقفو,break
587,روشن,bright
393,آڻيو,bring
993,وسيع,broad
654,ڀڃي,broke
505,ڀاءُ,brother
389,حاضر,brought
636,ناسي,brown
97,کپن,build
723,ساڙيو,burn
368,مصروف,busy
21,پر,but
706,خريد,buy
18,جي,by
192,سڏ,call
118,آيو,came
969,ڪيمپ,camp
36,سگهن ٿا,can
751,گاديء جو,capital
800,ڪئپٽن,captain
297,ڪار,car
933,ڪارڊ,card
299,خيال,care
252,کڻڻ,carry
655,صورت,case
726,بلي,cat
565,پڪڙي,catch
781,پڪڙجي,caught
140,سبب,cause
508,سيل,cell
630,سيڪڙو,cent
486,مرڪز,center
727,صدي عيسويء,century
405,ڪجهه,certain
753,شخصيتن,chair
979,اتفاق,chance
81,تبديلي,change
779,ڪردار,character
870,چارج,charge
952,چارٽ,chart
383,چيڪ,check
881,نوت,chick
829,چيف,chief
665,ٻار,child
279,ٻارن,children
641,چونڊي,choose
862,راگ گري,chord
529,جو دائرو,circle
227,شهر,city
999,دعوي,claim
329,طبقاتي,class
619,صاف,clean
446,واضح,clear
683,چڙهڻ,climb
831,گھڙي,clock
245,بند,close
597,ملائيندا,clothe
678,ڪڪر,cloud
732,سامونڊي ڪناري,coast
931,ڪوٽ,coat
498,ڀڌ,cold
647,گڏ,collect
830,ڪالوني,colony
270,رنگ,color
986,ڪالمن,column
180,اچي,come
372,عام,common
956,ڪمپني,company
812,صورت,compare
333,مڪمل,complete
940,حالت,condition
859,سان ڳنڍڻ,connect
728,غور,consider
667,ٻيڙي,consonant
428,تي مشتمل,contain
1000,سنسڪرت,continent
950,جاري,continue
649,ڪنٽرول,control
719,پچائڻ,cook
684,عمده,cool
733,ڪاپي,copy
811,کارن,corn
773,ڪنڊ,corner
421,صحيح,correct
634,خرچ,cost
