number,thai,english
33,กรอก,a
422,สามารถ,able
158,เกี่ยวกับ,about
307,ข้างบน,above
77,การกระทำ,act
68,เพิ่ม,add
917,กลัว,afraid
111,หลังจากที่,after
91,อีกครั้ง,again
483,กับ,against
675,อายุ,age
381,ที่ผ่านมา,ago
796,ตกลง,agree
55,อากาศ,air
151,ทั้งหมด,all
841,อนุญาตให้,allow
57,ด้วย,also
287,เสมอ,always
541,am,am
400,ในหมู่,among
48,บิน,an
32,และ,and
998,ความโกรธ,anger
92,สัตว์,animal
208,คำตอบ,answer
101,ใด ๆ,any
491,ปรากฏ,appear
927,แอปเปิล,apple
9,มี,are
335,พื้นที่,area
547,แขน,arm
968,จัด,arrange
850,มาถึง,arrive
518,ศิลปะ,art
1,เป็น,as
79,ขอให้,ask
13,ที่,at
786,อะตอม,atom
701,ทารก,baby
112,กลับ,back
624,ไม่ดี,bad
536,ลูก,ball
934,วงดนตรี,band
646,ธนาคาร,bank
872,บาร์,bar
264,ฐาน,base
944,ขั้นพื้นฐาน,basic
808,ค้างคาว,bat
12,จะเป็น,be
592,แบก,bear
746,เอาชนะ,beat
425,ความงาม,beauty
504,เตียง,bed
198,รับ,been
143,ก่อนที่จะ,before
258,เริ่ม,began
280,เริ่มต้น,begin
445,ที่อยู่เบื้องหลัง,behind
509,เชื่อ,believe
815,ระฆัง,bell
452,ที่ดีที่สุด,best
454,ที่ดีกว่า,better
219,ระหว่าง,between
73,ใหญ่,big
314,นก,bird
731,บิต,bit
326,สีดำ,black
951,บล็อก,block
627,เลือด,blood
625,ระเบิด,blow
359,สีฟ้า,blue
569,คณะกรรมการ,board
371,เรือ,boat
316,ร่างกาย,body
792,กระดูก,bone
251,หนังสือ,book
972,เกิด,born
290,ทั้งสอง,both
689,ด้านล่าง,bottom
928,ซื้อ,bought
417,กล่อง,box
146,เด็กชาย,boy
912,สาขา,branch
869,ขนมปัง,bread
620,ทำลาย,break
587,สดใส,bright
393,นำมาซึ่ง,bring
993,กว้าง,broad
654,ยากจน,broke
505,พี่ชายของ,brother
389,นำ,brought
636,สีน้ำตาล,brown
97,สร้าง,build
723,เผา,burn
368,ยุ่ง,busy
21,แต่,but
706,ซื้อ,buy
18,โดย,by
192,โทร,call
118,มา,came
969,ค่าย,camp
36,สามารถ,can
751,ทุน,capital
800,กัปตัน,captain
297,รถ,car
933,บัตร,card
299,การดูแล,care
252,พกพา,carry
655,กรณี,case
726,แมว,cat
565,จับ,catch
781,จับ,caught
140,สาเหตุ,cause
508,เซลล์,cell
630,ร้อยละ,cent
486,ศูนย์,center
727,ศตวรรษที่,century
405,บางอย่าง,certain
753,เก้าอี้,chair
979,โอกาส,chance
81,การเปลี่ยนแปลง,change
779,ตัวอักษร,character
870,คิดค่าใช้จ่าย,charge
952,แผนภูมิ,chart
383,ตรวจสอบ,check
881,เจี๊ยบ,chick
829,หัวหน้า,chief
665,เด็ก,child
279,เด็ก,children
641,เลือก,choose
862,คอร์ด,chord
529,วงกลม,circle
227,เมือง,city
999,อ้าง,claim
329,ชั้น,class
619,ทำความสะอาด,clean
446,ที่ชัดเจน,clear
683,ปีน,climb
831,นาฬิกา,clock
245,ใกล้,close
597,ตกแต่ง,clothe
678,เมฆ,cloud
732,ชายฝั่ง,coast
931,เสื้อโค้ท,coat
498,เย็น,cold
647,การเก็บรวบรวม,collect
830,อาณานิคม,colony
270,สี,color
986,คอลัมน์,column
180,มา,come
372,ที่พบบ่อย,common
956,บริษัท,company
812,เปรียบเทียบ,compare
333,สมบูรณ์,complete
940,สภาพ,condition
859,เชื่อมต่อ,connect
728,พิจารณา,consider
667,พยัญชนะ,consonant
428,มี,contain
1000,ทวีป,continent
950,ดำเนินการต่อไป,continue
649,การควบคุม,control
719,ปรุงอาหาร,cook
684,เย็น,cool
733,สำเนา,copy
811,ข้าวโพด,corn
773,มุม,corner
421,ถูกต้อง,correct
634,ค่าใช้จ่าย,cost
971,ผ้าฝ้าย,cotton
178,สามารถทำได้,could
513,นับ,count
206,ประเทศ,country
354,แน่นอน,course
215,ปก,cover
579,วัว,cow
698,รอยพับ,crease
805,สร้าง,create
768,การเพาะปลูก,crop
229,ข้าม,cross
810,ฝูงชน,crowd
409,ร้องไห้,cry
847,ปัจจุบัน,current
267,ตัด,cut
868,พ่อ,dad
544,การเต้นรำ,dance
754,อันตราย,danger
410,มืด,dark
177,วัน,day
843,ที่ตายแล้ว,dead
960,ข้อตกลง,deal
882,ที่รัก,dear
903,ความตาย,death
361,ตัดสินใจ,decide
650,ทศนิยม,decimal
363,ลึก,deep
879,องศา,degree
816,ขึ้นอยู่,depend
718,อธิบาย,describe
845,ทะเลทราย,desert
685,ออกแบบ,design
973,กำหนด,determine
437,การพัฒนา,develop
669,พจนานุกรม,dictionary
181,ได้,did
609,ตาย,die
138,แตกต่าง,differ
763,ยาก,difficult
319,โดยตรง,direct
921,หารือเกี่ยวกับ,discuss
395,ที่ห่างไกล,distant
532,แบ่ง,divide
855,ส่วน,division
41,ทำ,do
764,แพทย์,doctor
51,ไม่,does
317,สุนัข,dog
921,ดอลล่า,dollar
424,เสร็จแล้ว,done
242,ทำไม่ได้,don’t
324,ประตู,door
948,สอง,double
196,ลง,down
238,วาด,draw
938,ฝัน,dream
677,การแต่งกาย,dress
885,เครื่องดื่ม,drink
426,ไดรฟ์,drive
539,หล่น,drop
377,แห้ง,dry
876,เป็ด,duck
456,ในช่วง,during
49,แต่ละ,each
651,หู,ear
461,ตอนต้น,early
99,โลก,earth
284,บรรเทา,ease
397,ทางทิศตะวันออก,east
255,กิน,eat
581,ขอบ,edge
789,ผลกระทบ,effect
506,ไข่,egg
702,แปด,eight
721,อย่างใดอย่างหนึ่ง,either
790,ไฟฟ้า,electric
770,องค์ประกอบ,element
652,อื่น,else
60,ปลาย,end
883,ศัตรู,enemy
501,พลังงาน,energy
545,เครื่องยนต์,engine
301,พอ,enough
834,ใส่,enter
639,เท่ากัน,equal
386,ถือเอา,equate
915,โดยเฉพาะอย่างยิ่ง,especially
69,แม้กระทั่ง,even
939,ตอนเย็น,evening
958,เหตุการณ์,event
308,เคย,ever
120,ทุก,every
607,ที่แน่นอน,exact
283,ตัวอย่างเช่น,example
613,ยกเว้น,except
747,ตื่นเต้น,excite
563,การออกกำลังกาย,exercise
791,คาดหวังว่า,expect
925,ประสบการณ์,experience
688,การทดลอง,experiment
222,ตา,eye
271,ใบหน้า,face
449,ความเป็นจริง,fact
645,ยุติธรรม,fair
407,ตก,fall
318,ครอบครัว,family
820,ที่มีชื่อเสียง,famous
236,ห่างไกล,far
230,ฟาร์ม,farm
467,อย่างรวดเร็ว,fast
863,ไขมัน,fat
100,พ่อของ,father
858,ชอบ,favor
823,ความกลัว,fear
941,อาหารสัตว์,feed
312,รู้สึก,feel
298,ฟุต,feet
642,ลดลง,fell
534,รู้สึกว่า,felt
249,น้อย,few
419,สนาม,field
916,มะเดื่อ,fig
744,สู้,fight
415,รูปที่,figure
396,กรอก,fill
432,สุดท้าย,final
200,หา,find
404,ปรับ,fine
741,ลายนิ้วมือ,finger
593,เสร็จ,finish
339,ไฟไหม้,fire
193,เป็นครั้งแรก,first
260,ปลา,fish
643,พอดี,fit
458,ห้า,five
694,แบน,flat
720,ชั้น,floor
644,ไหล,flow
596,ดอกไม้,flower
406,บิน,fly
76,ทำตาม,follow
216,อาหาร,food
366,เท้า,foot
7,สำหรับ,for
358,แรง,force
552,ป่า,forest
130,รูปแบบ,form
922,ข้างหน้า,forward
207,พบ,found
218,สี่,four
551,ส่วน,fraction
440,ฟรี,free
836,สด,fresh
257,เพื่อน,friend
17,จาก,from
429,ด้านหน้า,front
755,ผลไม้,fruit
357,เต็ม,full
586,สนุก,fun
384,เกม,game
638,สวน,garden
588,ก๊าซ,gas
980,รวบรวม,gather
433,ให้,gave
526,ทั่วไป,general
798,อ่อนโยน,gentle
106,ได้รับ,get
303,สาว,girl
123,ให้,give
864,ดีใจ,glad
577,แก้ว,glass
179,ไป,go
373,ทอง,gold
599,หายไป,gone
121,ดี,good
281,ได้,got
496,ควบคุม,govern
535,ยิ่งใหญ่,grand
578,หญ้า,grass
990,สีเทา,gray
132,ที่ดี,great
434,สีเขียว,green
629,เพิ่มขึ้น,grew
464,พื้นดิน,ground
286,กลุ่ม,group
210,เติบโต,grow
801,เดา,guess
924,แนะนำ,guide
840,ปืน,gun
28,มี,had
717,ผม,hair
336,ครึ่ง,half
64,มือ,hand
332,เกิดขึ้น,happen
594,มีความสุข,happy
231,อย่างหนัก,hard
174,มี,has
953,หมวก,hat
15,มี,have
5,เขา,he
201,หัว,head
265,ได้ยิน,hear
451,ได้ยิน,heard
540,การเต้นของหัวใจ,heart
390,ความร้อน,heat
543,หนัก,heavy
716,ชู,held
135,ช่วย,help
167,เธอ,her
71,ที่นี่,here
74,สูง,high
724,เนินเขา,hill
172,เขา,him
3,ของเขา,his
788,ประวัติศาสตร์,history
771,ตี,hit
462,ถือ,hold
699,หลุม,hole
62,บ้าน,home
595,หวังว่า,hope
266,ม้า,horse
19,ร้อน,hot
387,ร้อน,hot
453,ชั่วโมง,hour
87,บ้าน,house
46,วิธี,how
918,ใหญ่,huge
787,มนุษย์,human
457,ร้อย,hundred
502,ล่า,hunt
828,รีบ,hurry
2,ฉัน,i
527,น้ำแข็ง,ice
259,ความคิดที่,idea
44,ถ้า,if
794,จินตนาการ,imagine
34,ใน,in
351,นิ้ว,inch
531,ประกอบด้วย,include
783,แสดง,indicate
742,อุตสาหกรรม,industry
780,แมลง,insect
877,ทันที,instant
575,เครื่องมือ,instrument
465,ที่น่าสนใจ,interest
970,คิดค้น,invent
691,เหล็ก,iron
24,เป็น,is
365,เกาะ,island
25,มัน,it
580,งาน,job
617,ร่วม,join
570,ความสุข,joy
700,กระโดด,jump
129,เพียงแค่,just
221,เก็บ,keep
576,เก็บไว้,kept
690,ที่สำคัญ,key
657,ฆ่า,kill
84,ชนิด,kind
349,กษัตริย์,king
344,รู้,knew
189,ทราบ,know
621,สุภาพสตรี,lady
659,ทะเลสาบ,lake
70,ที่ดิน,land
399,ภาษา,language
66,ที่มีขนาดใหญ่,large
224,สุดท้าย,last
240,ช่วงปลายเดือน,late
379,หัวเราะ,laugh
730,กฎหมาย,law
482,วาง,lay
408,นำไปสู่,lead
213,เรียน,learn
610,อย่างน้อย,least
321,ออกจาก,leave
929,นำ,led
239,ด้านซ้าย,left
562,ขา,leg
516,ระยะเวลา,length
474,น้อย,less
225,ให้,let
293,จดหมาย,letter
978,ระดับ,level
745,โกหก,lie
248,ชีวิต,life
848,ลิฟท์,lift
83,แสง,light
164,เช่น,like
137,สาย,line
894,ของเหลว,liquid
310,รายการ,list
470,ฟัง,listen
113,เล็ก ๆ น้อย ๆ,little
109,มีชีวิต,live
777,ค้นหา,locate
895,เข้าสู่ระบบ,log
561,คนเดียว,lone
168,ยาว,long
175,ดู,look
635,หายไป,lost
687,สลาก,lot
662,เสียงดัง,loud
487,ความรัก,love
136,ต่ำ,low
411,เครื่อง,machine
108,ทำ,made
909,แม่เหล็ก,magnet
273,หลัก,main
835,สำคัญ,major
169,ทำให้,make
116,คน,man
159,หลาย,many
493,แผนที่,map
291,เครื่องหมาย,mark
878,ตลาด,market
932,มวล,mass
851,ปริญญาโท,master
913,การแข่งขัน,match
550,วัสดุ,material
528,เรื่อง,matter
195,อาจ,may
122,ฉัน,me
142,หมายความ,mean
896,หมายความว่า,meant
323,วัด,measure
817,เนื้อ,meat
704,ตอบสนองความ,meet
601,เมโลดี้,melody
80,ผู้ชาย,men
709,โลหะ,metal
672,วิธีการ,method
656,ตรงกลาง,middle
233,อาจ,might
295,ไมล์,mile
670,นม,milk
591,ล้าน,million
444,จิตใจ,mind
832,เหมือง,mine
441,นาที,minute
388,พลาด,miss
631,ผสม,mix
769,ที่ทันสมัย,modern
987,โมเลกุล,molecule
660,ขณะ,moment
489,เงิน,money
590,เดือน,month
364,ดวงจันทร์,moon
176,ขึ้น,more
475,ตอนเช้า,morning
185,มากที่สุด,most
94,แม่,mother
892,การเคลื่อนไหว,motion
566,ภูเขา,mount
261,ภูเขา,mountain
606,ปาก,mouth
144,ย้าย,move
141,มาก,much
352,คูณ,multiply
288,เพลง,music
72,ต้อง,must
187,ของฉัน,my
126,ชื่อ,name
668,ประเทศชาติ,nation
748,ธรรมชาติ,natural
889,ธรรมชาติ,nature
96,อยู่ใกล้,near
802,จำเป็น,necessary
900,คอ,neck
86,ต้อง,need
806,เพื่อนบ้าน,neighbor
223,ไม่เคย,never
102,ใหม่,new
277,ต่อไป,next
246,คืน,night
975,เก้า,nine
184,ไม่มี,no
977,เสียงรบกวน,noise
767,เที่ยง,noon
947,หรือ,nor
250,เหนือ,north
996,จมูก,nose
412,บันทึก,note
353,ไม่มีอะไร,nothing
499,แจ้งให้ทราบล่วงหน้า,notice
418,คำนาม,noun
199,ตอนนี้,now
182,จำนวน,number
328,ตัวเลข,numeral
360,วัตถุ,object
664,สังเกต,observe
886,เกิดขึ้น,occur
438,มหาสมุทร,ocean
30,ของ,of
85,ออก,off
873,เสนอ,offer
603,สำนักงาน,office
292,มักจะ,often
435,โอ้,oh
626,น้ำมัน,oil
147,เก่า,old
8,บน,on
263,ครั้งเดียว,once
14,หนึ่ง,one
114,เท่านั้น,only
274,เปิด,open
760,ดำเนินการ,operate
963,ตรงข้าม,opposite
27,หรือ,or
338,เพื่อ,order
673,อวัยวะ,organ
865,เดิม,original
38,อื่น ๆ,other
124,ของเรา,our
37,ออก,out
188,กว่า,over
203,ของตัวเอง,own
901,ออกซิเจน,oxygen
204,หน้า,page
398,ทาสี,paint
530,คู่,pair
285,กระดาษ,paper
713,วรรค,paragraph
853,ผู้ปกครอง,parent
104,ส่วนหนึ่ง,part
959,โดยเฉพาะอย่างยิ่ง,particular
774,บุคคลที่,party
345,ผ่าน,pass
584,ที่ผ่านมา,past
893,เส้นทาง,path
484,ลวดลาย,pattern
674,จ่าย,pay
186,คน,people
510,บางทีอาจจะเป็น,perhaps
782,ระยะเวลา,period
488,คน,person
734,วลี,phrase
511,เลือก,pick
88,ภาพ,picture
342,ชิ้นส่วน,piece
930,สนาม,pitch
107,สถานที่ที่,place
302,ธรรมดา,plain
414,แผน,plan
375,เครื่องบิน,plane
827,ดาวเคราะห์,planet
214,พืช,plant
58,เล่น,play
765,กรุณา,please
997,พหูพจน์,plural
813,บทกวี,poem
93,จุด,point
686,ที่น่าสงสาร,poor
880,เติม,populate
65,พอร์ต,port
320,ท่าทาง,pose
546,ตำแหน่ง,position
374,เป็นไปได้,possible
860,เสา,post
423,ปอนด์,pound
402,อำนาจ,power
761,การปฏิบัติ,practice
994,การเตรียมความพร้อม,prepare
542,ปัจจุบัน,present
244,กด,press
904,สวย,pretty
