number,hmong,english
33,ib tug,a
422,muaj cuab kav,able
158,txog,about
307,saum toj no,above
77,act,act
68,ntxiv,add
917,ntshai,afraid
111,tom qab,after
91,dua,again
483,tawm tsam,against
675,muaj hnub nyoog,age
381,dhau los,ago
796,pom zoo,agree
55,cua,air
151,tag nrho cov,all
841,cia,allow
57,kuj,also
287,yeej ib txwm,always
541,yog,am
400,cov,among
48,ib,an
32,thiab,and
998,txoj kev chim siab,anger
92,tsiaj,animal
208,lus teb,answer
101,tej,any
491,tshwm,appear
927,kua,apple
9,yog,are
335,cheeb tsam,area
547,caj npab,arm
968,kho,arrange
850,tuaj txog,arrive
518,kos duab,art
1,raws li,as
79,nug,ask
13,ntawm,at
786,atom,atom
701,tus me nyuam,baby
112,rov qab,back
624,phem,bad
536,pob,ball
934,band,band
646,bank,bank
872,bar,bar
264,paus,base
944,yooj yim,basic
808,ntaus pob,bat
12,yuav,be
592,ua tim,bear
746,beat,beat
425,kev zoo nkauj,beauty
504,txaj,bed
198,tau,been
143,ua ntej,before
258,pib,began
280,pib,begin
445,qab,behind
509,ntseeg,believe
815,tswb,bell
452,zoo tshaj plaws,best
454,zoo dua,better
219,nruab nrab ntawm,between
73,loj,big
314,noog,bird
731,me ntsis,bit
326,dub,black
951,block,block
627,ntshav,blood
625,tshuab,blow
359,xiav,blue
569,rooj tswjhwm saib,board
371,nkoj,boat
316,lub cev,body
792,pob txha,bone
251,phau ntawv,book
972,yug,born
290,ob,both
689,hauv qab,bottom
928,yuav,bought
417,lub thawv,box
146,me nyuam tub,boy
912,ceg ntseeg tus,branch
869,cij,bread
620,so,break
587,kaj,bright
393,coj,bring
993,broad,broad
654,tsoo,broke
505,tus kwv tij,brother
389,coj,brought
636,xim av,brown
97,tsim,build
723,hlawv,burn
368,tibneeg hu tauj coob,busy
21,tab sis,but
706,yuav,buy
18,los ntawm,by
192,hu,call
118,tuaj,came
969,yeej thoj nam,camp
36,tau,can
751,peev,capital
800,nom,captain
297,tsheb,car
933,card,card
299,kev saib xyuas,care
252,nqa,carry
655,cov ntaub ntawv,case
726,miv,cat
565,catch,catch
781,ntes tau,caught
140,ua,cause
508,cell,cell
630,xees,cent
486,chaw,center
727,xyoo pua,century
405,tej yam,certain
753,lub rooj zaum,chair
979,lub caij nyoog,chance
81,kev hloov,change
