number,malagasy,english
33,ny,a
422,afaka,able
158,ny,about
307,ambony,above
77,zavatra,act
68,ampio,add
917,raiki-tahotra,afraid
111,rehefa,after
91,indray,again
483,manohitra,against
675,taona,age
381,lasa izay,ago
796,miombon-kevitra,agree
55,rivotra,air
151,rehetra,all
841,hamela,allow
57,koa,also
287,foana,always
541,aho,am
400,eo,among
48,iray,an
32,ary,and
998,fahatezerana,anger
92,biby,animal
208,valiny,answer
101,rehetra,any
491,hita,appear
927,paoma,apple
9,dia,are
335,faritra,area
547,sandry,arm
968,handamina,arrange
850,tonga,arrive
518,zava-kanto,art
1,toy ny,as
79,manontany,ask
13,amin’ny,at
786,tsivaky,atom
701,baby,baby
112,indray,back
624,ratsy,bad
536,baolina,ball
934,tarika,band
646,banky,bank
872,bar,bar
264,fototra,base
944,fototra,basic
808,ramanavy,bat
12,ho,be
592,mijoro ho,bear
746,nandresy,beat
425,hatsaran-tarehy,beauty
504,fandriana,bed
198,efa,been
143,talohan’ny,before
258,nanomboka,began
280,manomboka,begin
445,aoriana,behind
509,mino,believe
815,bell,bell
452,tsara indrindra,best
454,tsara kokoa,better
219,eo,between
73,lehibe,big
314,vorona,bird
731,kely,bit
326,mainty,black
951,andian-tsoratra,block
627,ra,blood
625,namely,blow
359,manga,blue
569,birao,board
371,sambokely,boat
316,vatana,body
792,taolana,bone
251,boky,book
972,born,born
290,samy,both
689,ambany,bottom
928,nividy,bought
417,boaty,box
146,zazalahy,boy
912,sampana,branch
869,mofo,bread
620,fiatoana,break
587,mamirapiratra,bright
393,mitondra,bring
993,malalaka,broad
654,namaky,broke
505,rahalahy,brother
389,nitondra,brought
636,brown,brown
97,hanorina,build
723,hodorana,burn
368,be asa,busy
21,fa,but
706,mividy,buy
18,amin’ny,by
192,antso,call
118,tonga,came
969,toby,camp
36,afaka,can
751,renivohitra,capital
800,komandin’ny,captain
297,fiara,car
933,karatra,card
299,fikarakarana,care
252,mitondra,carry
655,tranga,case
726,saka,cat
565,trondro,catch
781,tratra,caught
140,antony,cause
508,efitra,cell
630,-jato,cent
486,afovoany,center
727,taonjato,century
405,sasany,certain
753,seza,chair
979,kisendrasendra,chance
81,fanovana,change
779,toetra,character
870,mampianiana,charge
952,tabilao,chart
383,hanamarina,check
881,zana-borona,chick
829,lehiben’ny,chief
665,ankizy,child
279,ankizy,children
641,misafidy,choose
862,chord,chord
529,faribolana,circle
227,tanàna,city
999,fitarainana,claim
329,am-pianarana,class
619,madio,clean
446,mazava,clear
683,fihanihana,climb
831,famantaranandro,clock
245,akaiky,close
597,mitafy,clothe
678,rahona,cloud
732,fari-,coast
931,akanjo,coat
498,mangatsiaka,cold
647,hanangona,collect
830,zanatany,colony
270,loko,color
986,tsanganana,column
180,ho avy,come
372,iombonana,common
956,orinasa,company
812,ampitahao amin’ny,compare
333,tanteraka,complete
940,toe-,condition
859,mifandray,connect
728,diniho,consider
667,consonant,consonant
428,dia ahitana,contain
1000,kaontinanta,continent
950,foana,continue
649,fanaraha-maso,control
719,cook,cook
684,milay,cool
733,dika mitovy,copy
811,katsaka,corn
773,zoro,corner
421,marina,correct
634,vidin’ny,cost
971,landihazo,cotton
178,afaka,could
513,manisa,count
206,firenena,country
354,mazava ho azy fa,course
215,fonony,cover
579,omby vavy,cow
698,crease,crease
805,hamorona,create
768,vokatra,crop
229,miampita,cross
810,vahoaka,crowd
409,fitarainany,cry
847,amin’izao fotoana izao,current
267,notapatapahina,cut
868,dada,dad
544,dihy,dance
754,loza,danger
410,maizina,dark
177,andro,day
843,maty,dead
960,fifanarahana,deal
882,malala,dear
903,fahafatesana,death
361,manapa-kevitra,decide
650,decimal,decimal
363,lalina,deep
879,diplaoma,degree
816,miankina,depend
718,mamaritra,describe
845,efitra,desert
685,famolavolana,design
973,mamaritra,determine
437,hampitombo,develop
669,rakibolana,dictionary
181,nanao,did
609,faty,die
138,mitovy,differ
763,sarotra,difficult
319,mivantana,direct
921,hevitra,discuss
395,lavitra,distant
532,fisarahana,divide
855,fizarana,division
41,atao,do
764,dokotera,doctor
51,no,does
317,amboa,dog
921,dolara,dollar
424,nanaovanareo,done
242,aza,don’t
324,varavarana,door
948,avo roa heny,double
196,midina,down
238,hanatona,draw
938,manonofy,dream
677,fitafiana,dress
885,zava-pisotro,drink
426,fiara,drive
539,mitete,drop
377,maina,dry
876,gana,duck
456,mandritra,during
49,tsirairay,each
651,sofina,ear
461,tany am-boalohany,early
99,eto an-tany,earth
284,hanamaivana,ease
397,atsinanana,east
255,mihinana,eat
581,sisin’ny,edge
789,vokatry,effect
506,atody,egg
702,valo,eight
721,na,either
790,elektrika,electric
770,singa,element
652,hafa,else
60,tapitra,end
883,fahavalo,enemy
501,hery,energy
545,maotera,engine
301,ampy,enough
834,hiditra,enter
639,mitovy,equal
386,equate,equate
915,indrindra,especially
69,na dia,even
939,hariva,evening
958,zava-nitranga,event
308,mandrakizay,ever
120,rehetra,every
607,marina,exact
283,ohatra,example
613,afa-tsy,except
747,manaitaitra,excite
563,fanatanjahan-tena,exercise
791,manantena,expect
925,traikefa,experience
688,andrana,experiment
222,maso,eye
271,endrika,face
449,raha ny marina,fact
645,ara-drariny,fair
407,lavo,fall
318,fianakaviana,family
