number,greek,english
33,α,a
422,θέση,able
158,περίπου,about
307,παραπάνω,above
77,πράξη,act
68,προσθέσετε,add
917,φοβισμένος,afraid
111,μετά,after
91,πάλι,again
483,κατά,against
675,ηλικία,age
381,πριν,ago
796,συμφωνώ,agree
55,αέρας,air
151,όλα,all
841,επιτρέπουν,allow
57,"επίσης,",also
287,πάντοτε,always
541,είμαι,am
400,μεταξύ,among
48,ένα,an
32,και,and
998,οργή,anger
92,ζώο,animal
208,απάντηση,answer
101,κάθε,any
491,εμφανίζονται,appear
927,μήλο,apple
9,είναι,are
335,έκταση,area
547,μπράτσο,arm
968,κανονίσει,arrange
850,φτάσετε,arrive
518,τέχνη,art
1,ως,as
79,ρωτήστε,ask
13,σε,at
786,άτομο,atom
701,μωρό,baby
112,πίσω,back
624,κακό,bad
536,μπάλα,ball
934,band,band
646,τράπεζα,bank
872,μπαρ,bar
264,βάση,base
944,βασικός,basic
808,ρόπαλο,bat
12,να,be
592,φέρουν,bear
746,νικήσει,beat
425,ομορφιά,beauty
504,κρεβάτι,bed
198,ήταν,been
143,πριν,before
258,άρχισε,began
280,αρχίσει,begin
445,πίσω,behind
509,πιστεύουμε,believe
815,κουδούνι,bell
452,καλύτερο,best
454,καλύτερη,better
219,μεταξύ,between
73,μεγάλος,big
314,πουλί,bird
731,λίγο,bit
326,μαύρο,black
951,κατηγορία,block
627,αίμα,blood
625,χτύπημα,blow
359,μπλε,blue
569,χαρτόνι,board
371,βάρκα,boat
316,σώμα,body
792,των οστών,bone
251,βιβλίο,book
972,γεννημένος,born
290,δύο,both
689,κάτω μέρος,bottom
928,αγόρασε,bought
417,κουτί,box
146,αγόρι,boy
912,υποκατάστημα,branch
869,ψωμί,bread
620,διάλειμμα,break
587,φωτεινό,bright
393,φέρω,bring
993,ευρύς,broad
654,έσπασε,broke
505,ο αδελφός,brother
389,έφερε,brought
636,καφέ,brown
97,οικοδομήσουμε,build
723,έγκαυμα,burn
368,απασχολημένος,busy
21,αλλά,but
706,αγοράζουν,buy
18,από,by
192,κλήση,call
118,ήρθε,came
969,στρατόπεδο,camp
36,μπορεί,can
751,κεφάλαιο,capital
800,καπετάνιος,captain
297,αυτοκίνητο,car
933,κάρτα,card
299,φροντίδα,care
252,φέρουν,carry
655,περίπτωση,case
726,γάτα,cat
565,σύλληψη,catch
781,αλιεύονται,caught
140,αιτία,cause
508,κυττάρων,cell
630,σεντ,cent
486,κέντρο,center
727,αιώνα,century
405,ορισμένες,certain
753,καρέκλα,chair
979,ευκαιρία,chance
81,αλλαγή,change
779,χαρακτήρας,character
870,χρεώνουν,charge
