number,xhosa,english
33,i,a
422,nako,able
158,malunga,about
307,ngasentla,above
77,isenzo,act
68,ukongeza,add
917,boyika,afraid
111,emva,after
91,kwakhona,again
483,ngokuchasene,against
675,ubudala,age
381,kudala,ago
796,uyavuma,agree
55,umoya,air
151,zonke,all
841,kuvumela,allow
57,ngokunjalo,also
287,rhoqo,always
541,mna,am
400,phakathi,among
48,ye,an
32,kwaye,and
998,umsindo,anger
92,isilwanyana,animal
208,impendulo,answer
101,nayiphina,any
491,avele,appear
927,apile,apple
9,zezi,are
335,ummandla,area
547,ingalo,arm
968,amalungiselelo,arrange
850,zifika,arrive
518,ubugcisa,art
1,xa,as
79,cela,ask
13,ngexesha,at
786,iatom,atom
701,usana,baby
112,umva,back
624,olubi,bad
536,ibhola,ball
934,band,band
646,ibhanki,bank
872,ibhari,bar
264,isiseko,base
944,ezisisiseko,basic
808,ilulwane,bat
12,kuba,be
592,kuthwala,bear
746,bamtyabula,beat
425,ubuhle,beauty
504,ibhedi,bed
198,ibe,been
143,phambi kokuba,before
258,waqala,began
280,qala,begin
445,ngemva,behind
509,kholelwa,believe
815,intsimbi,bell
452,eyona,best
454,ngcono,better
219,phakathi,between
73,enkulu,big
314,intaka,bird
731,isuntswana,bit
326,mnyama,black
951,ibhloko,block
627,igazi,blood
625,ngesibetho,blow
359,luhlaza,blue
569,ibhodi,board
371,isikhephe,boat
316,umzimba,body
792,ithambo,bone
251,incwadi,book
972,eyamazibulo,born
290,bobabini,both
689,ezantsi,bottom
928,bathenga,bought
417,ibhokisi,box
146,inkwenkwe,boy
912,isebe,branch
869,isonka,bread
620,ikhefu,break
587,eliqaqambileyo,bright
393,zizisa,bring
993,ebanzi,broad
654,waqhekeza,broke
505,ubhuti,brother
389,wazisa,brought
636,ntsundu,brown
97,ukwakha,build
723,aqhumisele,burn
368,ndixakekile,busy
21,kodwa,but
706,kuthenga,buy
18,ngokuthi,by
192,umnxeba,call
118,weza,came
969,inkampu,camp
36,unako,can
751,inkunzi,capital
800,ikhapteni,captain
297,imoto,car
933,ikhadi,card
299,inkathalo,care
252,ukwenza,carry
655,ityala,case
726,ikati,cat
565,babambisa,catch
781,babambisa,caught
140,unobangela,cause
508,iseli,cell
630,ekhulwini,cent
486,iziko,center
727,inkulungwane,century
405,ezithile,certain
753,isitulo,chair
979,ithuba,chance
81,utshintsho,change
779,umlinganiswa,character
870,intlawulo,charge
952,itshathi,chart
383,khangela,check
881,intshontsho,chick
829,inkosi,chief
665,umntwana,child
279,abantwana,children
641,khetha,choose
862,ikhodi,chord
529,isangqa,circle
227,isixeko,city
999,kleyima,claim
329,eklasini,class
619,acocekileyo,clean
446,ecacileyo,clear
683,ukhwelo,climb
831,ikloko,clock
245,kufutshane,close
597,zokumambesa,clothe
678,ilifu,cloud
732,unxweme,coast
931,ibhatyi,coat
498,ingqele,cold
647,ukuqokelela,collect
830,thanga,colony
270,umbala,color
986,intsika,column
180,kuza,come
372,eqhelekileyo,common
956,inkampani,company
812,thelekisa,compare
333,epheleleyo,complete
940,imeko,condition
859,ukudibanisa,connect
728,ingqalelo,consider
667,ulwazi lwezandi,consonant
428,ziqulethe,contain
1000,ilizwekazi,continent
950,kuqhubeka,continue
649,ulawulo,control
719,umpheki,cook
684,kuhle,cool
733,ikopi,copy
811,umbona,corn
773,ikona,corner
421,lungile,correct
634,ixabiso,cost
