number,irish,english
33,a,a
422,ann,able
158,faoi,about
307,thuas,above
77,gníomh,act
68,cuir,add
917,eagla,afraid
111,tar éis,after
91,arís,again
483,i gcoinne,against
675,aois,age
381,ó shin,ago
796,aontaíonn,agree
55,aer,air
151,go léir,all
841,ar chumas,allow
57,freisin,also
287,i gcónaí,always
541,rn,am
400,i measc,among
48,ar,an
32,agus,and
998,fearg,anger
92,ainmhithe,animal
208,freagra,answer
101,aon,any
491,le feiceáil,appear
927,úll,apple
9,tá,are
335,limistéar,area
547,lámh,arm
968,socrú a,arrange
850,teacht,arrive
518,ealaín,art
1,mar,as
79,a iarraidh,ask
13,ag,at
786,adamh,atom
701,leanbh,baby
112,ar ais,back
624,dona,bad
536,liathróid,ball
934,banna,band
646,banc,bank
872,barra,bar
264,bonn,base
944,bunúsach,basic
808,bat,bat
12,bheith,be
592,iompróidh,bear
746,buille,beat
425,áilleacht,beauty
504,leaba,bed
198,curtha,been
143,roimh,before
258,thosaigh,began
280,tús a chur,begin
445,taobh thiar,behind
509,creidim,believe
815,clog,bell
452,fearr,best
454,níos fearr,better
219,idir,between
73,mór,big
314,éan,bird
731,giotán,bit
326,dubh,black
951,bloc,block
627,fuil,blood
625,buille,blow
359,gorm,blue
569,bord,board
371,bád,boat
316,comhlacht,body
792,cnámh,bone
251,leabhar,book
972,rugadh,born
290,dá,both
689,bun,bottom
928,cheannaigh,bought
417,bosca,box
146,buachaill,boy
912,brainse,branch
869,arán,bread
620,sos,break
587,geal,bright
393,thabhairt,bring
993,leathan,broad
654,bhris,broke
505,deartháir,brother
389,thug,brought
636,donn,brown
97,a thógáil,build
723,sruthán,burn
368,gnóthach,busy
21,ach,but
706,cheannach,buy
18,ag,by
192,glao,call
118,tháinig,came
969,campa,camp
36,is féidir,can
751,caipitil,capital
800,captaen,captain
297,carr,car
933,cárta,card
299,cúram,care
252,iompar,carry
655,cás,case
726,cat,cat
565,ghabháil,catch
781,ghabh,caught
140,faoi deara,cause
508,cill,cell
630,cent,cent
486,ionad,center
727,haois,century
405,áirithe,certain
753,cathaoir,chair
979,seans,chance
81,athraithe,change
779,charachtar,character
870,muirear,charge
952,chairt,chart
383,seiceáil,check
881,chick,chick
829,príomhfheidhmeannach,chief
665,leanbh,child
279,leanaí,children
641,roghnaigh,choose
862,corda,chord
529,ciorcal,circle
227,cathair,city
999,éileamh,claim
329,rang,class
619,glan,clean
446,soiléir,clear
683,tóg,climb
831,clog,clock
245,gar,close
597,clothe,clothe
678,scamall,cloud
732,chósta,coast
931,cóta,coat
498,fuar,cold
647,bhailiú,collect
830,coilíneacht,colony
270,dath,color
986,colún,column
180,teacht,come
372,coitianta,common
956,cuideachta,company
812,a chur i gcomparáid,compare
333,críochnaithe,complete
940,coinníoll,condition
859,ceangal,connect
728,a mheas,consider
667,consan,consonant
428,go bhfuil,contain
1000,mór-roinn,continent
950,leanúint ar aghaidh,continue
649,rialú,control
719,cócaireacht,cook
684,fionnuar,cool
733,cóip,copy
811,arbhar,corn
773,cúinne,corner
421,ceart,correct
634,costas,cost
971,cadás,cotton
178,d’fhéadfadh,could
513,comhaireamh,count
206,tír,country
354,cúrsa,course
215,chlúdach,cover
579,bó,cow
698,crease,crease
805,chruthú,create
