number,marathi,english
33,एक,a
422,सक्षम,able
158,बद्दल,about
307,वरील,above
77,कायदा,act
68,जोडा,add
917,भयभीत,afraid
111,नंतर,after
91,पुन्हा,again
483,विरुद्ध,against
675,वय,age
381,पूर्वी,ago
796,सहमत,agree
55,हवा,air
151,सर्व,all
841,परवानगी,allow
57,देखील,also
287,नेहमी,always
541,आहे,am
400,दरम्यान,among
48,एक,an
32,आणि,and
998,राग,anger
92,प्राणी,animal
208,उत्तर,answer
101,कोणत्याही,any
491,दिसतात,appear
927,सफरचंद,apple
9,आहेत,are
335,क्षेत्र,area
547,हाताने,arm
968,व्यवस्था,arrange
850,पोहोचेल,arrive
518,कला,art
1,म्हणून,as
79,विचारू,ask
13,येथे,at
786,अणू,atom
701,बाळ,baby
112,परत,back
624,वाईट,bad
536,बॉल,ball
934,बँड,band
646,बँक,bank
872,बार,bar
264,बेस,base
944,मूलभूत,basic
808,फलंदाजी,bat
12,असू,be
592,सहन,bear
746,विजय,beat
425,सौंदर्य,beauty
504,बेड,bed
198,केले,been
143,आधी,before
258,सुरुवात,began
280,सुरू,begin
445,मागे,behind
509,विश्वास,believe
815,घंटा,bell
452,सर्वोत्तम,best
454,चांगले,better
219,दरम्यान,between
73,मोठा,big
314,पक्षी,bird
731,बिट,bit
326,काळा,black
951,ब्लॉक,block
627,रक्त,blood
625,फोडून टाकणे,blow
359,निळा,blue
569,बोर्ड,board
371,बोट,boat
316,शरीर,body
792,हाड,bone
251,पुस्तक,book
972,जन्मत:,born
290,दोन्ही,both
689,तळ,bottom
928,खरेदी,bought
417,बॉक्स,box
146,मुलगा,boy
912,शाखा,branch
869,ब्रेड,bread
620,खंड,break
587,तेजस्वी,bright
393,आणणे,bring
993,ब्रॉड,broad
654,तोडले,broke
505,भाऊ,brother
389,आणले,brought
636,तपकिरी,brown
97,तयार,build
723,जाळणे,burn
368,व्यस्त,busy
21,परंतु,but
706,खरेदी,buy
18,द्वारे,by
192,कॉल,call
118,आले,came
969,छावणी,camp
36,हे करू शकता,can
751,भांडवल,capital
800,कर्णधार,captain
297,कार,car
933,कार्ड,card
299,काळजी,care
252,वाहून,carry
655,केस,case
726,मांजर,cat
565,पकडणे,catch
781,पकडले,caught
140,कारण,cause
508,सेल,cell
630,टक्के,cent
486,केंद्र,center
727,शतक,century
405,काही,certain
753,चेअर,chair
979,संधी,chance
81,बदल,change
779,वर्ण,character
870,शुल्क आकारू,charge
952,चार्ट,chart
383,तपासा,check
881,चिक,chick
829,मुख्य,chief
665,मुलाला,child
279,मुले,children
641,निवडा,choose
862,जीवा,chord
529,मंडळ,circle
227,शहर,city
999,हक्क,claim
329,वर्ग,class
619,स्वच्छ,clean
446,स्पष्ट,clear
683,चढाव,climb
831,घड्याळ,clock
245,बंद,close
597,कपडे चढवणे,clothe
678,मेघ,cloud
732,किनारपट्टी,coast
931,डगला,coat
498,थंड,cold
647,गोळा,collect
830,वसाहत,colony
270,रंग,color
986,स्तंभ,column
180,येणे,come
372,सामान्य,common
956,कंपनी,company
812,तुलना,compare
333,पूर्ण,complete
940,अट,condition
859,कनेक्ट,connect
728,विचार,consider
667,जुळता,consonant
428,असतात,contain
1000,खंड,continent
950,पुढे चालू,continue
649,नियंत्रण,control
719,कूक,cook
684,थंड,cool
733,कॉपी,copy
811,कॉर्न,corn
773,कोपरा,corner
421,योग्य,correct
634,खर्च,cost
971,कापूस,cotton
178,शक्य झाले,could
513,मोजणे,count
206,देश,country
354,अर्थात,course
215,कव्हर,cover
579,गाय,cow
698,घडी,crease
805,तयार,create
768,पीक,crop
229,ओलांडू,cross
810,जमाव,crowd
409,मोठा विरोध,cry
847,चालू,current
267,कट,cut
868,बाबा,dad
544,नृत्य,dance
754,धोक्याची,danger
410,गडद,dark
177,दिवस,day
843,मृत,dead
960,करार,deal
882,प्रिय,dear
903,मृत्यू,death
361,निर्णय,decide
650,दशांश,decimal
363,खोल,deep
879,पदवी,degree
816,अवलंबून आहे,depend
718,वर्णन,describe
845,वाळवंट,desert
685,डिझाइन,design
973,निर्धारित,determine
437,विकसित,develop
669,शब्दकोश,dictionary
181,केले,did
609,मरतात,die
138,भिन्न,differ
763,कठीण,difficult
319,थेट,direct
921,चर्चा,discuss
395,"distant,",distant
532,विभागणे,divide
855,विभागणी,division
41,करू,do
764,डॉक्टर,doctor
51,नाही,does
317,कुत्रा,dog
921,डॉलर,dollar
424,काम झाले,done
242,करू नाही,don’t
324,दरवाजा,door
948,दुहेरी,double
196,खाली,down
238,काढणे,draw
938,स्वप्न,dream
677,ड्रेस,dress
885,पेय,drink
426,ड्राइव्ह,drive
539,ड्रॉप,drop
377,कोरडा,dry
876,परतले,duck
456,दरम्यान,during
49,प्रत्येक,each
651,कान,ear
461,लवकर,early
99,पृथ्वी,earth
284,सुखसोयी,ease
397,पूर्वेला,east
255,खाणे,eat
581,धार,edge
789,परिणाम,effect
506,अंडी,egg
702,आठ,eight
721,एकतर,either
790,विद्युत,electric
770,घटक,element
652,आणखी,else
60,शेवट,end
883,शत्रू,enemy
501,ऊर्जा,energy
545,इंजिन,engine
301,पुरेशी,enough
834,प्रविष्ट,enter
639,समान,equal
386,बरोबर आहे असे दाखवणे,equate
915,विशेषत:,especially
69,अगदी,even
939,संध्याकाळ,evening
958,कार्यक्रम,event
308,कधी,ever
120,प्रत्येक,every
607,अचूक,exact
283,उदाहरण,example
613,वगळता,except
747,जागृत,excite
563,व्यायाम,exercise
791,अपेक्षा,expect
925,अनुभव,experience
688,प्रयोग,experiment
222,डोळा,eye
271,चेहरा,face
449,खरं,fact
645,गोरा,fair
407,पडणे,fall
318,कुटुंब,family
820,प्रसिद्ध,famous
236,आतापर्यंत,far
230,शेत,farm
467,जलद,fast
