number,ukrainian,english
33,кішка,a
422,стані,able
158,про це,about
307,вище,above
77,акт,act
68,додавати,add
917,боюся,afraid
111,після,after
91,ову,again
483,проти,against
675,вік,age
381,назад,ago
796,погоджуватися,agree
55,повітря,air
151,всі,all
841,дозволяти,allow
57,також,also
287,завжди,always
541,ранку,am
400,серед,among
48,вона,an
32,і,and
998,гнів,anger
92,тварин,animal
208,відповідь,answer
101,будь,any
491,з’являються,appear
927,яблуко,apple
9,є,are
335,площа,area
547,рука,arm
968,організувати,arrange
850,приїхати,arrive
518,мистецтво,art
1,як,as
79,спитаєте,ask
13,у,at
786,атом,atom
701,дитина,baby
112,назад,back
624,погано,bad
536,м’яч,ball
934,смуга,band
646,банк,bank
872,бар,bar
264,база,base
944,основний,basic
808,летюча миша,bat
12,бути,be
592,нести,bear
746,бити,beat
425,краса,beauty
504,ліжко,bed
198,був,been
143,до,before
258,почав,began
280,починати,begin
445,за,behind
509,"вважають,",believe
815,дзвін,bell
452,краще,best
454,краще,better
219,між,between
73,великий,big
314,птах,bird
731,трохи,bit
326,чорний,black
951,блок,block
627,кров,blood
625,удар,blow
359,синій,blue
569,дошка,board
371,човен,boat
316,тіло,body
792,кістка,bone
251,книга,book
972,дата народження:,born
290,як,both
689,від низу до,bottom
928,куплений,bought
417,коробка,box
146,хлопчик,boy
912,філія,branch
869,хліб,bread
620,перерву,break
587,яскравий,bright
393,принести,bring
993,широкий,broad
654,зламав,broke
505,брат,brother
389,приніс,brought
636,коричневий,brown
97,будувати,build
723,спалити,burn
368,зайнятий,busy
21,але,but
706,купити,buy
18,по,by
192,телефонуйте,call
118,прийшли,came
969,табір,camp
36,може,can
751,капітал,capital
800,капітан,captain
297,автомобіль,car
933,карта,card
299,догляд,care
252,нести,carry
655,справа,case
726,кішка,cat
565,улов,catch
781,спійманий,caught
140,причиною,cause
508,клітин,cell
630,цент,cent
486,центр,center
727,століття,century
405,певний,certain
753,стілець,chair
979,шанс,chance
81,мінення,change
779,характер,character
870,зарядки,charge
952,діаграма,chart
383,перевірити,check
881,курча,chick
829,головний,chief
665,дитина,child
279,діти,children
641,вибрати,choose
862,акорд,chord
529,круг,circle
227,місто,city
999,претензії,claim
329,клас,class
619,чистий,clean
446,ясно,clear
683,підйом,climb
831,годинник,clock
245,близько,close
597,одягнути,clothe
678,хмара,cloud
732,узбережжі,coast
931,пальто,coat
498,холодно,cold
647,збирати,collect
830,колонія,colony
270,колір,color
986,колонка,column
180,приходять,come
372,загальна,common
956,компанія,company
812,порівняти,compare
333,повний,complete
940,стан,condition
859,підключення,connect
728,розглядати,consider
667,приголосний,consonant
428,містити,contain
1000,континент,continent
950,продовжити,continue
649,контроль,control
719,повар,cook
684,прохолодно,cool
733,копія,copy
811,кукурудза,corn
773,кут,corner
421,правильно,correct
634,вартість,cost
971,бавовна,cotton
178,міг,could
513,вважати,count
206,країна,country
354,звичайно,course
215,кришка,cover
579,корова,cow
698,складка,crease
805,створити,create
768,урожай,crop
229,перетинають,cross
810,натовп,crowd
409,крик,cry
847,ток,current
267,вирізати,cut
868,папа,dad
544,танець,dance
754,небезпека,danger
410,темно-,dark
177,день,day
843,мертвих,dead
960,угода,deal
882,дорогий,dear
903,смерть,death
361,"вирішити,",decide
650,десяткової,decimal
363,глибоко,deep
879,ступінь,degree
816,залежить,depend
