number,maori,english
33,a,a
422,taea,able
158,e pā ana ki,about
307,i runga,above
77,mahi,act
68,tāpiri i,add
917,wehi,afraid
111,i muri i,after
91,ano,again
483,ki,against
675,tau,age
381,i ma’iri a’e nei,ago
796,whakaae,agree
55,hau,air
151,katoa,all
841,tukua,allow
57,hoki,also
287,tonu,always
541,ahau,am
400,i roto i,among
48,he,an
32,ka,and
998,riri,anger
92,kararehe,animal
208,ka whakahoki,answer
101,tetahi,any
491,puta,appear
927,aporo,apple
9,ko,are
335,rohe,area
547,ringa,arm
968,whakarite,arrange
850,tae,arrive
518,koe,art
1,rite,as
79,ui,ask
13,i,at
786,ngota,atom
701,te tamaiti,baby
112,hoki,back
624,kino,bad
536,pōro i,ball
934,pēne,band
646,pēke,bank
872,pae,bar
264,turanga,base
944,taketake,basic
808,pekapeka,bat
12,kia,be
592,e mau,bear
746,whiua,beat
425,ataahua,beauty
504,moenga,bed
198,kua,been
143,i mua i,before
258,ka timata,began
280,timata,begin
445,ki muri,behind
509,te whakapono,believe
815,pere,bell
452,pai,best
454,pai,better
219,i waenganui i,between
73,nui,big
314,manu,bird
731,moka,bit
326,mangu,black
951,poraka,block
627,toto,blood
625,pupuhi,blow
359,puru,blue
569,poari,board
371,kaipuke,boat
316,tinana,body
792,wheua,bone
251,pukapuka,book
972,matamua,born
290,e rua,both
689,raro,bottom
928,hokona,bought
417,pouaka,box
146,tamaiti,boy
912,peka,branch
869,taro,bread
620,break,break
587,kanapa,bright
393,kawea,bring
993,whanui,broad
654,whawhati,broke
505,teina,brother
389,kawea,brought
636,parauri,brown
97,hanga,build
723,tahu,burn
368,pukumahi,busy
21,engari,but
706,hoko,buy
18,by,by
192,karanga,call
118,haere mai,came
969,puni,camp
36,taea e,can
751,whakapaipai,capital
800,rangatira,captain
297,motokā,car
933,kāri,card
299,tiaki,care
252,kawe,carry
655,take,case
726,ngeru,cat
565,hao,catch
781,mau,caught
140,take,cause
508,pūtau,cell
630,ōrau,cent
486,te pokapū,center
727,rau,century
405,etahi,certain
753,heamana,chair
979,tupono,chance
81,huringa,change
779,pūāhua,character
870,he ki atu tenei,charge
952,tūtohi,chart
383,taki,check
881,pīpī,chick
829,rangatira,chief
665,tamaiti,child
279,tamariki,children
641,te whiriwhiri,choose
862,chord,chord
529,porowhita,circle
227,pa,city
999,kerēme,claim
329,te piha,class
619,ma,clean
446,mārama,clear
683,piki,climb
831,karaka,clock
245,tata,close
597,e kakahu ana io,clothe
678,kapua,cloud
732,rohe,coast
931,koti,coat
498,matao,cold
647,kohikohi,collect
830,koroni,colony
270,te tae,color
986,tīwae,column
180,haere mai,come
372,noa,common
956,kamupene,company
812,whakatairite i,compare
333,oti,complete
940,huru,condition
859,hono,connect
728,whakaaro,consider
667,orokati,consonant
428,kei roto i,contain
1000,fenua,continent
950,tonu,continue
649,mana,control
719,tuari,cook
684,hauhautanga,cool
733,tārua,copy
811,witi,corn
773,kokonga,corner
421,tika,correct
634,utu,cost
971,miro,cotton
178,taea,could
513,tatau,count
206,whenua,country
354,akoranga,course
215,cover,cover
579,kau,cow
698,pae,crease
805,te waihanga,create
768,hua,crop
229,whakawhiti,cross
810,mano,crowd
409,karanga,cry
847,o nāianei,current
267,tapahia,cut
868,dad,dad
544,kanikani,dance
754,mōrearea,danger
410,pouri,dark
177,ra,day
843,mate,dead
960,mahi,deal
882,aroha,dear
903,te mate,death
361,whakatau,decide
650,ira,decimal
363,hohonu,deep
879,tohu,degree
816,whakawhirinaki,depend
718,whakaahua,describe
845,koraha,desert
685,hoahoa,design
973,whakatau,determine
437,whakawhanake,develop
669,papakupu,dictionary
181,i mea ai,did
609,mate,die
138,rerekē,differ
763,uaua,difficult
319,tika,direct
921,te matapaki i,discuss
395,tawhiti,distant
532,wehenga,divide
855,te wehenga,division
41,te mahi,do
764,tākuta,doctor
51,meatia e,does
317,kuri,dog
921,tāra,dollar
424,mea ai,done
242,te mahi e kore e,don’t
324,tatau,door
948,rua,double
196,ki raro,down
238,te utu,draw
938,moe,dream
677,kākahu,dress
885,inu,drink
426,puku,drive
539,maturuturu,drop
377,maroke,dry
876,pārera,duck
456,i roto i,during
49,ia,each
651,taringa,ear
461,wawe,early
99,te whenua,earth
284,mamatanga,ease
397,rawhiti,east
255,kai,eat
581,mata,edge
789,pānga,effect
506,hua,egg
702,e waru,eight
721,rānei,either
790,hiko,electric
770,huānga,element
652,atu,else
