number,turkmen,english
33,a,a
422,başarýar,able
158,hakda,about
307,ýokarda,above
77,hereket et,act
68,goş,add
917,gorkýar,afraid
111,soň,after
91,ýene-de,again
483,garşy,against
675,ýaşy,age
381,ozal,ago
796,razy,agree
55,howa,air
151,hemmesi,all
841,rugsat beriň,allow
57,şeýle hem,also
287,elmydama,always
541,am,am
400,arasynda,among
48,an,an
32,we,and
998,gahar,anger
92,haýwan,animal
208,jogap ber,answer
101,islendik,any
491,peýda bolýar,appear
927,alma,apple
9,bolup durýar,are
335,meýdany,area
547,gol,arm
968,tertipläň,arrange
850,gel,arrive
518,sungat,art
1,ýaly,as
79,sora,ask
13,at,at
786,atom,atom
701,çaga,baby
112,yza,back
624,erbet,bad
536,top,ball
934,topary,band
646,bank,bank
872,bar,bar
264,esas,base
944,esasy,basic
808,bat,bat
12,bol,be
592,aýy,bear
746,ur,beat
425,gözellik,beauty
504,düşek,bed
198,boldy,been
143,öň,before
258,başlady,began
280,başla,begin
445,arkasynda,behind
509,ynan,believe
815,jaň,bell
452,iň gowusy,best
454,has gowy,better
219,arasynda,between
73,uly,big
314,guş,bird
731,biraz,bit
326,gara,black
951,blokirlemek,block
627,gan,blood
625,ur,blow
359,gök,blue
569,tagta,board
371,gaýyk,boat
316,beden,body
792,süňk,bone
251,kitap,book
972,doguldy,born
290,ikisem,both
689,aşagy,bottom
928,satyn aldy,bought
417,guty,box
146,oglan,boy
912,şahasy,branch
869,çörek,bread
620,arakesme,break
587,ýagty,bright
393,getir,bring
993,giň,broad
654,döwdi,broke
505,dogan,brother
389,getirildi,brought
636,goňur,brown
97,gurmak,build
723,ýakmak,burn
368,meşgul,busy
21,emma,but
706,satyn al,buy
18,tarapyndan,by
192,jaň ediň,call
118,geldi,came
969,lager,camp
36,edip biler,can
751,maýa,capital
800,kapitan,captain
297,awtoulag,car
933,kartoçka,card
299,ideg,care
252,götermek,carry
655,ýagdaý,case
726,pişik,cat
565,tutmak,catch
781,tutuldy,caught
140,sebäp,cause
508,öýjük,cell
630,sent,cent
486,merkezi,center
727,asyr,century
405,belli,certain
753,oturgyç,chair
979,pursat,chance
81,üýtgetmek,change
779,häsiýet,character
