number,hawaiian,english
33,he,a
422,hiki,able
158,e pili ana i,about
307,luna,above
77,hana,act
68,hui,add
917,makau,afraid
111,mahope iho o,after
91,hou,again
483,ku,against
675,makahiki,age
381,aku nei,ago
796,ae,agree
55,ea,air
151,a pau,all
841,ae aku,allow
57,no hoi,also
287,mau,always
541,no,am
400,mawaena o,among
48,kekahi,an
32,a,and
998,huhu,anger
92,holoholona,animal
208,pane,answer
101,kekahi,any
491,hele mai,appear
927,kii onohi,apple
8,ua,are
335,wahi,area
547,lima,arm
968,hooponopono,arrange
850,hiki,arrive
518,oe,art
23,e like me,as
79,noi,ask
12,ma,at
786,’ātoma,atom
701,pēpē,baby
112,i hope,back
624,ino,bad
536,poepoe,ball
934,hui,band
646,"pali,",bank
872,hookolokolo,bar
264,kumu,base
944,kumu o,basic
808,’ōpeʻapeʻa,bat
11,e,be
592,lawe,bear
746,pepehi,beat
425,nani,beauty
504,moe,bed
198,i,been
143,imua o,before
258,hoomaka ae,began
280,hoomaka,begin
445,mahope,behind
509,manaoio,believe
815,bele,bell
452,pono,best
454,maikai,better
219,waena o,between
73,nui,big
314,manu,bird
731,iki,bit
326,ʻeleʻele,black
951,aeie,block
627,ke koko,blood
625,puupuu,blow
359,polū,blue
569,papa,board
371,moku,boat
316,kino,body
792,iwi,bone
251,buke,book
972,born,born
290,elua,both
689,lalo,bottom
928,kuai,bought
417,pahu,box
146,keiki,boy
912,lala,branch
869,ka berena,bread
620,ʻoluʻolu o,break
587,ao alohilohi i,bright
393,lawe mai,bring
993,ka laulā,broad
654,uhai,broke
505,"kaikuaʻana, kaikaina",brother
389,lawe mai,brought
636,palaunu,brown
97,hana,build
723,puhi,burn
368,’ō i,busy
20,"aka,",but
706,kuai,buy
17,ma,by
192,kahea,call
118,hele mai,came
969,hoomoana,camp
36,hiki,can
751,poʻo,capital
800,luna,captain
297,kaʻa,car
933,kāleka,card
299,mālama,care
252,lawe,carry
655,hihia,case
726,popoki,cat
565,hoopahele ae la i,catch
781,loaa,caught
140,kumu,cause
508,aeea,cell
630,keneta,cent
486,kikowaena,center
727,kenekulia,century
405,kekahi,certain
753,noho,chair
979,wale,chance
81,loli,change
779,ano,character
870,kauoha,charge
952,pakuhi,chart
383,huli,check
881,chick,chick
829,kahuna,chief
665,keiki,child
279,keiki,children
641,koho,choose
862,chord,chord
529,kaiapili,circle
227,kulanakauhale,city
999,koi ana,claim
329,papa,class
619,maemae,clean
446,maopopo,clear
683,pii ana,climb
831,uaki,clock
245,kokoke,close
597,hoaahu,clothe
678,ao,cloud
732,mokuna,coast
931,kapa,coat
498,anu,cold
647,ohi,collect
830,panalaau ia,colony
270,kala like ’ole,color
986,kolamu,column
180,hele mai,come
372,like,common
956,poe,company
812,hoohalike,compare
333,loa,complete
940,ano,condition
1000,ka wiwo ole,confidence
859,hoʻohui,connect
728,noonoo,consider
667,leokanipū,consonant
428,no,contain
950,hoʻomau,continue
649,hooponopono,control
719,"kapena kuke,",cook
684,anu,cool
733,kope,copy
811,palaoa,corn
773,ke kihi,corner
421,pololei,correct
634,kāki,cost
971,pulupulu,cotton
178,hiki,could
513,helu,count
206,aina,country
354,ana,course
215,aloha,cover
579,bipi,cow
698,crease,crease
805,hana,create
768,iʻohiʻia,crop
229,kela aoao,cross
810,lehulehu,crowd
409,kahea ana,cry
847,papa,current
267,e oki ai,cut
868,makuakāne,dad
544,hula,dance
754,weliweli,danger
410,pouli,dark
177,lā,day
843,make,dead
960,hana,deal
882,aloha,dear
903,make,death
361,hooholo,decide
650,kekimala,decimal
363,hohonu,deep
879,degere,degree
816,hilinai,depend
718,kakau,describe
845,waonahele,desert
685,manao,design
973,hooholo,determine
437,hoʻomōhala,develop
669,puke wehewehe’ōlelo,dictionary
181,hana,did
609,make,die
138,oko,differ
763,paʻakikī,difficult
319,kauoha,direct
921,kūkākūkā,discuss
395,ke kaawale ana,distant
532,māhele,divide
855,mahele,division
41,hana,do
764,kauka,doctor
51,hana,does
317,’īlio,dog
921,dala,dollar
424,hana,done
242,"hana, aole",don’t
324,puka,door
948,palua,double
196,iho,down
238,huki,draw
938,moe,dream
677,male,dress
885,inu,drink
426,a holo,drive
539,papa,drop
377,maloo,dry
876,duck,duck
456,iloko o,during
49,kela a me keia,each
651,pepeiao,ear
461,koke,early
99,honua,earth
284,hoopau i,ease
397,ka hikina,east
255,ai,eat
581,lihi,edge
789,kanawai,effect
506,hua,egg
702,ʻewalu,eight
721,kekahi,either
790,pila nui,electric
770,’āweʻaweʻa,element
652,e ae,else
60,hopena,end
883,ʻenemi,enemy
501,ikehu,energy
545,engine,engine
301,lawa,enough
834,komo,enter
639,like,equal
386,equate,equate
915,ka oi aku,especially
69,a hiki,even
939,ahiahi,evening
958,hanana,event
308,loa,ever
120,o kela,every
607,mau,exact
283,eia,example
613,koe nae,except
747,ka naita,excite
563,me ka,exercise
791,makemake,expect
925,ka hoao ana,experience
688,hoʻokolohua,experiment
222,maka,eye
271,maka,face
449,mea,fact
645,maikai,fair
407,haule,fall
318,ohana,family
820,kaulana,famous
236,loa,far
230,mahiʻai,farm
467,hookeai,fast
863,kona kaikea a,fat
100,makuakāne,father
858,"i ka lokomaikaiia,",favor
823,makau,fear
941,ʻai,feed
312,haha aku,feel
298,wawae,feet
642,haule iho la,fell
534,manaʻo,felt
249,kakaikahi,few
419,mahinaʻai,field
916,laau,fig
744,kaua,fight
415,huahelu,figure
396,hoopiha,fill
432,hope loa,final
200,loaa,find
404,uku,fine
741,manamana lima,finger
593,hoʻopau,finish
339,ke ahi,fire
193,ka mua,first
260,iʻa,fish
643,pono,fit
458,ʻelima,five
694,i lalo,flat
720,papahele,floor
644,kahe ana,flow
596,pua,flower
406,lele,fly
76,hahai,follow
