number,bengali,english
33,একটি,a
422,সক্ষম,able
158,সম্পর্কে,about
307,উপরে,above
77,আইন,act
68,যোগ করা,add
917,ভয়,afraid
111,পরে,after
91,আবার,again
483,বিরুদ্ধে,against
675,বয়স,age
381,আগে,ago
796,একমত,agree
55,বায়ু,air
151,সব,all
841,অনুমতি,allow
57,এছাড়াও,also
287,সবসময়,always
541,অপরাহ্ন,am
400,মধ্যে,among
48,একটি,an
32,এবং,and
998,রাগ,anger
92,পশু,animal
208,উত্তর,answer
101,কোনো,any
491,প্রদর্শিত,appear
927,আপেল,apple
9,হয়,are
335,ক্ষেত্র,area
547,হাত,arm
968,ব্যবস্থা,arrange
850,পৌঁছা,arrive
518,শিল্প,art
1,হিসাবে,as
79,জিজ্ঞাসা,ask
13,এ,at
786,পরমাণু,atom
701,শিশুর,baby
112,ফিরে,back
624,খারাপ,bad
536,বল,ball
934,ব্যান্ড,band
646,ব্যাংক,bank
872,বার,bar
264,ঘাঁটি,base
944,মৌলিক,basic
808,বাদুড়,bat
12,হতে,be
592,ভালুক,bear
746,বীট,beat
425,সৌন্দর্য,beauty
504,বিছানা,bed
198,হয়েছে,been
143,আগে,before
258,শুরু,began
280,শুরু,begin
445,পিছনে,behind
509,বিশ্বাস,believe
815,ঘণ্টা,bell
452,সেরা,best
454,ভাল,better
219,মধ্যে,between
73,বড়,big
314,পাখি,bird
731,কিছুক্ষণ,bit
326,কালো,black
951,ব্লক,block
627,রক্ত,blood
625,ঘা,blow
359,নীল,blue
569,বোর্ড,board
371,নৌকা,boat
316,শরীর,body
792,হাড়,bone
251,বই,book
972,জন্ম,born
290,উভয়,both
689,নীচে,bottom
928,কেনা,bought
417,বক্স,box
146,ছেলে,boy
912,শাখা,branch
869,রুটি,bread
620,বিরতি,break
587,উজ্জ্বল,bright
393,আনা,bring
993,বিস্তৃত,broad
654,ভেঙে,broke
505,ভাই,brother
389,উপনীত,brought
636,বাদামী,brown
97,নির্মাণ,build
723,বার্ন,burn
368,ব্যস্ত,busy
21,কিন্তু,but
706,কিনতে,buy
18,দ্বারা,by
192,কল,call
118,আসেন,came
969,শিবির,camp
36,করতে পারেন,can
751,রাজধানী,capital
800,অধিনায়ক,captain
297,গাড়ী,car
933,কার্ড,card
299,যত্ন,care
252,বহন,carry
655,কেস,case
726,বিড়াল,cat
565,ধরা,catch
781,ধরা,caught
140,কারণ,cause
508,সেল,cell
630,শতাংশ,cent
486,কেন্দ্র,center
727,শতাব্দীর,century
405,নির্দিষ্ট,certain
753,চেয়ার,chair
979,সুযোগ,chance
81,পরিবর্তন,change
779,চরিত্র,character
870,চার্জ,charge
952,চার্ট,chart
383,চেক,check
881,কুক্কুট,chick
829,প্রধান,chief
665,শিশু,child
279,শিশু,children
641,নির্বাচন,choose
862,জ্যা,chord
529,বৃত্ত,circle
227,শহর,city
999,দাবি,claim
329,বর্গ,class
619,পরিষ্কার,clean
446,স্পষ্ট,clear
683,আরোহনের,climb
831,ঘড়ি,clock
245,বন্ধ,close
597,আবৃত করা,clothe
678,মেঘ,cloud
732,উপকূল,coast
931,কোট,coat
498,ঠান্ডা,cold
647,সংগ্রহ করা,collect
830,উপনিবেশ,colony
270,রঙ,color
986,কলাম,column
180,আসা,come
372,সাধারণ,common
956,কোম্পানি,company
812,তুলনা,compare
333,সম্পূর্ণ,complete
940,শর্ত,condition
859,সংযোগ,connect
728,বিবেচনা করা,consider
667,ব্যঞ্জনবর্ণ,consonant
428,ধারণ,contain
1000,মহাদেশ,continent
950,অবিরত,continue
649,নিয়ন্ত্রণ,control
719,রান্নাঘর,cook
684,শান্ত,cool
733,কপি,copy
811,ভূট্টা,corn
773,কোণ,corner
421,সঠিক,correct
634,খরচ,cost
971,তুলা,cotton
178,পারা,could
513,গণনা,count
206,দেশ,country
354,মাঠ,course
215,কভার,cover
579,গাভী,cow
698,ভাঁজ করা,crease
805,তৈরি,create
768,ফসল,crop
229,ক্রুশ,cross
810,ভিড়,crowd
409,কান্নাকাটি,cry
847,বর্তমান,current
267,কাটা,cut
868,বাবা,dad
544,নাচ,dance
754,বিপদ,danger
410,অন্ধকার,dark
177,দিন,day
843,মৃত,dead
960,লেনদেন,deal
882,দুর্মূল্য,dear
903,মৃত্যুর,death
361,স্থির করা,decide
650,দশমিক,decimal
363,গভীর,deep
879,ডিগ্রী,degree
816,নির্ভর করে,depend
718,বর্ণনা,describe
845,মরুভূমি,desert
685,নকশা,design
973,নির্ধারণ,determine
437,বিকাশ,develop
669,অভিধান,dictionary
181,কি,did
609,মরা,die
138,পৃথক,differ
763,কঠিন,difficult
319,সরাসরি,direct
921,আলোচনা,discuss
395,দূরবর্তী,distant
532,বিভক্ত করা,divide
855,বিভাগ,division
41,কি,do
764,ডাক্তার,doctor
51,না,does
317,কুকুর,dog
921,ডলার,dollar
424,কাজ,done
242,না,don’t
324,দরজা,door
948,ডবল,double
196,নিচে,down
238,আঁকা,draw
938,স্বপ্ন,dream
677,পোশাক,dress
885,পানীয়,drink
426,ড্রাইভ,drive
539,ঝরা,drop
377,শুষ্ক,dry
876,হাঁস,duck
456,সময়,during
49,প্রতিটি,each
651,কান,ear
461,প্রথম,early
99,পৃথিবী,earth
284,আরাম,ease
397,পূর্ব,east
255,খাওয়া,eat
581,প্রান্ত,edge
789,প্রভাব,effect
506,ডিম,egg
702,আট,eight
721,হয়,either
790,বৈদ্যুতিক,electric
770,উপাদান,element
652,অন্য,else
60,শেষ,end
883,শত্রু,enemy
501,শক্তি,energy
545,ইঞ্জিন,engine
301,যথেষ্ট,enough
834,প্রবেশ,enter
639,সমান,equal
386,সমীকরণ,equate
915,বিশেষ করে,especially
69,এমনকি,even
939,সন্ধ্যায়,evening
958,ঘটনা,event
308,কখনও,ever
120,প্রতি,every
607,সঠিক,exact
283,উদাহরণ,example
613,ছাড়া,except
747,জাগান,excite
563,ব্যায়াম,exercise
791,আশা করা,expect
925,অভিজ্ঞতা,experience
688,পরীক্ষা,experiment
222,চোখ,eye
271,মুখ,face
449,আসলে,fact
645,ন্যায্য,fair
407,পড়া,fall
318,পরিবার,family
820,বিখ্যাত,famous
236,পর্যন্ত,far
230,খামার,farm
467,দ্রুত,fast
863,চর্বি,fat
100,বাবা,father
858,আনুকূল্য,favor
823,ভয়,fear
941,ফিড,feed
312,মনে,feel
298,ফুট,feet
642,হিংস্র,fell
534,অনুভূত,felt
249,কয়েক,few
419,ক্ষেত্র,field
916,ডুমুর,fig
744,যুদ্ধ,fight
415,ব্যক্তিত্ব,figure
396,পূরণ,fill
432,চূড়ান্ত,final
200,এটি,find
404,জরিমানা,fine
741,আঙুল,finger
593,শেষ,finish
339,আগুন,fire
193,প্রথম,first
260,মাছ,fish
643,মাপসই,fit
458,পাঁচ,five
694,ফ্ল্যাট,flat
720,মেঝে,floor
644,প্রবাহ,flow
596,ফুল,flower
406,উড়ে,fly
76,অনুসরণ করা,follow
216,খাদ্য,food
366,পা,foot
7,জন্য,for
358,বল,force
552,বন,forest
130,ফর্ম,form
922,অগ্রবর্তী,forward
207,পাওয়া,found
218,চার,four
551,ভগ্নাংশ,fraction
440,বিনামূল্যে,free
836,তাজা,fresh
257,বন্ধু,friend
17,থেকে,from
429,সামনে,front
755,ফল,fruit
357,পূর্ণ,full
586,মজা,fun
384,খেলা,game
638,বাগান,garden
588,গ্যাস,gas
980,জড়ো করা,gather
433,দিয়েছেন,gave
526,সাধারণ,general
798,মৃদু,gentle
106,পাওয়া,get
303,মেয়ে,girl
123,দিতে,give
864,আনন্দিত,glad
577,কাচ,glass
179,যাওয়া,go
373,স্বর্ণ,gold
599,সর্বস্বান্ত,gone
121,ভাল,good
281,পেয়েছিলাম,got
496,শাসন করা,govern
535,গ্র্যান্ড,grand
578,ঘাস,grass
990,ধূসর,gray
132,মহান,great
434,সবুজ,green
629,বড় হয়েছি,grew
464,স্থল,ground
286,গ্রুপ,group
210,হত্তয়া,grow
801,অনুমান,guess
924,কৌশল,guide
840,বন্দুক,gun
28,ছিল,had
717,চুল,hair
336,অর্ধ,half
64,হাত,hand
332,ঘটা,happen
594,খুশি,happy
231,কঠিন,hard
174,আছে,has
953,টুপি,hat
15,আছে,have
5,তিনি,he
201,মাথা,head
265,শ্রবণ,hear
451,শোনা,heard
540,হৃদয়,heart
390,তাপ,heat
543,ভারী,heavy
716,অনুষ্ঠিত,held
135,সাহায্য,help
167,তার,her
71,এখানে,here
74,উচ্চ,high
724,পাহাড়,hill
172,তাকে,him
3,তার,his
788,ইতিহাস,history
771,আঘাত,hit
462,রাখা,hold
699,গর্ত,hole
62,হোম,home
595,আশা,hope
266,ঘোড়া,horse
19,গরম,hot
387,গরম,hot
453,ঘন্টা,hour
87,ঘর,house
46,কিভাবে,how
918,বিশাল,huge
787,মানবীয়,human
457,শত,hundred
502,খোঁজা,hunt
828,ত্বরা,hurry
2,আমি,i
527,বরফ,ice
259,ধারণা,idea
44,যদি,if
794,কল্পনা,imagine
34,মধ্যে,in
351,ইঞ্চি,inch
531,অন্তর্ভুক্ত,include
783,নির্দেশ,indicate
742,শিল্প,industry
780,পোকা,insect
877,তাত্ক্ষণিক,instant
575,উপকরণ,instrument
465,সুদ,interest
970,উদ্ভাবিত,invent
691,লোহা,iron
24,হয়,is
365,দ্বীপ,island
25,এটা,it
580,কাজ,job
617,যোগদান,join
570,আনন্দ,joy
700,ঝাঁপ,jump
129,ঠিক,just
221,রাখা,keep
576,রাখা,kept
690,চাবি,key
657,হত্যা,kill
84,ধরনের,kind
349,রাজা,king
344,জানতাম,knew
189,জানা,know
621,ভদ্রমহিলা,lady
659,হ্রদ,lake
70,জমি,land
399,ভাষা,language
66,বড়,large
224,শেষ,last
240,দেরী,late
379,মজা,laugh
730,আইন,law
482,রাখা,lay
408,নেতৃত্ব,lead
213,শেখা,learn
610,অন্তত,least
321,ত্যাগ,leave
929,চালিত,led
239,বাকি,left
562,পা,leg
516,দৈর্ঘ্য,length
474,কম,less
225,যাক,let
293,চিঠি,letter
978,স্তর,level
745,মিথ্যা,lie
248,জীবন,life
848,লিফট,lift
83,আলো,light
164,মত,like
137,লাইন,line
894,তরল,liquid
310,তালিকা,list
470,শুনতে,listen
113,সামান্য,little
109,বাস,live
777,সনাক্ত,locate
895,লগ ইন,log
561,নির্জন,lone
168,দীর্ঘ,long
175,চেহারা,look
635,হারিয়ে,lost
687,অনেক,lot
662,অট্ট,loud
487,প্রেম,love
136,কম,low
411,মেশিন,machine
108,তৈরি,made
909,চুম্বক,magnet
273,প্রধান,main
835,প্রধান,major
169,না,make
116,মানুষ,man
159,অনেক,many
493,মানচিত্র,map
291,চিহ্ন,mark
878,বাজার,market
932,ভর,mass
851,মাস্টার,master
913,ম্যাচ,match
550,উপাদান,material
528,ব্যাপার,matter
195,হতে পারে,may
122,আমাকে,me
142,গড়,mean
896,বোঝানো,meant
323,পরিমাপ,measure
817,মাংস,meat
704,দেখা,meet
601,সুর,melody
80,পুরুষ,men
709,ধাতু,metal
672,পদ্ধতি,method
656,মধ্যম,middle
233,হতে পারে,might
295,মাইল,mile
670,দুধ,milk
591,মিলিয়ন,million
444,মন,mind
832,খনি,mine
441,মিনিট,minute
388,মিস্,miss
631,মিশ্রিত করা,mix
769,আধুনিক,modern
987,অণু,molecule
660,মুহূর্ত,moment
489,টাকা,money
590,মাস,month
364,চাঁদ,moon
176,আরো,more
475,সকাল,morning
185,সবচেয়ে,most
94,মা,mother
892,গতি,motion
566,মাউন্ট,mount
261,পর্বত,mountain
606,মুখ,mouth
144,পদক্ষেপ,move
141,অনেক,much
352,সংখ্যাবৃদ্ধি,multiply
288,সঙ্গীত,music
72,অবশ্যই,must
187,আমার,my
126,নাম,name
668,জাতি,nation
748,প্রাকৃতিক,natural
889,প্রকৃতি,nature
96,কাছাকাছি,near
802,প্রয়োজনীয়,necessary
900,ঘাড়,neck
86,প্রয়োজন,need
806,প্রতিবেশী,neighbor
223,না,never
102,নতুন,new
277,পরবর্তী,next
246,রাত,night
975,নয়,nine
184,কোন,no
977,শব্দ,noise
767,দুপুর,noon
947,না,nor
250,উত্তর,north
996,নাক,nose
412,নোট,note
353,কিছুই,nothing
499,বিজ্ঞপ্তি,notice
418,বিশেষ্য,noun
199,এখন,now
182,সংখ্যা,number
328,সংখ্যা,numeral
360,বস্তু,object
664,পালন করা,observe
886,ঘটতে,occur
438,মহাসাগর,ocean
30,এর,of
85,বন্ধ,off
873,প্রস্তাব,offer
603,অফিস,office
292,প্রায়ই,often
435,উহু,oh
626,তেল,oil
147,পুরাতন,old
8,উপর,on
263,একবার,once
14,এক,one
114,শুধুমাত্র,only
274,খোলা,open
760,কাজ,operate
963,বিপরীত,opposite
27,বা,or
338,যাতে,order
673,অঙ্গ,organ
865,মূল,original
38,অন্যান্য,other
124,আমাদের,our
37,আউট,out
188,উপর,over
203,নিজস্ব,own
901,অক্সিজেন,oxygen
204,পৃষ্ঠা,page
398,আঁকা,paint
530,জোড়া,pair
285,কাগজ,paper
713,অনুচ্ছেদ,paragraph
853,পিতা বা মাতা,parent
104,অংশ,part
959,বিশেষ,particular
774,দল,party
345,পাস,pass
584,গত,past
893,পথ,path
484,প্যাটার্ন,pattern
674,পরিশোধ,pay
186,মানুষ,people
510,সম্ভবত,perhaps
782,সময়ের,period
488,ব্যক্তি,person
734,ফ্রেজ,phrase
511,বাছাই,pick
88,ছবি,picture
342,টুকরা,piece
930,পিচ,pitch
107,স্থান,place
302,সাধারণ,plain
414,পরিকল্পনা,plan
375,সমতল,plane
827,গ্রহ,planet
214,উদ্ভিদ,plant
58,খেলা,play
765,করুন,please
997,বহুবচন,plural
813,কবিতা,poem
93,বিন্দু,point
686,দরিদ্র,poor
880,পূরণ,populate
65,পোর্ট,port
320,জাহির করা,pose
546,অবস্থান,position
374,সম্ভব,possible
860,পোস্ট,post
423,আধা কেজি,pound
402,ক্ষমতা,power
761,অনুশীলন,practice
994,প্রস্তুত,prepare
542,বর্তমান,present
244,প্রেস,press
904,চমত্কার,pretty
842,মুদ্রণ,print
503,সম্ভাব্য,probable
341,সমস্যা,problem
759,প্রক্রিয়া,process
448,উত্পাদন,produce
325,পণ্য,product
871,সঠিক,proper
985,সম্পত্তি,property
766,রক্ষা,protect
560,প্রমাণ,prove
795,প্রদান,provide
497,টান,pull
711,ধাক্কা,push
61,করা,put
974,গ্যালনের চতুর্থাংশ,quart
331,প্রশ্ন,question
436,দ্রুত,quick
680,শান্ত,quiet
653,পুরোপুরি,quite
897,ভাগফল,quotient
554,জাতি,race
784,রেডিও,radio
793,রেল,rail
494,বৃষ্টি,rain
707,বাড়াতে,raise
382,বিশেষত্বহীন,ran
890,পরিসর,range
809,বরং,rather
