number,croatian,english
33,kraj,a
422,u mogućnosti,able
158,oko,about
307,iznad,above
77,čin,act
68,dodajte,add
917,bojati,afraid
111,nakon,after
91,opet,again
483,protiv,against
675,starost,age
381,prije,ago
796,slažete,agree
55,zrak,air
151,svi,all
841,dopustiti,allow
57,također,also
287,uvijek,always
541,ja,am
400,među,among
48,pitaj,an
32,i,and
998,ljutnja,anger
92,životinja,animal
208,odgovor,answer
101,bilo koji,any
491,pojaviti,appear
927,jabuka,apple
9,su,are
335,područje,area
547,ruka,arm
968,urediti,arrange
850,stići,arrive
518,umjetnost,art
1,kao,as
79,pitaj,ask
13,na,at
786,atom,atom
701,beba,baby
112,natrag,back
624,loše,bad
536,lopta,ball
934,bend,band
646,banka,bank
872,bar,bar
264,baza,base
944,osnovna,basic
808,šišmiš,bat
12,biti,be
592,snositi,bear
746,pobijediti,beat
425,ljepota,beauty
504,krevet,bed
198,bio,been
143,prije,before
258,počelo,began
280,početak,begin
445,iza,behind
509,vjerujem,believe
815,zvono,bell
452,najbolje,best
454,bolje,better
219,između,between
73,veliki,big
314,ptica,bird
731,malo,bit
326,crn,black
951,blokirati,block
627,krv,blood
625,udarac,blow
359,plava,blue
569,peglanje,board
371,brod,boat
316,tijelo,body
792,kosti,bone
251,knjiga,book
972,born,born
290,oboje,both
689,dno,bottom
928,kupio,bought
417,kutija,box
146,dječak,boy
912,grana,branch
869,kruh,bread
620,pauza,break
587,svijetle,bright
393,donijeti,bring
993,široka,broad
654,razbio,broke
505,brat,brother
389,donio,brought
636,smeđa,brown
97,graditi,build
723,spali,burn
368,zauzet,busy
21,ali,but
706,kupi,buy
18,od strane,by
192,poziv,call
118,došao,came
969,kamp,camp
36,može,can
751,kapitala,capital
800,kapetan,captain
297,automobil,car
933,kartice,card
299,briga,care
252,nose,carry
655,slučaj,case
726,mačka,cat
565,ulov,catch
781,uhvaćen,caught
140,uzrok,cause
508,stanica,cell
630,posto,cent
486,centar,center
727,stoljeća,century
405,siguran,certain
753,stolica,chair
979,šanse,chance
81,promjena,change
779,karakter,character
870,naplatiti,charge
952,grafikon,chart
383,provjeriti,check
881,pilić,chick
829,glavni,chief
665,dijete,child
279,djeca,children
641,odaberite,choose
862,akord,chord
529,krug,circle
227,grad,city
999,tvrdnja,claim
329,klasa,class
619,čist,clean
446,jasno,clear
683,uspon,climb
831,sat,clock
245,u blizini,close
597,odijevate,clothe
678,oblak,cloud
732,obala,coast
931,kaput,coat
498,hladnoće,cold
647,prikupiti,collect
830,kolonija,colony
270,boja,color
986,stupac,column
180,dolaze,come
372,zajednički,common
956,tvrtka,company
812,usporedbu,compare
333,potpun,complete
940,stanje,condition
859,povezivanje,connect
728,razmotriti,consider
667,suglasnika,consonant
428,sadrže,contain
1000,kontinent,continent
950,nastaviti,continue
649,kontrola,control
719,kuharica,cook
684,svjež,cool
733,kopija,copy
811,kukuruz,corn
773,kutak,corner
421,točne,correct
634,trošak,cost
971,pamuk,cotton
178,mogla,could
513,računati,count
206,zemlja,country
354,tečaj,course
215,poklopac,cover
579,krava,cow
698,gužvanja,crease
805,stvoriti,create
768,usjev,crop
229,križ,cross
810,gomila,crowd
409,krik,cry
847,tekući,current
267,rez,cut
868,tata,dad
544,ples,dance
754,opasnost,danger
410,mrak,dark
177,dan,day
843,mrtvih,dead
960,dio,deal
882,draga,dear
903,smrt,death
361,odlučite,decide
650,decimale,decimal
363,duboko,deep
879,stepen,degree
816,ovise,depend
718,opisati,describe
845,pustinja,desert
685,dizajn,design
973,utvrdilo,determine
437,razviti,develop
669,rječnik,dictionary
181,učinio,did
609,umrijeti,die
138,razlikuju,differ
763,teško,difficult
319,neposredan,direct
921,raspravljati,discuss
395,daleka,distant
532,podijeli,divide
855,podjela,division
41,raditi,do
764,liječnik,doctor
51,radi,does
317,pas,dog
921,dolar,dollar
424,učinjeno,done
242,nemoj,don’t
324,vrata,door
948,dvostruka,double
196,prema dolje,down
238,crtanje,draw
938,sanjati,dream
677,haljina,dress
885,piće,drink
426,pogon,drive
539,ispustiti,drop
377,suhi,dry
876,patka,duck
456,vrijeme,during
49,svaki,each
651,uho,ear
461,rano,early
99,zemlja,earth
284,ublažavanje,ease
397,istočno,east
255,jesti,eat
581,rub,edge
789,posljedica,effect
506,jaje,egg
702,osam,eight
721,ili,either
790,električna,electric
770,element,element
652,drugo,else
60,kraj,end
883,neprijatelj,enemy
501,energije,energy
545,motor,engine
301,dovoljno,enough
834,ući,enter
639,jednaka,equal
386,izjednačiti,equate
915,pogotovo,especially
69,još,even
939,večer,evening
958,događaj,event
308,ikad,ever
120,svaka,every
607,točno,exact
283,primjer,example
613,osim,except
747,uzbuditi,excite
563,vježba,exercise
791,očekujemo,expect
925,iskustvo,experience
688,eksperiment,experiment
222,očiju,eye
271,lice,face
449,činjenica,fact
645,fer,fair
407,pasti,fall
318,obitelj,family
820,poznati,famous
236,daleko,far
230,farma,farm
467,brzo,fast
863,masti,fat
100,otac,father
858,naklonost,favor
823,strah,fear
941,hrane,feed
312,osjećati,feel
298,noge,feet
642,pao,fell
534,osjećao,felt
249,nekoliko,few
419,polje,field
916,slika,fig
744,borba,fight
415,slika,figure
396,popuniti,fill
432,konačni,final
200,naći,find
404,fino,fine
741,prst,finger
593,finiš,finish
339,vatra,fire
193,prvi,first
260,riba,fish
643,pristajati,fit
458,pet,five
694,stan,flat
720,kat,floor
644,protok,flow
596,cvijet,flower
406,letjeti,fly
76,slijediti,follow
216,hrana,food
366,stopala,foot
7,za,for
358,sila,force
552,šuma,forest
130,obrazac,form
922,naprijed,forward
207,nađen,found
218,četiri,four
551,razlomak,fraction
440,besplatno,free
836,svježi,fresh
257,prijatelj,friend
17,iz,from
429,prednji,front
755,voće,fruit
357,puna,full
586,zabava,fun
384,igra,game
638,vrt,garden
588,plin,gas
980,okupljaju,gather
433,dao,gave
526,opći,general
798,nježan,gentle
106,dobiti,get
303,djevojka,girl
123,daju,give
864,drago,glad
577,staklo,glass
179,ići,go
373,zlato,gold
599,otišli,gone
121,dobro,good
281,dobio,got
496,vladati,govern
535,veličanstven,grand
578,trava,grass
990,siv,gray
132,super,great
434,zelena,green
629,rastao,grew
464,tlo,ground
286,skupina,group
210,rasti,grow
801,pogađati,guess
924,voditi,guide
840,puška,gun
28,imala,had
717,kosa,hair
336,pola,half
64,ruka,hand
332,dogoditi se,happen
594,sretna,happy
231,teško,hard
174,ima,has
953,šešir,hat
15,imati,have
5,on,he
201,glava,head
265,čuju,hear
451,čula,heard
540,srce,heart
390,topline,heat
543,teško,heavy
716,održana,held
135,pomoći,help
167,ju,her
71,ovdje,here
74,visoka,high
724,hill,hill
172,ga,him
3,njegov,his
788,povijest,history
771,hit,hit
462,držati,hold
699,rupa,hole
62,početna,home
595,nadam,hope
266,konj,horse
19,vruće,hot
387,vruće,hot
453,sat,hour
87,kuća,house
46,kako,how
918,ogroman,huge
787,ljudsko,human
457,sto,hundred
502,hunt,hunt
828,požuriti,hurry
2,ja,i
527,led,ice
259,ideja,idea
44,ako,if
794,zamislite,imagine
34,u,in
351,palac,inch
531,uključuju,include
783,naznačiti,indicate
742,industriju,industry
780,insekata,insect
877,instant,instant
575,instrument,instrument
465,interes,interest
970,izmišljati,invent
691,željezo,iron
24,je,is
365,otok,island
25,to,it
580,posao,job
617,pridruže,join
570,radost,joy
700,skočiti,jump
129,upravo,just
221,zadržati,keep
576,zadržao,kept
690,ključ,key
657,ubiti,kill
84,vrsta,kind
349,kralj,king
344,znao,knew
189,znam,know
621,dama,lady
659,jezero,lake
70,zemljište,land
399,jezik,language
66,veliki,large
224,posljednji,last
240,kasno,late
379,smijati,laugh
730,zakon,law
482,ležao,lay
408,dovesti,lead
213,učiti,learn
610,najmanji,least
321,ostavite,leave
929,dovelo,led
239,napustio,left
562,noga,leg
516,dužina,length
474,manje,less
225,pustiti,let
293,pismo,letter
978,razina,level
745,laž,lie
248,život,life
848,lift,lift
83,svjetlo,light
164,kao što,like
137,linija,line
894,tekućina,liquid
310,popis,list
470,slušaj,listen
113,malo,little
109,živjeti,live
777,locirati,locate
895,klada,log
561,usamljeni,lone
168,dug,long
175,izgleda,look
635,izgubljen,lost
687,puno,lot
662,glasno,loud
487,volim,love
136,niska,low
411,uređaj,machine
108,napravljen,made
909,magnet,magnet
273,glavni,main
835,glavni,major
169,napraviti,make
116,čovjek,man
159,mnogi,many
493,karta,map
291,mark,mark
878,tržište,market
932,masa,mass
851,majstor,master
913,susret,match
550,materijal,material
528,stvar,matter
195,svibanj,may
122,ja,me
142,znači,mean
896,značio,meant
323,mjeri,measure
817,meso,meat
704,upoznajte,meet
601,melodija,melody
80,muškarci,men
709,metala,metal
672,način,method
656,srednji,middle
233,možda,might
295,milja,mile
670,mlijeko,milk
591,milijuna,million
444,um,mind
832,rudnik,mine
441,minuta,minute
388,propustiti,miss
631,mix,mix
769,moderni,modern
987,molekula,molecule
660,trenutak,moment
489,novac,money
590,mjesec,month
364,mjesec,moon
176,više,more
475,jutro,morning
185,većina,most
94,majka,mother
892,prijedlog,motion
566,planina,mount
261,planina,mountain
606,usta,mouth
144,potez,move
141,mnogo,much
352,množite,multiply
288,glazba,music
72,mora,must
187,moj,my
126,naziv,name
668,nacija,nation
748,prirodni,natural
889,priroda,nature
96,blizu,near
802,neophodan,necessary
900,vrat,neck
86,potrebno,need
806,susjed,neighbor
223,nikad,never
102,nova,new
277,sljedeći,next
246,noć,night
975,devet,nine
184,ne,no
977,buka,noise
767,podne,noon
947,niti,nor
250,sjeverno,north
996,nos,nose
412,bilješka,note
353,ništa,nothing
499,obavijest,notice
418,imenica,noun
199,sada,now
182,broj,number
328,cifra,numeral
360,objekt,object
664,promatrati,observe
886,pojaviti,occur
438,ocean,ocean
30,od,of
85,isključen,off
873,ponuda,offer
603,ured,office
292,često,often
435,oh,oh
626,ulje,oil
147,stari,old
8,na,on
263,jednom,once
14,jedan,one
114,samo,only
274,otvoren,open
760,raditi,operate
963,nasuprot,opposite
27,ili,or
338,poredak,order
673,orgulje,organ
865,izvorna,original
38,drugi,other
124,naša,our
37,iz,out
188,više,over
203,vlastita,own
901,kisika,oxygen
204,stranica,page
398,slikati,paint
530,par,pair
285,papir,paper
713,stavak,paragraph
853,roditelj,parent
104,dio,part
959,konkretno,particular
774,stranka,party
345,proći,pass
584,prošlost,past
893,put,path
484,uzorak,pattern
674,platiti,pay
186,ljudi,people
510,možda,perhaps
782,razdoblje,period
488,osoba,person
734,fraza,phrase
511,brati,pick
88,slika,picture
342,komad,piece
930,pitch,pitch
107,mjesto,place
302,obični,plain
414,plan,plan
375,avion,plane
827,planet,planet
214,biljka,plant
58,igrati,play
765,molim,please
997,množini,plural
813,pjesma,poem
93,točka,point
686,siromašnih,poor
880,naseliti,populate
65,luka,port
320,poza,pose
546,položaj,position
374,moguće,possible
860,poslije,post
423,funta,pound
402,snaga,power
761,praksa,practice
994,pripremi,prepare
542,prisutna,present
244,pritisnite,press
904,prilično,pretty
842,ispis,print
503,vjerojatno,probable
341,problem,problem
759,proces,process
448,proizvesti,produce
325,proizvod,product
871,pravi,proper
985,svojstvo,property
766,zaštititi,protect
560,dokazati,prove
795,predvidjeti,provide
497,povući,pull
711,guranje,push
61,staviti,put
974,pošteda,quart
331,pitanje,question
436,quick,quick
680,tiho,quiet
653,sasvim,quite
897,kvocijent,quotient
554,utrka,race
784,radio,radio
793,željeznicom,rail
494,kiša,rain
707,podizanje,raise
382,ran,ran
890,domet,range
809,radije,rather
466,dostići,reach
63,pročitati,read
306,spremni,ready
247,real,real
515,razlog,reason
604,dobiti,receive
370,rekord,record
309,crvena,red
520,regija,region
459,zapamtite,remember
991,ponoviti,repeat
884,odgovori,reply
517,predstavljaju,represent
992,zahtijevati,require
420,ostatak,rest
722,rezultat,result
756,bogata,rich
507,vožnja,ride
145,pravo,right
778,prsten,ring
623,rasti,rise
296,rijeka,river
492,cesta,road
337,stijena,rock
739,svitak,roll
256,soba,room
705,korijen,root
935,konop,rope
840,ruža,rose
115,okrugli,round
605,red,row
818,trljati,rub
495,pravilo,rule
241,run,run
725,sigurno,safe
47,rekao je,said
549,jedro,sail
995,sol,salt
149,isti,same
737,pijesak,sand
572,sat,sat
648,spasiti,save
235,pila,saw
134,kažu,say
661,razmjera,scale
209,škola,school
254,znanost,science
926,postići,score
237,more,sea
837,pretraživanje,search
907,sezona,season
949,sjedište,seat
300,drugi,second
676,dio,section
171,vidjeti,see
615,sjeme,seed
275,čini se,seem
874,segment,segment
988,odaberite,select
98,samouprave,self
954,prodajemo,sell
838,poslati,send
750,osjećaj,sense
640,poslao,sent
131,rečenica,sentence
762,zaseban,separate
490,služe,serve
52,skup,set
523,nastaniti,settle
712,sedam,seven
478,nekoliko,several
715,mora,shall
385,oblik,shape
866,udio,share
803,oštar,sharp
150,ona,she
856,list,sheet
899,shell,shell
984,sjaj,shine
334,brod,ship
965,cipela,shoe
981,dućan,shop
854,prikljucak,shore
327,ukratko,short
205,trebale,should
966,ramena,shoulder
612,povik,shout
119,show,show
197,strana,side
284,prizor,sight
582,znak,sign
735,tihi,silent
910,srebro,silver
923,sličan,similar
477,jednostavan,simple
346,budući,since
469,pjevati,sing
692,pojedinačni,single
919,sestra,sister
553,sjediti,sit
471,šest,six
521,veličina,size
905,vještina,skill
696,koža,skin
568,nebo,sky
875,rob,slave
559,spavanje,sleep
936,slip,slip
485,spor,slow
59,mali,small
945,miris,smell
697,osmijeh,smile
391,snijeg,snow
165,tako,so
585,mekan,soft
738,tlo,soil
758,vojnik,soldier
908,otopina,solution
708,riješiti,solve
23,neki,some
658,sin,son
322,pjesma,song
315,uskoro,soon
183,zvuk,sound
340,jug,south
450,prostor,space
524,govoriti,speak
443,poseban,special
888,govor,speech
671,brzina,speed
67,čarolija,spell
861,potrošiti,spend
785,govorio,spoke
844,mjesto,spot
967,širenje,spread
663,proljeće,spring
514,trg,square
202,stajati,stand
416,zvijezda,star
232,početak,start
220,stanje,state
867,kolodvor,station
355,ostati,stay
376,stead,stead
891,para,steam
920,čelik,steel
460,korak,step
693,štap,stick
212,još uvijek,still
681,kamena,stone
427,stajao,stood
262,zaustaviti,stop
556,trgovina,store
234,priča,story
666,ravno,straight
598,čudno,strange
822,potok,stream
350,ulica,street
982,stretch,stretch
814,niz,string
442,jak,strong
772,student,student
211,studija,study
519,subjekt,subject
857,tvar,substance
957,oduzmite,subtract
955,uspjeh,success
75,kao što,such
512,nagli,sudden
914,sufiks,suffix
902,šećer,sugar
618,predložiti,suggest
846,odijelo,suit
557,ljeto,summer
217,sunce,sun
775,opskrba,supply
887,podrška,support
268,sigurni,sure
362,površina,surface
679,iznenađenje,surprise
961,kupanje,swim
533,slog,syllable
608,simbol,symbol
367,sistem,system
472,stol,table
447,rep,tail
105,potrajati,take
313,razgovor,talk
736,visok,tall
430,poučavati,teach
632,tim,team
898,zubi,teeth
50,reći,tell
740,temperatura,temperature
476,deset,ten
962,pojam,term
369,test,test
191,od,than
911,zahvaljujem,thank
4,da,that
29,biti,the
42,svoje,their
161,ih,them
160,zatim,then
152,postoji,there
166,to,these
11,oni,they
757,debela,thick
825,tanak,thin
170,stvar,thing
133,mislim,think
714,treći,third
16,ovo,this
289,onima,those
311,iako,though
226,mislio,thought
380,tisuća,thousand
53,tri,three
128,kroz,through
983,bacati,throw
797,tako,thus
833,vezati,tie
43,vrijeme,time
682,maleni,tiny
392,gume,tire
31,kako bi,to
276,zajedno,together
343,rekao,told
616,ton,tone
148,previše,too
253,uzeo,took
942,alat,tool
347,vrh,top
943,ukupan,total
628,touch,touch
480,prema,toward
403,grad,town
852,staza,track
600,trgovina,trade
558,vlak,train
473,putovanje,travel
228,stablo,tree
826,trokut,triangle
602,putovanje,trip
611,nevolja,trouble
976,kamion,truck
455,pravi,true
89,probati,try
819,cijev,tube
139,red,turn
695,dvadesetak,twenty
173,dva,two
729,tip,type
125,pod,under
401,jedinica,unit
294,do,until
154,do,up
90,nas,us
155,koristiti,use
304,uobičajena,usual
946,dolina,valley
743,vrijednost,value
522,razlikuju,vary
468,glagol,verb
127,vrlo,very
749,pogled,view
703,selo,village
583,posjet,visit
500,glas,voice
479,samoglasnik,vowel
413,čekati,wait
282,hodati,walk
564,zid,wall
54,željeti,want
481,rat,war
439,toplo,warm
6,bio,was
807,pranje,wash
269,gledati,watch
190,voda,water
538,val,wave
157,način,way
35,smo,we
637,nosite,wear
589,vremenska prognoza,weather
431,tjedan,week
525,težina,weight
56,dobro,well
82,otišao,went
39,bili su,were
463,zapadno,west
22,što,what
356,kotača,wheel
153,kada,when
110,gdje,where
710,da li,whether
40,koji,which
243,a,while
278,bijela,white
194,koji,who
348,cijeli,whole
776,čije,whose
78,zašto,why
548,širok,wide
964,žena,wife
574,divlja,wild
45,hoće,will
937,pobjeda,win
330,vjetar,wind
555,prozor,window
804,krilo,wing
571,zima,winter
633,žica,wire
567,želite,wish
10,s,with
799,žena,woman
906,žene,women
378,pitam,wonder
752,neće,won’t
272,drva,wood
20,riječ,word
103,rad,work
95,svijet,world
163,bi,would
162,pisati,write
573,napisano,written
989,pogrešno,wrong
614,pisao,wrote
622,dvorište,yard
117,godine,year
839,žuta,yellow
394,da,yes
537,još,yet
26,što,you
305,mladi,young
156,vaš,your
