number,slovenian,english
33,bi,a
422,lahko,able
158,o,about
307,zgoraj,above
77,akt,act
68,dodajte,add
917,strah,afraid
111,po,after
91,ponovno,again
483,proti,against
675,starost,age
381,nazaj,ago
796,se strinjam,agree
55,zrak,air
151,vse,all
841,omogočajo,allow
57,tudi,also
287,vedno,always
541,am,am
400,med,among
48,,an
32,in,and
998,jeza,anger
92,živali,animal
208,odgovor,answer
101,koli,any
491,pojavijo,appear
927,jabolko,apple
9,up,are
335,območje,area
547,ročica,arm
968,uredi,arrange
850,prispejo,arrive
518,umetnost,art
1,kot,as
79,vprašajte,ask
13,na,at
786,atoma,atom
701,otroška,baby
112,nazaj,back
624,slabo,bad
536,kroglični,ball
934,pas,band
646,banka,bank
872,barov,bar
264,baza,base
944,osnovni,basic
808,netopirja,bat
12,biti,be
592,nosi,bear
746,premagati,beat
425,lepota,beauty
504,postelja,bed
198,bilo,been
143,pred,before
258,začel,began
280,začeti,begin
445,zadaj,behind
509,verjamemo,believe
815,bell,bell
452,najboljši,best
454,bolje,better
219,med,between
73,velika,big
314,ptica,bird
731,bit,bit
326,black,black
951,blok,block
627,krvi,blood
625,pihalnega,blow
359,modra,blue
569,penzion,board
371,čoln,boat
316,telo,body
792,kostne,bone
251,knjiga,book
972,rojena,born
290,oboje,both
689,spodnji,bottom
928,kupil,bought
417,škatla,box
146,boy,boy
912,podružnica,branch
869,kruh,bread
620,odmor,break
587,svetla,bright
393,prinašajo,bring
993,široka,broad
654,zlomil,broke
505,brat,brother
389,prinesel,brought
636,rjava,brown
97,graditi,build
723,gorijo,burn
368,zaposlen,busy
21,vendar,but
706,nakup,buy
18,s,by
192,razpis,call
118,prišel,came
969,tabor,camp
36,lahko,can
751,kapital,capital
800,kapetan,captain
297,avto,car
933,kartice,card
299,nega,care
252,opravljanje,carry
655,primer,case
726,cat,cat
565,ulov,catch
781,ujete,caught
140,vzrok,cause
508,celica,cell
630,centov,cent
486,center,center
727,stoletje,century
405,nekatere,certain
753,stol,chair
979,priložnost,chance
81,sprememba,change
779,značaj,character
870,zaračuna,charge
952,grafikon,chart
383,preveriti,check
881,chick,chick
829,glavni,chief
665,otrok,child
279,otroci,children
641,izberite,choose
862,tetiva,chord
529,krog,circle
