number,hebrew,english
33,זמן,a
422,תוכל,able
158,על,about
307,מעל,above
77,מעשה,act
68,להוסיף,add
917,חושש,afraid
111,לאחר,after
91,שוב,again
483,נגד,against
675,גיל,age
381,לפני,ago
796,מסכים,agree
55,אוויר,air
151,כל,all
841,לאפשר,allow
57,גם,also
287,תמיד,always
541,בבוקר,am
400,בין,among
48,בית,an
32,ו,and
998,כעס,anger
92,חיה,animal
208,תשובה,answer
101,כל,any
491,להופיע,appear
927,תפוח,apple
9,הם,are
335,אזור,area
547,זרוע,arm
968,לסדר,arrange
850,להגיע,arrive
518,אמנות,art
1,כמו,as
79,שואל,ask
13,ב,at
786,אטום,atom
701,תינוק,baby
112,בחזרה,back
624,רע,bad
536,כדור,ball
934,להקה,band
646,בנק,bank
872,בר,bar
264,בסיס,base
944,בסיסי,basic
808,עטלף,bat
12,להיות,be
592,לשאת,bear
746,הכה,beat
425,יופי,beauty
504,מיטה,bed
198,היה,been
143,לפני,before
258,החל,began
280,להתחיל,begin
445,מאחור,behind
509,מאמין,believe
815,פעמון,bell
452,הטוב ביותר,best
454,טוב יותר,better
219,בין,between
73,גדול,big
314,ציפור,bird
731,קצת,bit
326,שחור,black
951,בלוק,block
627,דם,blood
625,מכה,blow
359,כחול,blue
569,לוח,board
371,סירה,boat
316,גוף,body
792,עצם,bone
251,ספר,book
972,נולד,born
290,שני,both
689,תחתון,bottom
928,קניתי,bought
417,תיבה,box
146,ילד,boy
912,סניף,branch
869,לחם,bread
620,הפסקה,break
587,בהיר,bright
393,להביא,bring
993,רחב,broad
654,פרץ,broke
505,אח,brother
389,הביא,brought
636,חום,brown
97,לבנות,build
723,לשרוף,burn
368,עסוק,busy
21,אבל,but
706,לקנות,buy
18,על ידי,by
192,שיחה,call
118,הגיע,came
969,מחנה,camp
36,יכול,can
751,הון,capital
800,קפטן,captain
297,מכונית,car
933,כרטיס,card
299,טיפול,care
252,לשאת,carry
655,מקרה,case
726,חתול,cat
565,מלכוד,catch
781,נתפס,caught
140,סיבה,cause
508,תא,cell
630,סנט,cent
486,מרכז,center
727,המאה,century
405,מסוים,certain
753,כיסא,chair
979,סיכוי,chance
81,לשנות,change
779,אופי,character
870,לחייב את,charge
952,תרשים,chart
383,לבדוק,check
881,חומוס,chick
829,ראשי,chief
665,ילד,child
279,ילדים,children
641,לבחור,choose
862,אקורד,chord
529,המעגל,circle
227,עיר,city
999,טענה,claim
329,כיתה,class
619,נקי,clean
446,ברור,clear
683,טיפוס,climb
831,שעון,clock
245,קרוב,close
597,להלביש,clothe
678,ענן,cloud
732,החוף,coast
931,מעיל,coat
498,קר,cold
647,לאסוף,collect
830,מושבה,colony
270,צבע,color
986,טור,column
180,תבואו,come
372,משותף,common
956,חברה,company
812,להשוות,compare
333,מלא,complete
940,מצב,condition
859,להתחבר,connect
728,לשקול,consider
667,עיצור,consonant
428,להכיל,contain
1000,יבשת,continent
950,להמשיך,continue
649,שליטה,control
719,טבח,cook
684,מגניב,cool
733,עותק,copy
811,תירס,corn
773,פינה,corner
421,נכון,correct
634,עלות,cost
971,כותנה,cotton
178,יכול,could
513,לספור,count
206,מדינה,country
354,כמובן,course
215,כיסוי,cover
579,פרה,cow
698,קמט,crease
805,ליצור,create
768,יבול,crop
229,לחצות,cross
810,קהל,crowd
409,זעקה,cry
847,נוכחי,current
267,לחתוך,cut
868,אבא,dad
544,ריקוד,dance
754,סכנה,danger
410,אפל,dark
177,יום,day
843,מת,dead
960,עסקה,deal
882,יקר,dear
903,מוות,death
361,להחליט,decide
650,עשרוני,decimal
363,עמוק,deep
879,תואר,degree
816,תלויים,depend
718,לתאר,describe
845,מדבר,desert
685,לעצב,design
973,לקבוע,determine
437,לפתח,develop
669,מילון,dictionary
181,עשיתי,did
609,למות,die
138,שונה,differ
763,קשה,difficult
319,ישיר,direct
921,לדון,discuss
395,רחוק,distant
532,פער,divide
855,החלוקה,division
41,לעשות,do
764,רופא,doctor
51,עושה,does
317,כלב,dog
921,דולר,dollar
424,עשיתי,done
242,לא,don’t
324,דלת,door
948,כפול,double
196,למטה,down
238,לצייר,draw
938,לחלום,dream
677,שמלה,dress
885,משקה,drink
426,כונן,drive
539,טיפה,drop
377,יבש,dry
876,ברווז,duck
456,במהלך,during
49,כל,each
651,אוזן,ear
461,מוקדם,early
99,כדור הארץ,earth
284,להקל,ease
397,מזרח,east
255,לסעוד,eat
581,קצה,edge
789,השפעה,effect
506,ביצה,egg
702,שמונה,eight
721,או,either
790,חשמלי,electric
770,אלמנט,element
652,אחר,else
60,סוף,end
883,אויב,enemy
501,אנרגיה,energy
545,מנוע,engine
301,מספיק,enough
834,להיכנס,enter
639,שווה,equal
386,להשוות,equate
915,במיוחד,especially
69,אפילו,even
939,ערב,evening
958,אירוע,event
308,אי פעם,ever
120,כל,every
607,מדויק,exact
283,דוגמא,example
613,אלא,except
747,לרגש,excite
563,תרגיל,exercise
791,מצפה,expect
925,ניסיון,experience
688,ניסיון,experiment
222,עין,eye
271,פנים,face
449,עובדה,fact
645,הוגן,fair
407,ליפול,fall
318,משפחה,family
820,מפורסם,famous
236,רחוק,far
230,החווה,farm
467,מהר,fast
863,שומן,fat
100,אב,father
858,להעדיף,favor
823,פחד,fear
941,הזנה,feed
312,להרגיש,feel
298,רגליים,feet
642,נפלתי,fell
534,הרגיש,felt
249,כמה,few
419,שדה,field
916,תאנה,fig
744,מאבק,fight
415,דמות,figure
396,למלא,fill
432,סופי,final
200,למצוא,find
404,קנס,fine
741,אצבע,finger
593,גימור,finish
339,אש,fire
193,ראשון,first
260,דגים,fish
643,להתאים,fit
458,חמש,five
694,דירה,flat
720,רצפה,floor
644,לזרום,flow
596,פרח,flower
406,לעוף,fly
76,מעקב,follow
216,מזון,food
366,רגל,foot
7,עבור,for
358,כוח,force
552,יער,forest
130,טופס,form
922,קדימה,forward
207,מצאתי,found
218,ארבעה,four
551,חלק,fraction
440,חופשי,free
836,טרי,fresh
257,חבר,friend
17,מ,from
429,מול,front
755,פירות,fruit
357,מלא,full
586,כיף,fun
384,משחק,game
638,גן,garden
588,גז,gas
980,לאסוף,gather
433,נתתי,gave
526,כללי,general
798,עדין,gentle
106,לקבל,get
303,ילדה,girl
123,לתת,give
864,שמח,glad
577,זכוכית,glass
179,ללכת,go
373,זהב,gold
599,נעלם,gone
121,טוב,good
281,לי,got
496,למשול,govern
535,גדול,grand
578,דשא,grass
990,אפור,gray
132,גדול,great
434,ירוק,green
629,גדלתי,grew
464,קרקע,ground
286,קבוצה,group
210,לגדול,grow
801,מניח,guess
924,להנחות את,guide
840,אקדח,gun
28,היה לי,had
717,שיער,hair
336,מחצית,half
64,יד,hand
332,לקרות,happen
594,שמח,happy
231,קשה,hard
174,יש,has
953,כובע,hat
15,יש לי,have
5,הוא,he
201,ראש,head
265,לשמוע,hear
451,שמע,heard
540,לב,heart
390,חום,heat
543,כבד,heavy
716,מוחזק,held
135,לעזור,help
167,שלה,her
71,כאן,here
74,גבוה,high
724,גבעה,hill
172,שלו,him
3,שלו,his
788,היסטוריה,history
771,פגע,hit
462,להחזיק,hold
699,חור,hole
62,בית,home
595,מקווה,hope
266,סוס,horse
19,חם,hot
387,חם,hot
453,שעה,hour
87,בית,house
46,איך,how
918,ענק,huge
787,אדם,human
457,מאה,hundred
502,ציד,hunt
828,למהר,hurry
2,אני,i
527,קרח,ice
259,רעיון,idea
44,אם,if
794,להניח,imagine
34,ב,in
351,אינץ,inch
531,כולל,include
783,מצביע על,indicate
742,תעשייה,industry
780,חרקים,insect
877,מיידי,instant
575,מכשיר,instrument
465,עניין,interest
970,להמציא,invent
691,ברזל,iron
24,הוא,is
365,אי,island
25,זה,it
580,עבודה,job
617,להצטרף,join
570,שמחה,joy
700,לקפוץ,jump
129,רק,just
221,לשמור,keep
576,שמר,kept
690,מפתח,key
657,להרוג,kill
84,סוג,kind
349,מלך,king
344,ידעתי,knew
189,יודע,know
621,גברת,lady
659,אגם,lake
70,ארץ,land
399,שפה,language
66,גדול,large
224,אחרון,last
240,מאוחר,late
379,צחוק,laugh
730,החוק,law
482,שכבתי,lay
408,להוביל,lead
213,ללמוד,learn
610,לפחות,least
321,לעזוב,leave
929,הוביל,led
239,עזב,left
562,רגל,leg
516,משך,length
474,פחות,less
225,בואו,let
293,מכתב,letter
978,רמה,level
745,שקר,lie
248,חיים,life
848,מעלית,lift
83,אור,light
164,כמו,like
137,שורה,line
894,נוזל,liquid
310,רשימה,list
470,להקשיב,listen
113,קטן,little
109,לחיות,live
777,אתר,locate
895,להיכנס,log
561,בודד,lone
168,ארוך,long
175,להסתכל,look
635,איבדתי,lost
687,מגרש,lot
662,רם,loud
487,אהבה,love
136,נמוך,low
411,מכונה,machine
108,עשיתי,made
909,מגנט,magnet
273,עיקרי,main
835,גדול,major
169,לעשות,make
116,גבר,man
159,רבים,many
493,המפה,map
291,סימן,mark
878,שוק,market
932,מסה,mass
851,אדון,master
913,משחק,match
550,חומר,material
528,עניין,matter
195,רשאי,may
122,לי,me
142,אומר,mean
896,התכוון,meant
323,למדוד,measure
817,בשר,meat
704,נפגש,meet
601,מנגינה,melody
80,אנשים,men
709,מתכת,metal
672,שיטה,method
656,אמצע,middle
233,אולי,might
295,מייל,mile
670,חלב,milk
591,מיליון,million
444,דעה,mind
832,שלי,mine
441,דקות,minute
388,מתגעגע,miss
631,לערבב,mix
769,מודרני,modern
987,מולקולה,molecule
660,רגע,moment
489,כסף,money
590,חודש,month
364,ירח,moon
176,יותר,more
475,בוקר,morning
185,ביותר,most
94,אמא,mother
892,תנועה,motion
566,הר,mount
261,הר,mountain
606,פה,mouth
144,מהלך,move
141,הרבה,much
352,להכפיל,multiply
288,מוסיקה,music
72,חייב,must
187,שלי,my
126,שם,name
668,אומה,nation
748,טבעי,natural
889,טבע,nature
96,ליד,near
802,הכרחי,necessary
900,צוואר,neck
86,צריך,need
806,השכן,neighbor
223,אף פעם לא,never
102,חדש,new
277,הבא,next
246,לילה,night
975,תשע,nine
184,לא,no
977,רעש,noise
767,הצהריים,noon
947,ולא,nor
250,צפון,north
996,האף,nose
412,הערה,note
353,שום דבר,nothing
499,הודעה,notice
418,שם עצם,noun
199,עכשיו,now
182,מספר,number
328,ספרה,numeral
360,אובייקט,object
664,להתבונן,observe
886,להתרחש,occur
438,אוקיינוס,ocean
30,של,of
85,את,off
873,הצעה,offer
603,משרד,office
292,לעתים קרובות,often
435,הו,oh
626,שמן,oil
147,ישן,old
8,על,on
263,פעם אחת,once
14,אחד,one
114,רק,only
274,פתוח,open
760,פועל,operate
963,ההפך,opposite
27,או,or
338,כדי,order
673,איבר,organ
865,מקורי,original
38,אחר,other
124,שלנו,our
37,את,out
188,על,over
203,של,own
901,חמצן,oxygen
204,דף,page
398,לצייר,paint
530,זוג,pair
285,נייר,paper
713,סעיף,paragraph
853,הורה,parent
104,חלק,part
959,בפרט,particular
774,מפלגה,party
345,עובר,pass
584,האחרון,past
893,נתיב,path
484,דפוס,pattern
674,לשלם,pay
186,אנשים,people
510,אולי,perhaps
782,התקופה,period
488,אדם,person
734,ביטוי,phrase
511,לבחור,pick
88,תמונה,picture
342,חתיכה,piece
930,המגרש,pitch
107,מקום,place
302,מישור,plain
414,תכנית,plan
375,מטוס,plane
827,כדור הארץ,planet
214,צמח,plant
58,לשחק,play
765,בבקשה,please
997,לשון רבים,plural
813,שיר,poem
93,נקודה,point
686,עני,poor
880,לאכלס,populate
65,נמל,port
320,פוזה,pose
546,עמדה,position
374,אפשרי,possible
860,שלאחר,post
423,קילו,pound
402,כוח,power
761,בפועל,practice
994,להכין,prepare
542,נוכחי,present
244,עיתונות,press
904,די,pretty
842,הדפסה,print
503,סביר,probable
341,בעיה,problem
759,תהליך,process
448,לייצר,produce
325,מוצר,product
871,ראוי,proper
985,רכוש,property
766,להגן על,protect
560,להוכיח,prove
795,לספק,provide
497,למשוך,pull
711,דחיפה,push
61,לשים,put
974,ליטר,quart
331,שאלה,question
436,מהיר,quick
680,שקט,quiet
653,די,quite
897,מנה,quotient
554,מירוץ,race
784,רדיו,radio
793,רכבת,rail
494,גשם,rain
707,להעלות,raise
382,רצתי,ran
890,טווח,range
809,ולא,rather
466,להגיע,reach
63,לקרוא,read
306,מוכן,ready
247,אמיתי,real
515,סיבה,reason
604,לקבל,receive
370,שיא,record
309,אדום,red
520,אזור,region
459,לזכור,remember
991,חוזר,repeat
884,להגיב,reply
517,מייצג,represent
992,דורש,require
420,שאר,rest
722,תוצאה,result
756,עשיר,rich
507,נסיעה,ride
145,נכון,right
778,טבעת,ring
623,לעלות,rise
296,נהר,river
492,כביש,road
337,רוק,rock
739,גליל,roll
256,חדר,room
705,שורש,root
935,חבל,rope
840,עלה,rose
115,עגול,round
605,שורה,row
818,לשפשף,rub
495,שלטון,rule
241,לרוץ,run
725,בטוח,safe
47,אמר,said
549,מפרש,sail
995,מלח,salt
149,אותו,same
737,חול,sand
572,ישבתי,sat
648,להציל,save
235,מסור,saw
134,אומר,say
661,בקנה מידה,scale
209,בית ספר,school
254,מדע,science
926,ציון,score
237,ים,sea
837,חיפוש,search
907,עונה,season
949,מושב,seat
300,שני,second
676,סעיף,section
171,לראות,see
615,זרע,seed
275,נראה,seem
874,קטע,segment
988,בחר,select
98,עצמי,self
954,למכור,sell
838,לשלוח,send
750,תחושה,sense
640,שלחתי,sent
131,משפט,sentence
762,נפרד,separate
490,לשרת,serve
52,סט,set
523,להתיישב,settle
712,שבע,seven
478,כמה,several
715,תהא,shall
385,צורה,shape
866,מניה,share
803,חד,sharp
150,היא,she
856,גיליון,sheet
899,פגז,shell
984,ברק,shine
334,ספינה,ship
965,נעל,shoe
981,חנות,shop
854,החוף,shore
327,קצר,short
205,צריך,should
966,כתף,shoulder
612,צעקה,shout
119,מופע,show
197,צד,side
284,מראה,sight
582,סימן,sign
735,שקט,silent
910,כסף,silver
923,דומה,similar
477,פשוט,simple
346,מאז,since
469,לשיר,sing
692,אחת,single
919,אחות,sister
553,לשבת,sit
471,שש,six
521,גודל,size
905,מיומנות,skill
696,עור,skin
568,שמים,sky
875,עבדים,slave
559,לישון,sleep
936,תלוש,slip
485,איטי,slow
59,קטן,small
945,ריח,smell
697,חיוך,smile
391,שלג,snow
165,כך,so
585,רך,soft
738,אדמה,soil
758,חיל,soldier
908,פתרון,solution
708,לפתור,solve
23,כמה,some
658,בן,son
322,שיר,song
315,בקרוב,soon
183,נשמע,sound
340,דרום,south
450,חלל,space
524,לדבר,speak
443,מיוחד,special
888,נאום,speech
671,מהירות,speed
67,לאיית,spell
861,לבלות,spend
785,דיברתי,spoke
844,מקום,spot
967,התפשטות,spread
663,האביב,spring
514,רבוע,square
202,לעמוד,stand
416,כוכב,star
232,התחלה,start
220,מדינה,state
867,תחנה,station
355,להישאר,stay
376,במקום,stead
891,קיטור,steam
920,פלדה,steel
460,צעד,step
693,מקל,stick
212,עוד,still
681,אבן,stone
427,עמד,stood
262,להפסיק,stop
556,חנות,store
234,סיפור,story
666,ישר,straight
598,מוזר,strange
822,זרם,stream
350,רחוב,street
982,מתיחה,stretch
