number,shona,english
33,munhu,a
422,vanokwanisa,able
158,pamusoro,about
307,kumusoro,above
77,chiito,act
68,wedzera,add
917,afraid,afraid
111,pashure,after
91,zvakare,again
483,pamusoro,against
675,zera,age
381,kare,ago
796,kubvumirana,agree
55,mhepo,air
151,zvose,all
841,tendera,allow
57,wo,also
287,nguva dzose,always
541,ndiri,am
400,pakati,among
48,chinhu,an
32,uye,and
998,hasha,anger
92,mhuka,animal
208,mhinduro,answer
101,ani,any
491,oneka,appear
927,apuro,apple
9,ndivo,are
335,nharaunda,area
547,ruoko,arm
968,ronga,arrange
850,svika,arrive
518,unyanzvi,art
1,sezvo,as
79,kumbira,ask
13,pa,at
786,atomu,atom
701,mwana,baby
112,shure,back
624,zvakaipa,bad
536,bhora,ball
934,bhendi,band
646,bhangi,bank
872,rambidza,bar
264,hwaro,base
944,zvinokosha,basic
808,chiremwaremwa,bat
12,kuva,be
592,bereka,bear
746,rova,beat
425,runako,beauty
504,mubhedha,bed
198,anga,been
143,pamberi,before
258,akatanga,began
280,kutanga,begin
445,shure,behind
509,tenda,believe
815,bhero,bell
452,yakanakisisa,best
454,nane,better
219,pakati,between
73,guru,big
314,shiri,bird
731,chidimbu,bit
326,nhema,black
951,misa,block
627,ropa,blood
625,furidza,blow
359,bhuruu,blue
569,bhodhi,board
371,chikepe,boat
316,muviri,body
792,pfupa,bone
251,bhuku,book
972,zvarwa,born
290,zvose zviri zviviri,both
689,pasi,bottom
928,akatenga,bought
417,bhokisi,box
146,mukomana,boy
912,bazi,branch
869,chingwa,bread
620,zororo,break
587,jeka,bright
393,kuunza,bring
993,rwakafara,broad
654,akaputsa,broke
505,hanzvadzi konama,brother
389,vakauya,brought
636,bhurawuni,brown
97,kuvaka,build
723,pisa,burn
368,takabatikana,busy
21,asi,but
706,tenga,buy
18,kubudikidza,by
192,kufona,call
118,akauya,came
969,musasa,camp
36,anogona,can
751,guta,capital
800,mukuru,captain
297,motokari,car
933,kadhi,card
299,kutarisira,care
252,takura,carry
655,mhosva,case
726,katsi,cat
565,bata,catch
781,ukabatwa,caught
140,chikonzero,cause
508,chitokisi,cell
630,muzana,cent
486,pakati,center
727,zana remakore,century
405,vamwe,certain
753,cheya,chair
979,mukana,chance
81,chinja,change
779,mutambi,character
870,murandu,charge
952,chati,chart
383,cheki,check
881,chicks,chick
829,ishe,chief
665,mwana,child
279,vana,children
641,sarudza,choose
862,kodhi,chord
529,denderedzwa,circle
227,guta,city
999,murandu,claim
329,kirasi,class
619,chena,clean
446,pachena,clear
683,kwira,climb
831,chiringazuva,clock
245,pedyo,close
597,pfeka,clothe
678,gore,cloud
732,mhenderekedzo,coast
931,bhachi,coat
498,chando,cold
647,unganidza,collect
830,nyika yakapambwa,colony
270,ruvara,color
986,mbiru,column
180,uya,come
372,zvakajairika,common
956,kambani,company
812,enzanisa,compare
333,yose,complete
940,ezvinhu,condition
859,batanidza,connect
728,funga,consider
667,nzvanyira,consonant
428,takura,contain
1000,map,continent
950,rambai,continue
649,masimba,control
719,kuka,cook
684,kutonhora,cool
733,mufananidzo,copy
811,zviyo,corn
773,pakona,corner
421,zvechokwadi,correct
634,mutengo,cost
971,donje,cotton
178,wakakonewa,could
513,verenga,count
206,nyika,country
354,kosi,course
215,pabutiro,cover
579,mhou,cow
698,dzakakura,crease
805,sika,create
768,chirimwa,crop
229,muchinjikwa,cross
810,mhomho,crowd
409,kuchema,cry
847,zvemazuvano,current
267,vendu,cut
868,baba,dad
544,matambiro,dance
754,ngozi,danger
410,rima,dark
177,zuva,day
843,akafa,dead
960,dhiri,deal
882,mudiwa,dear
903,rufu,death
361,kusarudza,decide
650,grade,decimal
363,zvakadzama,deep
879,dhigirii,degree
816,yanzva,depend
718,tsanangura,describe
845,gwenga,desert
685,patani,design
973,ona,determine
437,kutanga,develop
