number,english,english
33,a,a
422,able,able
158,about,about
307,above,above
77,act,act
68,add,add
917,afraid,afraid
111,after,after
91,again,again
483,against,against
675,age,age
381,ago,ago
796,agree,agree
55,air,air
151,all,all
841,allow,allow
57,also,also
287,always,always
541,am,am
400,among,among
48,an,an
32,and,and
998,anger,anger
92,animal,animal
208,answer,answer
101,any,any
491,appear,appear
927,apple,apple
9,are,are
335,area,area
547,arm,arm
968,arrange,arrange
850,arrive,arrive
518,art,art
1,as,as
79,ask,ask
13,at,at
786,atom,atom
701,baby,baby
112,back,back
624,bad,bad
536,ball,ball
934,band,band
646,bank,bank
872,bar,bar
264,base,base
944,basic,basic
808,bat,bat
12,be,be
592,bear,bear
746,beat,beat
425,beauty,beauty
504,bed,bed
198,been,been
143,before,before
258,began,began
280,begin,begin
445,behind,behind
509,believe,believe
815,bell,bell
452,best,best
454,better,better
219,between,between
73,big,big
314,bird,bird
731,bit,bit
326,black,black
951,block,block
627,blood,blood
625,blow,blow
359,blue,blue
569,board,board
371,boat,boat
316,body,body
792,bone,bone
251,book,book
972,born,born
290,both,both
689,bottom,bottom
928,bought,bought
417,box,box
146,boy,boy
912,branch,branch
869,bread,bread
620,break,break
587,bright,bright
393,bring,bring
993,broad,broad
654,broke,broke
505,brother,brother
389,brought,brought
636,brown,brown
97,build,build
723,burn,burn
368,busy,busy
21,but,but
706,buy,buy
18,by,by
192,call,call
118,came,came
969,camp,camp
36,can,can
751,capital,capital
800,captain,captain
297,car,car
933,card,card
299,care,care
252,carry,carry
655,case,case
726,cat,cat
565,catch,catch
781,caught,caught
140,cause,cause
508,cell,cell
630,cent,cent
486,center,center
727,century,century
405,certain,certain
753,chair,chair
979,chance,chance
81,change,change
779,character,character
870,charge,charge
952,chart,chart
383,check,check
881,chick,chick
829,chief,chief
665,child,child
279,children,children
641,choose,choose
862,chord,chord
529,circle,circle
227,city,city
999,claim,claim
329,class,class
619,clean,clean
446,clear,clear
683,climb,climb
831,clock,clock
245,close,close
597,clothe,clothe
678,cloud,cloud
732,coast,coast
931,coat,coat
498,cold,cold
647,collect,collect
830,colony,colony
270,color,color
986,column,column
180,come,come
372,common,common
956,company,company
812,compare,compare
333,complete,complete
940,condition,condition
859,connect,connect
728,consider,consider
667,consonant,consonant
428,contain,contain
1000,continent,continent
950,continue,continue
649,control,control
719,cook,cook
684,cool,cool
733,copy,copy
811,corn,corn
773,corner,corner
421,correct,correct
634,cost,cost
971,cotton,cotton
178,could,could
513,count,count
206,country,country
354,course,course
215,cover,cover
579,cow,cow
698,crease,crease
805,create,create
768,crop,crop
229,cross,cross
810,crowd,crowd
409,cry,cry
847,current,current
267,cut,cut
868,dad,dad
544,dance,dance
754,danger,danger
410,dark,dark
177,day,day
843,dead,dead
960,deal,deal
882,dear,dear
903,death,death
361,decide,decide
650,decimal,decimal
363,deep,deep
879,degree,degree
816,depend,depend
718,describe,describe
845,desert,desert
685,design,design
973,determine,determine
437,develop,develop
669,dictionary,dictionary
181,did,did
609,die,die
138,differ,differ
763,difficult,difficult
319,direct,direct
921,discuss,discuss
395,distant,distant
532,divide,divide
855,division,division
41,do,do
764,doctor,doctor
51,does,does
317,dog,dog
921,dollar,dollar
424,done,done
242,don’t,don’t
324,door,door
948,double,double
196,down,down
238,draw,draw
938,dream,dream
677,dress,dress
885,drink,drink
426,drive,drive
539,drop,drop
377,dry,dry
876,duck,duck
456,during,during
49,each,each
651,ear,ear
461,early,early
99,earth,earth
284,ease,ease
397,east,east
255,eat,eat
581,edge,edge
789,effect,effect
506,egg,egg
702,eight,eight
721,either,either
790,electric,electric
770,element,element
652,else,else
60,end,end
883,enemy,enemy
501,energy,energy
545,engine,engine
301,enough,enough
834,enter,enter
639,equal,equal
386,equate,equate
915,especially,especially
69,even,even
939,evening,evening
958,event,event
308,ever,ever
120,every,every
607,exact,exact
283,example,example
613,except,except
747,excite,excite
563,exercise,exercise
791,expect,expect
925,experience,experience
688,experiment,experiment
222,eye,eye
271,face,face
449,fact,fact
645,fair,fair
407,fall,fall
318,family,family
820,famous,famous
236,far,far
230,farm,farm
467,fast,fast
863,fat,fat
100,father,father
858,favor,favor
823,fear,fear
941,feed,feed
312,feel,feel
298,feet,feet
642,fell,fell
534,felt,felt
249,few,few
419,field,field
916,fig,fig
744,fight,fight
415,figure,figure
396,fill,fill
432,final,final
200,find,find
404,fine,fine
741,finger,finger
593,finish,finish
339,fire,fire
193,first,first
260,fish,fish
643,fit,fit
458,five,five
694,flat,flat
720,floor,floor
644,flow,flow
596,flower,flower
406,fly,fly
76,follow,follow
216,food,food
366,foot,foot
7,for,for
358,force,force
552,forest,forest
130,form,form
922,forward,forward
207,found,found
218,four,four
551,fraction,fraction
440,free,free
836,fresh,fresh
257,friend,friend
17,from,from
429,front,front
755,fruit,fruit
357,full,full
586,fun,fun
384,game,game
638,garden,garden
588,gas,gas
980,gather,gather
433,gave,gave
526,general,general
798,gentle,gentle
106,get,get
303,girl,girl
123,give,give
864,glad,glad
577,glass,glass
179,go,go
373,gold,gold
599,gone,gone
121,good,good
281,got,got
496,govern,govern
535,grand,grand
578,grass,grass
990,gray,gray
132,great,great
434,green,green
629,grew,grew
464,ground,ground
286,group,group
210,grow,grow
801,guess,guess
924,guide,guide
840,gun,gun
28,had,had
717,hair,hair
336,half,half
64,hand,hand
