number,punjabi,english
33,ਇੱਕ,a
422,ਯੋਗ,able
158,ਬਾਰੇ,about
307,ਉਪਰੋਕਤ,above
77,ਕੰਮ,act
68,ਸ਼ਾਮਿਲ,add
917,ਡਰ,afraid
111,ਦੇ ਬਾਅਦ,after
91,ਨੂੰ ਫਿਰ,again
483,ਦੇ ਖਿਲਾਫ,against
675,ਉਮਰ ਦੇ,age
381,ਸਾਲ,ago
796,ਸਹਿਮਤ,agree
55,ਹਵਾ,air
151,ਸਾਰੇ,all
841,ਦੀ ਇਜਾਜ਼ਤ,allow
57,ਇਹ ਵੀ,also
287,ਨੂੰ ਹਮੇਸ਼ਾ,always
541,am,am
400,ਆਪਸ ਵਿੱਚ,among
48,ਇੱਕ,an
32,ਹੈ ਅਤੇ,and
998,ਗੁੱਸੇ ’,anger
92,ਜਾਨਵਰ,animal
208,ਇਸ ਦਾ ਜਵਾਬ,answer
101,ਕੋਈ ਵੀ,any
491,ਵਿਖਾਈ,appear
927,ਸੇਬ,apple
9,ਹਨ,are
335,ਖੇਤਰ ਦੇ,area
547,ਆਰਮ,arm
968,ਦਾ ਪ੍ਰਬੰਧ,arrange
850,ਪਹੁੰਚਦੇ,arrive
518,ਕਲਾ,art
1,ਦੇ ਤੌਰ ਤੇ,as
79,ਪੁੱਛੋ,ask
13,’ਤੇ,at
786,ਐਟਮ,atom
701,ਬੱਚੇ ਨੂੰ,baby
112,ਵਾਪਸ,back
624,ਬੁਰਾ,bad
536,ਬਾਲ,ball
934,ਪਹਿਰੇਦਾਰ,band
646,ਬਕ,bank
872,ਪੱਟੀ ਦੇ,bar
264,ਅਧਾਰ,base
944,ਬੁਨਿਆਦੀ,basic
808,ਬੱਲੇਬਾਜ਼ੀ,bat
12,ਹੋ,be
592,ਰੱਖਣਾ,bear
746,ਹਰਾਇਆ,beat
425,ਸੁੰਦਰਤਾ,beauty
504,ਮੰਜੇ,bed
198,ਕੀਤਾ ਗਿਆ,been
143,ਅੱਗੇ,before
258,ਸ਼ੁਰੂ ਕੀਤਾ,began
280,ਸ਼ੁਰੂ,begin
445,ਪਿੱਛੇ,behind
509,ਤੇ ਵਿਸ਼ਵਾਸ,believe
815,ਘੰਟੀ,bell
452,ਵਧੀਆ,best
454,ਬਿਹਤਰ,better
219,ਦੇ ਵਿਚਕਾਰ,between
73,ਵੱਡੇ,big
314,ਪੰਛੀ,bird
731,ਬਿੱਟ,bit
326,ਕਾਲਾ,black
951,ਬਲਾਕ,block
627,ਖੂਨ ਦੇ,blood
625,ਉੱਡਿਆ,blow
359,ਨੀਲਾ,blue
569,ਬੋਰਡ,board
371,ਕਿਸ਼ਤੀ,boat
316,ਸਰੀਰ ਨੂੰ,body
792,ਹੱਡੀ,bone
251,ਦੀ ਕਿਤਾਬ,book
972,ਜਨਮ,born
290,ਦੋਨੋ,both
689,ਤਲ,bottom
928,ਖਰੀਦੀ,bought
417,ਬਾਕਸ ਨੂੰ,box
146,ਉਹ ਮੁੰਡਾ,boy
912,ਸ਼ਾਖਾ,branch
869,ਰੋਟੀ ਦਾ,bread
620,ਬ੍ਰੇਕ,break
587,ਚਮਕਦਾਰ,bright
393,ਲਿਆਉਣ,bring
993,ਵਿਆਪਕ,broad
654,ਤੋੜ,broke
505,ਭਰਾ ਨੂੰ,brother
389,ਲੈ ਆਏ,brought
636,ਭੂਰਾ,brown
97,ਨੂੰ ਬਣਾਉਣ,build
723,ਨੂੰ ਸਾੜ,burn
368,ਵਿਅਸਤ,busy
21,ਪਰ,but
