number,romanian,english
33,o,a
422,capabil,able
158,despre,about
307,de mai sus,above
77,act,act
68,adăuga,add
917,speriat,afraid
111,după,after
91,din nou,again
483,împotriva,against
675,vârstă,age
381,în urmă,ago
796,acord,agree
55,aer,air
151,toate,all
841,permite,allow
57,"de asemenea,",also
287,întotdeauna,always
541,sunt,am
400,printre,among
48,o,an
32,și,and
998,furie,anger
92,animal,animal
208,răspuns,answer
101,orice,any
491,apărea,appear
927,măr,apple
9,sunt,are
335,zona,area
547,braț,arm
968,aranja,arrange
850,ajunge,arrive
518,artă,art
1,ca,as
79,cere,ask
13,la,at
786,atomul,atom
701,copil,baby
112,înapoi,back
624,rău,bad
536,bilă,ball
934,band,band
646,bancă,bank
872,bar,bar
264,de bază,base
944,de bază,basic
808,liliac,bat
12,fie,be
592,poartă,bear
746,bate,beat
425,frumusețe,beauty
504,pat,bed
198,fost,been
143,înainte,before
258,început,began
280,începe,begin
445,în spatele,behind
509,cred,believe
815,clopot,bell
452,cel mai bun,best
454,mai bine,better
219,între,between
73,mare,big
314,pasăre,bird
731,bit,bit
326,negru,black
951,bloc,block
627,sânge,blood
625,lovitură,blow
359,albastru,blue
569,bord,board
371,barcă,boat
316,corp,body
792,os,bone
251,carte,book
972,născut,born
290,atât,both
689,de jos,bottom
928,cumpărat,bought
417,cutie,box
146,băiat,boy
912,ramură,branch
869,pâine,bread
620,pauză,break
587,luminos,bright
393,aduce,bring
993,larg,broad
654,rupt,broke
505,fratele,brother
389,adus,brought
636,maro,brown
97,construi,build
723,arde,burn
368,ocupat,busy
21,dar,but
706,cumpăra,buy
18,de,by
192,apel,call
118,a venit,came
969,tabără,camp
36,poate,can
751,de capital,capital
800,căpitan,captain
297,masina,car
933,carte,card
299,îngrijire,care
252,efectueze,carry
655,caz,case
726,pisică,cat
565,captură,catch
781,prins,caught
140,cauza,cause
508,celulă,cell
630,sută,cent
486,centru,center
727,secol,century
405,sigur,certain
753,scaun,chair
979,șansă,chance
81,schimbare,change
779,caracter,character
870,încărca,charge
952,diagramă,chart
383,verifica,check
881,pui,chick
829,șef,chief
665,copil,child
279,copii,children
641,alege,choose
862,coardă,chord
529,cerc,circle
227,oraș,city
999,revendicare,claim
329,clasă,class
619,curat,clean
446,clar,clear
683,urcare,climb
831,ceas,clock
245,aproape,close
597,îmbrăca,clothe
678,nor,cloud
732,coasta,coast
931,strat,coat
498,rece,cold
647,colecta,collect
830,colonie,colony
270,culoare,color
986,coloana,column
180,vin,come
372,comun,common
956,compania,company
812,compara,compare
333,complet,complete
940,condiție,condition
859,conecta,connect
728,ia în considerare,consider
667,consoană,consonant
428,conțin,contain
1000,continentului,continent
950,continua,continue
649,de control,control
719,bucătar,cook
684,rece,cool
733,copie,copy
811,porumb,corn
773,colț,corner
421,corect,correct
634,costul,cost
971,bumbac,cotton
178,ar putea,could
513,conta,count
206,țară,country
354,curs,course
215,capac,cover
579,vacă,cow
698,cutelor,crease
805,crea,create
768,cultură,crop
229,cruce,cross
810,mulțime,crowd
409,strigăt,cry
847,curent,current
267,cut,cut
868,tata,dad
544,dans,dance
754,pericol,danger
410,întuneric,dark
177,zi,day
843,mort,dead
960,afacere,deal
882,draga,dear
903,moarte,death
361,decidă,decide
650,zecimal,decimal
363,adânc,deep
879,grad,degree
816,depinde,depend
718,descrie,describe
845,deșert,desert
685,proiectare,design
973,determina,determine
437,dezvolta,develop
669,dicționar,dictionary
181,a făcut,did
609,muri,die
138,diferă,differ
763,dificil,difficult
319,directe,direct
921,discuta,discuss
395,îndepărtat,distant
532,divide,divide
855,divizare,division
41,face,do
764,medicul,doctor
51,nu,does
317,câine,dog
921,dolarul,dollar
424,terminat,done
242,nu face,don’t
324,ușă,door
948,dublu,double
196,jos,down
238,trage,draw
938,vis,dream
677,rochie,dress
885,băutură,drink
426,unitate,drive
539,picătură,drop
377,uscat,dry
876,rață,duck
456,în timpul,during
49,fiecare,each
651,ureche,ear
461,devreme,early
99,pământ,earth
284,ușura,ease
397,est,east
255,mânca,eat
581,margine,edge
789,efect,effect
506,ou,egg
702,opt,eight
721,fie,either
790,electric,electric
770,element,element
652,altceva,else
60,capăt,end
883,inamic,enemy
501,energie,energy
545,motor,engine
301,suficient,enough
834,intra,enter
639,egal,equal
386,echivala,equate
915,mai ales,especially
69,chiar,even
939,seară,evening
958,eveniment,event
308,vreodată,ever
120,fiecare,every
607,exactă,exact
283,exemplu,example
613,cu excepția,except
747,excita,excite
563,exercițiu,exercise
791,aștepta,expect
925,experiență,experience
688,experimentul,experiment
222,ochi,eye
271,fata,face
449,fapt,fact
645,corect,fair
407,cădea,fall
318,familie,family
820,faimos,famous
236,mult,far
230,fermă,farm
467,rapid,fast
863,grăsime,fat
100,tatal,father
858,favoriza,favor
823,frică,fear
941,hrana pentru animale,feed
312,simți,feel
298,picioare,feet
642,căzut,fell
534,simțit,felt
249,puțini,few
419,câmp,field
916,fig,fig
744,lupta,fight
415,figura,figure
396,umple,fill
432,finală,final
200,găsi,find
404,fin,fine
741,deget,finger
593,finisaj,finish
339,foc,fire
193,primul,first
260,pește,fish
643,potrivi,fit
458,cinci,five
694,plat,flat
720,etaj,floor
644,flux,flow
596,floare,flower
406,zbura,fly
76,urma,follow
216,alimente,food
366,picior,foot
7,pentru,for
358,vigoare,force
552,pădure,forest
130,formă,form
922,înainte,forward
207,găsite,found
218,patru,four
551,fracțiune,fraction
440,liber,free
836,proaspăt,fresh
257,prieten,friend
17,de la,from
429,față,front
755,fructe,fruit
357,complet,full
586,distracție,fun
384,joc,game
638,grădină,garden
588,gaz,gas
980,aduna,gather
433,a dat,gave
526,generală,general
798,blând,gentle
106,obține,get
303,fată,girl
123,da,give
864,bucuros,glad
577,sticlă,glass
179,merge,go
373,aur,gold
599,plecat,gone
121,bun,good
281,am,got
496,guverna,govern
535,mare,grand
578,iarbă,grass
990,gri,gray
132,mare,great
434,verde,green
629,a crescut,grew
464,teren,ground
286,grup,group
210,crește,grow
801,ghici,guess
924,ghid,guide
840,pistol,gun
28,a avut,had
717,păr,hair
336,jumătate,half
64,mână,hand
332,întâmpla,happen
594,fericit,happy
231,greu,hard
174,are,has
953,pălărie,hat
15,au,have
5,el,he
201,cap,head
265,auzi,hear
451,a auzit,heard
540,inimă,heart
390,căldură,heat
543,grele,heavy
716,ținută,held
135,ajuta,help
167,ei,her
71,aici,here
74,mare,high
724,deal,hill
172,l,him
3,lui,his
788,istorie,history
771,lovit,hit
462,țineți,hold
699,gaură,hole
62,home,home
595,speranță,hope
266,cal,horse
19,fierbinte,hot
387,fierbinte,hot
453,oră,hour
87,casă,house
46,cum,how
918,uriaș,huge
787,uman,human
457,sute de,hundred
502,vânătoare,hunt
828,grabă,hurry
2,eu,i
527,gheață,ice
259,idee,idea
44,dacă,if
794,imagina,imagine
34,în,in
351,inci,inch
531,includ,include
783,indica,indicate
742,industrie,industry
780,insectă,insect
877,instantaneu,instant
575,instrumente,instrument
465,interes,interest
970,inventa,invent
691,fier,iron
24,este,is
365,insulă,island
25,ea,it
580,muncă,job
617,se alăture,join
570,bucurie,joy
700,salt,jump
129,doar,just
221,păstra,keep
576,păstrate,kept
690,cheie,key
657,ucide,kill
84,fel,kind
349,rege,king
344,știam,knew
189,cunoaște,know
621,doamnă,lady
659,lac,lake
70,teren,land
399,limbă,language
66,mare,large
224,trecut,last
240,târziu,late
379,râs,laugh
730,lege,law
482,pune,lay
408,plumb,lead
213,învăța,learn
610,puțin,least
321,lăsa,leave
929,a condus,led
239,stânga,left
562,picior,leg
516,lungime,length
474,mai puțin,less
225,lăsa,let
293,scrisoare,letter
978,nivel,level
745,minciună,lie
248,viață,life
848,lift,lift
83,lumina,light
164,ca,like
137,linie,line
894,lichid,liquid
310,lista,list
470,asculta,listen
113,mic,little
109,trăi,live
777,localiza,locate
895,log,log
561,singuratic,lone
168,lung,long
175,uita-te,look
635,pierdut,lost
687,lot,lot
662,tare,loud
487,dragoste,love
136,scăzut,low
411,mașină,machine
108,a făcut,made
909,magnet,magnet
273,principal,main
835,majoră,major
169,face,make
116,om,man
159,multe,many
493,harta,map
291,marcă,mark
878,piață,market
932,masa,mass
851,maestru,master
913,meci,match
550,materiale,material
528,indiferent,matter
195,putea,may
122,mi-,me
142,adică,mean
896,însemnat,meant
323,măsura,measure
817,carne,meat
704,întâlni,meet
601,melodie,melody
80,bărbați,men
709,de metal,metal
672,metoda,method
656,de mijloc,middle
233,s-ar putea,might
295,milă,mile
670,lapte,milk
591,milioane,million
444,minte,mind
832,a mea,mine
441,minut,minute
388,miss,miss
631,amesteca,mix
