number,serbian,english
33,старт,a
422,стању,able
158,абоут,about
307,изнад,above
77,закон,act
68,адд,add
917,уплашен,afraid
111,после,after
91,опет,again
483,против,against
675,старост,age
381,пре,ago
796,слажем,agree
55,аир,air
151,све,all
841,дозволи,allow
57,такође,also
287,увек,always
541,пм,am
400,међу,among
48,породица,an
32,и,and
998,бес,anger
92,анимал,animal
208,одговор,answer
101,ани,any
491,појављују,appear
927,аппле,apple
9,су,are
335,ареа,area
547,рука,arm
968,организовати,arrange
850,стижу,arrive
518,арт,art
1,као,as
79,аск,ask
13,ат,at
786,атома,atom
701,баби,baby
112,назад,back
624,бад,bad
536,лопта,ball
934,трака,band
646,банк,bank
872,бар,bar
264,база,base
944,басиц,basic
808,бат,bat
12,бити,be
592,беар,bear
746,беат,beat
425,беаути,beauty
504,бед,bed
198,био,been
143,пре,before
258,почела,began
280,бегин,begin
445,иза,behind
509,верујем,believe
815,белл,bell
452,бест,best
454,боље,better
219,између,between
73,велики,big
314,бирд,bird
731,бит,bit
326,црна,black
951,блоцк,block
627,блоод,blood
625,ударац,blow
359,плава,blue
569,боард,board
371,боат,boat
316,боди,body
792,кост,bone
251,књига,book
972,борн,born
290,оба,both
689,боттом,bottom
928,купио,bought
417,бок,box
146,дечак,boy
912,грана,branch
869,хлеб,bread
620,бреак,break
587,бригхт,bright
393,доносе,bring
993,широка,broad
654,поломио,broke
505,брат,brother
389,донео,brought
636,бровн,brown
97,изградити,build
723,бурн,burn
368,заузет,busy
21,али,but
706,буи,buy
18,би,by
192,позив,call
118,дошао,came
969,камп,camp
36,цан,can
751,капитал,capital
800,капетан,captain
297,ауто,car
933,картица,card
299,царе,care
252,носе,carry
655,цасе,case
726,цат,cat
565,цатцх,catch
781,ухваћен,caught
140,узрок,cause
508,ћелија,cell
630,цент,cent
486,центар,center
727,век,century
405,известан,certain
753,столица,chair
979,шанса,chance
81,цханге,change
779,карактер,character
870,наплаћују,charge
952,графикон,chart
383,цхецк,check
881,цхицк,chick
829,цхиеф,chief
665,дете,child
279,деца,children
641,изабрати,choose
862,акорд,chord
529,цирцле,circle
227,град,city
999,тврдња,claim
329,класа,class
619,цлеан,clean
446,цлеар,clear
683,цлимб,climb
831,цлоцк,clock
245,близу,close
597,облачити,clothe
678,цлоуд,cloud
732,цоаст,coast
931,капут,coat
498,хладно,cold
647,прикупља,collect
830,колонија,colony
270,боја,color
986,колона,column
180,доћи,come
372,заједнички,common
956,цомпани,company
812,упоредити,compare
333,комплетан,complete
940,услов,condition
859,цоннецт,connect
728,размотрити,consider
667,сугласник,consonant
428,садржати,contain
1000,континент,continent
950,наставити,continue
649,контрола,control
719,цоок,cook
684,цоол,cool
733,цопи,copy
811,кукуруз,corn
773,цорнер,corner
421,исправан,correct
634,трошкови,cost
971,памук,cotton
178,могао,could
513,цоунт,count
206,цоунтри,country
354,курс,course
215,цовер,cover
579,крава,cow
698,бразда,crease
805,створити,create
768,цроп,crop
229,цросс,cross
810,публика,crowd
