number,italian,english
33,un,a
422,in grado di,able
158,circa,about
307,sopra,above
77,atto,act
68,aggiungere,add
917,impaurito,afraid
111,dopo,after
91,di nuovo,again
483,contro,against
675,età,age
381,fa,ago
796,concordare,agree
55,aria,air
151,tutto,all
841,consentire,allow
57,anche,also
287,sempre,always
541,am,am
400,tra,among
48,un,an
32,e,and
998,rabbia,anger
92,animale,animal
208,risposta,answer
101,qualsiasi,any
491,apparire,appear
927,mela,apple
9,sono,are
335,area,area
547,braccio,arm
968,organizzare,arrange
850,arrivare,arrive
518,arte,art
1,come,as
79,chiedere,ask
13,a,at
786,atomo,atom
701,bambino,baby
112,indietro,back
624,male,bad
536,palla,ball
934,banda,band
646,banca,bank
872,bar,bar
264,base,base
944,di base,basic
808,pipistrello,bat
12,essere,be
592,sopportare,bear
746,battere,beat
425,bellezza,beauty
504,letto,bed
198,stato,been
143,prima,before
258,ha iniziato,began
280,inizio,begin
445,dietro,behind
509,credere,believe
815,campana,bell
452,migliore,best
454,meglio,better
219,fra,between
73,grande,big
314,uccello,bird
731,bit,bit
326,nero,black
951,blocco,block
627,sangue,blood
625,colpo,blow
359,blu,blue
569,pensione,board
371,barca,boat
316,corpo,body
792,osso,bone
251,libro,book
972,nascita,born
290,entrambi,both
689,fondo,bottom
928,comprato,bought
417,scatola,box
146,ragazzo,boy
912,ramo,branch
869,pane,bread
620,pausa,break
587,luminoso,bright
393,portare,bring
993,ampio,broad
654,rotto,broke
505,fratello,brother
389,portato,brought
636,marrone,brown
97,costruire,build
723,bruciare,burn
368,occupato,busy
21,ma,but
706,acquistare,buy
18,da,by
192,chiamata,call
118,è venuto,came
969,campo,camp
36,lattina,can
751,capitale,capital
800,capitano,captain
297,auto,car
933,scheda,card
299,cura,care
252,portare,carry
655,caso,case
726,gatto,cat
565,prendere,catch
781,catturato,caught
140,causa,cause
508,cella,cell
630,cent,cent
486,centro,center
727,secolo,century
405,certo,certain
753,sedia,chair
979,possibilità,chance
81,cambiamento,change
779,carattere,character
870,carica,charge
952,grafico,chart
383,controllare,check
881,pulcino,chick
829,capo,chief
665,bambino,child
279,bambini,children
641,scegliere,choose
862,accordo,chord
529,cerchio,circle
227,città,city
999,richiesta,claim
329,classe,class
619,pulito,clean
446,chiaro,clear
683,salita,climb
831,orologio,clock
245,close,close
597,vestire,clothe
678,nube,cloud
732,costa,coast
931,cappotto,coat
498,freddo,cold
647,raccogliere,collect
830,colonia,colony
270,colore,color
986,colonna,column
180,venire,come
372,comune,common
956,azienda,company
812,confrontare,compare
333,integrale,complete
940,condizione,condition
859,collegare,connect
728,considerare,consider
667,consonante,consonant
428,contenere,contain
1000,continente,continent
950,continuare,continue
649,controllo,control
719,cuoco,cook
684,fresco,cool
733,copia,copy
811,mais,corn
773,angolo,corner
421,corretto,correct
634,costo,cost
971,cotone,cotton
178,potuto,could
513,contare,count
206,paese,country
354,corso,course
215,copertura,cover
579,mucca,cow
698,piega,crease
805,creare,create
768,raccolto,crop
229,attraversare,cross
810,folla,crowd
409,grido,cry
847,corrente,current
267,taglio,cut
868,papà,dad
544,danza,dance
754,pericolo,danger
410,scuro,dark
177,giorno,day
843,morto,dead
960,affare,deal
882,caro,dear
903,morte,death
