number,malaysian,english
33,yang,a
422,dapat,able
158,mengenai,about
307,atas,above
77,tindakan,act
68,menambah,add
917,takut,afraid
111,selepas,after
91,lagi,again
483,terhadap,against
675,umur,age
381,lalu,ago
796,bersetuju,agree
55,udara,air
151,semua,all
841,membolehkan,allow
57,juga,also
287,sentiasa,always
541,saya,am
400,antara,among
48,seorang,an
32,dan,and
998,kemarahan,anger
92,haiwan,animal
208,jawapan,answer
101,apa-apa,any
491,muncul,appear
927,epal,apple
9,adalah,are
335,kawasan,area
547,lengan,arm
968,mengatur,arrange
850,tiba,arrive
518,seni,art
1,sebagai,as
79,meminta,ask
13,di,at
786,debu,atom
701,bayi,baby
112,kembali,back
624,buruk,bad
536,bola,ball
934,band,band
646,bank yang,bank
872,bar,bar
264,asas,base
944,asas,basic
808,kelawar,bat
12,menjadi,be
592,menanggung,bear
746,menewaskan,beat
425,kecantikan,beauty
504,katil,bed
198,telah,been
143,sebelum,before
258,bermula,began
280,mula,begin
445,di belakang,behind
509,percaya,believe
815,loceng,bell
452,terbaik,best
454,lebih baik,better
219,antara,between
73,besar,big
314,burung,bird
731,sedikit,bit
326,hitam,black
951,blok,block
627,darah,blood
625,tamparan,blow
359,biru,blue
569,lembaga,board
371,bot,boat
316,badan,body
792,tulang,bone
251,buku,book
972,dilahirkan,born
290,kedua-dua,both
689,bahagian bawah,bottom
928,membeli,bought
417,kotak,box
146,budak,boy
912,cawangan,branch
869,roti,bread
620,rehat,break
587,terang,bright
393,membawa,bring
993,luas,broad
654,patah,broke
505,saudara,brother
389,dibawa,brought
636,coklat,brown
97,membina,build
723,membakar,burn
368,sibuk,busy
21,tetapi,but
706,membeli,buy
18,oleh,by
192,panggilan,call
118,datang,came
969,kem,camp
36,boleh,can
751,modal,capital
800,kapten,captain
297,kereta,car
933,kad,card
299,penjagaan,care
252,menjalankan,carry
655,kes,case
726,kucing,cat
565,tangkapan,catch
781,ditangkap,caught
140,punca,cause
508,sel,cell
630,peratus,cent
486,pusat,center
727,abad,century
405,tertentu,certain
753,kerusi,chair
979,peluang,chance
81,perubahan,change
779,watak,character
870,caj,charge
952,carta,chart
383,semak,check
881,anak ayam,chick
829,ketua,chief
665,kanak-kanak,child
279,kanak-kanak,children
641,memilih,choose
862,kord,chord
529,bulatan,circle
227,bandar,city
999,tuntutan,claim
329,kelas,class
619,bersih,clean
446,jelas,clear
683,pendakian,climb
831,jam,clock
245,rapat,close
597,pakaian,clothe
678,awan,cloud
732,pantai,coast
931,kot,coat
498,sejuk,cold
647,mengumpul,collect
830,tanah jajahan,colony
270,warna,color
986,ruangan,column
180,datang,come
372,biasa,common
956,syarikat,company
812,membandingkan,compare
333,lengkap,complete
940,keadaan,condition
859,menyambung,connect
728,mempertimbangkan,consider
667,konsonan,consonant
428,mengandungi,contain
1000,benua,continent
950,terus,continue
649,kawalan,control
719,tukang masak,cook
684,sejuk,cool
733,salinan,copy
811,jagung,corn
773,sudut,corner
421,betul,correct
634,kos,cost
971,kapas,cotton
178,boleh,could
513,mengira,count
206,negara,country
354,kursus,course
215,perlindungan,cover
579,lembu,cow
698,berkedut,crease
805,mewujudkan,create
768,tanaman,crop
229,menyeberangi,cross
810,orang ramai,crowd
409,menangis,cry
847,semasa,current
267,dipotong,cut
868,ayah,dad
544,tarian,dance
754,bahaya,danger
410,gelap,dark
177,hari,day
843,mati,dead
960,perjanjian,deal
