number,frisian,english
32,in,a
422,steat,able
158,oer,about
307,boppe,above
77,handeling,act
68,add,add
917,bang,afraid
111,efter,after
91,wer,again
483,tsjin,against
675,leeftyd,age
381,lyn,ago
796,oerienkomme,agree
55,loft,air
151,alle,all
841,talitte,allow
57,ek,also
287,altyd,always
541,bin,am
400,ûnder,among
47,an,an
31,en,and
998,lilkens,anger
92,bist,animal
208,antwurd,answer
101,elk,any
491,skine,appear
927,appel,apple
8,binne,are
335,krite,area
547,earm,arm
968,arrange,arrange
850,oankomme,arrive
518,keunst,art
54,as,as
79,freegje,ask
12,by,at
786,atoom,atom
701,poppe,baby
112,efter,back
624,min,bad
536,bal,ball
934,band,band
646,bank,bank
872,bar,bar
264,basis,base
944,basic,basic
808,bat,bat
11,wêze,be
592,bear,bear
746,slaan,beat
425,skientme,beauty
504,bêd,bed
198,west,been
143,foar,before
258,begûn,began
280,begjinne,begin
445,efter,behind
509,leauwe,believe
815,bel,bell
452,bêst,best
454,better,better
219,tusken,between
73,grut,big
314,fûgel,bird
731,bit,bit
326,swart,black
951,blok,block
627,bloed,blood
625,blaze,blow
359,blau,blue
569,board,board
371,boat,boat
316,lichem,body
792,bonke,bone
251,boek,book
972,berne,born
290,beide,both
689,boaiem,bottom
928,kocht,bought
417,doaze,box
146,jonge,boy
912,tûke,branch
869,bôle,bread
620,brekke,break
587,helder,bright
393,bringe,bring
993,breed,broad
654,bruts,broke
505,broer,brother
389,brocht,brought
636,brún,brown
97,bouwe,build
723,burn,burn
368,drok,busy
20,mar,but
706,keapje,buy
17,troch,by
192,belje,call
118,kaam,came
969,kamp,camp
35,kinne,can
751,haadstêd,capital
800,kaptein,captain
297,auto,car
933,kaart,card
299,soarch,care
252,drage,carry
655,rjochtsaak,case
726,kat,cat
565,fange,catch
781,fongen,caught
140,oarsaak,cause
508,sel,cell
630,sint,cent
486,sintrum,center
727,ieu,century
405,beskaat,certain
753,stoel,chair
979,kâns,chance
81,feroaring,change
779,personaazje,character
870,kosten,charge
952,chart,chart
383,kontrôle,check
881,chick,chick
829,haad,chief
665,bern,child
279,bern,children
641,kieze,choose
862,akkoard,chord
529,sirkel,circle
227,stêd,city
999,eask,claim
329,klasse,class
619,skjin,clean
446,opklearje,clear
683,klim,climb
831,klok,clock
245,slute,close
597,bekleden,clothe
678,wolk,cloud
732,kust,coast
931,jas,coat
498,kâld,cold
647,sammelje,collect
830,koloanje,colony
270,kleur,color
986,pylder,column
180,komme,come
372,gewoan,common
956,bedriuw,company
812,ferlykje,compare
333,kompleet,complete
940,betingst,condition
859,ferbine,connect
728,beskôgje,consider
667,consonant,consonant
428,befetsje,contain
1000,kontinint,continent
950,trochgean,continue
649,kontrolearje,control
719,kok,cook
684,koel,cool
733,kopy,copy
811,nôt,corn
773,hoeke,corner
421,korrekt,correct
634,kosten,cost
971,katoen,cotton
178,koe,could
513,telle,count
206,lân,country
354,ferrin,course
215,cover,cover
579,ko,cow
698,crease,crease
805,meitsje,create
768,crop,crop
229,krús,cross
810,kliber,crowd
409,gûle,cry
847,aktueel,current
267,snije,cut
868,heit,dad
544,dûnsje,dance
754,gefaar,danger
410,tsjuster,dark
177,dei,day
843,dea,dead
960,oerienkomst,deal
882,dear,dear
903,dea,death
361,beslute,decide
650,desimaal,decimal
363,djip,deep
879,graad,degree
816,ôfhinklik,depend
718,beskriuwe,describe
845,woastyn,desert
685,ûntwerp,design
973,bepale,determine
437,ûntwikkelje,develop
669,wurdboek,dictionary
181,die,did
609,stjerre,die
138,ferskille,differ
763,dreech,difficult
319,direkt,direct
921,diskusjearje,discuss
395,fier,distant
532,ferdiele,divide
855,ferdieling,division
40,dwaan,do
764,dokter,doctor
50,docht,does
317,hûn,dog
921,dollar,dollar
424,klear,done
242,do net,don’t
324,doar,door
948,dûbel,double
196,omleech,down
238,draw,draw
938,dream,dream
677,jurk,dress
885,drinke,drink
426,ride,drive
539,falle,drop
377,droech,dry
876,duck,duck
456,tidens,during
48,elk,each
651,ear,ear
461,betiid,early
99,ierde,earth
284,gemak,ease
397,east,east
255,ite,eat
581,edge,edge
789,effekt,effect
506,aai,egg
702,acht,eight
721,itsij,either
790,elektrysk,electric
770,elemint,element
652,oars,else
60,ein,end
883,fijân,enemy
501,enerzjy,energy
545,motor,engine
301,genôch,enough
834,yngean,enter
639,lyk,equal
386,definiearje,equate
915,foaral,especially
69,sels,even
939,jûn,evening
958,barren,event
308,ea,ever
120,elk,every
607,eksakt,exact
283,foarbyld,example
613,útsein,except
747,excite,excite
563,oefenje,exercise
791,ferwachtsje,expect
925,ûnderfining,experience
688,eksperimint,experiment
222,each,eye
271,gesicht,face
449,feit,fact
645,earlik,fair
407,falle,fall
318,famylje,family
820,ferneamd,famous
236,fier,far
230,pleats,farm
467,fluch,fast
863,fet,fat
100,heit,father
858,geunst,favor
823,bangens,fear
941,feed,feed
312,fiele,feel
298,fuotten,feet
642,foel,fell
534,fiele,felt
249,stikmannich,few
419,fjild,field
916,fig,fig
744,fjochtsje,fight
